Timestamp (Unix),ax,ay,az
2023-12-23 19:59:08.334,933,743,262
2023-12-23 19:59:08.447,529,700,508
2023-12-23 19:59:08.560,752,256,256
2023-12-23 19:59:08.673,119,711,351
2023-12-23 19:59:08.786,843,705,108
2023-12-23 19:59:08.899,393,330,366
2023-12-23 19:59:09.011,169,932,917
2023-12-23 19:59:09.124,847,972,868
2023-12-23 19:59:09.237,980,223,549
2023-12-23 19:59:09.350,592,164,169
2023-12-23 19:59:09.463,551,427,190
2023-12-23 19:59:09.576,624,635,920
2023-12-23 19:59:09.689,944,310,862
2023-12-23 19:59:09.802,484,363,301
2023-12-23 19:59:09.914,710,236,876
2023-12-23 19:59:10.027,431,929,397
2023-12-23 19:59:10.140,675,491,190
2023-12-23 19:59:10.253,344,134,425
2023-12-23 19:59:10.366,629,30,727
2023-12-23 19:59:10.478,126,743,334
2023-12-23 19:59:10.591,104,760,749
2023-12-23 19:59:10.704,620,256,932
2023-12-23 19:59:10.816,572,613,490
2023-12-23 19:59:10.929,509,119,405
2023-12-23 19:59:11.043,695,49,327
2023-12-23 19:59:11.154,719,497,824
2023-12-23 19:59:11.267,596,649,356
2023-12-23 19:59:11.380,184,93,245
2023-12-23 19:59:11.492,7,306,509
2023-12-23 19:59:11.603,754,352,665
2023-12-23 19:59:11.715,783,738,801
2023-12-23 19:59:11.828,690,330,337
2023-12-23 19:59:11.941,195,656,963
2023-12-23 19:59:12.054,11,427,42
2023-12-23 19:59:12.165,106,968,212
2023-12-23 19:59:12.278,1,510,480
2023-12-23 19:59:12.389,658,571,331
2023-12-23 19:59:12.501,814,847,564
2023-12-23 19:59:12.615,197,625,438
2023-12-23 19:59:12.727,931,18,487
2023-12-23 19:59:12.839,151,187,913
2023-12-23 19:59:12.952,179,995,750
2023-12-23 19:59:13.065,750,913,562
2023-12-23 19:59:13.178,134,273,547
2023-12-23 19:59:13.290,521,830,140
