Timestamp (Unix),ax,ay,az,gx,gy,gz
2023-12-24 18:07:24.542,0.66, -0.69, 0.28, -0.43, 2.26, 1.46
2023-12-24 18:07:24.547,0.66, -0.71, 0.29, -0.31, 2.26, 1.77
2023-12-24 18:07:24.551,0.66, -0.68, 0.29, -0.43, 2.20, 1.28
2023-12-24 18:07:24.554,0.66, -0.71, 0.29, -0.43, 2.44, 1.89
2023-12-24 18:07:24.562,0.65, -0.69, 0.29, -0.18, 2.08, 0.92
2023-12-24 18:07:24.565,0.66, -0.70, 0.30, -0.31, 2.38, 2.44
2023-12-24 18:07:24.568,0.66, -0.68, 0.29, -0.37, 2.08, 0.92
2023-12-24 18:07:24.571,0.66, -0.70, 0.29, -0.49, 2.26, 2.20
2023-12-24 18:07:24.574,0.66, -0.69, 0.29, -0.31, 2.08, 1.53
2023-12-24 18:07:24.577,0.66, -0.70, 0.29, -0.55, 2.26, 1.83
2023-12-24 18:07:24.579,0.66, -0.70, 0.29, -0.24, 2.26, 1.71
2023-12-24 18:07:24.580,0.66, -0.69, 0.29, -0.43, 2.20, 1.53
2023-12-24 18:07:24.581,0.66, -0.69, 0.29, -0.49, 2.26, 1.65
2023-12-24 18:07:24.583,0.66, -0.69, 0.29, -0.31, 2.20, 1.53
2023-12-24 18:07:24.584,0.66, -0.70, 0.29, -0.61, 2.20, 1.71
2023-12-24 18:07:24.585,0.66, -0.70, 0.29, -0.43, 2.26, 1.53
2023-12-24 18:07:24.587,0.66, -0.70, 0.29, -0.37, 2.26, 1.83
2023-12-24 18:07:24.588,0.66, -0.70, 0.29, -0.18, 2.20, 1.59
2023-12-24 18:07:24.592,0.65, -0.69, 0.29, -0.18, 2.20, 1.77
2023-12-24 18:07:24.593,0.66, -0.69, 0.29, -0.31, 2.32, 1.59
2023-12-24 18:07:24.594,0.66, -0.69, 0.29, -0.43, 2.26, 1.53
2023-12-24 18:07:24.595,0.66, -0.69, 0.29, -0.61, 2.26, 1.46
2023-12-24 18:07:24.596,0.66, -0.70, 0.29, -0.49, 2.38, 1.71
2023-12-24 18:07:24.596,0.66, -0.69, 0.29, -0.49, 2.26, 1.71
2023-12-24 18:07:24.597,0.66, -0.70, 0.29, -0.31, 2.14, 1.95
2023-12-24 18:07:24.598,0.66, -0.70, 0.29, -0.18, 2.20, 1.83
2023-12-24 18:07:24.599,0.66, -0.70, 0.29, -0.31, 2.32, 1.65
2023-12-24 18:07:24.600,0.66, -0.69, 0.29, -0.43, 2.20, 1.53
2023-12-24 18:07:24.600,0.66, -0.69, 0.29, -0.55, 2.20, 1.59
2023-12-24 18:07:24.601,0.66, -0.69, 0.29, -0.61, 2.20, 1.53
2023-12-24 18:07:24.602,0.66, -0.69, 0.29, -0.43, 2.26, 1.65
2023-12-24 18:07:24.602,0.66, -0.70, 0.29, -0.31, 2.26, 1.83
2023-12-24 18:07:24.603,0.66, -0.70, 0.29, -0.24, 2.20, 1.77
2023-12-24 18:07:24.604,0.66, -0.69, 0.29, -0.37, 2.20, 1.65
2023-12-24 18:07:24.605,0.66, -0.69, 0.29, -0.55, 2.14, 1.83
2023-12-24 18:07:24.606,0.66, -0.69, 0.29, -0.61, 2.20, 1.77
2023-12-24 18:07:24.608,0.66, -0.69, 0.29, -0.61, 2.20, 1.77
2023-12-24 18:07:24.609,0.66, -0.70, 0.29, -0.55, 2.26, 1.77
2023-12-24 18:07:24.611,0.66, -0.70, 0.29, -0.37, 2.20, 1.71
2023-12-24 18:07:24.611,0.66, -0.70, 0.29, -0.24, 2.26, 1.71
2023-12-24 18:07:24.612,0.66, -0.70, 0.29, -0.37, 2.32, 1.65
2023-12-24 18:07:24.613,0.66, -0.69, 0.29, -0.49, 2.20, 1.65
2023-12-24 18:07:24.615,0.66, -0.69, 0.29, -0.61, 2.26, 1.65
2023-12-24 18:07:24.615,0.66, -0.69, 0.29, -0.43, 2.20, 1.71
2023-12-24 18:07:24.616,0.66, -0.69, 0.29, -0.37, 2.20, 1.65
2023-12-24 18:07:24.616,0.66, -0.69, 0.29, -0.37, 2.20, 1.71
2023-12-24 18:07:24.617,0.66, -0.70, 0.29, -0.43, 2.26, 1.77
2023-12-24 18:07:24.618,0.66, -0.69, 0.29, -0.49, 2.26, 1.71
2023-12-24 18:07:24.618,0.66, -0.69, 0.29, -0.61, 2.26, 1.65
