Timestamp (Unix),Sample Nunmber,ax,ay,az,gx,gy,gz
2023-12-24 19:26:36.943,1,-0.42, -0.89, -0.00, -9.22, -7.26, 3.91
2023-12-24 19:26:36.944,2,-0.41, -0.89, 0.02, -11.23, -4.88, 4.21
2023-12-24 19:26:36.945,3,-0.40, -0.90, 0.02, -12.45, -1.46, 4.46
2023-12-24 19:26:36.947,4,-0.40, -0.92, -0.01, -13.18, 2.99, 4.52
2023-12-24 19:26:36.948,5,-0.41, -0.91, -0.04, -13.67, 4.21, 5.07
2023-12-24 19:26:36.949,6,-0.40, -0.94, -0.06, -12.21, 6.10, 5.07
2023-12-24 19:26:36.950,7,-0.40, -0.94, -0.08, -9.77, 6.10, 4.52
2023-12-24 19:26:36.951,8,-0.40, -0.94, -0.08, -7.93, 6.16, 4.21
2023-12-24 19:26:36.952,9,-0.39, -0.92, -0.09, -5.80, 5.00, 4.09
2023-12-24 19:26:36.953,10,-0.38, -0.92, -0.09, -3.36, 3.48, 3.60
2023-12-24 19:26:36.955,11,-0.38, -0.92, -0.08, -0.98, 2.38, 2.93
2023-12-24 19:26:36.956,12,-0.38, -0.92, -0.07, 1.40, 1.40, 2.62
2023-12-24 19:26:36.957,13,-0.38, -0.92, -0.06, 2.56, 1.16, 2.26
2023-12-24 19:26:36.958,14,-0.37, -0.91, -0.04, 4.76, 1.83, 1.59
2023-12-24 19:26:36.958,15,-0.37, -0.89, -0.04, 5.43, 2.32, 1.34
2023-12-24 19:26:36.959,16,-0.38, -0.88, -0.04, 5.00, 3.48, 1.10
2023-12-24 19:26:36.960,17,-0.38, -0.89, -0.03, 4.39, 5.68, 0.61
2023-12-24 19:26:36.961,18,-0.38, -0.89, -0.04, 2.62, 7.57, 0.67
2023-12-24 19:26:36.962,19,-0.39, -0.91, -0.05, 0.55, 9.03, 0.73
2023-12-24 19:26:36.963,20,-0.39, -0.93, -0.06, -0.18, 10.56, 0.73
2023-12-24 19:26:36.963,21,-0.39, -0.95, -0.07, -0.06, 11.05, 0.55
2023-12-24 19:26:36.964,22,-0.39, -0.95, -0.07, 1.16, 11.47, 0.67
2023-12-24 19:26:36.965,23,-0.39, -0.95, -0.08, 2.08, 11.54, 0.85
2023-12-24 19:26:36.967,24,-0.39, -0.94, -0.09, 4.03, 11.23, 1.28
2023-12-24 19:26:36.967,25,-0.38, -0.92, -0.09, 5.62, 10.68, 1.34
2023-12-24 19:26:36.970,26,-0.39, -0.91, -0.09, 6.53, 10.19, 0.92
2023-12-24 19:26:36.970,27,-0.39, -0.91, -0.09, 6.29, 9.52, 0.37
2023-12-24 19:26:36.971,28,-0.38, -0.90, -0.07, 4.82, 8.61, -0.12
2023-12-24 19:26:36.972,29,-0.38, -0.91, -0.07, 3.11, 8.18, -0.31
2023-12-24 19:26:36.973,30,-0.38, -0.91, -0.07, 1.65, 8.06, -0.92
2023-12-24 19:26:36.973,31,-0.38, -0.92, -0.07, 1.10, 8.12, -1.34
2023-12-24 19:26:36.974,32,-0.38, -0.93, -0.07, 0.24, 8.42, -1.77
2023-12-24 19:26:36.975,33,-0.38, -0.94, -0.07, -0.24, 8.97, -1.65
2023-12-24 19:26:36.975,34,-0.38, -0.93, -0.08, -0.18, 9.03, -1.22
2023-12-24 19:26:36.976,35,-0.38, -0.93, -0.08, 0.31, 8.48, -0.79
2023-12-24 19:26:36.977,36,-0.38, -0.93, -0.08, 1.10, 7.57, -0.18
2023-12-24 19:26:36.977,37,-0.38, -0.93, -0.08, 1.95, 6.84, 0.43
2023-12-24 19:26:36.978,38,-0.38, -0.93, -0.07, 2.75, 6.35, 0.55
2023-12-24 19:26:36.979,39,-0.38, -0.93, -0.08, 3.11, 6.16, 0.49
2023-12-24 19:26:36.979,40,-0.38, -0.93, -0.08, 3.36, 6.10, 0.55
