Timestamp (Unix),ax,ay,az,gx,gy,gz 
2023-12-24 18:52:00.276,0.65, -0.55, 0.51, -0.92, 1.34, 0.67
2023-12-24 18:52:00.285,0.66, -0.55, 0.51, -0.55, 0.85, 0.37
2023-12-24 18:52:00.289,0.66, -0.55, 0.52, 0.00, 0.00, 0.12
2023-12-24 18:52:00.292,0.66, -0.55, 0.52, -0.24, -0.85, 0.67
2023-12-24 18:52:00.294,0.66, -0.54, 0.52, -0.61, -1.16, 0.79
2023-12-24 18:52:00.297,0.66, -0.54, 0.52, -1.46, -1.28, 1.59
2023-12-24 18:52:00.299,0.66, -0.54, 0.51, -2.14, -0.61, 1.95
2023-12-24 18:52:00.302,0.65, -0.55, 0.52, -2.38, 0.79, 1.65
2023-12-24 18:52:00.304,0.65, -0.55, 0.52, -2.38, 1.71, 1.16
2023-12-24 18:52:00.306,0.65, -0.54, 0.51, -1.95, 2.01, 0.85
2023-12-24 18:52:00.308,0.64, -0.54, 0.52, -1.22, 1.65, 0.37
2023-12-24 18:52:00.309,0.65, -0.54, 0.52, -0.98, 0.61, -0.06
2023-12-24 18:52:00.311,0.65, -0.55, 0.52, -1.04, 0.00, 0.12
2023-12-24 18:52:00.312,0.65, -0.54, 0.53, -1.16, -0.61, 0.24
2023-12-24 18:52:00.313,0.66, -0.54, 0.53, -1.71, -0.79, 0.49
2023-12-24 18:52:00.319,0.67, -0.55, 0.53, -1.95, 0.24, 0.24
2023-12-24 18:52:00.320,0.66, -0.54, 0.52, -2.50, 1.10, 0.67
2023-12-24 18:52:00.321,0.65, -0.54, 0.51, -2.56, 1.71, 0.92
2023-12-24 18:52:00.322,0.65, -0.54, 0.51, -2.50, 1.83, 1.34
2023-12-24 18:52:00.322,0.64, -0.54, 0.51, -2.69, 1.65, 1.59
2023-12-24 18:52:00.323,0.64, -0.54, 0.51, -2.75, 1.34, 1.77
2023-12-24 18:52:00.323,0.63, -0.54, 0.50, -2.87, 0.79, 1.89
2023-12-24 18:52:00.324,0.63, -0.55, 0.49, -1.95, 1.22, 1.04
2023-12-24 18:52:00.325,0.63, -0.55, 0.49, -0.85, 1.46, 0.24
