timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
0,-8.44,-1.00,-1.23,104.68,17.21,-10.19
10,-8.44,-1.00,-1.23,104.68,17.21,-10.19
20,-8.44,-1.00,-1.23,104.68,17.21,-10.19
30,-8.44,-1.00,-1.23,104.68,17.21,-10.19
40,-8.44,-1.00,-1.23,104.68,17.21,-10.19
50,-8.44,-1.00,-1.23,104.68,17.21,-10.19
60,-8.44,-1.00,-1.23,104.68,17.21,-10.19
70,-8.44,-1.00,-1.23,104.68,17.21,-10.19
80,-8.44,-1.00,-1.23,104.68,17.21,-10.19
90,-8.44,-1.00,-1.23,104.68,17.21,-10.19
100,-8.44,-1.00,-1.23,104.68,17.21,-10.19
110,-8.44,-1.00,-1.23,104.68,17.21,-10.19
120,-8.44,-1.00,-1.23,104.68,17.21,-10.19
130,-8.44,-1.00,-1.23,104.68,17.21,-10.19
140,-8.44,-1.00,-1.23,104.68,17.21,-10.19
150,-8.44,-1.00,-1.23,104.68,17.21,-10.19
160,-8.44,-1.00,-1.23,104.68,17.21,-10.19
170,-8.44,-1.00,-1.23,104.68,17.21,-10.19
180,-8.44,-1.00,-1.23,104.68,17.21,-10.19
190,-8.44,-1.00,-1.23,104.68,17.21,-10.19
200,-8.44,-1.00,-1.23,104.68,17.21,-10.19
210,-8.44,-1.00,-1.23,104.68,17.21,-10.19
220,-8.44,-1.00,-1.23,104.68,17.21,-10.19
230,-8.44,-1.00,-1.23,104.68,17.21,-10.19
240,-8.44,-1.00,-1.23,104.68,17.21,-10.19
250,-8.44,-1.00,-1.23,104.68,17.21,-10.19
260,-8.44,-1.00,-1.23,104.68,17.21,-10.19
270,-8.44,-1.00,-1.23,104.68,17.21,-10.19
280,-8.44,-1.00,-1.23,104.68,17.21,-10.19
290,-8.44,-1.00,-1.23,104.68,17.21,-10.19
300,-8.44,-1.00,-1.23,104.68,17.21,-10.19
310,-8.44,-1.00,-1.23,104.68,17.21,-10.19
320,-8.44,-1.00,-1.23,104.68,17.21,-10.19
330,-8.44,-1.00,-1.23,104.68,17.21,-10.19
340,-8.44,-1.00,-1.23,104.68,17.21,-10.19
350,-8.44,-1.00,-1.23,104.68,17.21,-10.19
360,-8.44,-1.00,-1.23,104.68,17.21,-10.19
370,-8.44,-1.00,-1.23,104.68,17.21,-10.19
380,-8.44,-1.00,-1.23,104.68,17.21,-10.19
391,-8.44,-1.00,-1.23,104.68,17.21,-10.19
401,-8.44,-1.00,-1.23,104.68,17.21,-10.19
411,-8.44,-1.00,-1.23,104.68,17.21,-10.19
421,-8.44,-1.00,-1.23,104.68,17.21,-10.19
431,-8.44,-1.00,-1.23,104.68,17.21,-10.19
441,-8.44,-1.00,-1.23,104.68,17.21,-10.19
451,-8.44,-1.00,-1.23,104.68,17.21,-10.19
461,-8.44,-1.00,-1.23,104.68,17.21,-10.19
471,-8.44,-1.00,-1.23,104.68,17.21,-10.19
481,-8.44,-1.00,-1.23,104.68,17.21,-10.19
491,-8.44,-1.00,-1.23,104.68,17.21,-10.19
501,-8.44,-1.00,-1.23,104.68,17.21,-10.19
511,-8.44,-1.00,-1.23,104.68,17.21,-10.19
521,-8.44,-1.00,-1.23,104.68,17.21,-10.19
531,-8.44,-1.00,-1.23,104.68,17.21,-10.19
541,-8.44,-1.00,-1.23,104.68,17.21,-10.19
551,-8.44,-1.00,-1.23,104.68,17.21,-10.19
561,-8.44,-1.00,-1.23,104.68,17.21,-10.19
571,-8.44,-1.00,-1.23,104.68,17.21,-10.19
581,-8.44,-1.00,-1.23,104.68,17.21,-10.19
591,-8.44,-1.00,-1.23,104.68,17.21,-10.19
601,-8.44,-1.00,-1.23,104.68,17.21,-10.19
611,-8.44,-1.00,-1.23,104.68,17.21,-10.19
621,-8.44,-1.00,-1.23,104.68,17.21,-10.19
631,-8.44,-1.00,-1.23,104.68,17.21,-10.19
641,-8.44,-1.00,-1.23,104.68,17.21,-10.19
651,-8.44,-1.00,-1.23,104.68,17.21,-10.19
661,-8.44,-1.00,-1.23,104.68,17.21,-10.19
671,-8.44,-1.00,-1.23,104.68,17.21,-10.19
681,-8.44,-1.00,-1.23,104.68,17.21,-10.19
691,-8.44,-1.00,-1.23,104.68,17.21,-10.19
701,-8.44,-1.00,-1.23,104.68,17.21,-10.19
711,-8.44,-1.00,-1.23,104.68,17.21,-10.19
721,-8.44,-1.00,-1.23,104.68,17.21,-10.19
732,-8.44,-1.00,-1.23,104.68,17.21,-10.19
742,-8.44,-1.00,-1.23,104.68,17.21,-10.19
752,-8.44,-1.00,-1.23,104.68,17.21,-10.19
762,-8.44,-1.00,-1.23,104.68,17.21,-10.19
772,-8.44,-1.00,-1.23,104.68,17.21,-10.19
782,-8.44,-1.00,-1.23,104.68,17.21,-10.19
792,-8.44,-1.00,-1.23,104.68,17.21,-10.19
802,-8.44,-1.00,-1.23,104.68,17.21,-10.19
812,-8.44,-1.00,-1.23,104.68,17.21,-10.19
822,-8.44,-1.00,-1.23,104.68,17.21,-10.19
832,-8.44,-1.00,-1.23,104.68,17.21,-10.19
842,-8.44,-1.00,-1.23,104.68,17.21,-10.19
852,-8.44,-1.00,-1.23,104.68,17.21,-10.19
862,-8.44,-1.00,-1.23,104.68,17.21,-10.19
872,-8.44,-1.00,-1.23,104.68,17.21,-10.19
882,-8.44,-1.00,-1.23,104.68,17.21,-10.19
892,-8.44,-1.00,-1.23,104.68,17.21,-10.19
903,-8.44,-1.00,-1.23,104.68,17.21,-10.19
913,-8.44,-1.00,-1.23,104.68,17.21,-10.19
923,-8.44,-1.00,-1.23,104.68,17.21,-10.19
933,-8.44,-1.00,-1.23,104.68,17.21,-10.19
943,-8.44,-1.00,-1.23,104.68,17.21,-10.19
953,-8.44,-1.00,-1.23,104.68,17.21,-10.19
963,-8.44,-1.00,-1.23,104.68,17.21,-10.19
973,-8.44,-1.00,-1.23,104.68,17.21,-10.19
983,-8.44,-1.00,-1.23,104.68,17.21,-10.19
993,-8.44,-1.00,-1.23,104.68,17.21,-10.19
1003,-8.44,-1.00,-1.23,104.68,17.21,-10.19
1013,-8.44,-1.00,-1.23,104.68,17.21,-10.19
1023,-8.44,-1.00,-1.23,104.68,17.21,-10.19
1033,-8.44,-1.00,-1.23,104.68,17.21,-10.19
1043,-8.44,-1.00,-1.23,104.68,17.21,-10.19
1053,-8.44,-1.00,-1.23,104.68,17.21,-10.19
1063,-8.44,-1.00,-1.23,104.68,17.21,-10.19
1073,-8.44,-1.00,-1.23,104.68,17.21,-10.19
1083,-8.44,-1.00,-1.23,104.68,17.21,-10.19
1093,-8.44,-1.00,-1.23,104.68,17.21,-10.19
1103,-8.44,-1.00,-1.23,104.68,17.21,-10.19
1113,-8.44,-1.00,-1.23,104.68,17.21,-10.19
