timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
0,-7.90,-0.60,-12.36,79.96,-12.45,-19.53
10,-7.90,-0.60,-12.36,79.96,-12.45,-19.53
20,-7.90,-0.60,-12.36,79.96,-12.45,-19.53
30,-7.90,-0.60,-12.36,79.96,-12.45,-19.53
40,-7.90,-0.60,-12.36,79.96,-12.45,-19.53
50,-7.90,-0.60,-12.36,79.96,-12.45,-19.53
60,-7.90,-0.60,-12.36,79.96,-12.45,-19.53
70,-7.90,-0.60,-12.36,79.96,-12.45,-19.53
80,-7.90,-0.60,-12.36,79.96,-12.45,-19.53
90,-7.90,-0.60,-12.36,79.96,-12.45,-19.53
100,-7.90,-0.60,-12.36,79.96,-12.45,-19.53
110,-7.90,-0.60,-12.36,79.96,-12.45,-19.53
120,-7.90,-0.60,-12.36,79.96,-12.45,-19.53
130,-7.90,-0.60,-12.36,79.96,-12.45,-19.53
140,-7.90,-0.60,-12.36,79.96,-12.45,-19.53
150,-7.90,-0.60,-12.36,79.96,-12.45,-19.53
160,-7.90,-0.60,-12.36,79.96,-12.45,-19.53
170,-7.90,-0.60,-12.36,79.96,-12.45,-19.53
180,-7.90,-0.60,-12.36,79.96,-12.45,-19.53
190,-7.90,-0.60,-12.36,79.96,-12.45,-19.53
200,-7.90,-0.60,-12.36,79.96,-12.45,-19.53
210,-7.90,-0.60,-12.36,79.96,-12.45,-19.53
220,-7.90,-0.60,-12.36,79.96,-12.45,-19.53
230,-7.90,-0.60,-12.36,79.96,-12.45,-19.53
240,-7.90,-0.60,-12.36,79.96,-12.45,-19.53
250,-7.90,-0.60,-12.36,79.96,-12.45,-19.53
260,-7.90,-0.60,-12.36,79.96,-12.45,-19.53
270,-7.90,-0.60,-12.36,79.96,-12.45,-19.53
280,-7.90,-0.60,-12.36,79.96,-12.45,-19.53
290,-7.90,-0.60,-12.36,79.96,-12.45,-19.53
300,-7.90,-0.60,-12.36,79.96,-12.45,-19.53
310,-7.90,-0.60,-12.36,79.96,-12.45,-19.53
320,-7.90,-0.60,-12.36,79.96,-12.45,-19.53
330,-7.90,-0.60,-12.36,79.96,-12.45,-19.53
340,-7.90,-0.60,-12.36,79.96,-12.45,-19.53
350,-7.90,-0.60,-12.36,79.96,-12.45,-19.53
360,-7.90,-0.60,-12.36,79.96,-12.45,-19.53
370,-7.90,-0.60,-12.36,79.96,-12.45,-19.53
380,-7.90,-0.60,-12.36,79.96,-12.45,-19.53
390,-7.90,-0.60,-12.36,79.96,-12.45,-19.53
400,-7.90,-0.60,-12.36,79.96,-12.45,-19.53
410,-7.90,-0.60,-12.36,79.96,-12.45,-19.53
420,-7.90,-0.60,-12.36,79.96,-12.45,-19.53
430,-7.90,-0.60,-12.36,79.96,-12.45,-19.53
440,-7.90,-0.60,-12.36,79.96,-12.45,-19.53
450,-7.90,-0.60,-12.36,79.96,-12.45,-19.53
460,-7.90,-0.60,-12.36,79.96,-12.45,-19.53
470,-7.90,-0.60,-12.36,79.96,-12.45,-19.53
480,-7.90,-0.60,-12.36,79.96,-12.45,-19.53
490,-7.90,-0.60,-12.36,79.96,-12.45,-19.53
500,-7.90,-0.60,-12.36,79.96,-12.45,-19.53
510,-7.90,-0.60,-12.36,79.96,-12.45,-19.53
520,-7.90,-0.60,-12.36,79.96,-12.45,-19.53
530,-7.90,-0.60,-12.36,79.96,-12.45,-19.53
540,-7.90,-0.60,-12.36,79.96,-12.45,-19.53
550,-7.90,-0.60,-12.36,79.96,-12.45,-19.53
560,-7.90,-0.60,-12.36,79.96,-12.45,-19.53
570,-7.90,-0.60,-12.36,79.96,-12.45,-19.53
580,-7.90,-0.60,-12.36,79.96,-12.45,-19.53
590,-7.90,-0.60,-12.36,79.96,-12.45,-19.53
