timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
0,-7.90,-0.60,-12.36,79.96,-12.45,-19.53
10,-7.90,-0.60,-12.36,79.96,-12.45,-19.53
20,-7.90,-0.60,-12.36,79.96,-12.45,-19.53
30,-7.90,-0.60,-12.36,79.96,-12.45,-19.53
40,-7.90,-0.60,-12.36,79.96,-12.45,-19.53
50,-7.90,-0.60,-12.36,79.96,-12.45,-19.53
60,-7.90,-0.60,-12.36,79.96,-12.45,-19.53
70,-7.90,-0.60,-12.36,79.96,-12.45,-19.53
81,-7.90,-0.60,-12.36,79.96,-12.45,-19.53
91,-7.90,-0.60,-12.36,79.96,-12.45,-19.53
101,-7.90,-0.60,-12.36,79.96,-12.45,-19.53
111,-7.90,-0.60,-12.36,79.96,-12.45,-19.53
121,-7.90,-0.60,-12.36,79.96,-12.45,-19.53
131,-7.90,-0.60,-12.36,79.96,-12.45,-19.53
141,-7.90,-0.60,-12.36,79.96,-12.45,-19.53
151,-7.90,-0.60,-12.36,79.96,-12.45,-19.53
161,-7.90,-0.60,-12.36,79.96,-12.45,-19.53
171,-7.90,-0.60,-12.36,79.96,-12.45,-19.53
181,-7.90,-0.60,-12.36,79.96,-12.45,-19.53
191,-7.90,-0.60,-12.36,79.96,-12.45,-19.53
201,-7.90,-0.60,-12.36,79.96,-12.45,-19.53
211,-7.90,-0.60,-12.36,79.96,-12.45,-19.53
221,-7.90,-0.60,-12.36,79.96,-12.45,-19.53
231,-7.90,-0.60,-12.36,79.96,-12.45,-19.53
241,-7.90,-0.60,-12.36,79.96,-12.45,-19.53
252,-7.90,-0.60,-12.36,79.96,-12.45,-19.53
262,-7.90,-0.60,-12.36,79.96,-12.45,-19.53
272,-7.90,-0.60,-12.36,79.96,-12.45,-19.53
282,-7.90,-0.60,-12.36,79.96,-12.45,-19.53
292,-7.90,-0.60,-12.36,79.96,-12.45,-19.53
302,-7.90,-0.60,-12.36,79.96,-12.45,-19.53
312,-7.90,-0.60,-12.36,79.96,-12.45,-19.53
322,-7.90,-0.60,-12.36,79.96,-12.45,-19.53
332,-7.90,-0.60,-12.36,79.96,-12.45,-19.53
342,-7.90,-0.60,-12.36,79.96,-12.45,-19.53
352,-7.90,-0.60,-12.36,79.96,-12.45,-19.53
362,-7.90,-0.60,-12.36,79.96,-12.45,-19.53
372,-7.90,-0.60,-12.36,79.96,-12.45,-19.53
382,-7.90,-0.60,-12.36,79.96,-12.45,-19.53
392,-7.90,-0.60,-12.36,79.96,-12.45,-19.53
402,-7.90,-0.60,-12.36,79.96,-12.45,-19.53
412,-7.90,-0.60,-12.36,79.96,-12.45,-19.53
422,-7.90,-0.60,-12.36,79.96,-12.45,-19.53
432,-7.90,-0.60,-12.36,79.96,-12.45,-19.53
442,-7.90,-0.60,-12.36,79.96,-12.45,-19.53
452,-7.90,-0.60,-12.36,79.96,-12.45,-19.53
462,-7.90,-0.60,-12.36,79.96,-12.45,-19.53
472,-7.90,-0.60,-12.36,79.96,-12.45,-19.53
482,-7.90,-0.60,-12.36,79.96,-12.45,-19.53
492,-7.90,-0.60,-12.36,79.96,-12.45,-19.53
502,-7.90,-0.60,-12.36,79.96,-12.45,-19.53
512,-7.90,-0.60,-12.36,79.96,-12.45,-19.53
522,-7.90,-0.60,-12.36,79.96,-12.45,-19.53
532,-7.90,-0.60,-12.36,79.96,-12.45,-19.53
542,-7.90,-0.60,-12.36,79.96,-12.45,-19.53
552,-7.90,-0.60,-12.36,79.96,-12.45,-19.53
562,-7.90,-0.60,-12.36,79.96,-12.45,-19.53
572,-7.90,-0.60,-12.36,79.96,-12.45,-19.53
582,-7.90,-0.60,-12.36,79.96,-12.45,-19.53
593,-7.90,-0.60,-12.36,79.96,-12.45,-19.53
