timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
0,-7.90,-0.60,-12.36,79.96,-12.45,-19.53
10,-7.90,-0.60,-12.36,79.96,-12.45,-19.53
20,-7.90,-0.60,-12.36,79.96,-12.45,-19.53
30,-7.90,-0.60,-12.36,79.96,-12.45,-19.53
40,-7.90,-0.60,-12.36,79.96,-12.45,-19.53
50,-7.90,-0.60,-12.36,79.96,-12.45,-19.53
60,-7.90,-0.60,-12.36,79.96,-12.45,-19.53
70,-7.90,-0.60,-12.36,79.96,-12.45,-19.53
80,-7.90,-0.60,-12.36,79.96,-12.45,-19.53
90,-7.90,-0.60,-12.36,79.96,-12.45,-19.53
100,-7.90,-0.60,-12.36,79.96,-12.45,-19.53
110,-7.90,-0.60,-12.36,79.96,-12.45,-19.53
120,-7.90,-0.60,-12.36,79.96,-12.45,-19.53
130,-7.90,-0.60,-12.36,79.96,-12.45,-19.53
140,-7.90,-0.60,-12.36,79.96,-12.45,-19.53
150,-7.90,-0.60,-12.36,79.96,-12.45,-19.53
160,-7.90,-0.60,-12.36,79.96,-12.45,-19.53
170,-7.90,-0.60,-12.36,79.96,-12.45,-19.53
180,-7.90,-0.60,-12.36,79.96,-12.45,-19.53
190,-7.90,-0.60,-12.36,79.96,-12.45,-19.53
200,-7.90,-0.60,-12.36,79.96,-12.45,-19.53
210,-7.90,-0.60,-12.36,79.96,-12.45,-19.53
220,-7.90,-0.60,-12.36,79.96,-12.45,-19.53
230,-7.90,-0.60,-12.36,79.96,-12.45,-19.53
240,-7.90,-0.60,-12.36,79.96,-12.45,-19.53
250,-7.90,-0.60,-12.36,79.96,-12.45,-19.53
260,-7.90,-0.60,-12.36,79.96,-12.45,-19.53
270,-7.90,-0.60,-12.36,79.96,-12.45,-19.53
280,-7.90,-0.60,-12.36,79.96,-12.45,-19.53
290,-7.90,-0.60,-12.36,79.96,-12.45,-19.53
300,-7.90,-0.60,-12.36,79.96,-12.45,-19.53
310,-7.90,-0.60,-12.36,79.96,-12.45,-19.53
320,-7.90,-0.60,-12.36,79.96,-12.45,-19.53
330,-7.90,-0.60,-12.36,79.96,-12.45,-19.53
340,-7.90,-0.60,-12.36,79.96,-12.45,-19.53
351,-7.90,-0.60,-12.36,79.96,-12.45,-19.53
361,-7.90,-0.60,-12.36,79.96,-12.45,-19.53
371,-7.90,-0.60,-12.36,79.96,-12.45,-19.53
381,-7.90,-0.60,-12.36,79.96,-12.45,-19.53
391,-7.90,-0.60,-12.36,79.96,-12.45,-19.53
401,-7.90,-0.60,-12.36,79.96,-12.45,-19.53
411,-7.90,-0.60,-12.36,79.96,-12.45,-19.53
421,-7.90,-0.60,-12.36,79.96,-12.45,-19.53
431,-7.90,-0.60,-12.36,79.96,-12.45,-19.53
441,-7.90,-0.60,-12.36,79.96,-12.45,-19.53
451,-7.90,-0.60,-12.36,79.96,-12.45,-19.53
461,-7.90,-0.60,-12.36,79.96,-12.45,-19.53
471,-7.90,-0.60,-12.36,79.96,-12.45,-19.53
481,-7.90,-0.60,-12.36,79.96,-12.45,-19.53
491,-7.90,-0.60,-12.36,79.96,-12.45,-19.53
501,-7.90,-0.60,-12.36,79.96,-12.45,-19.53
511,-7.90,-0.60,-12.36,79.96,-12.45,-19.53
521,-7.90,-0.60,-12.36,79.96,-12.45,-19.53
531,-7.90,-0.60,-12.36,79.96,-12.45,-19.53
541,-7.90,-0.60,-12.36,79.96,-12.45,-19.53
551,-7.90,-0.60,-12.36,79.96,-12.45,-19.53
561,-7.90,-0.60,-12.36,79.96,-12.45,-19.53
571,-7.90,-0.60,-12.36,79.96,-12.45,-19.53
581,-7.90,-0.60,-12.36,79.96,-12.45,-19.53
591,-7.90,-0.60,-12.36,79.96,-12.45,-19.53
