timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
0,-8.44,-1.00,-1.23,104.68,17.21,-10.19
10,-8.44,-1.00,-1.23,104.68,17.21,-10.19
20,-8.44,-1.00,-1.23,104.68,17.21,-10.19
30,-8.44,-1.00,-1.23,104.68,17.21,-10.19
40,-8.44,-1.00,-1.23,104.68,17.21,-10.19
50,-8.44,-1.00,-1.23,104.68,17.21,-10.19
60,-8.44,-1.00,-1.23,104.68,17.21,-10.19
70,-8.44,-1.00,-1.23,104.68,17.21,-10.19
80,-8.44,-1.00,-1.23,104.68,17.21,-10.19
90,-8.44,-1.00,-1.23,104.68,17.21,-10.19
100,-8.44,-1.00,-1.23,104.68,17.21,-10.19
110,-8.44,-1.00,-1.23,104.68,17.21,-10.19
120,-8.44,-1.00,-1.23,104.68,17.21,-10.19
130,-8.44,-1.00,-1.23,104.68,17.21,-10.19
140,-8.44,-1.00,-1.23,104.68,17.21,-10.19
150,-8.44,-1.00,-1.23,104.68,17.21,-10.19
160,-8.44,-1.00,-1.23,104.68,17.21,-10.19
170,-8.44,-1.00,-1.23,104.68,17.21,-10.19
180,-8.44,-1.00,-1.23,104.68,17.21,-10.19
190,-8.44,-1.00,-1.23,104.68,17.21,-10.19
200,-8.44,-1.00,-1.23,104.68,17.21,-10.19
210,-8.44,-1.00,-1.23,104.68,17.21,-10.19
220,-8.44,-1.00,-1.23,104.68,17.21,-10.19
230,-8.44,-1.00,-1.23,104.68,17.21,-10.19
240,-8.44,-1.00,-1.23,104.68,17.21,-10.19
250,-8.44,-1.00,-1.23,104.68,17.21,-10.19
260,-8.44,-1.00,-1.23,104.68,17.21,-10.19
270,-8.44,-1.00,-1.23,104.68,17.21,-10.19
280,-8.44,-1.00,-1.23,104.68,17.21,-10.19
290,-8.44,-1.00,-1.23,104.68,17.21,-10.19
300,-8.44,-1.00,-1.23,104.68,17.21,-10.19
310,-8.44,-1.00,-1.23,104.68,17.21,-10.19
320,-8.44,-1.00,-1.23,104.68,17.21,-10.19
330,-8.44,-1.00,-1.23,104.68,17.21,-10.19
340,-8.44,-1.00,-1.23,104.68,17.21,-10.19
350,-8.44,-1.00,-1.23,104.68,17.21,-10.19
360,-8.44,-1.00,-1.23,104.68,17.21,-10.19
370,-8.44,-1.00,-1.23,104.68,17.21,-10.19
380,-8.44,-1.00,-1.23,104.68,17.21,-10.19
390,-8.44,-1.00,-1.23,104.68,17.21,-10.19
400,-8.44,-1.00,-1.23,104.68,17.21,-10.19
410,-8.44,-1.00,-1.23,104.68,17.21,-10.19
420,-8.44,-1.00,-1.23,104.68,17.21,-10.19
430,-8.44,-1.00,-1.23,104.68,17.21,-10.19
440,-8.44,-1.00,-1.23,104.68,17.21,-10.19
450,-8.44,-1.00,-1.23,104.68,17.21,-10.19
460,-8.44,-1.00,-1.23,104.68,17.21,-10.19
470,-8.44,-1.00,-1.23,104.68,17.21,-10.19
480,-8.44,-1.00,-1.23,104.68,17.21,-10.19
490,-8.44,-1.00,-1.23,104.68,17.21,-10.19
500,-8.44,-1.00,-1.23,104.68,17.21,-10.19
510,-8.44,-1.00,-1.23,104.68,17.21,-10.19
520,-8.44,-1.00,-1.23,104.68,17.21,-10.19
530,-8.44,-1.00,-1.23,104.68,17.21,-10.19
540,-8.44,-1.00,-1.23,104.68,17.21,-10.19
550,-8.44,-1.00,-1.23,104.68,17.21,-10.19
560,-8.44,-1.00,-1.23,104.68,17.21,-10.19
570,-8.44,-1.00,-1.23,104.68,17.21,-10.19
580,-8.44,-1.00,-1.23,104.68,17.21,-10.19
590,-8.44,-1.00,-1.23,104.68,17.21,-10.19
600,-8.44,-1.00,-1.23,104.68,17.21,-10.19
610,-8.44,-1.00,-1.23,104.68,17.21,-10.19
621,-8.44,-1.00,-1.23,104.68,17.21,-10.19
631,-8.44,-1.00,-1.23,104.68,17.21,-10.19
641,-8.44,-1.00,-1.23,104.68,17.21,-10.19
651,-8.44,-1.00,-1.23,104.68,17.21,-10.19
661,-8.44,-1.00,-1.23,104.68,17.21,-10.19
671,-8.44,-1.00,-1.23,104.68,17.21,-10.19
681,-8.44,-1.00,-1.23,104.68,17.21,-10.19
691,-8.44,-1.00,-1.23,104.68,17.21,-10.19
701,-8.44,-1.00,-1.23,104.68,17.21,-10.19
711,-8.44,-1.00,-1.23,104.68,17.21,-10.19
721,-8.44,-1.00,-1.23,104.68,17.21,-10.19
731,-8.44,-1.00,-1.23,104.68,17.21,-10.19
741,-8.44,-1.00,-1.23,104.68,17.21,-10.19
751,-8.44,-1.00,-1.23,104.68,17.21,-10.19
761,-8.44,-1.00,-1.23,104.68,17.21,-10.19
771,-8.44,-1.00,-1.23,104.68,17.21,-10.19
781,-8.44,-1.00,-1.23,104.68,17.21,-10.19
792,-8.44,-1.00,-1.23,104.68,17.21,-10.19
802,-8.44,-1.00,-1.23,104.68,17.21,-10.19
812,-8.44,-1.00,-1.23,104.68,17.21,-10.19
822,-8.44,-1.00,-1.23,104.68,17.21,-10.19
832,-8.44,-1.00,-1.23,104.68,17.21,-10.19
842,-8.44,-1.00,-1.23,104.68,17.21,-10.19
852,-8.44,-1.00,-1.23,104.68,17.21,-10.19
862,-8.44,-1.00,-1.23,104.68,17.21,-10.19
872,-8.44,-1.00,-1.23,104.68,17.21,-10.19
882,-8.44,-1.00,-1.23,104.68,17.21,-10.19
892,-8.44,-1.00,-1.23,104.68,17.21,-10.19
902,-8.44,-1.00,-1.23,104.68,17.21,-10.19
912,-8.44,-1.00,-1.23,104.68,17.21,-10.19
922,-8.44,-1.00,-1.23,104.68,17.21,-10.19
932,-8.44,-1.00,-1.23,104.68,17.21,-10.19
942,-8.44,-1.00,-1.23,104.68,17.21,-10.19
952,-8.44,-1.00,-1.23,104.68,17.21,-10.19
962,-8.44,-1.00,-1.23,104.68,17.21,-10.19
972,-8.44,-1.00,-1.23,104.68,17.21,-10.19
982,-8.44,-1.00,-1.23,104.68,17.21,-10.19
992,-8.44,-1.00,-1.23,104.68,17.21,-10.19
1002,-8.44,-1.00,-1.23,104.68,17.21,-10.19
1012,-8.44,-1.00,-1.23,104.68,17.21,-10.19
1022,-8.44,-1.00,-1.23,104.68,17.21,-10.19
1032,-8.44,-1.00,-1.23,104.68,17.21,-10.19
1042,-8.44,-1.00,-1.23,104.68,17.21,-10.19
1052,-8.44,-1.00,-1.23,104.68,17.21,-10.19
1062,-8.44,-1.00,-1.23,104.68,17.21,-10.19
1072,-8.44,-1.00,-1.23,104.68,17.21,-10.19
1082,-8.44,-1.00,-1.23,104.68,17.21,-10.19
1092,-8.44,-1.00,-1.23,104.68,17.21,-10.19
1102,-8.44,-1.00,-1.23,104.68,17.21,-10.19
1112,-8.44,-1.00,-1.23,104.68,17.21,-10.19
