timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
0,-9.80,0.52,-0.95,-0.37,2.20,1.22
10,-9.80,0.52,-0.95,-0.37,2.20,1.22
20,-9.80,0.52,-0.95,-0.37,2.20,1.22
30,-9.80,0.52,-0.95,-0.37,2.20,1.22
40,-9.80,0.52,-0.95,-0.37,2.20,1.22
50,-9.80,0.52,-0.95,-0.37,2.20,1.22
60,-9.80,0.52,-0.95,-0.37,2.20,1.22
70,-9.80,0.52,-0.95,-0.37,2.20,1.22
80,-9.80,0.52,-0.95,-0.37,2.20,1.22
90,-9.80,0.52,-0.95,-0.37,2.20,1.22
100,-9.80,0.52,-0.95,-0.37,2.20,1.22
110,-9.80,0.52,-0.95,-0.37,2.20,1.22
120,-9.80,0.52,-0.95,-0.37,2.20,1.22
130,-9.80,0.52,-0.95,-0.37,2.20,1.22
140,-9.80,0.52,-0.95,-0.37,2.20,1.22
150,-9.80,0.52,-0.95,-0.37,2.20,1.22
160,-9.80,0.52,-0.95,-0.37,2.20,1.22
170,-9.80,0.52,-0.95,-0.37,2.20,1.22
180,-9.80,0.52,-0.95,-0.37,2.20,1.22
190,-9.80,0.52,-0.95,-0.37,2.20,1.22
200,-9.80,0.52,-0.95,-0.37,2.20,1.22
210,-9.80,0.52,-0.95,-0.37,2.20,1.22
220,-9.80,0.52,-0.95,-0.37,2.20,1.22
230,-9.80,0.52,-0.95,-0.37,2.20,1.22
240,-9.80,0.52,-0.95,-0.37,2.20,1.22
250,-9.80,0.52,-0.95,-0.37,2.20,1.22
260,-9.80,0.52,-0.95,-0.37,2.20,1.22
270,-9.80,0.52,-0.95,-0.37,2.20,1.22
280,-9.80,0.52,-0.95,-0.37,2.20,1.22
290,-9.80,0.52,-0.95,-0.37,2.20,1.22
301,-9.80,0.52,-0.95,-0.37,2.20,1.22
311,-9.80,0.52,-0.95,-0.37,2.20,1.22
321,-9.80,0.52,-0.95,-0.37,2.20,1.22
331,-9.80,0.52,-0.95,-0.37,2.20,1.22
341,-9.80,0.52,-0.95,-0.37,2.20,1.22
351,-9.80,0.52,-0.95,-0.37,2.20,1.22
361,-9.80,0.52,-0.95,-0.37,2.20,1.22
371,-9.80,0.52,-0.95,-0.37,2.20,1.22
381,-9.80,0.52,-0.95,-0.37,2.20,1.22
391,-9.80,0.52,-0.95,-0.37,2.20,1.22
401,-9.80,0.52,-0.95,-0.37,2.20,1.22
411,-9.80,0.52,-0.95,-0.37,2.20,1.22
421,-9.80,0.52,-0.95,-0.37,2.20,1.22
431,-9.80,0.52,-0.95,-0.37,2.20,1.22
441,-9.80,0.52,-0.95,-0.37,2.20,1.22
451,-9.80,0.52,-0.95,-0.37,2.20,1.22
461,-9.80,0.52,-0.95,-0.37,2.20,1.22
471,-9.80,0.52,-0.95,-0.37,2.20,1.22
481,-9.80,0.52,-0.95,-0.37,2.20,1.22
491,-9.80,0.52,-0.95,-0.37,2.20,1.22
501,-9.80,0.52,-0.95,-0.37,2.20,1.22
511,-9.80,0.52,-0.95,-0.37,2.20,1.22
521,-9.80,0.52,-0.95,-0.37,2.20,1.22
531,-9.80,0.52,-0.95,-0.37,2.20,1.22
541,-9.80,0.52,-0.95,-0.37,2.20,1.22
551,-9.80,0.52,-0.95,-0.37,2.20,1.22
561,-9.80,0.52,-0.95,-0.37,2.20,1.22
571,-9.80,0.52,-0.95,-0.37,2.20,1.22
581,-9.80,0.52,-0.95,-0.37,2.20,1.22
591,-9.80,0.52,-0.95,-0.37,2.20,1.22
601,-9.80,0.52,-0.95,-0.37,2.20,1.22
611,-9.80,0.52,-0.95,-0.37,2.20,1.22
621,-9.80,0.52,-0.95,-0.37,2.20,1.22
631,-9.80,0.52,-0.95,-0.37,2.20,1.22
642,-9.80,0.52,-0.95,-0.37,2.20,1.22
652,-9.80,0.52,-0.95,-0.37,2.20,1.22
662,-9.80,0.52,-0.95,-0.37,2.20,1.22
672,-9.80,0.52,-0.95,-0.37,2.20,1.22
682,-9.80,0.52,-0.95,-0.37,2.20,1.22
692,-9.80,0.52,-0.95,-0.37,2.20,1.22
702,-9.80,0.52,-0.95,-0.37,2.20,1.22
712,-9.80,0.52,-0.95,-0.37,2.20,1.22
722,-9.80,0.52,-0.95,-0.37,2.20,1.22
732,-9.80,0.52,-0.95,-0.37,2.20,1.22
742,-9.80,0.52,-0.95,-0.37,2.20,1.22
752,-9.80,0.52,-0.95,-0.37,2.20,1.22
762,-9.80,0.52,-0.95,-0.37,2.20,1.22
772,-9.80,0.52,-0.95,-0.37,2.20,1.22
782,-9.80,0.52,-0.95,-0.37,2.20,1.22
792,-9.80,0.52,-0.95,-0.37,2.20,1.22
802,-9.80,0.52,-0.95,-0.37,2.20,1.22
813,-9.80,0.52,-0.95,-0.37,2.20,1.22
823,-9.80,0.52,-0.95,-0.37,2.20,1.22
833,-9.80,0.52,-0.95,-0.37,2.20,1.22
843,-9.80,0.52,-0.95,-0.37,2.20,1.22
853,-9.80,0.52,-0.95,-0.37,2.20,1.22
863,-9.80,0.52,-0.95,-0.37,2.20,1.22
873,-9.80,0.52,-0.95,-0.37,2.20,1.22
883,-9.80,0.52,-0.95,-0.37,2.20,1.22
893,-9.80,0.52,-0.95,-0.37,2.20,1.22
903,-9.80,0.52,-0.95,-0.37,2.20,1.22
913,-9.80,0.52,-0.95,-0.37,2.20,1.22
923,-9.80,0.52,-0.95,-0.37,2.20,1.22
933,-9.80,0.52,-0.95,-0.37,2.20,1.22
943,-9.80,0.52,-0.95,-0.37,2.20,1.22
953,-9.80,0.52,-0.95,-0.37,2.20,1.22
963,-9.80,0.52,-0.95,-0.37,2.20,1.22
973,-9.80,0.52,-0.95,-0.37,2.20,1.22
983,-9.80,0.52,-0.95,-0.37,2.20,1.22
993,-9.80,0.52,-0.95,-0.37,2.20,1.22
