timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
0,-9.80,0.52,-0.95,-0.37,2.20,1.22
10,-9.80,0.52,-0.95,-0.37,2.20,1.22
20,-9.80,0.52,-0.95,-0.37,2.20,1.22
30,-9.80,0.52,-0.95,-0.37,2.20,1.22
40,-9.80,0.52,-0.95,-0.37,2.20,1.22
50,-9.80,0.52,-0.95,-0.37,2.20,1.22
60,-9.80,0.52,-0.95,-0.37,2.20,1.22
70,-9.80,0.52,-0.95,-0.37,2.20,1.22
80,-9.80,0.52,-0.95,-0.37,2.20,1.22
90,-9.80,0.52,-0.95,-0.37,2.20,1.22
100,-9.80,0.52,-0.95,-0.37,2.20,1.22
110,-9.80,0.52,-0.95,-0.37,2.20,1.22
120,-9.80,0.52,-0.95,-0.37,2.20,1.22
130,-9.80,0.52,-0.95,-0.37,2.20,1.22
140,-9.80,0.52,-0.95,-0.37,2.20,1.22
150,-9.80,0.52,-0.95,-0.37,2.20,1.22
160,-9.80,0.52,-0.95,-0.37,2.20,1.22
170,-9.80,0.52,-0.95,-0.37,2.20,1.22
180,-9.80,0.52,-0.95,-0.37,2.20,1.22
190,-9.80,0.52,-0.95,-0.37,2.20,1.22
200,-9.80,0.52,-0.95,-0.37,2.20,1.22
210,-9.80,0.52,-0.95,-0.37,2.20,1.22
220,-9.80,0.52,-0.95,-0.37,2.20,1.22
230,-9.80,0.52,-0.95,-0.37,2.20,1.22
240,-9.80,0.52,-0.95,-0.37,2.20,1.22
250,-9.80,0.52,-0.95,-0.37,2.20,1.22
260,-9.80,0.52,-0.95,-0.37,2.20,1.22
270,-9.80,0.52,-0.95,-0.37,2.20,1.22
280,-9.80,0.52,-0.95,-0.37,2.20,1.22
290,-9.80,0.52,-0.95,-0.37,2.20,1.22
300,-9.80,0.52,-0.95,-0.37,2.20,1.22
310,-9.80,0.52,-0.95,-0.37,2.20,1.22
320,-9.80,0.52,-0.95,-0.37,2.20,1.22
330,-9.80,0.52,-0.95,-0.37,2.20,1.22
340,-9.80,0.52,-0.95,-0.37,2.20,1.22
350,-9.80,0.52,-0.95,-0.37,2.20,1.22
360,-9.80,0.52,-0.95,-0.37,2.20,1.22
370,-9.80,0.52,-0.95,-0.37,2.20,1.22
380,-9.80,0.52,-0.95,-0.37,2.20,1.22
390,-9.80,0.52,-0.95,-0.37,2.20,1.22
400,-9.80,0.52,-0.95,-0.37,2.20,1.22
410,-9.80,0.52,-0.95,-0.37,2.20,1.22
420,-9.80,0.52,-0.95,-0.37,2.20,1.22
430,-9.80,0.52,-0.95,-0.37,2.20,1.22
440,-9.80,0.52,-0.95,-0.37,2.20,1.22
450,-9.80,0.52,-0.95,-0.37,2.20,1.22
460,-9.80,0.52,-0.95,-0.37,2.20,1.22
470,-9.80,0.52,-0.95,-0.37,2.20,1.22
480,-9.80,0.52,-0.95,-0.37,2.20,1.22
490,-9.80,0.52,-0.95,-0.37,2.20,1.22
500,-9.80,0.52,-0.95,-0.37,2.20,1.22
510,-9.80,0.52,-0.95,-0.37,2.20,1.22
520,-9.80,0.52,-0.95,-0.37,2.20,1.22
530,-9.80,0.52,-0.95,-0.37,2.20,1.22
540,-9.80,0.52,-0.95,-0.37,2.20,1.22
550,-9.80,0.52,-0.95,-0.37,2.20,1.22
560,-9.80,0.52,-0.95,-0.37,2.20,1.22
570,-9.80,0.52,-0.95,-0.37,2.20,1.22
580,-9.80,0.52,-0.95,-0.37,2.20,1.22
590,-9.80,0.52,-0.95,-0.37,2.20,1.22
600,-9.80,0.52,-0.95,-0.37,2.20,1.22
610,-9.80,0.52,-0.95,-0.37,2.20,1.22
620,-9.80,0.52,-0.95,-0.37,2.20,1.22
631,-9.80,0.52,-0.95,-0.37,2.20,1.22
641,-9.80,0.52,-0.95,-0.37,2.20,1.22
651,-9.80,0.52,-0.95,-0.37,2.20,1.22
661,-9.80,0.52,-0.95,-0.37,2.20,1.22
671,-9.80,0.52,-0.95,-0.37,2.20,1.22
681,-9.80,0.52,-0.95,-0.37,2.20,1.22
691,-9.80,0.52,-0.95,-0.37,2.20,1.22
701,-9.80,0.52,-0.95,-0.37,2.20,1.22
711,-9.80,0.52,-0.95,-0.37,2.20,1.22
721,-9.80,0.52,-0.95,-0.37,2.20,1.22
731,-9.80,0.52,-0.95,-0.37,2.20,1.22
741,-9.80,0.52,-0.95,-0.37,2.20,1.22
751,-9.80,0.52,-0.95,-0.37,2.20,1.22
761,-9.80,0.52,-0.95,-0.37,2.20,1.22
771,-9.80,0.52,-0.95,-0.37,2.20,1.22
781,-9.80,0.52,-0.95,-0.37,2.20,1.22
791,-9.80,0.52,-0.95,-0.37,2.20,1.22
802,-9.80,0.52,-0.95,-0.37,2.20,1.22
812,-9.80,0.52,-0.95,-0.37,2.20,1.22
822,-9.80,0.52,-0.95,-0.37,2.20,1.22
832,-9.80,0.52,-0.95,-0.37,2.20,1.22
842,-9.80,0.52,-0.95,-0.37,2.20,1.22
852,-9.80,0.52,-0.95,-0.37,2.20,1.22
862,-9.80,0.52,-0.95,-0.37,2.20,1.22
872,-9.80,0.52,-0.95,-0.37,2.20,1.22
882,-9.80,0.52,-0.95,-0.37,2.20,1.22
892,-9.80,0.52,-0.95,-0.37,2.20,1.22
902,-9.80,0.52,-0.95,-0.37,2.20,1.22
912,-9.80,0.52,-0.95,-0.37,2.20,1.22
922,-9.80,0.52,-0.95,-0.37,2.20,1.22
932,-9.80,0.52,-0.95,-0.37,2.20,1.22
942,-9.80,0.52,-0.95,-0.37,2.20,1.22
952,-9.80,0.52,-0.95,-0.37,2.20,1.22
962,-9.80,0.52,-0.95,-0.37,2.20,1.22
972,-9.80,0.52,-0.95,-0.37,2.20,1.22
982,-9.80,0.52,-0.95,-0.37,2.20,1.22
992,-9.80,0.52,-0.95,-0.37,2.20,1.22
