timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
0,-9.64,5.31,-1.10,3.05,-9.46,4.52
10,-9.64,5.31,-1.10,3.05,-9.46,4.52
20,-9.64,5.31,-1.10,3.05,-9.46,4.52
30,-9.64,5.31,-1.10,3.05,-9.46,4.52
40,-9.64,5.31,-1.10,3.05,-9.46,4.52
50,-9.64,5.31,-1.10,3.05,-9.46,4.52
60,-9.64,5.31,-1.10,3.05,-9.46,4.52
70,-9.64,5.31,-1.10,3.05,-9.46,4.52
80,-9.64,5.31,-1.10,3.05,-9.46,4.52
90,-9.64,5.31,-1.10,3.05,-9.46,4.52
100,-9.64,5.31,-1.10,3.05,-9.46,4.52
110,-9.64,5.31,-1.10,3.05,-9.46,4.52
120,-9.64,5.31,-1.10,3.05,-9.46,4.52
130,-9.64,5.31,-1.10,3.05,-9.46,4.52
140,-9.64,5.31,-1.10,3.05,-9.46,4.52
150,-9.64,5.31,-1.10,3.05,-9.46,4.52
160,-9.64,5.31,-1.10,3.05,-9.46,4.52
170,-9.64,5.31,-1.10,3.05,-9.46,4.52
180,-9.64,5.31,-1.10,3.05,-9.46,4.52
190,-9.64,5.31,-1.10,3.05,-9.46,4.52
200,-9.64,5.31,-1.10,3.05,-9.46,4.52
210,-9.64,5.31,-1.10,3.05,-9.46,4.52
220,-9.64,5.31,-1.10,3.05,-9.46,4.52
230,-9.64,5.31,-1.10,3.05,-9.46,4.52
240,-9.64,5.31,-1.10,3.05,-9.46,4.52
250,-9.64,5.31,-1.10,3.05,-9.46,4.52
260,-9.64,5.31,-1.10,3.05,-9.46,4.52
270,-9.64,5.31,-1.10,3.05,-9.46,4.52
280,-9.64,5.31,-1.10,3.05,-9.46,4.52
290,-9.64,5.31,-1.10,3.05,-9.46,4.52
300,-9.64,5.31,-1.10,3.05,-9.46,4.52
310,-9.64,5.31,-1.10,3.05,-9.46,4.52
320,-9.64,5.31,-1.10,3.05,-9.46,4.52
330,-9.64,5.31,-1.10,3.05,-9.46,4.52
340,-9.64,5.31,-1.10,3.05,-9.46,4.52
351,-9.64,5.31,-1.10,3.05,-9.46,4.52
361,-9.64,5.31,-1.10,3.05,-9.46,4.52
371,-9.64,5.31,-1.10,3.05,-9.46,4.52
381,-9.64,5.31,-1.10,3.05,-9.46,4.52
391,-9.64,5.31,-1.10,3.05,-9.46,4.52
401,-9.64,5.31,-1.10,3.05,-9.46,4.52
411,-9.64,5.31,-1.10,3.05,-9.46,4.52
421,-9.64,5.31,-1.10,3.05,-9.46,4.52
431,-9.64,5.31,-1.10,3.05,-9.46,4.52
441,-9.64,5.31,-1.10,3.05,-9.46,4.52
451,-9.64,5.31,-1.10,3.05,-9.46,4.52
461,-9.64,5.31,-1.10,3.05,-9.46,4.52
471,-9.64,5.31,-1.10,3.05,-9.46,4.52
481,-9.64,5.31,-1.10,3.05,-9.46,4.52
491,-9.64,5.31,-1.10,3.05,-9.46,4.52
501,-9.64,5.31,-1.10,3.05,-9.46,4.52
511,-9.64,5.31,-1.10,3.05,-9.46,4.52
521,-9.64,5.31,-1.10,3.05,-9.46,4.52
531,-9.64,5.31,-1.10,3.05,-9.46,4.52
541,-9.64,5.31,-1.10,3.05,-9.46,4.52
551,-9.64,5.31,-1.10,3.05,-9.46,4.52
561,-9.64,5.31,-1.10,3.05,-9.46,4.52
571,-9.64,5.31,-1.10,3.05,-9.46,4.52
581,-9.64,5.31,-1.10,3.05,-9.46,4.52
591,-9.64,5.31,-1.10,3.05,-9.46,4.52
601,-9.64,5.31,-1.10,3.05,-9.46,4.52
611,-9.64,5.31,-1.10,3.05,-9.46,4.52
621,-9.64,5.31,-1.10,3.05,-9.46,4.52
631,-9.64,5.31,-1.10,3.05,-9.46,4.52
641,-9.64,5.31,-1.10,3.05,-9.46,4.52
651,-9.64,5.31,-1.10,3.05,-9.46,4.52
661,-9.64,5.31,-1.10,3.05,-9.46,4.52
671,-9.64,5.31,-1.10,3.05,-9.46,4.52
681,-9.64,5.31,-1.10,3.05,-9.46,4.52
692,-9.64,5.31,-1.10,3.05,-9.46,4.52
702,-9.64,5.31,-1.10,3.05,-9.46,4.52
712,-9.64,5.31,-1.10,3.05,-9.46,4.52
722,-9.64,5.31,-1.10,3.05,-9.46,4.52
732,-9.64,5.31,-1.10,3.05,-9.46,4.52
742,-9.64,5.31,-1.10,3.05,-9.46,4.52
752,-9.64,5.31,-1.10,3.05,-9.46,4.52
762,-9.64,5.31,-1.10,3.05,-9.46,4.52
772,-9.64,5.31,-1.10,3.05,-9.46,4.52
782,-9.64,5.31,-1.10,3.05,-9.46,4.52
792,-9.64,5.31,-1.10,3.05,-9.46,4.52
802,-9.64,5.31,-1.10,3.05,-9.46,4.52
812,-9.64,5.31,-1.10,3.05,-9.46,4.52
822,-9.64,5.31,-1.10,3.05,-9.46,4.52
832,-9.64,5.31,-1.10,3.05,-9.46,4.52
842,-9.64,5.31,-1.10,3.05,-9.46,4.52
852,-9.64,5.31,-1.10,3.05,-9.46,4.52
863,-9.64,5.31,-1.10,3.05,-9.46,4.52
873,-9.64,5.31,-1.10,3.05,-9.46,4.52
883,-9.64,5.31,-1.10,3.05,-9.46,4.52
893,-9.64,5.31,-1.10,3.05,-9.46,4.52
903,-9.64,5.31,-1.10,3.05,-9.46,4.52
913,-9.64,5.31,-1.10,3.05,-9.46,4.52
923,-9.64,5.31,-1.10,3.05,-9.46,4.52
933,-9.64,5.31,-1.10,3.05,-9.46,4.52
943,-9.64,5.31,-1.10,3.05,-9.46,4.52
953,-9.64,5.31,-1.10,3.05,-9.46,4.52
963,-9.64,5.31,-1.10,3.05,-9.46,4.52
973,-9.64,5.31,-1.10,3.05,-9.46,4.52
983,-9.64,5.31,-1.10,3.05,-9.46,4.52
993,-9.64,5.31,-1.10,3.05,-9.46,4.52
1003,-9.64,5.31,-1.10,3.05,-9.46,4.52
1013,-9.64,5.31,-1.10,3.05,-9.46,4.52
1023,-9.64,5.31,-1.10,3.05,-9.46,4.52
1033,-9.64,5.31,-1.10,3.05,-9.46,4.52
1043,-9.64,5.31,-1.10,3.05,-9.46,4.52
1053,-9.64,5.31,-1.10,3.05,-9.46,4.52
1063,-9.64,5.31,-1.10,3.05,-9.46,4.52
1073,-9.64,5.31,-1.10,3.05,-9.46,4.52
1083,-9.64,5.31,-1.10,3.05,-9.46,4.52
1093,-9.64,5.31,-1.10,3.05,-9.46,4.52
1103,-9.64,5.31,-1.10,3.05,-9.46,4.52
1113,-9.64,5.31,-1.10,3.05,-9.46,4.52
1123,-9.64,5.31,-1.10,3.05,-9.46,4.52
1133,-9.64,5.31,-1.10,3.05,-9.46,4.52
1143,-9.64,5.31,-1.10,3.05,-9.46,4.52
1153,-9.64,5.31,-1.10,3.05,-9.46,4.52
1163,-9.64,5.31,-1.10,3.05,-9.46,4.52
1173,-9.64,5.31,-1.10,3.05,-9.46,4.52
1183,-9.64,5.31,-1.10,3.05,-9.46,4.52
1193,-9.64,5.31,-1.10,3.05,-9.46,4.52
1204,-9.64,5.31,-1.10,3.05,-9.46,4.52
1214,-9.64,5.31,-1.10,3.05,-9.46,4.52
1224,-9.64,5.31,-1.10,3.05,-9.46,4.52
1234,-9.64,5.31,-1.10,3.05,-9.46,4.52
1244,-9.64,5.31,-1.10,3.05,-9.46,4.52
1254,-9.64,5.31,-1.10,3.05,-9.46,4.52
1264,-9.64,5.31,-1.10,3.05,-9.46,4.52
1274,-9.64,5.31,-1.10,3.05,-9.46,4.52
1284,-9.64,5.31,-1.10,3.05,-9.46,4.52
1294,-9.64,5.31,-1.10,3.05,-9.46,4.52
1304,-9.64,5.31,-1.10,3.05,-9.46,4.52
1314,-9.64,5.31,-1.10,3.05,-9.46,4.52
1324,-9.64,5.31,-1.10,3.05,-9.46,4.52
1334,-9.64,5.31,-1.10,3.05,-9.46,4.52
1344,-9.64,5.31,-1.10,3.05,-9.46,4.52
1354,-9.64,5.31,-1.10,3.05,-9.46,4.52
1364,-9.64,5.31,-1.10,3.05,-9.46,4.52
1375,-9.64,5.31,-1.10,3.05,-9.46,4.52
1385,-9.64,5.31,-1.10,3.05,-9.46,4.52
1395,-9.64,5.31,-1.10,3.05,-9.46,4.52
1405,-9.64,5.31,-1.10,3.05,-9.46,4.52
1415,-9.64,5.31,-1.10,3.05,-9.46,4.52
1425,-9.64,5.31,-1.10,3.05,-9.46,4.52
1435,-9.64,5.31,-1.10,3.05,-9.46,4.52
1445,-9.64,5.31,-1.10,3.05,-9.46,4.52
1455,-9.64,5.31,-1.10,3.05,-9.46,4.52
1465,-9.64,5.31,-1.10,3.05,-9.46,4.52
1475,-9.64,5.31,-1.10,3.05,-9.46,4.52
1485,-9.64,5.31,-1.10,3.05,-9.46,4.52
1495,-9.64,5.31,-1.10,3.05,-9.46,4.52
1505,-9.64,5.31,-1.10,3.05,-9.46,4.52
1515,-9.64,5.31,-1.10,3.05,-9.46,4.52
1525,-9.64,5.31,-1.10,3.05,-9.46,4.52
1535,-9.64,5.31,-1.10,3.05,-9.46,4.52
1545,-9.64,5.31,-1.10,3.05,-9.46,4.52
1555,-9.64,5.31,-1.10,3.05,-9.46,4.52
1565,-9.64,5.31,-1.10,3.05,-9.46,4.52
1575,-9.64,5.31,-1.10,3.05,-9.46,4.52
1585,-9.64,5.31,-1.10,3.05,-9.46,4.52
1595,-9.64,5.31,-1.10,3.05,-9.46,4.52
1605,-9.64,5.31,-1.10,3.05,-9.46,4.52
1615,-9.64,5.31,-1.10,3.05,-9.46,4.52
1625,-9.64,5.31,-1.10,3.05,-9.46,4.52
1635,-9.64,5.31,-1.10,3.05,-9.46,4.52
1645,-9.64,5.31,-1.10,3.05,-9.46,4.52
1655,-9.64,5.31,-1.10,3.05,-9.46,4.52
1665,-9.64,5.31,-1.10,3.05,-9.46,4.52
1675,-9.64,5.31,-1.10,3.05,-9.46,4.52
1685,-9.64,5.31,-1.10,3.05,-9.46,4.52
1695,-9.64,5.31,-1.10,3.05,-9.46,4.52
1705,-9.64,5.31,-1.10,3.05,-9.46,4.52
1716,-9.64,5.31,-1.10,3.05,-9.46,4.52
1726,-9.64,5.31,-1.10,3.05,-9.46,4.52
1736,-9.64,5.31,-1.10,3.05,-9.46,4.52
1746,-9.64,5.31,-1.10,3.05,-9.46,4.52
1756,-9.64,5.31,-1.10,3.05,-9.46,4.52
1766,-9.64,5.31,-1.10,3.05,-9.46,4.52
1776,-9.64,5.31,-1.10,3.05,-9.46,4.52
1786,-9.64,5.31,-1.10,3.05,-9.46,4.52
1796,-9.64,5.31,-1.10,3.05,-9.46,4.52
1806,-9.64,5.31,-1.10,3.05,-9.46,4.52
1816,-9.64,5.31,-1.10,3.05,-9.46,4.52
1826,-9.64,5.31,-1.10,3.05,-9.46,4.52
1836,-9.64,5.31,-1.10,3.05,-9.46,4.52
1846,-9.64,5.31,-1.10,3.05,-9.46,4.52
1856,-9.64,5.31,-1.10,3.05,-9.46,4.52
1866,-9.64,5.31,-1.10,3.05,-9.46,4.52
1876,-9.64,5.31,-1.10,3.05,-9.46,4.52
