timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
0,-9.64,5.31,-1.10,3.05,-9.46,4.52
10,-9.64,5.31,-1.10,3.05,-9.46,4.52
20,-9.64,5.31,-1.10,3.05,-9.46,4.52
30,-9.64,5.31,-1.10,3.05,-9.46,4.52
40,-9.64,5.31,-1.10,3.05,-9.46,4.52
50,-9.64,5.31,-1.10,3.05,-9.46,4.52
60,-9.64,5.31,-1.10,3.05,-9.46,4.52
70,-9.64,5.31,-1.10,3.05,-9.46,4.52
80,-9.64,5.31,-1.10,3.05,-9.46,4.52
90,-9.64,5.31,-1.10,3.05,-9.46,4.52
100,-9.64,5.31,-1.10,3.05,-9.46,4.52
110,-9.64,5.31,-1.10,3.05,-9.46,4.52
120,-9.64,5.31,-1.10,3.05,-9.46,4.52
130,-9.64,5.31,-1.10,3.05,-9.46,4.52
140,-9.64,5.31,-1.10,3.05,-9.46,4.52
150,-9.64,5.31,-1.10,3.05,-9.46,4.52
160,-9.64,5.31,-1.10,3.05,-9.46,4.52
170,-9.64,5.31,-1.10,3.05,-9.46,4.52
180,-9.64,5.31,-1.10,3.05,-9.46,4.52
190,-9.64,5.31,-1.10,3.05,-9.46,4.52
200,-9.64,5.31,-1.10,3.05,-9.46,4.52
210,-9.64,5.31,-1.10,3.05,-9.46,4.52
220,-9.64,5.31,-1.10,3.05,-9.46,4.52
230,-9.64,5.31,-1.10,3.05,-9.46,4.52
240,-9.64,5.31,-1.10,3.05,-9.46,4.52
250,-9.64,5.31,-1.10,3.05,-9.46,4.52
260,-9.64,5.31,-1.10,3.05,-9.46,4.52
270,-9.64,5.31,-1.10,3.05,-9.46,4.52
280,-9.64,5.31,-1.10,3.05,-9.46,4.52
290,-9.64,5.31,-1.10,3.05,-9.46,4.52
300,-9.64,5.31,-1.10,3.05,-9.46,4.52
310,-9.64,5.31,-1.10,3.05,-9.46,4.52
320,-9.64,5.31,-1.10,3.05,-9.46,4.52
330,-9.64,5.31,-1.10,3.05,-9.46,4.52
340,-9.64,5.31,-1.10,3.05,-9.46,4.52
350,-9.64,5.31,-1.10,3.05,-9.46,4.52
360,-9.64,5.31,-1.10,3.05,-9.46,4.52
370,-9.64,5.31,-1.10,3.05,-9.46,4.52
380,-9.64,5.31,-1.10,3.05,-9.46,4.52
390,-9.64,5.31,-1.10,3.05,-9.46,4.52
400,-9.64,5.31,-1.10,3.05,-9.46,4.52
410,-9.64,5.31,-1.10,3.05,-9.46,4.52
420,-9.64,5.31,-1.10,3.05,-9.46,4.52
430,-9.64,5.31,-1.10,3.05,-9.46,4.52
440,-9.64,5.31,-1.10,3.05,-9.46,4.52
450,-9.64,5.31,-1.10,3.05,-9.46,4.52
460,-9.64,5.31,-1.10,3.05,-9.46,4.52
470,-9.64,5.31,-1.10,3.05,-9.46,4.52
480,-9.64,5.31,-1.10,3.05,-9.46,4.52
490,-9.64,5.31,-1.10,3.05,-9.46,4.52
500,-9.64,5.31,-1.10,3.05,-9.46,4.52
510,-9.64,5.31,-1.10,3.05,-9.46,4.52
520,-9.64,5.31,-1.10,3.05,-9.46,4.52
530,-9.64,5.31,-1.10,3.05,-9.46,4.52
540,-9.64,5.31,-1.10,3.05,-9.46,4.52
550,-9.64,5.31,-1.10,3.05,-9.46,4.52
560,-9.64,5.31,-1.10,3.05,-9.46,4.52
570,-9.64,5.31,-1.10,3.05,-9.46,4.52
580,-9.64,5.31,-1.10,3.05,-9.46,4.52
590,-9.64,5.31,-1.10,3.05,-9.46,4.52
600,-9.64,5.31,-1.10,3.05,-9.46,4.52
610,-9.64,5.31,-1.10,3.05,-9.46,4.52
620,-9.64,5.31,-1.10,3.05,-9.46,4.52
631,-9.64,5.31,-1.10,3.05,-9.46,4.52
641,-9.64,5.31,-1.10,3.05,-9.46,4.52
651,-9.64,5.31,-1.10,3.05,-9.46,4.52
661,-9.64,5.31,-1.10,3.05,-9.46,4.52
671,-9.64,5.31,-1.10,3.05,-9.46,4.52
681,-9.64,5.31,-1.10,3.05,-9.46,4.52
691,-9.64,5.31,-1.10,3.05,-9.46,4.52
701,-9.64,5.31,-1.10,3.05,-9.46,4.52
711,-9.64,5.31,-1.10,3.05,-9.46,4.52
721,-9.64,5.31,-1.10,3.05,-9.46,4.52
731,-9.64,5.31,-1.10,3.05,-9.46,4.52
741,-9.64,5.31,-1.10,3.05,-9.46,4.52
751,-9.64,5.31,-1.10,3.05,-9.46,4.52
761,-9.64,5.31,-1.10,3.05,-9.46,4.52
771,-9.64,5.31,-1.10,3.05,-9.46,4.52
781,-9.64,5.31,-1.10,3.05,-9.46,4.52
791,-9.64,5.31,-1.10,3.05,-9.46,4.52
802,-9.64,5.31,-1.10,3.05,-9.46,4.52
812,-9.64,5.31,-1.10,3.05,-9.46,4.52
822,-9.64,5.31,-1.10,3.05,-9.46,4.52
832,-9.64,5.31,-1.10,3.05,-9.46,4.52
842,-9.64,5.31,-1.10,3.05,-9.46,4.52
852,-9.64,5.31,-1.10,3.05,-9.46,4.52
862,-9.64,5.31,-1.10,3.05,-9.46,4.52
872,-9.64,5.31,-1.10,3.05,-9.46,4.52
882,-9.64,5.31,-1.10,3.05,-9.46,4.52
892,-9.64,5.31,-1.10,3.05,-9.46,4.52
902,-9.64,5.31,-1.10,3.05,-9.46,4.52
912,-9.64,5.31,-1.10,3.05,-9.46,4.52
922,-9.64,5.31,-1.10,3.05,-9.46,4.52
932,-9.64,5.31,-1.10,3.05,-9.46,4.52
942,-9.64,5.31,-1.10,3.05,-9.46,4.52
952,-9.64,5.31,-1.10,3.05,-9.46,4.52
962,-9.64,5.31,-1.10,3.05,-9.46,4.52
972,-9.64,5.31,-1.10,3.05,-9.46,4.52
982,-9.64,5.31,-1.10,3.05,-9.46,4.52
992,-9.64,5.31,-1.10,3.05,-9.46,4.52
1002,-9.64,5.31,-1.10,3.05,-9.46,4.52
1012,-9.64,5.31,-1.10,3.05,-9.46,4.52
1022,-9.64,5.31,-1.10,3.05,-9.46,4.52
1032,-9.64,5.31,-1.10,3.05,-9.46,4.52
1042,-9.64,5.31,-1.10,3.05,-9.46,4.52
1052,-9.64,5.31,-1.10,3.05,-9.46,4.52
1062,-9.64,5.31,-1.10,3.05,-9.46,4.52
1072,-9.64,5.31,-1.10,3.05,-9.46,4.52
1082,-9.64,5.31,-1.10,3.05,-9.46,4.52
1092,-9.64,5.31,-1.10,3.05,-9.46,4.52
1102,-9.64,5.31,-1.10,3.05,-9.46,4.52
1112,-9.64,5.31,-1.10,3.05,-9.46,4.52
1122,-9.64,5.31,-1.10,3.05,-9.46,4.52
1132,-9.64,5.31,-1.10,3.05,-9.46,4.52
1143,-9.64,5.31,-1.10,3.05,-9.46,4.52
1153,-9.64,5.31,-1.10,3.05,-9.46,4.52
1163,-9.64,5.31,-1.10,3.05,-9.46,4.52
1173,-9.64,5.31,-1.10,3.05,-9.46,4.52
1183,-9.64,5.31,-1.10,3.05,-9.46,4.52
1193,-9.64,5.31,-1.10,3.05,-9.46,4.52
1203,-9.64,5.31,-1.10,3.05,-9.46,4.52
1213,-9.64,5.31,-1.10,3.05,-9.46,4.52
1223,-9.64,5.31,-1.10,3.05,-9.46,4.52
1233,-9.64,5.31,-1.10,3.05,-9.46,4.52
1243,-9.64,5.31,-1.10,3.05,-9.46,4.52
1253,-9.64,5.31,-1.10,3.05,-9.46,4.52
1263,-9.64,5.31,-1.10,3.05,-9.46,4.52
1273,-9.64,5.31,-1.10,3.05,-9.46,4.52
1283,-9.64,5.31,-1.10,3.05,-9.46,4.52
1293,-9.64,5.31,-1.10,3.05,-9.46,4.52
1303,-9.64,5.31,-1.10,3.05,-9.46,4.52
1314,-9.64,5.31,-1.10,3.05,-9.46,4.52
1324,-9.64,5.31,-1.10,3.05,-9.46,4.52
1334,-9.64,5.31,-1.10,3.05,-9.46,4.52
1344,-9.64,5.31,-1.10,3.05,-9.46,4.52
1354,-9.64,5.31,-1.10,3.05,-9.46,4.52
1364,-9.64,5.31,-1.10,3.05,-9.46,4.52
1374,-9.64,5.31,-1.10,3.05,-9.46,4.52
1384,-9.64,5.31,-1.10,3.05,-9.46,4.52
1394,-9.64,5.31,-1.10,3.05,-9.46,4.52
1404,-9.64,5.31,-1.10,3.05,-9.46,4.52
1414,-9.64,5.31,-1.10,3.05,-9.46,4.52
1424,-9.64,5.31,-1.10,3.05,-9.46,4.52
1434,-9.64,5.31,-1.10,3.05,-9.46,4.52
1444,-9.64,5.31,-1.10,3.05,-9.46,4.52
1454,-9.64,5.31,-1.10,3.05,-9.46,4.52
1464,-9.64,5.31,-1.10,3.05,-9.46,4.52
1474,-9.64,5.31,-1.10,3.05,-9.46,4.52
1484,-9.64,5.31,-1.10,3.05,-9.46,4.52
1494,-9.64,5.31,-1.10,3.05,-9.46,4.52
1504,-9.64,5.31,-1.10,3.05,-9.46,4.52
1514,-9.64,5.31,-1.10,3.05,-9.46,4.52
1524,-9.64,5.31,-1.10,3.05,-9.46,4.52
1534,-9.64,5.31,-1.10,3.05,-9.46,4.52
1544,-9.64,5.31,-1.10,3.05,-9.46,4.52
1554,-9.64,5.31,-1.10,3.05,-9.46,4.52
1564,-9.64,5.31,-1.10,3.05,-9.46,4.52
1574,-9.64,5.31,-1.10,3.05,-9.46,4.52
1584,-9.64,5.31,-1.10,3.05,-9.46,4.52
1594,-9.64,5.31,-1.10,3.05,-9.46,4.52
1604,-9.64,5.31,-1.10,3.05,-9.46,4.52
1614,-9.64,5.31,-1.10,3.05,-9.46,4.52
1624,-9.64,5.31,-1.10,3.05,-9.46,4.52
1634,-9.64,5.31,-1.10,3.05,-9.46,4.52
1644,-9.64,5.31,-1.10,3.05,-9.46,4.52
1655,-9.64,5.31,-1.10,3.05,-9.46,4.52
1665,-9.64,5.31,-1.10,3.05,-9.46,4.52
1675,-9.64,5.31,-1.10,3.05,-9.46,4.52
1685,-9.64,5.31,-1.10,3.05,-9.46,4.52
1695,-9.64,5.31,-1.10,3.05,-9.46,4.52
1705,-9.64,5.31,-1.10,3.05,-9.46,4.52
1715,-9.64,5.31,-1.10,3.05,-9.46,4.52
1725,-9.64,5.31,-1.10,3.05,-9.46,4.52
1735,-9.64,5.31,-1.10,3.05,-9.46,4.52
1745,-9.64,5.31,-1.10,3.05,-9.46,4.52
1755,-9.64,5.31,-1.10,3.05,-9.46,4.52
1765,-9.64,5.31,-1.10,3.05,-9.46,4.52
1775,-9.64,5.31,-1.10,3.05,-9.46,4.52
1785,-9.64,5.31,-1.10,3.05,-9.46,4.52
1795,-9.64,5.31,-1.10,3.05,-9.46,4.52
1805,-9.64,5.31,-1.10,3.05,-9.46,4.52
1815,-9.64,5.31,-1.10,3.05,-9.46,4.52
1826,-9.64,5.31,-1.10,3.05,-9.46,4.52
1836,-9.64,5.31,-1.10,3.05,-9.46,4.52
1846,-9.64,5.31,-1.10,3.05,-9.46,4.52
1856,-9.64,5.31,-1.10,3.05,-9.46,4.52
1866,-9.64,5.31,-1.10,3.05,-9.46,4.52
1876,-9.64,5.31,-1.10,3.05,-9.46,4.52
