timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
0,-9.85,0.27,-0.41,-2.56,1.22,0.31
10,-9.85,0.27,-0.41,-2.56,1.22,0.31
20,-9.85,0.27,-0.41,-2.56,1.22,0.31
30,-9.85,0.27,-0.41,-2.56,1.22,0.31
40,-9.85,0.27,-0.41,-2.56,1.22,0.31
50,-9.85,0.27,-0.41,-2.56,1.22,0.31
60,-9.85,0.27,-0.41,-2.56,1.22,0.31
70,-9.85,0.27,-0.41,-2.56,1.22,0.31
80,-9.85,0.27,-0.41,-2.56,1.22,0.31
90,-9.85,0.27,-0.41,-2.56,1.22,0.31
100,-9.85,0.27,-0.41,-2.56,1.22,0.31
110,-9.85,0.27,-0.41,-2.56,1.22,0.31
120,-9.85,0.27,-0.41,-2.56,1.22,0.31
130,-9.85,0.27,-0.41,-2.56,1.22,0.31
141,-9.85,0.27,-0.41,-2.56,1.22,0.31
151,-9.85,0.27,-0.41,-2.56,1.22,0.31
161,-9.85,0.27,-0.41,-2.56,1.22,0.31
171,-9.85,0.27,-0.41,-2.56,1.22,0.31
181,-9.85,0.27,-0.41,-2.56,1.22,0.31
191,-9.85,0.27,-0.41,-2.56,1.22,0.31
201,-9.85,0.27,-0.41,-2.56,1.22,0.31
211,-9.85,0.27,-0.41,-2.56,1.22,0.31
221,-9.85,0.27,-0.41,-2.56,1.22,0.31
231,-9.85,0.27,-0.41,-2.56,1.22,0.31
241,-9.85,0.27,-0.41,-2.56,1.22,0.31
251,-9.85,0.27,-0.41,-2.56,1.22,0.31
261,-9.85,0.27,-0.41,-2.56,1.22,0.31
271,-9.85,0.27,-0.41,-2.56,1.22,0.31
281,-9.85,0.27,-0.41,-2.56,1.22,0.31
291,-9.85,0.27,-0.41,-2.56,1.22,0.31
301,-9.85,0.27,-0.41,-2.56,1.22,0.31
312,-9.85,0.27,-0.41,-2.56,1.22,0.31
322,-9.85,0.27,-0.41,-2.56,1.22,0.31
332,-9.85,0.27,-0.41,-2.56,1.22,0.31
342,-9.85,0.27,-0.41,-2.56,1.22,0.31
352,-9.85,0.27,-0.41,-2.56,1.22,0.31
362,-9.85,0.27,-0.41,-2.56,1.22,0.31
372,-9.85,0.27,-0.41,-2.56,1.22,0.31
382,-9.85,0.27,-0.41,-2.56,1.22,0.31
392,-9.85,0.27,-0.41,-2.56,1.22,0.31
402,-9.85,0.27,-0.41,-2.56,1.22,0.31
412,-9.85,0.27,-0.41,-2.56,1.22,0.31
422,-9.85,0.27,-0.41,-2.56,1.22,0.31
432,-9.85,0.27,-0.41,-2.56,1.22,0.31
442,-9.85,0.27,-0.41,-2.56,1.22,0.31
452,-9.85,0.27,-0.41,-2.56,1.22,0.31
462,-9.85,0.27,-0.41,-2.56,1.22,0.31
472,-9.85,0.27,-0.41,-2.56,1.22,0.31
