timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
0,-9.64,5.31,-1.10,3.05,-9.46,4.52
10,-9.64,5.31,-1.10,3.05,-9.46,4.52
20,-9.64,5.31,-1.10,3.05,-9.46,4.52
30,-9.64,5.31,-1.10,3.05,-9.46,4.52
40,-9.64,5.31,-1.10,3.05,-9.46,4.52
50,-9.64,5.31,-1.10,3.05,-9.46,4.52
60,-9.64,5.31,-1.10,3.05,-9.46,4.52
70,-9.64,5.31,-1.10,3.05,-9.46,4.52
80,-9.64,5.31,-1.10,3.05,-9.46,4.52
90,-9.64,5.31,-1.10,3.05,-9.46,4.52
100,-9.64,5.31,-1.10,3.05,-9.46,4.52
110,-9.64,5.31,-1.10,3.05,-9.46,4.52
120,-9.64,5.31,-1.10,3.05,-9.46,4.52
130,-9.64,5.31,-1.10,3.05,-9.46,4.52
141,-9.64,5.31,-1.10,3.05,-9.46,4.52
151,-9.64,5.31,-1.10,3.05,-9.46,4.52
161,-9.64,5.31,-1.10,3.05,-9.46,4.52
171,-9.64,5.31,-1.10,3.05,-9.46,4.52
181,-9.64,5.31,-1.10,3.05,-9.46,4.52
191,-9.64,5.31,-1.10,3.05,-9.46,4.52
201,-9.64,5.31,-1.10,3.05,-9.46,4.52
211,-9.64,5.31,-1.10,3.05,-9.46,4.52
221,-9.64,5.31,-1.10,3.05,-9.46,4.52
231,-9.64,5.31,-1.10,3.05,-9.46,4.52
241,-9.64,5.31,-1.10,3.05,-9.46,4.52
251,-9.64,5.31,-1.10,3.05,-9.46,4.52
261,-9.64,5.31,-1.10,3.05,-9.46,4.52
271,-9.64,5.31,-1.10,3.05,-9.46,4.52
281,-9.64,5.31,-1.10,3.05,-9.46,4.52
291,-9.64,5.31,-1.10,3.05,-9.46,4.52
301,-9.64,5.31,-1.10,3.05,-9.46,4.52
312,-9.64,5.31,-1.10,3.05,-9.46,4.52
322,-9.64,5.31,-1.10,3.05,-9.46,4.52
332,-9.64,5.31,-1.10,3.05,-9.46,4.52
342,-9.64,5.31,-1.10,3.05,-9.46,4.52
352,-9.64,5.31,-1.10,3.05,-9.46,4.52
362,-9.64,5.31,-1.10,3.05,-9.46,4.52
372,-9.64,5.31,-1.10,3.05,-9.46,4.52
382,-9.64,5.31,-1.10,3.05,-9.46,4.52
392,-9.64,5.31,-1.10,3.05,-9.46,4.52
402,-9.64,5.31,-1.10,3.05,-9.46,4.52
412,-9.64,5.31,-1.10,3.05,-9.46,4.52
422,-9.64,5.31,-1.10,3.05,-9.46,4.52
432,-9.64,5.31,-1.10,3.05,-9.46,4.52
442,-9.64,5.31,-1.10,3.05,-9.46,4.52
452,-9.64,5.31,-1.10,3.05,-9.46,4.52
462,-9.64,5.31,-1.10,3.05,-9.46,4.52
472,-9.64,5.31,-1.10,3.05,-9.46,4.52
482,-9.64,5.31,-1.10,3.05,-9.46,4.52
492,-9.64,5.31,-1.10,3.05,-9.46,4.52
502,-9.64,5.31,-1.10,3.05,-9.46,4.52
512,-9.64,5.31,-1.10,3.05,-9.46,4.52
522,-9.64,5.31,-1.10,3.05,-9.46,4.52
532,-9.64,5.31,-1.10,3.05,-9.46,4.52
542,-9.64,5.31,-1.10,3.05,-9.46,4.52
552,-9.64,5.31,-1.10,3.05,-9.46,4.52
562,-9.64,5.31,-1.10,3.05,-9.46,4.52
572,-9.64,5.31,-1.10,3.05,-9.46,4.52
582,-9.64,5.31,-1.10,3.05,-9.46,4.52
592,-9.64,5.31,-1.10,3.05,-9.46,4.52
602,-9.64,5.31,-1.10,3.05,-9.46,4.52
612,-9.64,5.31,-1.10,3.05,-9.46,4.52
622,-9.64,5.31,-1.10,3.05,-9.46,4.52
632,-9.64,5.31,-1.10,3.05,-9.46,4.52
642,-9.64,5.31,-1.10,3.05,-9.46,4.52
653,-9.64,5.31,-1.10,3.05,-9.46,4.52
663,-9.64,5.31,-1.10,3.05,-9.46,4.52
673,-9.64,5.31,-1.10,3.05,-9.46,4.52
683,-9.64,5.31,-1.10,3.05,-9.46,4.52
693,-9.64,5.31,-1.10,3.05,-9.46,4.52
703,-9.64,5.31,-1.10,3.05,-9.46,4.52
713,-9.64,5.31,-1.10,3.05,-9.46,4.52
723,-9.64,5.31,-1.10,3.05,-9.46,4.52
733,-9.64,5.31,-1.10,3.05,-9.46,4.52
743,-9.64,5.31,-1.10,3.05,-9.46,4.52
753,-9.64,5.31,-1.10,3.05,-9.46,4.52
763,-9.64,5.31,-1.10,3.05,-9.46,4.52
773,-9.64,5.31,-1.10,3.05,-9.46,4.52
783,-9.64,5.31,-1.10,3.05,-9.46,4.52
793,-9.64,5.31,-1.10,3.05,-9.46,4.52
803,-9.64,5.31,-1.10,3.05,-9.46,4.52
813,-9.64,5.31,-1.10,3.05,-9.46,4.52
824,-9.64,5.31,-1.10,3.05,-9.46,4.52
834,-9.64,5.31,-1.10,3.05,-9.46,4.52
844,-9.64,5.31,-1.10,3.05,-9.46,4.52
854,-9.64,5.31,-1.10,3.05,-9.46,4.52
864,-9.64,5.31,-1.10,3.05,-9.46,4.52
874,-9.64,5.31,-1.10,3.05,-9.46,4.52
884,-9.64,5.31,-1.10,3.05,-9.46,4.52
894,-9.64,5.31,-1.10,3.05,-9.46,4.52
904,-9.64,5.31,-1.10,3.05,-9.46,4.52
914,-9.64,5.31,-1.10,3.05,-9.46,4.52
924,-9.64,5.31,-1.10,3.05,-9.46,4.52
934,-9.64,5.31,-1.10,3.05,-9.46,4.52
944,-9.64,5.31,-1.10,3.05,-9.46,4.52
954,-9.64,5.31,-1.10,3.05,-9.46,4.52
964,-9.64,5.31,-1.10,3.05,-9.46,4.52
974,-9.64,5.31,-1.10,3.05,-9.46,4.52
984,-9.64,5.31,-1.10,3.05,-9.46,4.52
994,-9.64,5.31,-1.10,3.05,-9.46,4.52
1004,-9.64,5.31,-1.10,3.05,-9.46,4.52
1014,-9.64,5.31,-1.10,3.05,-9.46,4.52
1024,-9.64,5.31,-1.10,3.05,-9.46,4.52
1034,-9.64,5.31,-1.10,3.05,-9.46,4.52
1044,-9.64,5.31,-1.10,3.05,-9.46,4.52
1054,-9.64,5.31,-1.10,3.05,-9.46,4.52
1064,-9.64,5.31,-1.10,3.05,-9.46,4.52
1074,-9.64,5.31,-1.10,3.05,-9.46,4.52
1084,-9.64,5.31,-1.10,3.05,-9.46,4.52
1094,-9.64,5.31,-1.10,3.05,-9.46,4.52
1104,-9.64,5.31,-1.10,3.05,-9.46,4.52
1114,-9.64,5.31,-1.10,3.05,-9.46,4.52
1124,-9.64,5.31,-1.10,3.05,-9.46,4.52
1134,-9.64,5.31,-1.10,3.05,-9.46,4.52
1144,-9.64,5.31,-1.10,3.05,-9.46,4.52
1154,-9.64,5.31,-1.10,3.05,-9.46,4.52
1165,-9.64,5.31,-1.10,3.05,-9.46,4.52
1175,-9.64,5.31,-1.10,3.05,-9.46,4.52
1185,-9.64,5.31,-1.10,3.05,-9.46,4.52
1195,-9.64,5.31,-1.10,3.05,-9.46,4.52
1205,-9.64,5.31,-1.10,3.05,-9.46,4.52
1215,-9.64,5.31,-1.10,3.05,-9.46,4.52
1225,-9.64,5.31,-1.10,3.05,-9.46,4.52
1235,-9.64,5.31,-1.10,3.05,-9.46,4.52
1245,-9.64,5.31,-1.10,3.05,-9.46,4.52
1255,-9.64,5.31,-1.10,3.05,-9.46,4.52
1265,-9.64,5.31,-1.10,3.05,-9.46,4.52
1275,-9.64,5.31,-1.10,3.05,-9.46,4.52
1285,-9.64,5.31,-1.10,3.05,-9.46,4.52
1295,-9.64,5.31,-1.10,3.05,-9.46,4.52
1305,-9.64,5.31,-1.10,3.05,-9.46,4.52
1315,-9.64,5.31,-1.10,3.05,-9.46,4.52
1325,-9.64,5.31,-1.10,3.05,-9.46,4.52
1336,-9.64,5.31,-1.10,3.05,-9.46,4.52
1346,-9.64,5.31,-1.10,3.05,-9.46,4.52
1356,-9.64,5.31,-1.10,3.05,-9.46,4.52
1366,-9.64,5.31,-1.10,3.05,-9.46,4.52
1376,-9.64,5.31,-1.10,3.05,-9.46,4.52
1386,-9.64,5.31,-1.10,3.05,-9.46,4.52
1396,-9.64,5.31,-1.10,3.05,-9.46,4.52
1406,-9.64,5.31,-1.10,3.05,-9.46,4.52
1416,-9.64,5.31,-1.10,3.05,-9.46,4.52
1426,-9.64,5.31,-1.10,3.05,-9.46,4.52
1436,-9.64,5.31,-1.10,3.05,-9.46,4.52
1446,-9.64,5.31,-1.10,3.05,-9.46,4.52
1456,-9.64,5.31,-1.10,3.05,-9.46,4.52
1466,-9.64,5.31,-1.10,3.05,-9.46,4.52
1476,-9.64,5.31,-1.10,3.05,-9.46,4.52
1486,-9.64,5.31,-1.10,3.05,-9.46,4.52
1496,-9.64,5.31,-1.10,3.05,-9.46,4.52
1506,-9.64,5.31,-1.10,3.05,-9.46,4.52
1516,-9.64,5.31,-1.10,3.05,-9.46,4.52
1526,-9.64,5.31,-1.10,3.05,-9.46,4.52
1536,-9.64,5.31,-1.10,3.05,-9.46,4.52
1546,-9.64,5.31,-1.10,3.05,-9.46,4.52
1556,-9.64,5.31,-1.10,3.05,-9.46,4.52
1566,-9.64,5.31,-1.10,3.05,-9.46,4.52
1576,-9.64,5.31,-1.10,3.05,-9.46,4.52
1586,-9.64,5.31,-1.10,3.05,-9.46,4.52
1596,-9.64,5.31,-1.10,3.05,-9.46,4.52
1606,-9.64,5.31,-1.10,3.05,-9.46,4.52
1616,-9.64,5.31,-1.10,3.05,-9.46,4.52
1626,-9.64,5.31,-1.10,3.05,-9.46,4.52
1636,-9.64,5.31,-1.10,3.05,-9.46,4.52
1646,-9.64,5.31,-1.10,3.05,-9.46,4.52
1656,-9.64,5.31,-1.10,3.05,-9.46,4.52
1666,-9.64,5.31,-1.10,3.05,-9.46,4.52
1677,-9.64,5.31,-1.10,3.05,-9.46,4.52
1687,-9.64,5.31,-1.10,3.05,-9.46,4.52
1697,-9.64,5.31,-1.10,3.05,-9.46,4.52
1707,-9.64,5.31,-1.10,3.05,-9.46,4.52
1717,-9.64,5.31,-1.10,3.05,-9.46,4.52
1727,-9.64,5.31,-1.10,3.05,-9.46,4.52
1737,-9.64,5.31,-1.10,3.05,-9.46,4.52
1747,-9.64,5.31,-1.10,3.05,-9.46,4.52
1757,-9.64,5.31,-1.10,3.05,-9.46,4.52
1767,-9.64,5.31,-1.10,3.05,-9.46,4.52
1777,-9.64,5.31,-1.10,3.05,-9.46,4.52
1787,-9.64,5.31,-1.10,3.05,-9.46,4.52
1797,-9.64,5.31,-1.10,3.05,-9.46,4.52
1807,-9.64,5.31,-1.10,3.05,-9.46,4.52
1817,-9.64,5.31,-1.10,3.05,-9.46,4.52
1827,-9.64,5.31,-1.10,3.05,-9.46,4.52
1837,-9.64,5.31,-1.10,3.05,-9.46,4.52
1848,-9.64,5.31,-1.10,3.05,-9.46,4.52
1858,-9.64,5.31,-1.10,3.05,-9.46,4.52
1868,-9.64,5.31,-1.10,3.05,-9.46,4.52
1878,-9.64,5.31,-1.10,3.05,-9.46,4.52
