timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
0,-9.64,5.31,-1.10,3.05,-9.46,4.52
10,-9.64,5.31,-1.10,3.05,-9.46,4.52
21,-9.64,5.31,-1.10,3.05,-9.46,4.52
31,-9.64,5.31,-1.10,3.05,-9.46,4.52
41,-9.64,5.31,-1.10,3.05,-9.46,4.52
51,-9.64,5.31,-1.10,3.05,-9.46,4.52
61,-9.64,5.31,-1.10,3.05,-9.46,4.52
71,-9.64,5.31,-1.10,3.05,-9.46,4.52
81,-9.64,5.31,-1.10,3.05,-9.46,4.52
91,-9.64,5.31,-1.10,3.05,-9.46,4.52
101,-9.64,5.31,-1.10,3.05,-9.46,4.52
111,-9.64,5.31,-1.10,3.05,-9.46,4.52
121,-9.64,5.31,-1.10,3.05,-9.46,4.52
131,-9.64,5.31,-1.10,3.05,-9.46,4.52
141,-9.64,5.31,-1.10,3.05,-9.46,4.52
151,-9.64,5.31,-1.10,3.05,-9.46,4.52
161,-9.64,5.31,-1.10,3.05,-9.46,4.52
171,-9.64,5.31,-1.10,3.05,-9.46,4.52
181,-9.64,5.31,-1.10,3.05,-9.46,4.52
192,-9.64,5.31,-1.10,3.05,-9.46,4.52
202,-9.64,5.31,-1.10,3.05,-9.46,4.52
212,-9.64,5.31,-1.10,3.05,-9.46,4.52
222,-9.64,5.31,-1.10,3.05,-9.46,4.52
232,-9.64,5.31,-1.10,3.05,-9.46,4.52
242,-9.64,5.31,-1.10,3.05,-9.46,4.52
252,-9.64,5.31,-1.10,3.05,-9.46,4.52
262,-9.64,5.31,-1.10,3.05,-9.46,4.52
272,-9.64,5.31,-1.10,3.05,-9.46,4.52
282,-9.64,5.31,-1.10,3.05,-9.46,4.52
292,-9.64,5.31,-1.10,3.05,-9.46,4.52
302,-9.64,5.31,-1.10,3.05,-9.46,4.52
312,-9.64,5.31,-1.10,3.05,-9.46,4.52
322,-9.64,5.31,-1.10,3.05,-9.46,4.52
332,-9.64,5.31,-1.10,3.05,-9.46,4.52
342,-9.64,5.31,-1.10,3.05,-9.46,4.52
352,-9.64,5.31,-1.10,3.05,-9.46,4.52
362,-9.64,5.31,-1.10,3.05,-9.46,4.52
372,-9.64,5.31,-1.10,3.05,-9.46,4.52
382,-9.64,5.31,-1.10,3.05,-9.46,4.52
392,-9.64,5.31,-1.10,3.05,-9.46,4.52
402,-9.64,5.31,-1.10,3.05,-9.46,4.52
412,-9.64,5.31,-1.10,3.05,-9.46,4.52
422,-9.64,5.31,-1.10,3.05,-9.46,4.52
432,-9.64,5.31,-1.10,3.05,-9.46,4.52
442,-9.64,5.31,-1.10,3.05,-9.46,4.52
452,-9.64,5.31,-1.10,3.05,-9.46,4.52
462,-9.64,5.31,-1.10,3.05,-9.46,4.52
472,-9.64,5.31,-1.10,3.05,-9.46,4.52
482,-9.64,5.31,-1.10,3.05,-9.46,4.52
492,-9.64,5.31,-1.10,3.05,-9.46,4.52
502,-9.64,5.31,-1.10,3.05,-9.46,4.52
512,-9.64,5.31,-1.10,3.05,-9.46,4.52
522,-9.64,5.31,-1.10,3.05,-9.46,4.52
533,-9.64,5.31,-1.10,3.05,-9.46,4.52
543,-9.64,5.31,-1.10,3.05,-9.46,4.52
553,-9.64,5.31,-1.10,3.05,-9.46,4.52
563,-9.64,5.31,-1.10,3.05,-9.46,4.52
573,-9.64,5.31,-1.10,3.05,-9.46,4.52
583,-9.64,5.31,-1.10,3.05,-9.46,4.52
593,-9.64,5.31,-1.10,3.05,-9.46,4.52
603,-9.64,5.31,-1.10,3.05,-9.46,4.52
613,-9.64,5.31,-1.10,3.05,-9.46,4.52
623,-9.64,5.31,-1.10,3.05,-9.46,4.52
633,-9.64,5.31,-1.10,3.05,-9.46,4.52
643,-9.64,5.31,-1.10,3.05,-9.46,4.52
653,-9.64,5.31,-1.10,3.05,-9.46,4.52
663,-9.64,5.31,-1.10,3.05,-9.46,4.52
673,-9.64,5.31,-1.10,3.05,-9.46,4.52
683,-9.64,5.31,-1.10,3.05,-9.46,4.52
693,-9.64,5.31,-1.10,3.05,-9.46,4.52
704,-9.64,5.31,-1.10,3.05,-9.46,4.52
714,-9.64,5.31,-1.10,3.05,-9.46,4.52
724,-9.64,5.31,-1.10,3.05,-9.46,4.52
734,-9.64,5.31,-1.10,3.05,-9.46,4.52
744,-9.64,5.31,-1.10,3.05,-9.46,4.52
754,-9.64,5.31,-1.10,3.05,-9.46,4.52
764,-9.64,5.31,-1.10,3.05,-9.46,4.52
774,-9.64,5.31,-1.10,3.05,-9.46,4.52
784,-9.64,5.31,-1.10,3.05,-9.46,4.52
794,-9.64,5.31,-1.10,3.05,-9.46,4.52
804,-9.64,5.31,-1.10,3.05,-9.46,4.52
814,-9.64,5.31,-1.10,3.05,-9.46,4.52
824,-9.64,5.31,-1.10,3.05,-9.46,4.52
834,-9.64,5.31,-1.10,3.05,-9.46,4.52
844,-9.64,5.31,-1.10,3.05,-9.46,4.52
854,-9.64,5.31,-1.10,3.05,-9.46,4.52
864,-9.64,5.31,-1.10,3.05,-9.46,4.52
874,-9.64,5.31,-1.10,3.05,-9.46,4.52
884,-9.64,5.31,-1.10,3.05,-9.46,4.52
894,-9.64,5.31,-1.10,3.05,-9.46,4.52
904,-9.64,5.31,-1.10,3.05,-9.46,4.52
914,-9.64,5.31,-1.10,3.05,-9.46,4.52
924,-9.64,5.31,-1.10,3.05,-9.46,4.52
934,-9.64,5.31,-1.10,3.05,-9.46,4.52
944,-9.64,5.31,-1.10,3.05,-9.46,4.52
954,-9.64,5.31,-1.10,3.05,-9.46,4.52
964,-9.64,5.31,-1.10,3.05,-9.46,4.52
974,-9.64,5.31,-1.10,3.05,-9.46,4.52
984,-9.64,5.31,-1.10,3.05,-9.46,4.52
994,-9.64,5.31,-1.10,3.05,-9.46,4.52
1004,-9.64,5.31,-1.10,3.05,-9.46,4.52
1014,-9.64,5.31,-1.10,3.05,-9.46,4.52
1024,-9.64,5.31,-1.10,3.05,-9.46,4.52
1034,-9.64,5.31,-1.10,3.05,-9.46,4.52
1045,-9.64,5.31,-1.10,3.05,-9.46,4.52
1055,-9.64,5.31,-1.10,3.05,-9.46,4.52
1065,-9.64,5.31,-1.10,3.05,-9.46,4.52
1075,-9.64,5.31,-1.10,3.05,-9.46,4.52
1085,-9.64,5.31,-1.10,3.05,-9.46,4.52
1095,-9.64,5.31,-1.10,3.05,-9.46,4.52
1105,-9.64,5.31,-1.10,3.05,-9.46,4.52
1115,-9.64,5.31,-1.10,3.05,-9.46,4.52
1125,-9.64,5.31,-1.10,3.05,-9.46,4.52
1135,-9.64,5.31,-1.10,3.05,-9.46,4.52
1145,-9.64,5.31,-1.10,3.05,-9.46,4.52
1155,-9.64,5.31,-1.10,3.05,-9.46,4.52
1165,-9.64,5.31,-1.10,3.05,-9.46,4.52
1175,-9.64,5.31,-1.10,3.05,-9.46,4.52
1185,-9.64,5.31,-1.10,3.05,-9.46,4.52
1195,-9.64,5.31,-1.10,3.05,-9.46,4.52
1205,-9.64,5.31,-1.10,3.05,-9.46,4.52
1216,-9.64,5.31,-1.10,3.05,-9.46,4.52
1226,-9.64,5.31,-1.10,3.05,-9.46,4.52
1236,-9.64,5.31,-1.10,3.05,-9.46,4.52
1246,-9.64,5.31,-1.10,3.05,-9.46,4.52
1256,-9.64,5.31,-1.10,3.05,-9.46,4.52
1266,-9.64,5.31,-1.10,3.05,-9.46,4.52
1276,-9.64,5.31,-1.10,3.05,-9.46,4.52
1286,-9.64,5.31,-1.10,3.05,-9.46,4.52
1296,-9.64,5.31,-1.10,3.05,-9.46,4.52
1306,-9.64,5.31,-1.10,3.05,-9.46,4.52
1316,-9.64,5.31,-1.10,3.05,-9.46,4.52
1326,-9.64,5.31,-1.10,3.05,-9.46,4.52
1336,-9.64,5.31,-1.10,3.05,-9.46,4.52
1346,-9.64,5.31,-1.10,3.05,-9.46,4.52
1356,-9.64,5.31,-1.10,3.05,-9.46,4.52
1366,-9.64,5.31,-1.10,3.05,-9.46,4.52
1376,-9.64,5.31,-1.10,3.05,-9.46,4.52
1386,-9.64,5.31,-1.10,3.05,-9.46,4.52
1396,-9.64,5.31,-1.10,3.05,-9.46,4.52
1406,-9.64,5.31,-1.10,3.05,-9.46,4.52
1416,-9.64,5.31,-1.10,3.05,-9.46,4.52
1426,-9.64,5.31,-1.10,3.05,-9.46,4.52
1436,-9.64,5.31,-1.10,3.05,-9.46,4.52
1446,-9.64,5.31,-1.10,3.05,-9.46,4.52
1456,-9.64,5.31,-1.10,3.05,-9.46,4.52
1466,-9.64,5.31,-1.10,3.05,-9.46,4.52
1476,-9.64,5.31,-1.10,3.05,-9.46,4.52
1486,-9.64,5.31,-1.10,3.05,-9.46,4.52
1496,-9.64,5.31,-1.10,3.05,-9.46,4.52
1506,-9.64,5.31,-1.10,3.05,-9.46,4.52
1516,-9.64,5.31,-1.10,3.05,-9.46,4.52
1526,-9.64,5.31,-1.10,3.05,-9.46,4.52
1536,-9.64,5.31,-1.10,3.05,-9.46,4.52
1546,-9.64,5.31,-1.10,3.05,-9.46,4.52
1557,-9.64,5.31,-1.10,3.05,-9.46,4.52
1567,-9.64,5.31,-1.10,3.05,-9.46,4.52
1577,-9.64,5.31,-1.10,3.05,-9.46,4.52
1587,-9.64,5.31,-1.10,3.05,-9.46,4.52
1597,-9.64,5.31,-1.10,3.05,-9.46,4.52
1607,-9.64,5.31,-1.10,3.05,-9.46,4.52
1617,-9.64,5.31,-1.10,3.05,-9.46,4.52
1627,-9.64,5.31,-1.10,3.05,-9.46,4.52
1637,-9.64,5.31,-1.10,3.05,-9.46,4.52
1647,-9.64,5.31,-1.10,3.05,-9.46,4.52
1657,-9.64,5.31,-1.10,3.05,-9.46,4.52
1667,-9.64,5.31,-1.10,3.05,-9.46,4.52
1677,-9.64,5.31,-1.10,3.05,-9.46,4.52
1687,-9.64,5.31,-1.10,3.05,-9.46,4.52
1697,-9.64,5.31,-1.10,3.05,-9.46,4.52
1707,-9.64,5.31,-1.10,3.05,-9.46,4.52
1717,-9.64,5.31,-1.10,3.05,-9.46,4.52
1728,-9.64,5.31,-1.10,3.05,-9.46,4.52
1738,-9.64,5.31,-1.10,3.05,-9.46,4.52
1748,-9.64,5.31,-1.10,3.05,-9.46,4.52
1758,-9.64,5.31,-1.10,3.05,-9.46,4.52
1768,-9.64,5.31,-1.10,3.05,-9.46,4.52
1778,-9.64,5.31,-1.10,3.05,-9.46,4.52
1788,-9.64,5.31,-1.10,3.05,-9.46,4.52
1798,-9.64,5.31,-1.10,3.05,-9.46,4.52
1808,-9.64,5.31,-1.10,3.05,-9.46,4.52
1818,-9.64,5.31,-1.10,3.05,-9.46,4.52
1828,-9.64,5.31,-1.10,3.05,-9.46,4.52
1838,-9.64,5.31,-1.10,3.05,-9.46,4.52
1848,-9.64,5.31,-1.10,3.05,-9.46,4.52
1858,-9.64,5.31,-1.10,3.05,-9.46,4.52
1868,-9.64,5.31,-1.10,3.05,-9.46,4.52
1878,-9.64,5.31,-1.10,3.05,-9.46,4.52
