timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
0,-17.40,-0.57,1.73,-1.04,15.93,-12.27
10,-17.40,-0.57,1.73,-1.04,15.93,-12.27
20,-17.40,-0.57,1.73,-1.04,15.93,-12.27
30,-17.40,-0.57,1.73,-1.04,15.93,-12.27
40,-17.40,-0.57,1.73,-1.04,15.93,-12.27
50,-17.40,-0.57,1.73,-1.04,15.93,-12.27
60,-17.40,-0.57,1.73,-1.04,15.93,-12.27
70,-17.40,-0.57,1.73,-1.04,15.93,-12.27
80,-17.40,-0.57,1.73,-1.04,15.93,-12.27
90,-17.40,-0.57,1.73,-1.04,15.93,-12.27
100,-17.40,-0.57,1.73,-1.04,15.93,-12.27
110,-17.40,-0.57,1.73,-1.04,15.93,-12.27
120,-17.40,-0.57,1.73,-1.04,15.93,-12.27
130,-17.40,-0.57,1.73,-1.04,15.93,-12.27
140,-17.40,-0.57,1.73,-1.04,15.93,-12.27
150,-17.40,-0.57,1.73,-1.04,15.93,-12.27
160,-17.40,-0.57,1.73,-1.04,15.93,-12.27
170,-17.40,-0.57,1.73,-1.04,15.93,-12.27
181,-17.40,-0.57,1.73,-1.04,15.93,-12.27
191,-17.40,-0.57,1.73,-1.04,15.93,-12.27
201,-17.40,-0.57,1.73,-1.04,15.93,-12.27
211,-17.40,-0.57,1.73,-1.04,15.93,-12.27
221,-17.40,-0.57,1.73,-1.04,15.93,-12.27
231,-17.40,-0.57,1.73,-1.04,15.93,-12.27
241,-17.40,-0.57,1.73,-1.04,15.93,-12.27
251,-17.40,-0.57,1.73,-1.04,15.93,-12.27
261,-17.40,-0.57,1.73,-1.04,15.93,-12.27
271,-17.40,-0.57,1.73,-1.04,15.93,-12.27
281,-17.40,-0.57,1.73,-1.04,15.93,-12.27
291,-17.40,-0.57,1.73,-1.04,15.93,-12.27
301,-17.40,-0.57,1.73,-1.04,15.93,-12.27
311,-17.40,-0.57,1.73,-1.04,15.93,-12.27
321,-17.40,-0.57,1.73,-1.04,15.93,-12.27
331,-17.40,-0.57,1.73,-1.04,15.93,-12.27
341,-17.40,-0.57,1.73,-1.04,15.93,-12.27
352,-17.40,-0.57,1.73,-1.04,15.93,-12.27
362,-17.40,-0.57,1.73,-1.04,15.93,-12.27
372,-17.40,-0.57,1.73,-1.04,15.93,-12.27
382,-17.40,-0.57,1.73,-1.04,15.93,-12.27
392,-17.40,-0.57,1.73,-1.04,15.93,-12.27
402,-17.40,-0.57,1.73,-1.04,15.93,-12.27
412,-17.40,-0.57,1.73,-1.04,15.93,-12.27
422,-17.40,-0.57,1.73,-1.04,15.93,-12.27
432,-17.40,-0.57,1.73,-1.04,15.93,-12.27
442,-17.40,-0.57,1.73,-1.04,15.93,-12.27
452,-17.40,-0.57,1.73,-1.04,15.93,-12.27
462,-17.40,-0.57,1.73,-1.04,15.93,-12.27
472,-17.40,-0.57,1.73,-1.04,15.93,-12.27
482,-17.40,-0.57,1.73,-1.04,15.93,-12.27
492,-17.40,-0.57,1.73,-1.04,15.93,-12.27
502,-17.40,-0.57,1.73,-1.04,15.93,-12.27
512,-17.40,-0.57,1.73,-1.04,15.93,-12.27
522,-17.40,-0.57,1.73,-1.04,15.93,-12.27
532,-17.40,-0.57,1.73,-1.04,15.93,-12.27
542,-17.40,-0.57,1.73,-1.04,15.93,-12.27
552,-17.40,-0.57,1.73,-1.04,15.93,-12.27
562,-17.40,-0.57,1.73,-1.04,15.93,-12.27
572,-17.40,-0.57,1.73,-1.04,15.93,-12.27
582,-17.40,-0.57,1.73,-1.04,15.93,-12.27
592,-17.40,-0.57,1.73,-1.04,15.93,-12.27
602,-17.40,-0.57,1.73,-1.04,15.93,-12.27
612,-17.40,-0.57,1.73,-1.04,15.93,-12.27
622,-17.40,-0.57,1.73,-1.04,15.93,-12.27
632,-17.40,-0.57,1.73,-1.04,15.93,-12.27
642,-17.40,-0.57,1.73,-1.04,15.93,-12.27
652,-17.40,-0.57,1.73,-1.04,15.93,-12.27
662,-17.40,-0.57,1.73,-1.04,15.93,-12.27
672,-17.40,-0.57,1.73,-1.04,15.93,-12.27
682,-17.40,-0.57,1.73,-1.04,15.93,-12.27
693,-17.40,-0.57,1.73,-1.04,15.93,-12.27
703,-17.40,-0.57,1.73,-1.04,15.93,-12.27
713,-17.40,-0.57,1.73,-1.04,15.93,-12.27
723,-17.40,-0.57,1.73,-1.04,15.93,-12.27
733,-17.40,-0.57,1.73,-1.04,15.93,-12.27
743,-17.40,-0.57,1.73,-1.04,15.93,-12.27
753,-17.40,-0.57,1.73,-1.04,15.93,-12.27
763,-17.40,-0.57,1.73,-1.04,15.93,-12.27
773,-17.40,-0.57,1.73,-1.04,15.93,-12.27
783,-17.40,-0.57,1.73,-1.04,15.93,-12.27
793,-17.40,-0.57,1.73,-1.04,15.93,-12.27
803,-17.40,-0.57,1.73,-1.04,15.93,-12.27
813,-17.40,-0.57,1.73,-1.04,15.93,-12.27
823,-17.40,-0.57,1.73,-1.04,15.93,-12.27
833,-17.40,-0.57,1.73,-1.04,15.93,-12.27
843,-17.40,-0.57,1.73,-1.04,15.93,-12.27
853,-17.40,-0.57,1.73,-1.04,15.93,-12.27
864,-17.40,-0.57,1.73,-1.04,15.93,-12.27
874,-17.40,-0.57,1.73,-1.04,15.93,-12.27
884,-17.40,-0.57,1.73,-1.04,15.93,-12.27
894,-17.40,-0.57,1.73,-1.04,15.93,-12.27
904,-17.40,-0.57,1.73,-1.04,15.93,-12.27
914,-17.40,-0.57,1.73,-1.04,15.93,-12.27
924,-17.40,-0.57,1.73,-1.04,15.93,-12.27
934,-17.40,-0.57,1.73,-1.04,15.93,-12.27
944,-17.40,-0.57,1.73,-1.04,15.93,-12.27
954,-17.40,-0.57,1.73,-1.04,15.93,-12.27
964,-17.40,-0.57,1.73,-1.04,15.93,-12.27
974,-17.40,-0.57,1.73,-1.04,15.93,-12.27
984,-17.40,-0.57,1.73,-1.04,15.93,-12.27
994,-17.40,-0.57,1.73,-1.04,15.93,-12.27
1004,-17.40,-0.57,1.73,-1.04,15.93,-12.27
1014,-17.40,-0.57,1.73,-1.04,15.93,-12.27
1024,-17.40,-0.57,1.73,-1.04,15.93,-12.27
1034,-17.40,-0.57,1.73,-1.04,15.93,-12.27
1044,-17.40,-0.57,1.73,-1.04,15.93,-12.27
1054,-17.40,-0.57,1.73,-1.04,15.93,-12.27
1064,-17.40,-0.57,1.73,-1.04,15.93,-12.27
1074,-17.40,-0.57,1.73,-1.04,15.93,-12.27
1084,-17.40,-0.57,1.73,-1.04,15.93,-12.27
1094,-17.40,-0.57,1.73,-1.04,15.93,-12.27
1104,-17.40,-0.57,1.73,-1.04,15.93,-12.27
1114,-17.40,-0.57,1.73,-1.04,15.93,-12.27
1124,-17.40,-0.57,1.73,-1.04,15.93,-12.27
1134,-17.40,-0.57,1.73,-1.04,15.93,-12.27
1144,-17.40,-0.57,1.73,-1.04,15.93,-12.27
1154,-17.40,-0.57,1.73,-1.04,15.93,-12.27
1164,-17.40,-0.57,1.73,-1.04,15.93,-12.27
1174,-17.40,-0.57,1.73,-1.04,15.93,-12.27
1184,-17.40,-0.57,1.73,-1.04,15.93,-12.27
1194,-17.40,-0.57,1.73,-1.04,15.93,-12.27
1205,-17.40,-0.57,1.73,-1.04,15.93,-12.27
1215,-17.40,-0.57,1.73,-1.04,15.93,-12.27
1225,-17.40,-0.57,1.73,-1.04,15.93,-12.27
1235,-17.40,-0.57,1.73,-1.04,15.93,-12.27
1245,-17.40,-0.57,1.73,-1.04,15.93,-12.27
1255,-17.40,-0.57,1.73,-1.04,15.93,-12.27
1265,-17.40,-0.57,1.73,-1.04,15.93,-12.27
1275,-17.40,-0.57,1.73,-1.04,15.93,-12.27
