timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
0,-23.92,-1.35,1.93,9.77,-16.36,-36.56
10,-23.92,-1.35,1.93,9.77,-16.36,-36.56
20,-23.92,-1.35,1.93,9.77,-16.36,-36.56
30,-23.92,-1.35,1.93,9.77,-16.36,-36.56
41,-23.92,-1.35,1.93,9.77,-16.36,-36.56
51,-23.92,-1.35,1.93,9.77,-16.36,-36.56
61,-23.92,-1.35,1.93,9.77,-16.36,-36.56
71,-23.92,-1.35,1.93,9.77,-16.36,-36.56
81,-23.92,-1.35,1.93,9.77,-16.36,-36.56
91,-23.92,-1.35,1.93,9.77,-16.36,-36.56
101,-23.92,-1.35,1.93,9.77,-16.36,-36.56
111,-23.92,-1.35,1.93,9.77,-16.36,-36.56
121,-23.92,-1.35,1.93,9.77,-16.36,-36.56
131,-23.92,-1.35,1.93,9.77,-16.36,-36.56
141,-23.92,-1.35,1.93,9.77,-16.36,-36.56
151,-23.92,-1.35,1.93,9.77,-16.36,-36.56
161,-23.92,-1.35,1.93,9.77,-16.36,-36.56
171,-23.92,-1.35,1.93,9.77,-16.36,-36.56
181,-23.92,-1.35,1.93,9.77,-16.36,-36.56
191,-23.92,-1.35,1.93,9.77,-16.36,-36.56
201,-23.92,-1.35,1.93,9.77,-16.36,-36.56
212,-23.92,-1.35,1.93,9.77,-16.36,-36.56
222,-23.92,-1.35,1.93,9.77,-16.36,-36.56
232,-23.92,-1.35,1.93,9.77,-16.36,-36.56
242,-23.92,-1.35,1.93,9.77,-16.36,-36.56
252,-23.92,-1.35,1.93,9.77,-16.36,-36.56
262,-23.92,-1.35,1.93,9.77,-16.36,-36.56
272,-23.92,-1.35,1.93,9.77,-16.36,-36.56
282,-23.92,-1.35,1.93,9.77,-16.36,-36.56
292,-23.92,-1.35,1.93,9.77,-16.36,-36.56
302,-23.92,-1.35,1.93,9.77,-16.36,-36.56
312,-23.92,-1.35,1.93,9.77,-16.36,-36.56
322,-23.92,-1.35,1.93,9.77,-16.36,-36.56
332,-23.92,-1.35,1.93,9.77,-16.36,-36.56
342,-23.92,-1.35,1.93,9.77,-16.36,-36.56
352,-23.92,-1.35,1.93,9.77,-16.36,-36.56
362,-23.92,-1.35,1.93,9.77,-16.36,-36.56
