timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
0,-23.92,-1.35,1.93,9.77,-16.36,-36.56
10,-23.92,-1.35,1.93,9.77,-16.36,-36.56
20,-23.92,-1.35,1.93,9.77,-16.36,-36.56
30,-23.92,-1.35,1.93,9.77,-16.36,-36.56
40,-23.92,-1.35,1.93,9.77,-16.36,-36.56
50,-23.92,-1.35,1.93,9.77,-16.36,-36.56
60,-23.92,-1.35,1.93,9.77,-16.36,-36.56
70,-23.92,-1.35,1.93,9.77,-16.36,-36.56
80,-23.92,-1.35,1.93,9.77,-16.36,-36.56
90,-23.92,-1.35,1.93,9.77,-16.36,-36.56
100,-23.92,-1.35,1.93,9.77,-16.36,-36.56
110,-23.92,-1.35,1.93,9.77,-16.36,-36.56
120,-23.92,-1.35,1.93,9.77,-16.36,-36.56
130,-23.92,-1.35,1.93,9.77,-16.36,-36.56
140,-23.92,-1.35,1.93,9.77,-16.36,-36.56
150,-23.92,-1.35,1.93,9.77,-16.36,-36.56
160,-23.92,-1.35,1.93,9.77,-16.36,-36.56
170,-23.92,-1.35,1.93,9.77,-16.36,-36.56
180,-23.92,-1.35,1.93,9.77,-16.36,-36.56
190,-23.92,-1.35,1.93,9.77,-16.36,-36.56
200,-23.92,-1.35,1.93,9.77,-16.36,-36.56
210,-23.92,-1.35,1.93,9.77,-16.36,-36.56
220,-23.92,-1.35,1.93,9.77,-16.36,-36.56
230,-23.92,-1.35,1.93,9.77,-16.36,-36.56
240,-23.92,-1.35,1.93,9.77,-16.36,-36.56
250,-23.92,-1.35,1.93,9.77,-16.36,-36.56
260,-23.92,-1.35,1.93,9.77,-16.36,-36.56
270,-23.92,-1.35,1.93,9.77,-16.36,-36.56
280,-23.92,-1.35,1.93,9.77,-16.36,-36.56
290,-23.92,-1.35,1.93,9.77,-16.36,-36.56
300,-23.92,-1.35,1.93,9.77,-16.36,-36.56
310,-23.92,-1.35,1.93,9.77,-16.36,-36.56
320,-23.92,-1.35,1.93,9.77,-16.36,-36.56
330,-23.92,-1.35,1.93,9.77,-16.36,-36.56
340,-23.92,-1.35,1.93,9.77,-16.36,-36.56
350,-23.92,-1.35,1.93,9.77,-16.36,-36.56
360,-23.92,-1.35,1.93,9.77,-16.36,-36.56
