timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
0,-17.40,-0.57,1.73,-1.04,15.93,-12.27
10,-17.40,-0.57,1.73,-1.04,15.93,-12.27
20,-17.40,-0.57,1.73,-1.04,15.93,-12.27
30,-17.40,-0.57,1.73,-1.04,15.93,-12.27
40,-17.40,-0.57,1.73,-1.04,15.93,-12.27
50,-17.40,-0.57,1.73,-1.04,15.93,-12.27
60,-17.40,-0.57,1.73,-1.04,15.93,-12.27
70,-17.40,-0.57,1.73,-1.04,15.93,-12.27
80,-17.40,-0.57,1.73,-1.04,15.93,-12.27
90,-17.40,-0.57,1.73,-1.04,15.93,-12.27
100,-17.40,-0.57,1.73,-1.04,15.93,-12.27
110,-17.40,-0.57,1.73,-1.04,15.93,-12.27
120,-17.40,-0.57,1.73,-1.04,15.93,-12.27
130,-17.40,-0.57,1.73,-1.04,15.93,-12.27
140,-17.40,-0.57,1.73,-1.04,15.93,-12.27
150,-17.40,-0.57,1.73,-1.04,15.93,-12.27
160,-17.40,-0.57,1.73,-1.04,15.93,-12.27
170,-17.40,-0.57,1.73,-1.04,15.93,-12.27
180,-17.40,-0.57,1.73,-1.04,15.93,-12.27
190,-17.40,-0.57,1.73,-1.04,15.93,-12.27
200,-17.40,-0.57,1.73,-1.04,15.93,-12.27
210,-17.40,-0.57,1.73,-1.04,15.93,-12.27
220,-17.40,-0.57,1.73,-1.04,15.93,-12.27
230,-17.40,-0.57,1.73,-1.04,15.93,-12.27
240,-17.40,-0.57,1.73,-1.04,15.93,-12.27
250,-17.40,-0.57,1.73,-1.04,15.93,-12.27
260,-17.40,-0.57,1.73,-1.04,15.93,-12.27
270,-17.40,-0.57,1.73,-1.04,15.93,-12.27
280,-17.40,-0.57,1.73,-1.04,15.93,-12.27
290,-17.40,-0.57,1.73,-1.04,15.93,-12.27
300,-17.40,-0.57,1.73,-1.04,15.93,-12.27
310,-17.40,-0.57,1.73,-1.04,15.93,-12.27
320,-17.40,-0.57,1.73,-1.04,15.93,-12.27
330,-17.40,-0.57,1.73,-1.04,15.93,-12.27
340,-17.40,-0.57,1.73,-1.04,15.93,-12.27
350,-17.40,-0.57,1.73,-1.04,15.93,-12.27
360,-17.40,-0.57,1.73,-1.04,15.93,-12.27
370,-17.40,-0.57,1.73,-1.04,15.93,-12.27
380,-17.40,-0.57,1.73,-1.04,15.93,-12.27
390,-17.40,-0.57,1.73,-1.04,15.93,-12.27
400,-17.40,-0.57,1.73,-1.04,15.93,-12.27
410,-17.40,-0.57,1.73,-1.04,15.93,-12.27
420,-17.40,-0.57,1.73,-1.04,15.93,-12.27
430,-17.40,-0.57,1.73,-1.04,15.93,-12.27
440,-17.40,-0.57,1.73,-1.04,15.93,-12.27
450,-17.40,-0.57,1.73,-1.04,15.93,-12.27
460,-17.40,-0.57,1.73,-1.04,15.93,-12.27
470,-17.40,-0.57,1.73,-1.04,15.93,-12.27
480,-17.40,-0.57,1.73,-1.04,15.93,-12.27
490,-17.40,-0.57,1.73,-1.04,15.93,-12.27
500,-17.40,-0.57,1.73,-1.04,15.93,-12.27
510,-17.40,-0.57,1.73,-1.04,15.93,-12.27
520,-17.40,-0.57,1.73,-1.04,15.93,-12.27
530,-17.40,-0.57,1.73,-1.04,15.93,-12.27
540,-17.40,-0.57,1.73,-1.04,15.93,-12.27
550,-17.40,-0.57,1.73,-1.04,15.93,-12.27
560,-17.40,-0.57,1.73,-1.04,15.93,-12.27
570,-17.40,-0.57,1.73,-1.04,15.93,-12.27
580,-17.40,-0.57,1.73,-1.04,15.93,-12.27
590,-17.40,-0.57,1.73,-1.04,15.93,-12.27
600,-17.40,-0.57,1.73,-1.04,15.93,-12.27
611,-17.40,-0.57,1.73,-1.04,15.93,-12.27
621,-17.40,-0.57,1.73,-1.04,15.93,-12.27
631,-17.40,-0.57,1.73,-1.04,15.93,-12.27
641,-17.40,-0.57,1.73,-1.04,15.93,-12.27
651,-17.40,-0.57,1.73,-1.04,15.93,-12.27
661,-17.40,-0.57,1.73,-1.04,15.93,-12.27
671,-17.40,-0.57,1.73,-1.04,15.93,-12.27
681,-17.40,-0.57,1.73,-1.04,15.93,-12.27
691,-17.40,-0.57,1.73,-1.04,15.93,-12.27
701,-17.40,-0.57,1.73,-1.04,15.93,-12.27
711,-17.40,-0.57,1.73,-1.04,15.93,-12.27
721,-17.40,-0.57,1.73,-1.04,15.93,-12.27
731,-17.40,-0.57,1.73,-1.04,15.93,-12.27
741,-17.40,-0.57,1.73,-1.04,15.93,-12.27
751,-17.40,-0.57,1.73,-1.04,15.93,-12.27
761,-17.40,-0.57,1.73,-1.04,15.93,-12.27
771,-17.40,-0.57,1.73,-1.04,15.93,-12.27
782,-17.40,-0.57,1.73,-1.04,15.93,-12.27
792,-17.40,-0.57,1.73,-1.04,15.93,-12.27
802,-17.40,-0.57,1.73,-1.04,15.93,-12.27
812,-17.40,-0.57,1.73,-1.04,15.93,-12.27
822,-17.40,-0.57,1.73,-1.04,15.93,-12.27
832,-17.40,-0.57,1.73,-1.04,15.93,-12.27
842,-17.40,-0.57,1.73,-1.04,15.93,-12.27
852,-17.40,-0.57,1.73,-1.04,15.93,-12.27
862,-17.40,-0.57,1.73,-1.04,15.93,-12.27
872,-17.40,-0.57,1.73,-1.04,15.93,-12.27
882,-17.40,-0.57,1.73,-1.04,15.93,-12.27
892,-17.40,-0.57,1.73,-1.04,15.93,-12.27
902,-17.40,-0.57,1.73,-1.04,15.93,-12.27
912,-17.40,-0.57,1.73,-1.04,15.93,-12.27
922,-17.40,-0.57,1.73,-1.04,15.93,-12.27
932,-17.40,-0.57,1.73,-1.04,15.93,-12.27
942,-17.40,-0.57,1.73,-1.04,15.93,-12.27
952,-17.40,-0.57,1.73,-1.04,15.93,-12.27
962,-17.40,-0.57,1.73,-1.04,15.93,-12.27
972,-17.40,-0.57,1.73,-1.04,15.93,-12.27
982,-17.40,-0.57,1.73,-1.04,15.93,-12.27
992,-17.40,-0.57,1.73,-1.04,15.93,-12.27
1002,-17.40,-0.57,1.73,-1.04,15.93,-12.27
1012,-17.40,-0.57,1.73,-1.04,15.93,-12.27
1022,-17.40,-0.57,1.73,-1.04,15.93,-12.27
1032,-17.40,-0.57,1.73,-1.04,15.93,-12.27
1042,-17.40,-0.57,1.73,-1.04,15.93,-12.27
1052,-17.40,-0.57,1.73,-1.04,15.93,-12.27
1062,-17.40,-0.57,1.73,-1.04,15.93,-12.27
1072,-17.40,-0.57,1.73,-1.04,15.93,-12.27
1082,-17.40,-0.57,1.73,-1.04,15.93,-12.27
1092,-17.40,-0.57,1.73,-1.04,15.93,-12.27
1102,-17.40,-0.57,1.73,-1.04,15.93,-12.27
1112,-17.40,-0.57,1.73,-1.04,15.93,-12.27
1123,-17.40,-0.57,1.73,-1.04,15.93,-12.27
1133,-17.40,-0.57,1.73,-1.04,15.93,-12.27
1143,-17.40,-0.57,1.73,-1.04,15.93,-12.27
1153,-17.40,-0.57,1.73,-1.04,15.93,-12.27
1163,-17.40,-0.57,1.73,-1.04,15.93,-12.27
1173,-17.40,-0.57,1.73,-1.04,15.93,-12.27
1183,-17.40,-0.57,1.73,-1.04,15.93,-12.27
1193,-17.40,-0.57,1.73,-1.04,15.93,-12.27
1203,-17.40,-0.57,1.73,-1.04,15.93,-12.27
1213,-17.40,-0.57,1.73,-1.04,15.93,-12.27
1223,-17.40,-0.57,1.73,-1.04,15.93,-12.27
1233,-17.40,-0.57,1.73,-1.04,15.93,-12.27
1243,-17.40,-0.57,1.73,-1.04,15.93,-12.27
1253,-17.40,-0.57,1.73,-1.04,15.93,-12.27
1263,-17.40,-0.57,1.73,-1.04,15.93,-12.27
1273,-17.40,-0.57,1.73,-1.04,15.93,-12.27
