timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
0,-17.40,-0.57,1.73,-1.04,15.93,-12.27
11,-17.40,-0.57,1.73,-1.04,15.93,-12.27
21,-17.40,-0.57,1.73,-1.04,15.93,-12.27
31,-17.40,-0.57,1.73,-1.04,15.93,-12.27
41,-17.40,-0.57,1.73,-1.04,15.93,-12.27
51,-17.40,-0.57,1.73,-1.04,15.93,-12.27
61,-17.40,-0.57,1.73,-1.04,15.93,-12.27
71,-17.40,-0.57,1.73,-1.04,15.93,-12.27
81,-17.40,-0.57,1.73,-1.04,15.93,-12.27
91,-17.40,-0.57,1.73,-1.04,15.93,-12.27
101,-17.40,-0.57,1.73,-1.04,15.93,-12.27
111,-17.40,-0.57,1.73,-1.04,15.93,-12.27
121,-17.40,-0.57,1.73,-1.04,15.93,-12.27
131,-17.40,-0.57,1.73,-1.04,15.93,-12.27
141,-17.40,-0.57,1.73,-1.04,15.93,-12.27
151,-17.40,-0.57,1.73,-1.04,15.93,-12.27
161,-17.40,-0.57,1.73,-1.04,15.93,-12.27
171,-17.40,-0.57,1.73,-1.04,15.93,-12.27
182,-17.40,-0.57,1.73,-1.04,15.93,-12.27
192,-17.40,-0.57,1.73,-1.04,15.93,-12.27
202,-17.40,-0.57,1.73,-1.04,15.93,-12.27
212,-17.40,-0.57,1.73,-1.04,15.93,-12.27
222,-17.40,-0.57,1.73,-1.04,15.93,-12.27
232,-17.40,-0.57,1.73,-1.04,15.93,-12.27
242,-17.40,-0.57,1.73,-1.04,15.93,-12.27
252,-17.40,-0.57,1.73,-1.04,15.93,-12.27
262,-17.40,-0.57,1.73,-1.04,15.93,-12.27
272,-17.40,-0.57,1.73,-1.04,15.93,-12.27
282,-17.40,-0.57,1.73,-1.04,15.93,-12.27
292,-17.40,-0.57,1.73,-1.04,15.93,-12.27
302,-17.40,-0.57,1.73,-1.04,15.93,-12.27
312,-17.40,-0.57,1.73,-1.04,15.93,-12.27
322,-17.40,-0.57,1.73,-1.04,15.93,-12.27
332,-17.40,-0.57,1.73,-1.04,15.93,-12.27
342,-17.40,-0.57,1.73,-1.04,15.93,-12.27
352,-17.40,-0.57,1.73,-1.04,15.93,-12.27
362,-17.40,-0.57,1.73,-1.04,15.93,-12.27
372,-17.40,-0.57,1.73,-1.04,15.93,-12.27
382,-17.40,-0.57,1.73,-1.04,15.93,-12.27
392,-17.40,-0.57,1.73,-1.04,15.93,-12.27
402,-17.40,-0.57,1.73,-1.04,15.93,-12.27
412,-17.40,-0.57,1.73,-1.04,15.93,-12.27
422,-17.40,-0.57,1.73,-1.04,15.93,-12.27
432,-17.40,-0.57,1.73,-1.04,15.93,-12.27
442,-17.40,-0.57,1.73,-1.04,15.93,-12.27
452,-17.40,-0.57,1.73,-1.04,15.93,-12.27
462,-17.40,-0.57,1.73,-1.04,15.93,-12.27
472,-17.40,-0.57,1.73,-1.04,15.93,-12.27
482,-17.40,-0.57,1.73,-1.04,15.93,-12.27
492,-17.40,-0.57,1.73,-1.04,15.93,-12.27
502,-17.40,-0.57,1.73,-1.04,15.93,-12.27
512,-17.40,-0.57,1.73,-1.04,15.93,-12.27
523,-17.40,-0.57,1.73,-1.04,15.93,-12.27
533,-17.40,-0.57,1.73,-1.04,15.93,-12.27
543,-17.40,-0.57,1.73,-1.04,15.93,-12.27
553,-17.40,-0.57,1.73,-1.04,15.93,-12.27
563,-17.40,-0.57,1.73,-1.04,15.93,-12.27
573,-17.40,-0.57,1.73,-1.04,15.93,-12.27
583,-17.40,-0.57,1.73,-1.04,15.93,-12.27
593,-17.40,-0.57,1.73,-1.04,15.93,-12.27
603,-17.40,-0.57,1.73,-1.04,15.93,-12.27
613,-17.40,-0.57,1.73,-1.04,15.93,-12.27
623,-17.40,-0.57,1.73,-1.04,15.93,-12.27
633,-17.40,-0.57,1.73,-1.04,15.93,-12.27
643,-17.40,-0.57,1.73,-1.04,15.93,-12.27
653,-17.40,-0.57,1.73,-1.04,15.93,-12.27
663,-17.40,-0.57,1.73,-1.04,15.93,-12.27
673,-17.40,-0.57,1.73,-1.04,15.93,-12.27
683,-17.40,-0.57,1.73,-1.04,15.93,-12.27
694,-17.40,-0.57,1.73,-1.04,15.93,-12.27
704,-17.40,-0.57,1.73,-1.04,15.93,-12.27
714,-17.40,-0.57,1.73,-1.04,15.93,-12.27
724,-17.40,-0.57,1.73,-1.04,15.93,-12.27
734,-17.40,-0.57,1.73,-1.04,15.93,-12.27
744,-17.40,-0.57,1.73,-1.04,15.93,-12.27
754,-17.40,-0.57,1.73,-1.04,15.93,-12.27
764,-17.40,-0.57,1.73,-1.04,15.93,-12.27
774,-17.40,-0.57,1.73,-1.04,15.93,-12.27
784,-17.40,-0.57,1.73,-1.04,15.93,-12.27
794,-17.40,-0.57,1.73,-1.04,15.93,-12.27
804,-17.40,-0.57,1.73,-1.04,15.93,-12.27
814,-17.40,-0.57,1.73,-1.04,15.93,-12.27
824,-17.40,-0.57,1.73,-1.04,15.93,-12.27
834,-17.40,-0.57,1.73,-1.04,15.93,-12.27
844,-17.40,-0.57,1.73,-1.04,15.93,-12.27
854,-17.40,-0.57,1.73,-1.04,15.93,-12.27
