timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
0,-23.92,-1.35,1.93,9.77,-16.36,-36.56
10,-23.92,-1.35,1.93,9.77,-16.36,-36.56
20,-23.92,-1.35,1.93,9.77,-16.36,-36.56
30,-23.92,-1.35,1.93,9.77,-16.36,-36.56
40,-23.92,-1.35,1.93,9.77,-16.36,-36.56
50,-23.92,-1.35,1.93,9.77,-16.36,-36.56
60,-23.92,-1.35,1.93,9.77,-16.36,-36.56
70,-23.92,-1.35,1.93,9.77,-16.36,-36.56
80,-23.92,-1.35,1.93,9.77,-16.36,-36.56
90,-23.92,-1.35,1.93,9.77,-16.36,-36.56
100,-23.92,-1.35,1.93,9.77,-16.36,-36.56
110,-23.92,-1.35,1.93,9.77,-16.36,-36.56
120,-23.92,-1.35,1.93,9.77,-16.36,-36.56
130,-23.92,-1.35,1.93,9.77,-16.36,-36.56
140,-23.92,-1.35,1.93,9.77,-16.36,-36.56
150,-23.92,-1.35,1.93,9.77,-16.36,-36.56
160,-23.92,-1.35,1.93,9.77,-16.36,-36.56
170,-23.92,-1.35,1.93,9.77,-16.36,-36.56
181,-23.92,-1.35,1.93,9.77,-16.36,-36.56
191,-23.92,-1.35,1.93,9.77,-16.36,-36.56
201,-23.92,-1.35,1.93,9.77,-16.36,-36.56
211,-23.92,-1.35,1.93,9.77,-16.36,-36.56
221,-23.92,-1.35,1.93,9.77,-16.36,-36.56
231,-23.92,-1.35,1.93,9.77,-16.36,-36.56
241,-23.92,-1.35,1.93,9.77,-16.36,-36.56
251,-23.92,-1.35,1.93,9.77,-16.36,-36.56
261,-23.92,-1.35,1.93,9.77,-16.36,-36.56
271,-23.92,-1.35,1.93,9.77,-16.36,-36.56
281,-23.92,-1.35,1.93,9.77,-16.36,-36.56
291,-23.92,-1.35,1.93,9.77,-16.36,-36.56
301,-23.92,-1.35,1.93,9.77,-16.36,-36.56
311,-23.92,-1.35,1.93,9.77,-16.36,-36.56
321,-23.92,-1.35,1.93,9.77,-16.36,-36.56
331,-23.92,-1.35,1.93,9.77,-16.36,-36.56
341,-23.92,-1.35,1.93,9.77,-16.36,-36.56
352,-23.92,-1.35,1.93,9.77,-16.36,-36.56
362,-23.92,-1.35,1.93,9.77,-16.36,-36.56
