timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
0,-1.00,-0.06,0.00,-0.31,1.95,1.65
10,-1.00,-0.06,-0.00,-0.31,1.89,1.53
20,-1.00,-0.06,0.00,-0.12,1.89,1.28
30,-1.00,-0.06,0.00,0.06,2.08,1.46
40,-1.01,-0.06,0.01,-0.12,2.08,1.59
50,-1.00,-0.07,-0.00,-0.18,2.01,1.71
60,-1.00,-0.06,0.00,-0.37,1.95,1.59
70,-1.00,-0.06,0.00,-0.31,1.95,1.28
80,-1.00,-0.06,0.00,-0.31,2.01,1.16
90,-1.00,-0.06,0.00,-0.43,2.01,1.04
100,-1.00,-0.06,0.00,-0.61,1.89,1.46
110,-1.00,-0.06,-0.00,-0.37,1.77,1.77
120,-1.00,-0.06,0.00,-0.37,1.77,1.65
130,-1.00,-0.06,-0.00,-0.18,1.89,1.22
140,-1.00,-0.06,-0.00,0.00,2.01,1.16
150,-1.00,-0.06,0.00,0.24,2.20,1.40
160,-1.00,-0.06,-0.00,0.43,1.65,2.44
170,-1.01,-0.06,-0.00,0.31,1.83,2.08
180,-1.00,-0.06,0.00,0.24,1.71,1.53
190,-1.00,-0.06,0.01,0.18,1.83,1.04
200,-1.00,-0.06,0.01,0.18,1.83,1.10
210,-1.00,-0.06,0.01,-0.24,2.08,1.04
220,-1.00,-0.06,0.01,-0.24,2.56,1.16
230,-1.01,-0.06,0.01,0.06,2.08,2.01
240,-1.00,-0.06,0.00,-0.55,3.05,0.85
250,-1.00,-0.06,-0.00,-0.43,2.75,0.92
260,-1.00,-0.06,-0.00,-0.43,2.26,1.53
270,-1.00,-0.06,-0.01,-0.61,2.75,1.34
280,-1.00,-0.07,-0.00,-0.37,1.89,1.95
290,-1.00,-0.07,-0.00,-0.67,2.14,1.46
300,-1.00,-0.07,0.00,-0.61,1.77,1.77
310,-1.00,-0.06,0.01,-0.67,1.59,1.89
320,-1.00,-0.06,0.01,-0.73,2.20,1.40
330,-1.00,-0.06,0.01,-0.61,1.83,1.65
340,-1.00,-0.06,0.01,-0.73,2.38,1.40
350,-1.00,-0.06,0.00,-0.61,2.32,1.77
360,-1.00,-0.06,0.00,-0.61,2.01,1.95
370,-1.00,-0.06,-0.00,-0.79,2.44,1.16
380,-1.00,-0.06,-0.00,-0.43,2.20,1.53
390,-1.00,-0.06,-0.00,-0.37,2.14,1.46
