timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
0,-1.00,-0.07,-0.00,-0.49,1.40,1.95
10,-1.00,-0.07,0.00,-0.43,1.53,1.46
20,-1.00,-0.07,0.00,-0.49,1.40,1.40
30,-1.00,-0.07,0.00,-0.37,1.71,1.28
40,-1.00,-0.07,0.00,-0.12,1.53,1.65
50,-1.01,-0.06,0.00,-0.06,1.28,1.65
60,-1.00,-0.06,0.01,-0.06,1.40,1.16
70,-1.00,-0.06,0.01,0.00,1.53,1.40
80,-1.00,-0.07,0.01,0.00,1.77,1.28
90,-1.00,-0.07,0.01,-0.06,1.95,0.92
100,-1.01,-0.07,0.00,-0.67,2.56,0.55
110,-1.00,-0.07,0.01,0.37,1.89,1.22
120,-0.99,-0.08,0.01,-0.24,1.77,0.98
130,-1.00,-0.08,0.00,-0.43,2.26,0.85
140,-1.00,-0.08,0.01,-0.37,1.83,1.28
150,-1.00,-0.08,0.01,-0.18,2.08,0.98
160,-1.00,-0.08,0.00,-0.24,1.77,1.71
170,-1.00,-0.07,0.00,-0.67,2.62,1.10
180,-1.00,-0.07,0.00,-0.49,2.56,1.46
190,-1.01,-0.06,-0.00,-0.31,2.14,1.95
200,-1.01,-0.06,-0.01,-0.43,2.38,1.40
210,-1.00,-0.07,-0.01,-0.24,1.83,1.77
220,-1.00,-0.07,-0.00,-0.49,1.95,1.34
230,-1.00,-0.07,0.00,-0.31,1.77,1.22
240,-1.00,-0.07,0.00,-0.31,1.77,1.22
250,-1.00,-0.08,0.01,-0.24,1.89,1.22
260,-1.00,-0.08,0.01,-0.24,1.65,1.77
270,-1.00,-0.08,0.00,-0.31,1.83,1.89
280,-1.00,-0.07,0.00,-0.18,1.77,1.65
290,-1.00,-0.07,0.00,-0.31,2.01,1.53
300,-1.00,-0.07,0.00,-0.06,2.01,1.71
310,-1.00,-0.07,0.00,-0.06,1.95,1.95
320,-1.00,-0.06,0.00,-0.24,2.32,1.65
330,-1.00,-0.07,0.00,-0.18,2.14,1.71
340,-1.00,-0.06,0.01,-0.24,2.08,1.40
350,-1.00,-0.07,0.00,-0.18,2.44,1.16
360,-1.00,-0.07,0.01,-0.12,2.38,1.22
370,-1.00,-0.07,0.00,-0.18,2.38,1.46
380,-1.00,-0.07,-0.00,-0.06,2.26,1.77
390,-1.00,-0.07,-0.00,-0.18,2.20,1.71
400,-1.00,-0.07,0.00,-0.24,2.38,1.10
410,-1.00,-0.08,0.00,-0.18,2.01,1.46
420,-1.00,-0.07,0.00,-0.12,2.20,1.59
430,-1.00,-0.07,0.01,-0.06,2.14,1.46
440,-1.00,-0.07,0.01,-0.43,2.08,1.53
450,-1.01,-0.07,0.00,-0.12,2.50,1.53
460,-1.00,-0.07,0.01,-0.12,2.32,1.77
470,-1.00,-0.07,0.01,-0.31,2.75,1.46
480,-1.01,-0.06,0.00,-0.18,2.87,1.34
490,-1.00,-0.07,0.00,-0.12,2.38,1.46
500,-1.00,-0.07,-0.00,-0.31,2.69,1.10
510,-1.00,-0.08,-0.01,-0.24,2.50,1.28
520,-1.00,-0.07,-0.00,-0.06,2.14,1.83
530,-1.00,-0.07,0.00,-0.06,2.38,1.53
540,-1.00,-0.07,-0.00,-0.12,2.20,1.59
550,-1.00,-0.07,-0.00,0.00,2.08,1.89
560,-1.00,-0.07,0.00,0.00,1.89,1.89
570,-1.00,-0.07,-0.00,-0.12,1.95,1.59
580,-1.00,-0.07,0.00,-0.06,2.01,1.71
590,-1.00,-0.07,0.00,-0.12,2.20,1.71
600,-1.00,-0.07,-0.00,-0.24,2.20,1.65
610,-1.00,-0.07,0.00,-0.37,2.26,1.65
620,-1.00,-0.07,0.00,-0.43,2.32,1.65
630,-1.00,-0.07,-0.00,-0.43,2.32,1.46
640,-1.00,-0.07,-0.00,-0.37,2.20,1.22
650,-1.00,-0.07,-0.00,-0.18,2.32,1.28
660,-1.00,-0.07,0.00,-0.12,2.26,1.65
670,-1.00,-0.07,-0.00,-0.12,2.14,1.89
680,-1.00,-0.07,0.00,-0.24,2.08,1.53
690,-1.00,-0.07,-0.00,-0.31,2.01,1.34
700,-1.00,-0.07,-0.00,-0.24,2.14,1.46
710,-1.00,-0.07,0.00,-0.24,2.14,1.34
720,-1.00,-0.07,-0.00,-0.18,2.14,1.40
730,-1.00,-0.07,-0.00,-0.31,2.08,1.65
740,-1.00,-0.07,-0.01,-0.06,2.01,1.40
750,-1.00,-0.07,-0.01,0.00,1.89,1.46
760,-1.00,-0.07,-0.00,0.00,1.95,1.34
770,-1.00,-0.07,-0.00,0.12,1.71,1.53
780,-1.00,-0.07,-0.00,0.06,1.77,1.71
790,-1.00,-0.07,0.00,-0.06,1.77,1.65
800,-1.00,-0.07,0.00,0.06,1.65,1.71
810,-1.00,-0.07,-0.00,0.00,1.83,1.53
820,-1.00,-0.07,-0.00,-0.12,1.83,1.40
830,-1.00,-0.07,0.00,0.00,1.71,1.59
840,-1.00,-0.07,0.00,-0.06,1.83,1.65
850,-1.00,-0.07,-0.00,-0.12,1.77,1.71
860,-1.00,-0.07,-0.00,-0.12,1.77,1.65
870,-1.00,-0.07,-0.00,0.00,1.83,1.46
880,-1.00,-0.07,0.00,0.06,1.65,1.46
890,-1.00,-0.07,-0.00,0.06,1.65,1.65
900,-1.00,-0.07,-0.00,-0.06,1.46,1.71
910,-1.00,-0.07,-0.00,-0.06,1.34,1.59
920,-1.00,-0.07,-0.00,-0.12,1.34,1.59
