timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
0,-1.00,-0.06,-0.00,-0.06,1.77,1.53
10,-1.00,-0.07,-0.00,0.00,1.71,1.59
20,-1.00,-0.06,-0.00,0.00,1.71,1.53
30,-1.00,-0.06,-0.00,0.12,1.65,1.53
40,-1.00,-0.06,-0.00,0.00,1.65,1.53
50,-1.00,-0.06,-0.00,0.00,1.77,1.53
60,-1.00,-0.06,0.00,0.06,1.59,1.53
70,-1.00,-0.06,-0.00,0.00,1.59,1.53
80,-1.00,-0.06,0.00,0.00,1.65,1.53
90,-1.00,-0.06,0.00,-0.12,1.77,1.59
100,-1.00,-0.06,0.00,0.00,1.77,1.59
110,-1.00,-0.06,-0.00,0.00,1.71,1.46
120,-1.00,-0.06,0.00,0.00,1.83,1.46
130,-1.00,-0.06,-0.00,-0.06,1.89,1.46
140,-1.00,-0.06,-0.00,0.00,2.08,1.53
150,-1.00,-0.06,0.00,-0.18,1.77,1.59
160,-1.01,-0.06,0.00,-0.06,2.20,1.28
170,-1.00,-0.07,-0.00,0.18,1.95,1.28
180,-1.00,-0.06,-0.00,-0.12,1.16,1.53
190,-1.01,-0.06,-0.00,-0.37,1.46,1.53
200,-1.01,-0.06,0.00,-0.12,2.14,1.34
210,-1.00,-0.06,0.00,0.24,1.53,1.95
220,-1.00,-0.06,0.00,0.00,2.01,1.34
230,-1.00,-0.06,-0.00,0.00,1.71,1.71
240,-1.01,-0.06,0.01,0.37,2.01,1.71
250,-1.00,-0.07,-0.00,-0.12,1.83,1.34
260,-1.00,-0.07,0.00,0.12,1.53,1.65
270,-1.00,-0.06,0.00,-0.24,2.08,1.40
280,-1.00,-0.06,0.00,-0.18,1.71,1.71
290,-1.00,-0.06,0.00,0.06,1.89,1.59
300,-1.00,-0.07,-0.00,-0.06,1.83,1.71
310,-1.00,-0.06,0.00,-0.06,1.95,1.71
320,-1.00,-0.06,-0.00,-0.18,2.14,1.46
330,-1.00,-0.06,0.00,-0.06,2.14,1.40
340,-1.00,-0.06,0.00,-0.12,2.08,1.77
350,-1.00,-0.06,0.00,-0.12,2.20,1.71
360,-1.00,-0.06,0.00,0.12,2.08,1.77
370,-1.00,-0.06,0.00,-0.12,1.89,1.59
380,-1.00,-0.06,0.00,-0.24,2.08,1.34
390,-1.00,-0.06,0.00,0.06,1.89,1.53
400,-1.00,-0.06,-0.00,-0.24,1.77,1.95
410,-1.00,-0.07,-0.00,-0.31,2.20,1.16
420,-1.01,-0.06,0.01,0.00,2.01,1.77
430,-1.00,-0.06,0.01,0.37,2.20,1.40
440,-1.00,-0.06,0.00,0.12,1.65,1.46
450,-1.00,-0.06,0.00,-0.43,2.14,1.34
460,-1.00,-0.06,0.00,-0.43,2.20,1.34
470,-1.00,-0.06,0.00,-0.18,2.01,1.46
480,-0.99,-0.07,0.00,-0.12,2.14,1.10
490,-1.00,-0.06,0.00,-0.49,1.65,1.77
500,-1.00,-0.06,0.01,0.37,2.32,1.10
510,-1.00,-0.06,0.00,-0.31,1.95,1.28
520,-1.00,-0.06,-0.00,0.00,1.83,1.40
530,-1.00,-0.06,-0.00,-0.18,1.71,1.46
540,-1.00,-0.06,0.01,0.00,1.95,1.40
550,-1.01,-0.05,0.02,0.67,1.71,1.53
560,-1.00,-0.06,0.00,-0.06,1.95,1.10
570,-1.00,-0.07,-0.01,-0.24,1.83,1.10
580,-1.00,-0.06,-0.00,-0.37,1.89,1.40
590,-1.00,-0.06,0.00,-0.06,1.89,1.34
600,-1.01,-0.06,0.01,0.31,1.59,1.46
610,-1.01,-0.07,-0.00,0.31,1.71,1.40
620,-1.00,-0.07,-0.00,0.12,1.77,1.46
630,-1.00,-0.06,0.00,-0.06,1.53,2.01
