timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
0,-1.00,-0.07,0.00,0.06,1.65,1.53
10,-1.00,-0.07,0.00,0.00,1.71,1.59
20,-1.00,-0.07,-0.00,-0.06,1.77,1.34
30,-1.00,-0.07,0.00,-0.06,1.71,1.53
40,-1.00,-0.07,-0.00,0.00,1.65,1.46
50,-1.00,-0.07,0.00,0.00,1.71,1.53
60,-1.00,-0.07,-0.00,-0.12,1.83,1.53
70,-1.00,-0.07,0.00,0.00,1.83,1.40
80,-1.00,-0.07,-0.00,-0.06,1.77,1.46
90,-1.00,-0.07,0.00,-0.06,1.83,1.46
100,-1.00,-0.07,-0.00,-0.06,1.77,1.59
110,-1.00,-0.07,-0.00,-0.06,1.77,1.46
120,-1.00,-0.07,0.00,-0.06,1.77,1.59
130,-1.00,-0.07,-0.00,-0.06,1.77,1.40
140,-1.00,-0.07,-0.00,0.00,1.83,1.53
150,-1.00,-0.07,0.00,0.00,1.71,1.59
160,-1.00,-0.07,0.00,0.00,1.77,1.53
170,-1.00,-0.07,0.00,-0.06,1.71,1.53
180,-1.00,-0.07,0.00,-0.18,2.01,1.34
190,-1.00,-0.07,-0.00,-0.06,2.01,1.53
200,-1.00,-0.07,0.00,-0.12,1.89,1.59
210,-1.00,-0.07,0.00,-0.12,2.26,1.46
220,-1.00,-0.07,-0.00,0.06,1.95,1.46
230,-1.01,-0.07,-0.00,0.18,1.71,1.40
240,-1.00,-0.07,0.00,-0.12,1.95,1.16
250,-1.00,-0.07,-0.00,0.00,1.59,1.53
260,-1.00,-0.07,0.00,0.06,1.65,1.89
270,-1.00,-0.07,-0.00,0.12,1.83,1.53
280,-1.00,-0.07,0.00,0.00,1.89,1.46
290,-1.00,-0.07,-0.00,0.06,1.77,1.53
300,-1.00,-0.07,-0.00,-0.06,1.71,1.46
310,-1.00,-0.07,0.00,-0.06,1.65,1.53
320,-1.00,-0.07,0.00,-0.12,1.77,1.59
330,-1.00,-0.07,-0.00,-0.12,1.83,1.71
340,-1.00,-0.07,0.00,-0.06,1.83,1.59
350,-1.00,-0.07,0.00,-0.06,1.83,1.59
360,-1.00,-0.07,0.00,-0.24,1.95,1.65
370,-1.00,-0.07,-0.00,-0.24,2.01,1.46
380,-1.00,-0.07,0.00,-0.24,2.01,1.28
390,-1.00,-0.07,-0.00,-0.12,1.95,1.28
400,-1.00,-0.07,-0.00,-0.18,1.95,1.40
410,-1.00,-0.07,0.00,-0.18,1.95,1.71
420,-1.00,-0.07,0.00,-0.12,1.77,1.46
430,-1.00,-0.07,0.00,-0.18,1.77,1.34
440,-1.00,-0.07,0.00,-0.24,1.89,1.40
450,-1.00,-0.07,0.00,-0.12,1.89,1.46
460,-1.00,-0.07,0.00,-0.18,1.83,1.53
470,-1.00,-0.07,-0.00,-0.24,1.83,1.53
480,-1.00,-0.07,-0.00,0.00,1.83,1.40
490,-1.00,-0.07,0.00,-0.06,2.01,1.46
500,-1.00,-0.07,-0.00,-0.06,1.83,1.53
510,-1.00,-0.07,-0.00,-0.18,1.95,1.40
520,-1.00,-0.07,-0.00,-0.06,1.89,1.53
530,-1.00,-0.07,0.00,-0.12,1.83,1.65
540,-1.00,-0.07,0.00,-0.18,1.77,1.53
550,-1.00,-0.07,0.00,-0.18,1.89,1.53
560,-1.00,-0.07,0.00,-0.06,2.01,1.40
570,-1.00,-0.07,0.00,-0.06,1.95,1.53
580,-1.00,-0.07,-0.00,-0.18,1.83,1.59
590,-1.00,-0.07,-0.00,-0.31,1.89,1.53
600,-1.00,-0.07,0.00,-0.06,1.89,1.53
610,-1.00,-0.07,0.00,-0.12,1.95,1.53
620,-1.00,-0.07,-0.00,-0.06,1.95,1.46
630,-1.00,-0.07,-0.00,-0.12,1.95,1.46
640,-1.00,-0.07,0.00,-0.18,1.89,1.46
650,-1.00,-0.07,-0.00,-0.06,1.89,1.59
660,-1.00,-0.07,0.00,-0.12,1.83,1.46
670,-1.00,-0.07,0.00,-0.12,1.89,1.53
680,-1.00,-0.07,-0.00,-0.18,1.95,1.40
690,-1.00,-0.07,0.00,-0.18,1.95,1.53
700,-1.00,-0.07,0.00,-0.12,1.95,1.59
710,-1.00,-0.07,-0.00,-0.24,1.95,1.46
720,-1.00,-0.07,0.00,-0.18,2.01,1.53
730,-1.00,-0.07,-0.00,-0.18,1.95,1.40
740,-1.00,-0.07,0.00,-0.18,2.01,1.53
750,-1.00,-0.07,-0.00,-0.18,2.01,1.65
760,-1.00,-0.07,0.00,-0.06,1.95,1.40
770,-1.00,-0.07,-0.00,-0.18,1.89,1.40
