timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
0,-1.00,-0.07,0.00,-0.67,2.14,1.59
10,-1.00,-0.07,0.00,-0.49,2.01,2.01
20,-1.00,-0.07,0.00,-0.67,1.83,2.08
30,-1.00,-0.06,0.00,-0.24,2.01,2.01
40,-1.00,-0.06,0.01,-0.73,2.56,0.98
50,-1.00,-0.06,0.00,-0.31,2.69,0.92
60,-1.00,-0.06,0.00,-0.43,2.32,0.92
70,-1.00,-0.06,0.00,-0.06,2.26,1.83
80,-1.00,-0.06,0.00,0.06,2.01,2.32
90,-1.00,-0.06,-0.00,-0.18,2.32,0.92
100,-1.00,-0.07,0.00,-0.24,2.20,0.67
110,-1.00,-0.08,0.00,-0.06,2.14,0.98
120,-1.00,-0.08,-0.00,-0.24,2.01,1.83
130,-1.00,-0.08,0.00,-0.24,2.01,2.14
140,-1.00,-0.07,0.00,-0.31,2.20,1.53
150,-1.00,-0.07,0.00,-0.24,2.38,1.59
160,-1.00,-0.07,0.00,-0.24,2.32,1.46
170,-1.00,-0.07,0.00,-0.24,2.38,1.46
180,-1.00,-0.06,0.00,-0.37,2.20,1.89
190,-1.00,-0.07,0.00,-0.24,2.01,1.95
200,-1.00,-0.07,0.00,-0.18,2.01,1.77
210,-1.00,-0.07,0.00,-0.18,2.08,1.46
220,-1.00,-0.07,-0.00,-0.12,2.01,1.53
230,-1.00,-0.07,0.00,-0.24,2.01,1.89
240,-1.00,-0.07,0.00,-0.18,1.89,2.01
250,-1.00,-0.07,0.00,-0.18,1.83,1.89
260,-1.00,-0.07,0.00,-0.24,1.95,1.59
270,-1.00,-0.07,0.01,-0.24,1.95,1.65
280,-1.00,-0.07,0.00,-0.24,2.01,1.95
290,-1.00,-0.07,-0.00,-0.31,2.08,2.20
300,-1.00,-0.07,0.00,-0.55,1.89,2.50
310,-1.00,-0.06,0.00,-0.37,2.01,2.01
320,-1.00,-0.06,0.00,-0.31,2.20,1.59
330,-1.00,-0.06,-0.00,-0.31,2.20,1.65
340,-1.00,-0.07,-0.00,-0.24,2.26,1.71
350,-1.00,-0.06,-0.00,-0.18,2.14,2.08
360,-1.00,-0.06,0.00,0.00,1.83,2.14
370,-1.00,-0.07,0.01,-0.06,2.14,1.46
380,-1.00,-0.07,0.00,-0.31,2.32,1.16
390,-1.00,-0.07,0.01,-0.18,1.77,1.71
400,-1.00,-0.06,0.00,-0.31,2.08,1.89
410,-1.00,-0.06,0.00,-0.06,2.01,1.77
420,-1.00,-0.07,-0.00,0.00,2.08,1.59
430,-1.00,-0.07,0.00,-0.12,2.32,1.22
440,-1.00,-0.07,0.00,-0.06,2.20,1.53
450,-1.00,-0.07,-0.00,-0.37,1.77,1.83
460,-1.00,-0.07,0.01,0.00,2.56,1.59
470,-0.99,-0.07,0.01,-0.18,2.08,1.77
480,-1.00,-0.07,0.00,-0.18,2.20,1.22
490,-1.00,-0.07,0.00,-0.37,2.20,1.59
500,-1.00,-0.07,-0.00,-0.43,2.20,1.71
510,-1.00,-0.07,0.00,-0.12,2.14,1.53
520,-1.00,-0.06,0.00,0.06,2.01,1.34
530,-1.00,-0.06,0.00,-0.24,1.83,1.40
540,-1.00,-0.07,0.00,-0.24,2.08,1.59
550,-1.00,-0.06,0.01,0.12,1.65,1.89
560,-1.00,-0.07,0.00,0.00,1.77,1.53
570,-1.00,-0.06,0.01,0.06,2.08,1.22
580,-1.00,-0.06,0.00,-0.37,1.95,1.59
590,-1.00,-0.06,0.00,-0.06,1.28,2.26
600,-1.00,-0.07,0.00,-0.06,2.38,1.34
610,-1.00,-0.07,0.00,-0.18,1.77,1.65
620,-1.00,-0.06,0.00,-0.24,1.83,1.16
630,-1.00,-0.07,-0.00,-0.06,1.77,1.28
640,-1.00,-0.07,0.00,0.18,2.08,1.59
650,-1.00,-0.06,0.00,0.06,1.65,1.95
660,-1.00,-0.07,-0.00,-0.06,1.95,1.46
