timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
0,-1.00,-0.06,0.00,-0.18,1.95,1.46
10,-1.00,-0.06,0.00,-0.12,1.89,1.59
20,-1.00,-0.07,0.01,-0.12,1.83,1.53
30,-1.00,-0.07,0.00,-0.18,2.01,1.40
40,-1.00,-0.07,0.00,-0.18,1.95,1.46
50,-1.00,-0.07,0.00,-0.18,2.01,1.53
60,-1.00,-0.06,0.01,-0.18,2.08,1.59
70,-1.00,-0.06,0.00,-0.31,2.01,1.46
80,-1.00,-0.06,0.00,-0.31,2.08,1.53
90,-1.00,-0.06,0.00,-0.18,2.08,1.46
100,-1.00,-0.06,0.01,-0.24,2.14,1.46
110,-1.00,-0.06,0.01,-0.31,2.14,1.46
120,-1.00,-0.07,-0.00,-0.31,2.26,1.46
130,-1.00,-0.07,0.00,-0.31,2.32,1.40
140,-1.00,-0.07,0.00,-0.24,2.20,1.46
150,-1.00,-0.07,0.00,-0.31,2.26,1.40
160,-1.00,-0.07,0.00,-0.31,2.26,1.40
170,-1.00,-0.07,0.00,-0.43,2.26,1.46
180,-1.00,-0.07,0.00,-0.37,2.44,1.46
190,-1.00,-0.07,0.00,-0.31,2.26,1.46
200,-1.00,-0.07,0.00,-0.31,2.38,1.53
210,-1.00,-0.07,0.00,-0.37,2.20,1.59
220,-1.00,-0.07,0.01,-0.24,2.26,1.46
230,-1.01,-0.06,-0.00,-0.31,2.44,1.40
240,-1.00,-0.07,0.00,-0.31,2.38,1.53
250,-1.00,-0.07,0.00,-0.43,2.38,1.46
260,-1.01,-0.06,0.00,-0.24,2.75,1.34
270,-1.00,-0.07,0.00,-0.06,2.08,1.40
280,-1.00,-0.07,-0.00,-0.24,2.32,1.28
290,-1.00,-0.07,-0.00,-0.31,2.26,1.22
300,-1.00,-0.07,0.00,-0.18,1.77,1.89
310,-1.00,-0.07,0.00,-0.18,2.01,1.65
320,-1.00,-0.07,0.00,-0.31,2.32,1.34
330,-1.00,-0.07,-0.00,-0.18,2.14,1.53
340,-1.01,-0.06,-0.00,-0.18,2.08,1.65
350,-1.00,-0.07,0.00,-0.24,2.01,1.65
360,-1.00,-0.07,0.00,-0.24,2.14,1.46
