timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
0,-1.00,-0.06,-0.00,-0.18,1.89,1.59
10,-1.00,-0.06,0.00,-0.12,1.95,1.46
20,-1.00,-0.07,0.00,-0.12,2.08,1.28
30,-1.00,-0.07,0.00,-0.18,2.01,1.40
40,-1.00,-0.07,-0.00,-0.18,2.08,1.53
50,-1.00,-0.07,0.00,-0.24,2.08,1.59
60,-1.00,-0.06,0.00,-0.12,1.95,1.59
70,-1.00,-0.07,0.00,-0.18,1.95,1.46
80,-1.00,-0.07,0.01,-0.31,2.08,1.53
90,-1.00,-0.06,0.00,-0.24,2.32,1.34
100,-1.00,-0.07,0.00,-0.24,2.20,1.65
110,-1.00,-0.07,0.01,-0.31,2.32,1.53
120,-1.00,-0.06,0.00,-0.18,2.38,1.22
130,-1.00,-0.06,0.00,0.00,1.83,1.40
140,-1.00,-0.07,0.00,-0.24,2.26,1.04
150,-1.00,-0.07,-0.00,-0.18,2.14,1.40
160,-1.00,-0.07,0.00,-0.18,1.71,2.14
170,-1.00,-0.06,-0.00,-0.18,2.01,1.71
180,-1.00,-0.07,-0.00,-0.24,2.26,1.04
190,-1.00,-0.07,0.00,-0.12,1.95,1.46
200,-1.00,-0.07,-0.00,-0.12,2.08,1.46
210,-1.00,-0.07,0.00,-0.18,1.89,1.65
220,-1.00,-0.06,0.00,-0.31,1.95,1.71
230,-1.00,-0.06,0.00,-0.24,2.08,1.65
240,-1.00,-0.07,0.00,-0.31,2.14,1.40
250,-1.00,-0.07,0.00,-0.24,2.14,1.46
260,-1.00,-0.06,0.00,-0.43,2.14,1.65
270,-1.00,-0.06,0.00,-0.49,2.20,1.71
280,-1.00,-0.06,-0.00,-0.55,2.26,1.40
290,-1.00,-0.06,-0.00,-0.31,2.08,1.34
300,-1.00,-0.06,0.00,-0.31,2.14,1.28
310,-1.00,-0.07,0.00,-0.18,2.14,1.59
320,-1.00,-0.06,0.00,-0.18,2.01,1.83
330,-1.00,-0.06,0.00,-0.18,2.14,1.40
340,-1.00,-0.07,-0.00,-0.31,2.20,1.22
350,-1.00,-0.06,0.00,-0.18,2.08,1.34
360,-1.00,-0.06,0.00,-0.18,1.89,1.53
370,-1.00,-0.07,0.00,-0.31,2.14,1.40
380,-1.00,-0.06,-0.00,-0.24,2.14,1.53
390,-1.00,-0.07,-0.00,-0.18,2.08,1.53
400,-1.00,-0.07,-0.00,-0.31,2.14,1.40
410,-1.00,-0.06,0.00,-0.31,2.38,1.40
420,-1.00,-0.06,0.00,-0.31,2.26,1.53
430,-1.00,-0.07,0.00,-0.24,2.14,1.53
440,-1.00,-0.07,0.01,-0.37,2.26,1.53
450,-1.00,-0.07,0.00,-0.24,2.26,1.40
460,-1.00,-0.07,0.00,-0.31,2.20,1.34
470,-1.00,-0.06,-0.00,-0.24,2.32,1.40
480,-1.00,-0.07,-0.00,-0.37,2.20,1.53
490,-1.00,-0.07,-0.00,-0.31,2.26,1.59
500,-1.00,-0.07,-0.00,-0.37,2.20,1.53
510,-1.00,-0.06,-0.00,-0.31,2.20,1.46
520,-1.00,-0.06,0.00,-0.24,2.01,1.40
530,-1.00,-0.06,-0.00,-0.37,2.14,1.46
540,-1.00,-0.07,-0.00,-0.12,2.14,1.65
550,-1.00,-0.06,-0.00,-0.24,2.14,1.65
560,-1.00,-0.07,0.00,-0.24,2.26,1.59
570,-1.00,-0.06,-0.00,-0.37,2.26,1.34
580,-1.00,-0.07,0.00,-0.37,2.14,1.40
590,-1.00,-0.06,-0.00,-0.24,2.26,1.46
600,-1.00,-0.06,-0.01,-0.24,2.08,1.65
610,-1.00,-0.07,-0.00,-0.24,2.08,1.53
620,-1.00,-0.06,-0.00,-0.18,1.89,1.53
630,-1.00,-0.06,-0.00,-0.24,2.08,1.46
640,-1.00,-0.06,-0.00,-0.18,1.95,1.40
650,-1.00,-0.06,0.00,-0.24,2.01,1.53
660,-1.00,-0.06,0.00,-0.18,2.01,1.46
670,-1.00,-0.07,-0.00,-0.06,1.95,1.46
680,-1.00,-0.06,0.00,-0.12,1.89,1.53
690,-1.00,-0.06,0.00,0.00,1.83,1.53
700,-1.00,-0.07,-0.00,-0.06,2.01,1.59
710,-1.00,-0.07,-0.00,-0.06,1.83,1.59
720,-1.00,-0.07,-0.00,-0.12,1.77,1.53
730,-1.00,-0.06,-0.00,-0.06,1.77,1.59
740,-1.00,-0.06,0.00,-0.06,1.77,1.53
750,-1.00,-0.06,-0.00,0.00,1.95,1.46
760,-1.00,-0.07,-0.00,0.00,1.89,1.53
770,-1.00,-0.07,-0.00,-0.06,1.77,1.59
780,-1.00,-0.07,0.00,-0.12,1.77,1.46
790,-1.00,-0.06,0.00,-0.18,1.89,1.40
800,-1.00,-0.06,0.00,-0.12,1.95,1.40
810,-1.00,-0.07,-0.00,0.00,1.89,1.59
820,-1.00,-0.07,-0.00,-0.18,2.14,1.53
830,-1.00,-0.06,-0.00,0.00,2.08,1.40
840,-1.00,-0.06,0.00,0.12,1.46,1.53
850,-1.00,-0.07,-0.00,0.00,2.01,1.16
860,-1.00,-0.07,-0.00,-0.12,1.77,1.28
870,-1.00,-0.06,-0.01,0.06,1.46,1.89
880,-1.00,-0.06,0.00,0.12,1.65,1.71
890,-1.00,-0.07,-0.00,0.00,1.71,1.53
900,-1.00,-0.07,0.00,0.06,1.77,1.40
910,-1.00,-0.07,-0.00,0.06,1.71,1.59
920,-1.00,-0.06,0.00,0.00,1.65,1.53
930,-1.00,-0.06,0.00,0.00,1.59,1.71
940,-1.00,-0.06,0.00,-0.06,1.65,1.59
