timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
0,-1.00,-0.06,0.00,-0.18,2.01,1.34
10,-1.00,-0.07,0.01,-0.12,1.95,1.71
20,-1.00,-0.06,-0.00,-0.18,2.08,1.65
30,-1.00,-0.06,-0.00,-0.43,2.20,1.46
40,-1.00,-0.06,-0.00,-0.61,2.08,1.53
50,-1.00,-0.06,0.00,-0.61,2.26,1.34
60,-1.00,-0.06,-0.00,-0.31,1.83,1.71
70,-1.00,-0.06,0.00,-0.31,1.83,1.53
80,-1.00,-0.06,0.00,-0.12,2.01,1.65
90,-1.00,-0.06,0.00,0.06,1.83,2.08
100,-1.00,-0.06,0.01,0.06,2.20,1.83
110,-1.00,-0.07,0.00,-0.12,2.26,1.53
120,-1.00,-0.06,-0.00,0.12,1.89,1.71
130,-1.00,-0.06,0.00,0.06,1.83,1.77
140,-1.00,-0.06,0.00,0.00,2.08,1.59
150,-1.00,-0.06,0.00,-0.18,1.95,1.71
160,-1.00,-0.06,0.01,-0.18,1.89,1.83
170,-1.00,-0.06,0.00,-0.43,2.26,1.40
180,-1.00,-0.06,0.00,-0.43,2.26,1.16
190,-1.00,-0.06,-0.00,-0.43,2.38,1.28
200,-1.00,-0.07,0.00,-0.37,2.44,1.40
210,-1.00,-0.06,0.00,-0.49,2.75,1.16
220,-1.00,-0.06,-0.01,-0.18,2.38,1.22
230,-1.00,-0.06,-0.01,-0.12,1.95,1.59
240,-1.00,-0.06,-0.00,-0.18,2.08,1.53
250,-1.00,-0.06,-0.00,0.00,2.08,1.59
260,-1.00,-0.06,0.00,-0.12,2.01,1.53
270,-1.00,-0.06,-0.00,-0.12,1.95,1.28
280,-1.00,-0.06,0.00,-0.18,1.77,1.65
290,-1.00,-0.06,0.00,-0.18,2.01,1.34
300,-1.00,-0.06,0.00,-0.12,1.89,1.46
310,-1.00,-0.06,0.00,-0.24,2.08,1.34
320,-1.00,-0.06,0.01,-0.18,2.01,1.53
330,-1.00,-0.06,0.00,-0.24,2.01,1.77
340,-1.00,-0.06,0.00,-0.37,2.38,1.40
