timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
0,-1.00,-0.07,-0.00,-0.18,1.89,1.71
10,-1.00,-0.07,-0.00,-0.12,1.89,1.46
20,-1.00,-0.07,-0.00,-0.12,1.77,1.28
30,-1.00,-0.07,-0.00,0.06,1.59,1.46
40,-1.00,-0.07,-0.00,0.06,1.83,1.46
50,-1.00,-0.07,-0.01,0.00,1.77,1.53
60,-1.00,-0.07,-0.00,-0.06,1.83,1.53
70,-1.00,-0.07,-0.00,0.00,1.77,1.46
80,-1.00,-0.07,-0.00,-0.06,1.77,1.40
90,-1.00,-0.07,0.00,0.00,1.77,1.34
100,-1.00,-0.07,-0.00,0.06,1.71,1.53
110,-1.00,-0.07,-0.00,0.00,1.59,1.71
120,-1.00,-0.07,-0.00,0.00,1.59,1.65
130,-1.00,-0.07,-0.00,0.06,1.65,1.53
140,-1.00,-0.07,0.00,0.00,1.71,1.46
150,-1.00,-0.07,-0.00,0.00,1.71,1.46
160,-1.00,-0.07,-0.00,-0.06,1.71,1.59
170,-1.00,-0.07,-0.00,-0.12,1.77,1.53
180,-1.00,-0.07,-0.00,0.06,1.65,1.59
190,-1.00,-0.07,-0.00,-0.06,1.71,1.53
200,-1.00,-0.07,-0.00,0.06,1.77,1.59
210,-1.00,-0.07,-0.00,-0.06,1.71,1.59
220,-1.00,-0.07,-0.00,0.06,1.65,1.53
230,-1.00,-0.07,-0.00,-0.12,1.71,1.53
240,-1.00,-0.07,-0.00,-0.18,1.65,1.46
250,-1.00,-0.07,-0.00,-0.12,1.83,1.40
260,-1.00,-0.07,-0.00,0.06,1.77,1.53
270,-1.00,-0.07,-0.00,0.00,1.89,1.59
280,-1.00,-0.07,-0.00,0.00,1.77,1.59
290,-1.00,-0.07,0.00,-0.06,1.77,1.46
300,-1.00,-0.07,-0.00,-0.06,1.77,1.46
310,-1.00,-0.07,0.00,-0.12,1.71,1.40
320,-1.00,-0.07,0.00,-0.12,1.83,1.40
330,-1.00,-0.07,-0.00,-0.06,1.89,1.53
340,-1.00,-0.07,0.00,0.00,1.89,1.40
350,-1.00,-0.07,-0.00,0.00,1.83,1.46
360,-1.00,-0.07,-0.00,0.00,1.77,1.40
370,-1.00,-0.07,0.00,0.00,1.83,1.53
380,-1.00,-0.07,-0.00,-0.06,1.71,1.59
390,-1.00,-0.07,0.00,-0.06,1.83,1.53
400,-1.00,-0.07,0.00,-0.06,1.89,1.59
410,-1.00,-0.07,0.00,-0.06,1.95,1.46
420,-1.00,-0.07,0.00,-0.06,1.83,1.59
430,-1.00,-0.07,0.00,-0.06,1.77,1.65
440,-1.00,-0.07,-0.00,-0.12,1.83,1.46
450,-1.00,-0.07,0.00,-0.12,2.01,1.53
460,-1.00,-0.07,-0.00,-0.18,2.01,1.53
470,-1.00,-0.07,0.00,-0.12,1.89,1.59
480,-1.00,-0.07,-0.00,-0.12,2.26,1.40
490,-1.00,-0.07,-0.00,0.12,1.83,1.59
500,-1.00,-0.07,-0.00,0.31,1.46,1.46
510,-1.00,-0.07,-0.00,-0.12,2.01,1.10
520,-1.00,-0.07,0.00,0.00,1.71,1.59
530,-1.00,-0.07,0.00,0.00,1.65,2.01
540,-1.00,-0.07,0.00,0.06,1.89,1.53
550,-1.00,-0.07,0.00,0.06,1.89,1.46
560,-1.00,-0.07,-0.00,0.06,1.77,1.53
570,-1.00,-0.07,-0.00,-0.06,1.77,1.59
580,-1.00,-0.07,0.00,-0.06,1.71,1.65
590,-1.00,-0.07,0.01,-0.06,1.77,1.53
600,-1.00,-0.07,0.00,0.00,1.89,1.59
610,-1.00,-0.07,0.00,-0.06,1.77,1.65
620,-1.00,-0.07,0.00,-0.12,1.89,1.65
630,-1.00,-0.07,0.00,-0.24,1.83,1.65
