timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
0,-1.00,-0.07,0.01,-0.43,2.38,1.34
10,-1.00,-0.07,0.00,-0.49,2.44,1.46
20,-1.00,-0.07,0.00,-0.31,2.32,1.71
30,-1.00,-0.07,-0.00,-0.24,2.14,1.71
40,-1.00,-0.06,-0.00,-0.43,2.32,1.53
50,-1.00,-0.07,0.00,-0.31,2.38,1.22
60,-1.00,-0.07,-0.00,-0.31,2.26,1.34
70,-1.00,-0.07,0.00,-0.24,2.20,1.40
80,-1.00,-0.07,-0.00,-0.18,2.38,1.46
90,-1.00,-0.07,-0.00,-0.18,2.44,1.46
100,-1.00,-0.07,-0.00,-0.24,2.14,1.53
110,-1.00,-0.07,-0.00,-0.31,2.26,1.40
120,-1.00,-0.07,0.00,-0.24,2.20,1.59
130,-1.00,-0.07,-0.00,-0.31,2.01,1.46
140,-1.00,-0.07,0.00,-0.24,1.95,1.53
150,-1.00,-0.06,-0.00,-0.24,1.95,1.65
160,-1.00,-0.06,-0.00,-0.18,1.89,1.65
170,-1.00,-0.07,0.00,-0.18,1.83,1.53
180,-1.00,-0.07,-0.00,-0.06,1.77,1.59
190,-1.00,-0.07,-0.00,-0.12,1.83,1.65
200,-1.00,-0.07,-0.00,0.00,1.83,1.65
210,-1.00,-0.07,0.00,-0.18,1.77,1.59
220,-1.00,-0.07,-0.00,-0.06,1.71,1.46
230,-1.00,-0.07,-0.00,-0.06,1.77,1.53
240,-1.00,-0.06,-0.00,-0.12,1.77,1.71
250,-1.00,-0.06,0.00,-0.06,1.71,1.71
260,-1.00,-0.07,-0.00,-0.12,1.77,1.65
270,-1.00,-0.07,0.00,-0.06,1.89,1.46
280,-1.00,-0.07,0.00,-0.24,1.95,1.34
290,-1.00,-0.07,-0.00,-0.12,1.89,1.46
300,-1.00,-0.07,-0.00,-0.18,1.83,1.59
310,-1.00,-0.07,0.00,-0.06,1.89,1.59
320,-1.00,-0.06,-0.00,-0.12,1.89,1.53
330,-1.00,-0.07,0.00,-0.06,1.83,1.53
340,-1.00,-0.07,0.00,-0.18,1.65,1.59
350,-1.00,-0.07,-0.00,-0.12,1.71,1.46
360,-1.00,-0.06,-0.00,0.00,1.89,1.46
370,-1.00,-0.07,0.00,0.00,1.83,1.59
380,-1.00,-0.07,0.00,-0.12,1.77,1.65
390,-1.00,-0.07,0.00,-0.18,1.83,1.59
400,-1.01,-0.07,0.00,-0.31,1.95,1.40
410,-1.00,-0.07,0.00,-0.12,1.95,1.46
420,-1.00,-0.07,0.00,-0.06,1.83,1.71
430,-1.00,-0.07,0.00,-0.12,1.89,1.65
440,-1.00,-0.07,-0.00,0.00,2.01,1.46
450,-1.00,-0.07,0.00,0.31,1.40,1.59
460,-1.00,-0.07,0.00,0.06,1.59,1.40
470,-1.00,-0.07,0.00,0.00,1.77,1.28
480,-1.00,-0.07,-0.00,-0.06,1.77,1.77
490,-1.00,-0.07,0.00,0.00,1.71,1.59
500,-1.00,-0.07,-0.00,0.00,1.95,1.46
510,-1.00,-0.07,0.00,-0.06,1.83,1.53
520,-1.00,-0.07,0.00,-0.18,1.71,1.53
530,-1.00,-0.07,0.00,-0.12,1.71,1.53
540,-1.00,-0.07,-0.00,-0.12,1.71,1.59
550,-1.00,-0.06,0.00,-0.06,1.77,1.65
560,-1.00,-0.07,0.00,-0.06,1.71,1.83
570,-1.00,-0.06,0.00,-0.18,1.89,1.71
580,-1.00,-0.07,0.00,-0.31,1.83,1.65
590,-1.00,-0.06,0.00,-0.24,1.95,1.46
600,-1.00,-0.07,0.00,-0.24,2.01,1.40
610,-1.00,-0.07,-0.00,0.00,1.89,1.53
620,-1.00,-0.07,0.00,-0.12,1.89,1.59
630,-1.00,-0.06,-0.00,-0.12,1.83,1.71
640,-1.00,-0.06,0.00,-0.18,1.89,1.59
650,-1.00,-0.06,-0.00,-0.06,1.89,1.40
660,-1.00,-0.07,-0.00,-0.18,1.89,1.40
670,-1.00,-0.07,0.00,-0.18,1.89,1.46
680,-1.00,-0.07,0.00,-0.24,1.77,1.46
690,-1.00,-0.07,0.00,-0.18,1.89,1.59
700,-1.00,-0.07,0.00,-0.12,1.83,1.65
710,-1.00,-0.07,0.00,-0.12,2.01,1.53
720,-1.00,-0.07,0.00,-0.12,1.89,1.65
730,-1.00,-0.06,0.00,-0.06,1.83,1.65
740,-1.00,-0.07,0.00,-0.12,1.83,1.59
750,-1.00,-0.07,0.01,-0.12,1.83,1.53
760,-1.00,-0.07,0.00,-0.31,1.89,1.46
770,-1.00,-0.07,0.01,-0.12,1.89,1.59
780,-1.00,-0.07,0.00,-0.12,1.83,1.65
790,-1.00,-0.07,0.00,-0.24,1.89,1.53
800,-1.00,-0.07,0.00,-0.18,1.83,1.53
810,-1.00,-0.07,0.00,-0.18,1.89,1.46
820,-1.00,-0.07,0.00,-0.18,1.95,1.53
830,-1.00,-0.07,0.00,-0.06,1.83,1.53
840,-1.00,-0.07,0.00,-0.12,1.89,1.53
850,-1.00,-0.06,0.00,-0.12,1.83,1.59
860,-1.00,-0.07,0.01,-0.12,1.89,1.53
870,-1.00,-0.07,0.01,-0.12,1.77,1.46
880,-1.00,-0.07,0.00,-0.12,2.01,1.34
890,-1.00,-0.07,0.00,-0.12,1.95,1.53
900,-1.00,-0.07,0.00,-0.12,1.89,1.53
910,-1.00,-0.07,0.00,-0.24,1.89,1.53
920,-1.00,-0.07,0.01,-0.31,1.95,1.53
930,-1.00,-0.06,0.00,-0.12,1.83,1.53
940,-1.00,-0.07,0.01,-0.12,1.95,1.40
950,-1.00,-0.07,0.01,-0.18,1.95,1.46
960,-1.00,-0.06,0.00,-0.12,1.89,1.65
970,-1.00,-0.07,0.00,-0.12,1.95,1.71
980,-1.00,-0.07,0.00,-0.12,1.83,1.59
990,-1.00,-0.07,0.00,-0.24,1.89,1.46
1000,-1.00,-0.07,0.00,-0.31,2.14,1.34
1010,-1.00,-0.07,0.00,-0.31,2.20,1.40
1020,-1.00,-0.07,0.00,-0.06,2.01,1.77
1030,-1.00,-0.07,0.00,-0.24,2.08,1.59
1040,-1.00,-0.07,-0.00,-0.18,2.32,1.40
1050,-1.00,-0.07,0.00,0.00,1.71,1.53
1060,-1.00,-0.07,0.00,-0.12,1.95,1.10
1070,-1.00,-0.07,0.00,-0.18,2.08,1.10
1080,-1.00,-0.06,0.00,-0.06,1.71,1.71
1090,-1.00,-0.06,0.00,-0.06,1.83,1.77
1100,-1.00,-0.07,-0.00,-0.12,1.95,1.46
1110,-1.00,-0.07,0.01,-0.18,1.95,1.28
1120,-1.00,-0.07,-0.00,-0.18,2.01,1.22
1130,-1.00,-0.07,0.00,-0.12,1.83,1.46
1140,-1.00,-0.07,0.00,-0.18,1.95,1.65
1150,-1.00,-0.07,0.00,-0.24,1.95,1.65
1160,-1.00,-0.06,0.00,-0.18,1.89,1.59
1170,-1.00,-0.06,0.01,-0.18,2.01,1.59
1180,-1.00,-0.06,0.00,-0.24,2.14,1.59
1190,-1.00,-0.07,0.00,-0.31,2.08,1.53
1200,-1.00,-0.07,-0.00,-0.37,2.20,1.40
1210,-1.00,-0.07,0.00,-0.24,2.01,1.40
1220,-1.00,-0.07,-0.00,-0.18,2.08,1.46
1230,-1.00,-0.07,0.00,-0.06,2.08,1.59
1240,-1.00,-0.06,-0.00,-0.06,1.95,1.65
1250,-1.00,-0.06,0.00,-0.24,1.89,1.46
1260,-1.00,-0.07,-0.00,-0.24,1.89,1.46
1270,-1.00,-0.07,0.00,-0.18,1.95,1.40
1280,-1.00,-0.06,0.00,-0.12,1.89,1.46
1290,-1.00,-0.07,0.00,-0.18,1.89,1.53
1300,-1.00,-0.07,0.00,-0.12,1.89,1.65
1310,-1.00,-0.06,-0.00,-0.24,2.01,1.59
1320,-1.00,-0.07,0.00,-0.18,1.95,1.59
1330,-1.00,-0.07,0.00,-0.24,1.89,1.46
1340,-1.00,-0.07,-0.00,-0.12,1.95,1.59
1350,-1.00,-0.07,0.00,-0.18,1.89,1.65
1360,-1.00,-0.06,0.00,-0.12,1.95,1.59
1370,-1.00,-0.07,0.00,-0.18,1.95,1.59
1380,-1.00,-0.07,0.00,-0.12,1.95,1.46
1390,-1.00,-0.07,0.00,-0.24,2.08,1.34
1400,-1.00,-0.07,0.00,-0.31,1.89,1.53
1410,-1.00,-0.07,0.00,-0.18,1.95,1.59
1420,-1.00,-0.07,0.00,-0.12,1.89,1.46
1430,-1.00,-0.06,0.00,-0.12,1.89,1.46
1440,-1.00,-0.07,0.00,-0.12,1.89,1.46
1450,-1.00,-0.07,0.00,-0.18,1.89,1.59
1460,-1.00,-0.07,-0.00,-0.12,1.89,1.53
1470,-1.00,-0.07,0.00,-0.12,1.89,1.53
1480,-1.00,-0.07,0.00,-0.24,1.83,1.46
1490,-1.00,-0.07,0.00,-0.24,1.95,1.46
1500,-1.00,-0.07,0.00,-0.18,1.95,1.46
1510,-1.00,-0.07,0.00,-0.18,1.89,1.53
1520,-1.00,-0.07,0.00,-0.12,2.01,1.46
1530,-1.00,-0.07,0.00,-0.18,1.89,1.46
1540,-1.00,-0.06,0.00,-0.18,1.95,1.40
1550,-1.00,-0.06,-0.00,-0.18,1.95,1.59
1560,-1.00,-0.06,0.00,-0.12,1.95,1.59
1570,-1.00,-0.07,0.01,-0.24,1.95,1.59
1580,-1.00,-0.07,-0.00,-0.24,1.95,1.53
1590,-1.00,-0.07,-0.00,-0.31,1.95,1.46
1600,-1.00,-0.07,0.00,-0.24,1.95,1.53
1610,-1.00,-0.07,0.00,-0.18,1.83,1.65
1620,-1.00,-0.06,0.01,-0.12,2.01,1.65
1630,-1.01,-0.06,0.00,-0.31,2.32,1.40
1640,-1.00,-0.06,-0.00,-0.37,2.44,1.34
1650,-1.00,-0.07,0.00,-0.31,2.14,1.53
1660,-1.00,-0.07,0.01,-0.31,2.32,1.59
1670,-1.00,-0.07,0.00,-0.18,2.32,1.28
1680,-1.00,-0.06,0.00,-0.06,1.83,1.65
1690,-1.00,-0.07,0.00,-0.24,2.20,1.10
1700,-1.00,-0.07,0.00,-0.31,2.08,1.34
1710,-1.00,-0.07,0.00,-0.24,1.95,1.95
1720,-1.00,-0.06,0.00,-0.24,2.20,1.71
1730,-1.00,-0.07,0.00,-0.31,2.38,1.22
1740,-1.00,-0.07,0.00,-0.37,2.38,1.34
1750,-1.00,-0.07,0.00,-0.37,2.38,1.53
1760,-1.00,-0.07,0.00,-0.61,2.26,1.59
1770,-1.00,-0.07,0.00,-0.67,2.14,1.59
1780,-1.00,-0.06,0.00,-0.49,2.20,1.59
1790,-1.00,-0.07,0.00,-0.49,2.32,1.46
1800,-1.00,-0.07,0.00,-0.55,2.26,1.59
1810,-1.00,-0.07,0.00,-0.43,2.50,1.53
1820,-1.00,-0.07,0.00,-0.61,2.38,1.65
1830,-1.00,-0.06,-0.00,-0.55,2.56,1.53
1840,-1.00,-0.06,-0.00,-0.55,2.62,1.34
1850,-1.00,-0.06,0.00,-0.37,2.69,1.40
1860,-1.00,-0.07,-0.00,-0.31,2.38,1.77
1870,-1.00,-0.06,-0.00,-0.37,2.32,1.59
1880,-1.00,-0.06,-0.00,-0.43,2.38,1.40
1890,-1.00,-0.06,0.00,-0.37,2.26,1.34
1900,-1.00,-0.07,-0.00,-0.31,2.32,1.40
1910,-1.00,-0.07,-0.00,-0.24,2.26,1.53
1920,-1.00,-0.07,-0.00,-0.43,2.14,1.53
1930,-1.00,-0.07,-0.00,-0.37,2.26,1.65
1940,-1.00,-0.07,-0.00,-0.37,2.14,1.65
1950,-1.00,-0.07,-0.00,-0.31,2.20,1.34
1960,-1.00,-0.07,-0.00,-0.24,2.20,1.34
1970,-1.00,-0.07,0.00,-0.18,2.20,1.46
1980,-1.00,-0.07,-0.00,-0.31,2.14,1.59
1990,-1.00,-0.07,0.00,-0.43,2.26,1.65
