timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
0,-1.00,-0.06,0.00,-0.24,2.14,1.34
10,-1.00,-0.06,0.00,-0.06,2.08,1.46
20,-1.00,-0.07,-0.00,-0.12,2.01,1.46
30,-1.00,-0.06,-0.00,-0.06,1.95,1.65
40,-1.00,-0.06,0.00,-0.24,2.01,1.71
50,-1.00,-0.07,0.00,-0.31,2.08,1.59
60,-1.00,-0.06,-0.00,-0.31,2.01,1.59
70,-1.00,-0.06,-0.00,-0.24,1.95,1.71
80,-1.00,-0.06,-0.00,-0.24,2.01,1.59
90,-1.00,-0.06,-0.00,-0.24,2.08,1.65
100,-1.00,-0.06,-0.00,-0.18,1.95,1.77
110,-1.00,-0.06,-0.00,-0.37,2.01,1.71
120,-1.00,-0.06,0.00,-0.31,2.14,1.34
130,-1.00,-0.06,0.00,-0.18,2.14,1.34
140,-1.00,-0.06,-0.00,-0.12,2.01,1.40
150,-1.00,-0.06,-0.00,-0.12,1.89,1.65
160,-1.00,-0.06,-0.00,-0.18,1.77,1.83
170,-1.00,-0.06,-0.00,-0.12,1.95,1.40
180,-1.00,-0.06,-0.00,-0.18,1.77,1.40
190,-1.00,-0.06,-0.00,-0.06,1.65,1.59
200,-1.00,-0.06,-0.00,-0.06,1.71,1.53
210,-1.00,-0.06,-0.00,0.00,1.59,1.65
220,-1.00,-0.06,0.00,0.00,1.59,1.65
230,-1.00,-0.06,-0.00,0.12,1.46,1.83
240,-1.00,-0.06,0.00,0.06,1.71,1.53
250,-1.00,-0.06,-0.00,0.00,1.71,1.40
260,-1.00,-0.06,0.00,0.12,1.59,1.59
270,-1.00,-0.06,-0.00,0.12,1.53,1.65
280,-1.00,-0.06,-0.00,0.00,1.59,1.40
290,-1.00,-0.06,0.00,0.06,1.59,1.59
300,-1.00,-0.06,0.00,0.06,1.71,1.65
310,-1.00,-0.06,-0.00,0.00,1.83,1.34
320,-1.00,-0.06,0.00,0.12,1.83,1.53
330,-1.00,-0.06,0.00,0.00,2.08,1.28
340,-1.00,-0.06,0.00,0.31,1.53,1.71
350,-1.00,-0.07,0.00,0.06,1.71,1.40
360,-1.00,-0.07,0.00,-0.18,1.83,1.34
370,-1.00,-0.06,-0.00,0.00,1.53,2.01
380,-1.00,-0.06,0.00,0.06,1.65,1.77
390,-1.00,-0.06,0.00,-0.06,1.95,1.46
400,-1.00,-0.06,0.00,-0.06,1.89,1.53
410,-1.00,-0.06,0.00,-0.06,1.77,1.53
420,-1.00,-0.06,-0.00,0.00,1.59,1.65
430,-1.00,-0.06,0.00,0.06,1.59,1.71
440,-1.00,-0.06,0.00,0.00,1.65,1.59
450,-1.00,-0.06,0.01,0.06,1.71,1.59
460,-1.00,-0.06,0.00,-0.06,1.65,1.53
470,-1.00,-0.06,0.00,-0.24,1.83,1.40
480,-1.00,-0.06,0.00,-0.24,1.83,1.53
490,-1.00,-0.06,0.00,-0.12,1.83,1.53
500,-1.00,-0.06,0.00,-0.06,1.95,1.28
510,-1.00,-0.06,-0.01,-0.06,1.95,1.46
520,-1.00,-0.06,-0.00,-0.06,1.83,1.65
530,-1.00,-0.06,0.00,0.06,1.83,1.71
