timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
0,-1.00,-0.07,0.00,-0.06,1.77,1.53
10,-1.00,-0.07,0.00,-0.18,1.83,1.59
20,-1.00,-0.07,0.00,-0.12,1.89,1.40
30,-1.00,-0.07,0.01,-0.18,1.89,1.53
40,-1.00,-0.07,0.01,-0.12,1.89,1.71
50,-1.00,-0.06,0.01,-0.31,1.95,1.83
60,-1.00,-0.06,0.00,-0.49,2.08,1.65
70,-1.00,-0.07,0.00,-0.37,2.08,1.34
80,-1.00,-0.06,0.00,-0.31,2.01,1.22
90,-1.00,-0.06,0.00,-0.31,2.08,1.22
100,-1.00,-0.07,0.00,-0.12,2.08,1.59
110,-1.00,-0.06,0.00,-0.24,2.01,1.59
120,-1.00,-0.06,0.01,-0.24,1.95,1.34
130,-1.00,-0.07,-0.00,-0.24,2.08,1.10
140,-1.00,-0.07,0.00,-0.24,2.08,1.22
150,-1.00,-0.07,0.00,-0.18,2.01,1.40
160,-1.00,-0.07,0.00,-0.31,2.14,1.83
170,-1.00,-0.07,0.00,-0.37,2.01,1.71
180,-1.00,-0.06,-0.00,-0.31,2.14,1.59
190,-1.00,-0.07,-0.00,-0.31,2.20,1.40
200,-1.00,-0.06,-0.00,-0.24,2.26,1.40
210,-1.00,-0.06,-0.00,-0.31,2.14,1.59
220,-1.00,-0.07,0.00,-0.31,2.08,1.46
230,-1.00,-0.06,-0.00,-0.24,2.14,1.40
240,-1.00,-0.07,0.00,-0.24,2.08,1.53
250,-1.00,-0.07,0.00,-0.31,2.26,1.40
260,-1.00,-0.07,0.00,-0.24,2.26,1.53
270,-1.00,-0.07,0.00,-0.31,2.20,1.53
280,-1.00,-0.07,0.00,-0.18,2.08,1.53
290,-1.00,-0.06,-0.00,-0.24,2.14,1.59
300,-1.00,-0.07,0.00,-0.31,2.08,1.46
310,-1.00,-0.06,-0.00,-0.31,2.20,1.46
320,-1.00,-0.06,0.00,-0.18,2.14,1.46
330,-1.00,-0.07,0.00,-0.24,2.20,1.34
340,-1.00,-0.07,0.00,-0.18,2.32,1.53
350,-1.00,-0.07,0.00,-0.18,2.14,1.53
360,-1.00,-0.07,0.00,-0.31,2.14,1.40
370,-1.00,-0.07,-0.00,-0.37,2.26,1.46
380,-1.00,-0.07,0.00,-0.31,2.20,1.40
390,-1.00,-0.07,-0.00,-0.24,2.32,1.40
400,-1.00,-0.07,-0.00,-0.18,2.20,1.65
410,-1.00,-0.06,-0.00,-0.18,2.20,1.53
420,-1.00,-0.07,0.00,-0.31,2.26,1.34
430,-1.00,-0.07,0.00,-0.24,2.26,1.34
440,-1.00,-0.07,-0.00,-0.24,2.14,1.40
450,-1.00,-0.07,-0.00,-0.24,2.20,1.59
460,-1.00,-0.07,-0.01,-0.31,2.08,1.59
470,-1.00,-0.07,-0.00,-0.31,2.14,1.59
480,-1.00,-0.07,0.00,-0.37,2.26,1.53
490,-1.01,-0.07,-0.00,-0.24,2.26,1.46
500,-1.00,-0.07,-0.00,-0.24,2.08,1.53
510,-1.00,-0.07,-0.00,-0.31,2.14,1.53
520,-1.01,-0.07,0.00,-0.31,2.20,1.34
530,-1.00,-0.07,0.00,-0.24,2.08,1.46
540,-1.00,-0.07,0.00,-0.31,2.26,1.46
550,-1.00,-0.07,-0.00,-0.31,2.14,1.53
560,-1.00,-0.07,-0.00,-0.24,2.26,1.59
570,-1.00,-0.07,-0.00,-0.12,2.20,1.59
580,-1.00,-0.07,-0.01,-0.24,2.14,1.53
590,-1.00,-0.07,0.00,-0.18,2.20,1.28
600,-1.00,-0.07,-0.00,-0.37,2.32,1.53
610,-1.00,-0.06,-0.00,-0.24,2.32,1.53
620,-1.00,-0.07,-0.00,-0.31,2.20,1.59
630,-1.00,-0.07,-0.00,-0.31,2.62,1.40
640,-1.00,-0.06,-0.01,0.00,2.08,1.46
650,-1.00,-0.07,-0.00,-0.12,1.89,1.40
660,-1.00,-0.07,-0.00,-0.24,2.01,1.22
670,-1.00,-0.07,-0.00,-0.18,1.89,1.71
