timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
0,-1.00,-0.06,0.01,0.12,1.65,1.53
10,-1.00,-0.06,0.01,0.12,1.89,1.16
20,-1.00,-0.07,0.00,-0.06,1.89,1.53
30,-1.00,-0.07,-0.00,-0.61,2.01,1.16
40,-1.01,-0.06,0.01,-0.24,1.89,1.59
50,-1.01,-0.05,0.02,0.49,1.71,1.89
60,-1.00,-0.07,0.00,-0.12,2.14,1.16
70,-1.00,-0.06,-0.00,-0.43,1.89,1.71
80,-1.00,-0.06,-0.00,-0.37,2.38,1.34
90,-1.00,-0.07,0.00,-0.24,2.32,1.53
100,-1.00,-0.06,-0.00,-0.24,1.95,1.71
110,-1.00,-0.06,-0.00,-0.61,2.50,0.67
120,-1.00,-0.06,-0.00,-0.06,1.65,1.22
130,-1.00,-0.06,0.00,-0.24,1.89,1.46
140,-1.00,-0.07,0.00,-0.24,1.83,1.83
150,-1.00,-0.06,0.01,0.00,1.95,1.40
160,-1.00,-0.06,0.00,-0.31,1.89,1.34
170,-1.00,-0.06,0.00,-0.06,1.65,1.71
180,-1.00,-0.06,0.01,-0.24,1.95,1.59
190,-1.00,-0.07,0.00,-0.31,2.20,1.16
200,-1.00,-0.07,-0.01,-0.37,1.83,1.53
210,-1.00,-0.06,-0.00,-0.12,2.20,1.10
220,-1.00,-0.06,-0.00,-0.06,1.59,2.01
230,-1.00,-0.06,0.00,-0.12,1.77,1.77
240,-1.00,-0.06,0.00,-0.06,1.83,1.40
250,-1.00,-0.06,0.00,0.00,1.59,1.65
260,-1.00,-0.06,0.00,-0.12,2.01,1.10
270,-1.00,-0.06,0.00,-0.18,1.59,1.65
280,-1.00,-0.06,0.01,-0.37,1.83,1.53
290,-1.00,-0.06,0.00,-0.37,2.01,1.34
300,-1.00,-0.06,0.00,-0.18,2.08,1.34
310,-1.00,-0.06,0.00,-0.18,2.20,1.28
320,-1.00,-0.06,-0.00,-0.12,2.08,1.53
330,-1.00,-0.06,-0.00,-0.24,2.01,1.46
340,-1.00,-0.06,-0.00,-0.18,2.08,1.28
350,-1.00,-0.06,0.00,0.00,1.83,1.34
360,-1.00,-0.06,0.00,-0.12,2.14,1.10
370,-1.00,-0.06,0.00,-0.06,1.95,1.34
380,-1.00,-0.07,0.00,-0.06,1.95,1.46
390,-1.00,-0.06,0.01,-0.18,2.14,1.34
400,-1.00,-0.07,0.00,-0.31,2.08,1.40
410,-1.00,-0.06,0.00,-0.31,2.14,1.40
420,-1.00,-0.07,0.00,-0.24,2.20,1.59
430,-1.00,-0.06,-0.00,-0.37,2.14,1.65
440,-1.00,-0.06,0.00,-0.31,2.08,1.59
450,-1.00,-0.06,0.00,-0.24,2.08,1.71
460,-1.00,-0.06,0.00,-0.31,2.14,1.71
470,-1.00,-0.06,0.00,-0.24,2.08,1.71
480,-1.00,-0.06,0.00,-0.37,2.08,1.46
490,-1.00,-0.05,0.02,0.24,2.38,1.65
500,-1.00,-0.07,-0.00,-0.37,1.65,2.01
510,-1.01,-0.06,0.00,-0.37,2.01,2.08
520,-1.01,-0.06,0.00,-0.49,2.56,1.40
530,-1.00,-0.06,0.00,-0.43,2.32,1.34
540,-1.00,-0.06,-0.00,-0.61,2.69,1.04
550,-1.00,-0.06,-0.00,-0.43,1.83,1.89
560,-1.00,-0.06,0.00,-0.37,2.20,1.53
570,-1.00,-0.06,0.00,-0.31,2.14,1.59
580,-1.00,-0.07,0.00,-0.24,2.38,1.22
590,-1.00,-0.06,0.01,0.06,2.32,1.10
600,-1.00,-0.06,-0.00,-0.37,1.65,1.77
610,-1.01,-0.06,0.00,-0.55,2.32,1.22
620,-1.00,-0.07,0.00,-0.24,1.83,1.83
630,-1.00,-0.07,0.00,-0.43,1.83,1.71
640,-1.00,-0.06,0.00,-0.49,2.01,1.22
650,-1.00,-0.06,-0.00,-0.43,2.01,1.40
660,-1.00,-0.06,-0.00,-0.49,2.26,1.40
670,-1.00,-0.06,0.00,-0.31,1.95,1.83
680,-1.00,-0.06,0.00,-0.18,2.08,1.53
690,-1.00,-0.06,-0.00,-0.24,2.08,1.28
700,-1.00,-0.06,0.00,-0.24,2.01,1.28
710,-1.00,-0.07,0.00,-0.43,2.14,0.98
720,-1.00,-0.06,0.00,-0.31,1.71,1.77
730,-1.00,-0.06,0.00,-0.31,1.77,1.71
740,-1.00,-0.06,0.00,-0.31,2.14,1.34
750,-1.00,-0.07,0.00,-0.43,2.14,1.46
760,-1.00,-0.06,0.01,-0.18,2.26,1.34
770,-1.00,-0.07,0.00,0.00,1.95,1.22
780,-1.00,-0.07,-0.00,-0.31,2.20,1.28
