timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
0,-1.00,-0.07,0.00,-0.12,1.83,1.46
10,-1.00,-0.07,0.00,-0.06,1.89,1.53
20,-1.00,-0.07,0.00,0.00,1.95,1.65
30,-1.00,-0.07,0.00,-0.06,1.95,1.59
40,-1.00,-0.07,0.00,-0.24,1.95,1.40
50,-1.00,-0.07,0.00,-0.18,2.01,1.53
60,-1.00,-0.07,0.00,-0.18,2.01,1.53
70,-1.00,-0.07,0.00,-0.12,2.01,1.46
80,-1.00,-0.07,0.00,-0.12,2.01,1.53
90,-1.00,-0.07,0.00,-0.12,2.08,1.46
100,-1.00,-0.07,0.00,-0.12,1.95,1.53
110,-1.00,-0.07,0.00,-0.12,1.95,1.46
120,-1.00,-0.07,0.00,-0.12,1.95,1.53
130,-1.00,-0.07,0.01,-0.12,1.95,1.53
140,-1.00,-0.07,0.00,-0.12,1.95,1.46
150,-1.00,-0.07,-0.00,-0.06,1.89,1.59
160,-1.00,-0.07,0.00,-0.12,1.89,1.40
170,-1.00,-0.07,0.00,-0.12,1.89,1.53
180,-1.00,-0.07,0.00,-0.12,1.89,1.65
190,-1.00,-0.07,0.00,-0.18,1.95,1.46
200,-1.01,-0.07,-0.00,-0.06,2.14,1.46
210,-1.00,-0.07,0.00,-0.12,2.08,1.46
220,-1.00,-0.07,0.00,-0.18,2.01,1.65
230,-1.00,-0.07,0.00,-0.24,2.26,1.46
240,-1.01,-0.07,-0.00,0.00,1.89,1.46
250,-1.00,-0.07,0.01,0.18,1.59,1.59
260,-1.00,-0.07,-0.00,0.00,1.89,1.10
270,-1.00,-0.07,-0.00,-0.12,1.65,1.65
280,-1.00,-0.07,0.00,0.06,1.65,1.95
290,-1.00,-0.07,-0.00,-0.06,1.89,1.28
300,-1.00,-0.07,0.00,0.00,1.89,1.28
310,-1.00,-0.07,0.00,0.00,1.89,1.53
320,-1.00,-0.07,0.00,-0.12,1.83,1.53
330,-1.00,-0.07,0.00,-0.06,1.71,1.53
340,-1.00,-0.07,0.00,-0.12,1.83,1.65
350,-1.00,-0.07,0.00,-0.06,1.95,1.53
360,-1.00,-0.07,0.00,-0.12,2.01,1.59
370,-1.00,-0.07,0.00,-0.12,1.83,1.53
380,-1.00,-0.07,0.00,-0.37,1.89,1.65
390,-1.00,-0.07,0.00,-0.18,1.95,1.40
400,-1.00,-0.07,0.00,-0.24,1.89,1.22
410,-1.00,-0.07,-0.00,-0.12,1.95,1.28
420,-1.00,-0.07,0.00,-0.12,1.89,1.59
430,-1.00,-0.07,0.00,-0.06,1.89,1.59
440,-1.00,-0.07,0.00,-0.18,1.89,1.53
450,-1.00,-0.07,0.01,-0.18,1.83,1.46
460,-1.00,-0.07,0.00,-0.18,2.01,1.28
470,-1.00,-0.07,0.01,-0.12,2.08,1.34
480,-1.00,-0.07,0.00,-0.18,1.89,1.40
490,-1.00,-0.07,0.00,-0.18,1.89,1.59
500,-1.00,-0.07,0.00,-0.18,2.01,1.59
510,-1.00,-0.07,-0.00,-0.12,2.01,1.34
520,-1.00,-0.07,0.00,-0.06,2.08,1.34
530,-1.00,-0.07,-0.00,-0.12,2.08,1.59
540,-1.00,-0.07,0.00,-0.18,2.01,1.65
550,-1.00,-0.07,-0.00,-0.24,2.01,1.59
560,-1.00,-0.07,0.00,-0.24,2.08,1.40
570,-1.00,-0.07,-0.00,-0.24,2.14,1.46
580,-1.00,-0.07,0.00,-0.24,2.14,1.46
590,-1.00,-0.07,0.00,-0.37,2.14,1.46
600,-1.00,-0.07,-0.00,-0.31,2.14,1.46
610,-1.00,-0.07,0.00,-0.37,2.20,1.59
620,-1.00,-0.07,0.00,-0.31,2.20,1.46
630,-1.00,-0.07,0.00,-0.31,2.14,1.53
640,-1.00,-0.07,0.00,-0.24,2.20,1.53
650,-1.00,-0.07,0.00,-0.31,2.20,1.59
660,-1.00,-0.07,-0.00,-0.37,2.14,1.46
670,-1.00,-0.07,0.00,-0.24,2.20,1.53
680,-1.00,-0.07,-0.00,-0.31,2.20,1.46
690,-1.00,-0.07,-0.00,-0.31,2.26,1.40
700,-1.00,-0.07,0.00,-0.31,2.20,1.59
710,-1.00,-0.07,0.00,-0.31,2.26,1.59
720,-1.00,-0.07,0.00,-0.31,2.26,1.53
730,-1.00,-0.07,0.00,-0.24,2.14,1.46
740,-1.00,-0.07,0.00,-0.31,2.20,1.53
750,-1.00,-0.07,0.00,-0.31,2.26,1.40
760,-1.00,-0.07,0.00,-0.37,2.14,1.59
770,-1.00,-0.07,0.00,-0.31,2.20,1.53
780,-1.00,-0.07,0.00,-0.37,2.26,1.40
790,-1.00,-0.07,-0.00,-0.31,2.26,1.53
800,-1.00,-0.07,-0.00,-0.31,2.38,1.46
810,-1.00,-0.07,0.00,-0.24,2.20,1.46
820,-1.00,-0.07,-0.00,-0.37,2.32,1.59
830,-1.00,-0.07,-0.00,-0.31,2.20,1.59
