timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
0,-1.00,-0.08,-0.02,-0.49,2.32,1.40
10,-1.00,-0.08,-0.01,-0.37,2.62,1.22
20,-1.00,-0.08,-0.02,-0.24,2.81,1.16
30,-1.00,-0.08,-0.02,-0.06,2.08,1.53
40,-1.00,-0.08,-0.02,-0.18,2.32,1.16
50,-1.00,-0.08,-0.02,-0.31,2.32,1.28
60,-1.00,-0.08,-0.02,-0.18,1.89,1.89
70,-1.00,-0.08,-0.02,-0.12,2.14,1.40
80,-1.00,-0.08,-0.02,-0.24,2.32,1.28
90,-1.00,-0.08,-0.02,-0.24,2.14,1.59
100,-1.00,-0.08,-0.01,-0.12,2.14,1.53
110,-1.00,-0.08,-0.02,-0.18,2.01,1.53
120,-1.00,-0.08,-0.02,-0.24,2.01,1.53
130,-1.00,-0.08,-0.02,-0.31,2.20,1.53
140,-1.00,-0.08,-0.02,-0.24,2.14,1.53
150,-1.00,-0.08,-0.02,-0.18,2.14,1.59
160,-1.00,-0.07,-0.02,-0.43,2.32,1.77
170,-1.00,-0.08,-0.02,-0.55,2.38,1.46
180,-1.00,-0.08,-0.02,-0.55,2.26,1.34
190,-1.00,-0.08,-0.02,-0.49,2.38,1.28
200,-1.00,-0.08,-0.02,-0.31,2.26,1.34
210,-1.00,-0.08,-0.02,-0.31,2.32,1.59
220,-1.00,-0.08,-0.02,-0.18,2.01,1.59
230,-1.00,-0.08,-0.02,-0.18,2.08,1.40
240,-1.00,-0.08,-0.02,-0.18,2.01,1.53
250,-1.00,-0.07,-0.02,-0.12,1.89,1.46
260,-1.00,-0.08,-0.02,-0.31,2.01,1.28
270,-1.00,-0.08,-0.02,-0.24,2.08,1.46
280,-1.00,-0.08,-0.02,-0.06,1.95,1.59
290,-1.00,-0.08,-0.02,-0.12,1.89,1.59
300,-1.00,-0.08,-0.02,-0.12,1.95,1.46
310,-1.00,-0.08,-0.02,-0.12,1.89,1.46
320,-1.00,-0.08,-0.02,0.00,1.83,1.59
330,-1.00,-0.08,-0.02,-0.12,1.83,1.65
340,-1.00,-0.08,-0.02,-0.18,1.71,1.65
350,-1.00,-0.08,-0.02,-0.31,1.77,1.46
360,-1.00,-0.08,-0.02,-0.24,1.65,1.53
370,-1.00,-0.08,-0.02,-0.18,1.83,1.59
380,-1.00,-0.08,-0.02,-0.12,1.89,1.59
