timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
0,-1.00,-0.07,-0.00,-0.18,1.95,1.59
10,-1.00,-0.06,-0.00,-0.24,1.83,1.34
20,-1.00,-0.06,-0.00,-0.12,1.89,1.40
30,-1.00,-0.06,0.00,-0.12,1.89,1.53
40,-1.00,-0.06,-0.00,-0.12,1.83,1.65
50,-1.00,-0.07,0.00,-0.18,1.89,1.46
60,-1.00,-0.06,0.00,-0.12,1.77,1.34
70,-1.00,-0.06,-0.00,0.00,1.83,1.34
80,-1.00,-0.07,0.00,-0.06,1.95,1.46
90,-1.00,-0.07,-0.00,0.00,1.89,1.59
100,-1.00,-0.07,0.00,-0.12,1.95,1.65
110,-1.00,-0.07,-0.00,-0.12,1.83,1.59
120,-1.00,-0.07,-0.00,-0.06,1.89,1.53
130,-1.00,-0.07,0.00,-0.12,1.83,1.53
140,-1.00,-0.07,0.00,-0.12,1.89,1.59
150,-1.00,-0.06,0.00,-0.24,1.83,1.77
160,-1.00,-0.06,0.00,-0.12,1.71,1.77
170,-1.00,-0.07,-0.00,-0.43,2.08,1.40
180,-1.00,-0.07,0.01,-0.24,1.89,1.53
190,-1.00,-0.06,0.01,-0.37,1.89,1.53
200,-1.00,-0.06,0.00,-0.31,2.01,1.65
210,-1.00,-0.06,0.00,-0.18,2.08,1.71
220,-1.00,-0.06,-0.00,-0.24,2.08,1.59
230,-1.00,-0.06,-0.00,-0.06,1.77,1.46
240,-1.00,-0.06,-0.00,-0.12,2.08,1.40
250,-1.00,-0.06,-0.00,0.00,2.44,1.59
260,-1.00,-0.07,0.00,0.12,2.44,2.50
270,-1.01,-0.07,0.00,0.06,2.44,2.44
280,-1.00,-0.07,0.00,-0.12,2.20,1.77
290,-1.00,-0.06,-0.00,-0.31,2.20,0.92
300,-1.00,-0.07,-0.00,0.24,1.77,1.59
310,-1.00,-0.07,0.00,0.31,1.22,2.14
320,-1.00,-0.06,-0.00,0.00,2.01,1.28
330,-1.00,-0.05,0.00,0.18,1.59,1.77
340,-1.01,-0.05,0.00,0.18,1.95,1.34
350,-1.00,-0.06,-0.00,0.24,1.95,1.22
360,-1.00,-0.06,0.00,-0.06,1.95,1.22
370,-1.00,-0.06,-0.00,-0.31,2.44,0.79
380,-1.00,-0.07,-0.00,0.00,1.77,1.95
390,-1.00,-0.07,0.00,-0.43,2.01,1.04
400,-1.00,-0.07,-0.00,-0.49,1.95,1.04
410,-1.00,-0.07,0.00,-0.61,1.89,1.40
420,-1.00,-0.07,0.00,-0.79,2.14,1.53
430,-1.00,-0.07,0.00,-0.61,1.40,2.14
440,-1.00,-0.06,0.00,-0.85,1.95,1.53
450,-1.00,-0.06,-0.00,-0.92,2.14,1.22
460,-1.00,-0.06,0.00,-0.67,1.71,2.01
470,-1.00,-0.06,0.01,-0.79,2.01,1.77
480,-1.00,-0.06,0.00,-0.85,1.71,1.83
490,-1.01,-0.06,-0.00,-0.85,2.08,1.28
500,-1.00,-0.06,-0.01,-0.61,2.44,0.92
510,-1.00,-0.06,-0.00,-0.18,2.01,1.40
520,-1.00,-0.06,-0.00,0.06,2.32,1.10
530,-1.01,-0.06,-0.00,0.43,1.71,1.10
540,-1.00,-0.07,-0.00,0.49,1.46,1.16
550,-1.00,-0.07,-0.00,0.67,1.34,0.98
560,-1.00,-0.07,0.00,0.61,1.28,1.40
