timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
0,-1.00,-0.07,0.00,-0.12,2.01,1.46
10,-1.00,-0.06,0.00,-0.12,2.01,1.59
20,-1.00,-0.06,0.00,-0.12,1.89,1.59
30,-1.00,-0.07,-0.00,-0.12,1.89,1.59
40,-1.00,-0.07,0.00,-0.24,2.01,1.46
50,-1.00,-0.07,0.00,-0.18,1.89,1.40
60,-1.00,-0.06,0.00,-0.12,2.01,1.46
70,-1.00,-0.06,0.00,-0.12,2.08,1.40
80,-1.00,-0.06,0.00,-0.18,1.95,1.46
90,-1.00,-0.06,0.00,-0.12,1.95,1.46
100,-1.00,-0.06,0.00,-0.18,1.95,1.34
110,-1.00,-0.06,0.00,-0.12,1.95,1.34
120,-1.00,-0.06,0.00,-0.12,1.95,1.46
130,-1.00,-0.07,0.00,-0.12,2.01,1.40
140,-1.00,-0.06,0.00,-0.18,2.01,1.46
150,-1.00,-0.07,0.00,-0.12,1.89,1.46
160,-1.00,-0.06,0.00,-0.24,1.95,1.46
170,-1.00,-0.07,0.00,-0.18,1.95,1.53
180,-1.00,-0.07,0.00,-0.12,2.01,1.59
190,-1.00,-0.07,0.00,-0.12,2.01,1.46
200,-1.00,-0.06,-0.00,-0.12,2.08,1.53
210,-1.00,-0.06,0.00,-0.12,2.14,1.40
220,-1.00,-0.06,0.00,-0.06,1.95,1.46
230,-1.00,-0.06,0.00,-0.24,2.08,1.46
240,-1.00,-0.07,0.00,-0.12,2.08,1.53
250,-1.00,-0.06,-0.00,-0.12,1.95,1.53
260,-1.00,-0.07,0.00,-0.12,1.89,1.46
270,-1.00,-0.07,0.00,-0.18,1.89,1.59
280,-1.00,-0.06,0.01,-0.18,1.95,1.59
290,-1.00,-0.06,0.00,-0.18,2.08,1.59
300,-1.00,-0.06,0.00,-0.12,1.95,1.71
310,-1.00,-0.06,0.00,-0.18,2.08,1.34
320,-1.00,-0.06,0.00,-0.12,2.14,1.40
330,-1.00,-0.06,0.00,-0.12,1.95,1.53
340,-1.00,-0.06,0.00,-0.18,2.14,1.59
350,-1.00,-0.06,0.00,0.00,1.83,1.59
360,-1.00,-0.06,0.00,0.12,1.65,1.53
370,-1.00,-0.07,0.00,-0.18,2.08,1.04
380,-1.00,-0.07,0.00,-0.24,2.08,1.22
390,-1.00,-0.06,-0.00,0.00,1.65,2.08
400,-1.00,-0.06,-0.00,-0.06,1.95,1.59
410,-1.00,-0.06,0.00,-0.18,2.08,1.28
420,-1.00,-0.06,0.00,-0.12,2.01,1.46
430,-1.00,-0.06,0.00,-0.06,2.01,1.46
440,-1.00,-0.07,0.00,-0.24,1.95,1.46
450,-1.00,-0.07,0.00,-0.24,1.95,1.53
460,-1.00,-0.07,0.00,-0.31,2.20,1.34
470,-1.00,-0.07,0.01,-0.24,2.26,1.59
480,-1.00,-0.07,0.00,-0.37,2.14,1.59
490,-1.00,-0.06,0.00,-0.49,2.14,1.71
500,-1.00,-0.07,-0.00,-0.49,2.20,1.71
