timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
0,-1.00,-0.06,0.00,-0.18,2.38,1.28
10,-1.00,-0.07,0.00,-0.24,2.14,1.53
20,-1.00,-0.07,0.00,-0.18,2.01,1.65
30,-1.00,-0.06,0.00,-0.18,1.95,1.65
40,-1.00,-0.06,0.00,-0.31,2.32,1.34
50,-1.00,-0.06,0.00,-0.18,2.08,1.77
60,-1.00,-0.07,0.00,-0.12,2.14,1.65
70,-1.00,-0.06,0.00,-0.43,2.32,1.46
80,-1.00,-0.06,-0.00,-0.49,2.08,1.77
90,-1.00,-0.06,-0.00,-0.37,2.14,1.65
100,-1.00,-0.07,0.00,-0.43,2.20,1.22
110,-1.00,-0.07,0.00,-0.31,2.14,1.16
120,-1.00,-0.07,0.00,-0.24,2.26,1.46
130,-1.00,-0.07,0.00,-0.12,2.14,1.89
140,-1.00,-0.06,0.00,-0.24,2.08,1.65
150,-1.00,-0.06,0.00,-0.31,2.26,1.28
160,-1.00,-0.06,-0.00,-0.43,2.50,1.16
170,-1.00,-0.07,0.00,-0.12,2.26,1.46
180,-1.00,-0.07,0.00,-0.31,2.14,1.65
190,-1.00,-0.07,0.00,-0.24,2.26,1.65
200,-1.00,-0.07,0.00,-0.31,1.89,1.71
210,-1.00,-0.07,-0.01,-0.24,2.44,1.22
220,-1.00,-0.07,0.00,-0.12,2.01,1.65
230,-1.00,-0.07,0.00,-0.12,2.20,1.46
240,-1.00,-0.06,0.00,-0.31,1.95,1.65
250,-1.01,-0.06,0.00,-0.12,2.01,1.53
260,-1.00,-0.07,0.00,-0.31,1.95,1.53
270,-1.00,-0.07,0.00,-0.06,2.08,1.40
280,-1.00,-0.07,0.00,-0.18,2.01,1.53
290,-1.00,-0.07,0.00,-0.06,1.95,1.65
300,-1.00,-0.07,-0.00,-0.12,1.83,1.71
310,-1.00,-0.07,-0.00,-0.18,1.95,1.46
320,-1.00,-0.07,0.00,0.00,1.83,1.46
330,-1.00,-0.07,0.00,0.00,1.77,1.53
340,-1.00,-0.07,-0.00,0.06,1.71,1.65
350,-1.00,-0.07,0.00,0.06,1.65,1.59
360,-1.00,-0.07,0.00,0.00,1.77,1.53
370,-1.00,-0.07,0.00,-0.06,1.77,1.40
380,-1.00,-0.07,0.00,-0.06,1.71,1.46
390,-1.00,-0.07,0.00,0.00,1.65,1.65
400,-1.00,-0.07,0.00,-0.12,1.65,1.71
410,-1.00,-0.07,-0.00,-0.06,1.59,1.59
420,-1.00,-0.07,0.00,0.06,1.65,1.46
430,-1.00,-0.07,0.00,0.12,1.65,1.40
440,-1.00,-0.07,-0.00,0.06,1.53,1.59
450,-1.00,-0.06,0.00,0.00,1.53,1.59
460,-1.00,-0.07,0.00,0.00,1.65,1.53
470,-1.00,-0.07,0.00,0.00,1.71,1.40
480,-1.00,-0.07,0.00,-0.06,1.83,1.46
490,-1.00,-0.07,0.00,0.00,1.77,1.59
500,-1.00,-0.07,0.00,-0.06,1.77,1.59
510,-1.00,-0.06,0.01,-0.12,1.95,1.34
520,-1.00,-0.07,0.00,-0.06,1.83,1.46
530,-1.00,-0.07,0.00,0.06,1.59,1.65
540,-1.00,-0.07,-0.00,0.00,1.95,1.46
550,-1.00,-0.07,-0.00,-0.06,1.71,1.46
560,-1.00,-0.06,0.00,-0.12,1.77,1.59
570,-1.00,-0.07,0.00,-0.06,1.77,1.59
580,-1.00,-0.07,0.00,0.00,1.77,1.59
590,-1.00,-0.07,0.01,-0.18,1.95,1.34
600,-1.00,-0.07,0.00,-0.12,2.01,1.40
610,-1.00,-0.07,0.00,0.00,2.01,1.46
620,-1.00,-0.07,0.01,-0.12,2.08,1.46
630,-1.00,-0.07,0.00,0.00,2.01,1.40
640,-1.00,-0.06,0.00,0.12,1.77,1.65
650,-1.00,-0.07,-0.00,0.00,1.89,1.28
660,-1.00,-0.07,0.00,-0.12,1.83,1.34
670,-1.00,-0.06,0.00,0.00,1.65,1.77
680,-1.00,-0.07,0.00,0.00,1.65,1.59
690,-1.00,-0.07,-0.00,-0.06,1.89,1.46
700,-1.00,-0.07,0.00,0.06,1.83,1.53
710,-1.01,-0.07,0.00,-0.06,1.89,1.46
720,-1.00,-0.07,0.00,-0.06,1.71,1.46
730,-1.00,-0.07,0.00,-0.06,1.71,1.46
740,-1.00,-0.06,0.00,-0.06,1.83,1.65
750,-1.00,-0.06,0.00,-0.12,1.83,1.65
760,-1.00,-0.06,0.00,-0.12,1.83,1.59
770,-1.00,-0.06,0.00,-0.18,1.77,1.65
780,-1.00,-0.07,0.00,-0.31,2.08,1.53
790,-1.00,-0.07,0.00,-0.24,2.01,1.34
800,-1.00,-0.06,0.00,-0.24,2.14,1.22
810,-1.00,-0.07,0.00,-0.12,2.20,1.28
820,-1.00,-0.06,0.00,-0.12,2.08,1.65
830,-1.00,-0.06,0.00,-0.24,2.08,1.59
840,-1.00,-0.06,0.00,-0.31,2.14,1.40
850,-1.00,-0.06,0.00,-0.24,2.20,1.22
860,-1.00,-0.07,0.00,-0.24,2.14,1.40
870,-1.00,-0.07,-0.00,-0.24,2.14,1.53
880,-1.00,-0.07,0.00,-0.31,2.14,1.59
890,-1.00,-0.06,0.00,-0.31,2.14,1.40
900,-1.00,-0.07,0.00,-0.18,2.32,1.34
910,-1.00,-0.07,-0.00,-0.24,2.32,1.40
920,-1.00,-0.07,0.00,-0.18,2.32,1.59
930,-1.00,-0.06,0.00,-0.18,2.20,1.65
940,-1.00,-0.07,0.00,-0.18,2.08,1.53
950,-1.00,-0.07,0.00,-0.24,1.89,1.65
960,-1.00,-0.07,-0.00,-0.18,2.01,1.46
970,-1.00,-0.07,0.00,-0.18,2.14,1.46
980,-1.00,-0.07,-0.00,-0.18,1.95,1.65
990,-1.00,-0.07,-0.00,-0.24,2.01,1.65
1000,-1.00,-0.06,0.00,-0.18,2.08,1.59
1010,-1.00,-0.06,0.00,-0.06,1.83,1.59
1020,-1.00,-0.07,0.00,-0.12,1.89,1.40
1030,-1.00,-0.07,0.00,-0.06,1.89,1.53
1040,-1.00,-0.07,-0.00,-0.12,1.83,1.59
1050,-1.00,-0.06,0.00,-0.18,1.77,1.65
1060,-1.00,-0.07,0.00,-0.06,1.83,1.59
1070,-1.00,-0.07,0.00,-0.24,1.89,1.40
1080,-1.00,-0.06,0.00,-0.06,2.01,1.46
1090,-1.00,-0.06,0.00,-0.06,1.95,1.53
1100,-1.00,-0.06,-0.00,-0.18,2.08,1.53
1110,-1.00,-0.06,0.00,-0.24,2.01,1.46
1120,-1.00,-0.07,-0.00,-0.31,2.14,1.40
1130,-1.00,-0.07,-0.00,-0.31,2.20,1.28
1140,-1.00,-0.07,0.00,-0.18,2.20,1.46
1150,-1.00,-0.07,0.00,-0.24,2.14,1.65
1160,-1.00,-0.07,-0.00,-0.18,2.01,1.59
1170,-1.00,-0.07,-0.00,-0.12,2.01,1.53
1180,-1.00,-0.06,0.00,-0.18,2.01,1.46
1190,-1.00,-0.07,-0.00,-0.06,1.95,1.46
1200,-1.00,-0.07,0.00,-0.06,1.95,1.65
1210,-1.00,-0.07,0.00,-0.06,2.01,1.59
1220,-1.00,-0.07,0.00,-0.18,1.95,1.53
1230,-1.00,-0.07,0.00,-0.24,2.01,1.46
1240,-1.00,-0.07,0.00,-0.31,2.20,1.46
1250,-1.00,-0.07,0.00,-0.24,2.14,1.34
1260,-1.00,-0.07,-0.00,-0.18,2.26,1.40
1270,-1.00,-0.07,0.00,-0.31,2.20,1.59
1280,-1.00,-0.07,0.00,-0.31,2.08,1.65
1290,-1.00,-0.06,0.00,-0.37,2.26,1.40
1300,-1.01,-0.06,-0.00,-0.24,2.56,1.28
1310,-1.00,-0.07,-0.00,-0.12,2.32,1.46
1320,-1.00,-0.06,0.00,-0.31,2.20,1.53
1330,-1.00,-0.07,-0.00,-0.31,2.50,1.46
1340,-1.01,-0.07,0.00,0.06,1.77,1.59
1350,-1.01,-0.07,0.00,-0.06,2.01,1.28
1360,-1.00,-0.07,0.00,-0.18,1.95,1.34
1370,-1.00,-0.07,0.00,-0.06,1.71,1.89
