timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
0,-1.00,-0.06,-0.00,-0.06,2.08,1.46
10,-1.01,-0.07,0.00,-0.12,2.01,1.46
20,-1.00,-0.06,0.00,-0.12,2.01,1.40
30,-1.00,-0.06,0.00,-0.06,1.95,1.53
40,-1.00,-0.06,-0.00,-0.12,1.89,1.65
50,-1.00,-0.06,0.00,-0.12,2.08,1.46
60,-1.00,-0.06,0.00,-0.12,1.89,1.53
70,-1.00,-0.06,0.00,-0.18,1.89,1.53
80,-1.00,-0.06,0.00,-0.18,1.95,1.59
90,-1.00,-0.06,0.00,-0.24,2.14,1.46
100,-1.00,-0.06,-0.00,-0.12,2.20,1.34
110,-1.00,-0.06,0.00,-0.12,2.14,1.59
120,-1.00,-0.06,-0.00,-0.12,2.44,1.22
130,-1.00,-0.06,0.00,0.06,1.65,1.53
140,-1.00,-0.06,0.00,0.06,1.89,1.16
150,-1.00,-0.07,-0.00,-0.12,2.20,1.10
160,-1.00,-0.06,0.00,-0.06,1.65,1.95
170,-1.00,-0.06,0.00,0.06,1.89,1.77
180,-1.00,-0.06,-0.00,-0.06,1.89,1.40
190,-1.00,-0.06,0.00,-0.06,1.83,1.40
200,-1.00,-0.06,0.00,-0.06,1.89,1.53
210,-1.00,-0.06,0.00,-0.12,1.83,1.59
220,-1.00,-0.07,0.00,-0.12,1.71,1.53
230,-1.00,-0.06,0.00,-0.18,1.83,1.71
240,-1.00,-0.06,0.01,-0.24,1.83,1.53
250,-1.00,-0.06,0.00,-0.24,1.95,1.34
260,-1.00,-0.06,0.00,-0.18,1.83,1.83
270,-1.00,-0.06,0.00,-0.37,2.01,1.53
280,-1.00,-0.06,0.00,-0.24,2.01,1.34
290,-1.00,-0.07,0.00,-0.18,1.95,1.16
300,-1.00,-0.06,0.00,-0.12,2.08,1.34
310,-1.00,-0.06,0.00,-0.12,1.95,1.71
320,-1.00,-0.06,0.00,-0.18,1.89,1.65
330,-1.00,-0.06,0.00,-0.18,1.89,1.53
340,-1.00,-0.06,0.00,-0.12,1.89,1.34
350,-1.00,-0.06,0.01,-0.06,2.08,1.16
360,-1.00,-0.06,0.00,-0.06,2.08,1.34
370,-1.00,-0.06,0.00,-0.18,2.08,1.46
380,-1.00,-0.06,-0.00,-0.31,1.89,1.53
390,-1.00,-0.06,0.00,-0.12,1.89,1.40
400,-1.00,-0.06,0.00,-0.12,1.89,1.28
410,-1.00,-0.06,0.00,-0.18,1.95,1.46
420,-1.00,-0.06,0.00,0.00,1.89,1.53
430,-1.00,-0.06,0.00,-0.18,1.95,1.65
440,-1.00,-0.06,0.00,-0.18,1.95,1.65
450,-1.00,-0.06,0.00,-0.18,1.95,1.53
460,-1.00,-0.06,0.00,-0.24,1.83,1.40
470,-1.00,-0.06,0.00,-0.12,1.95,1.53
480,-1.00,-0.06,0.01,-0.12,1.89,1.59
490,-1.00,-0.06,-0.00,-0.18,2.01,1.65
500,-1.00,-0.06,-0.00,-0.18,1.95,1.46
510,-1.00,-0.06,-0.00,-0.12,1.89,1.59
520,-1.00,-0.07,0.00,-0.06,1.95,1.40
530,-1.00,-0.06,0.00,-0.18,1.95,1.40
540,-1.00,-0.06,0.00,-0.12,2.01,1.46
550,-1.00,-0.07,0.00,-0.12,1.95,1.53
560,-1.00,-0.06,0.00,-0.18,1.95,1.53
570,-1.00,-0.06,0.00,-0.12,1.95,1.34
580,-1.00,-0.06,0.00,-0.12,2.01,1.46
590,-1.00,-0.06,-0.00,-0.12,1.89,1.46
600,-1.00,-0.06,0.00,-0.12,1.89,1.59
610,-1.00,-0.06,0.00,-0.12,1.95,1.59
620,-1.00,-0.06,0.00,-0.12,1.89,1.53
630,-1.00,-0.06,0.00,-0.24,2.08,1.40
640,-1.00,-0.06,0.00,-0.06,1.95,1.40
650,-1.00,-0.06,0.00,-0.12,2.08,1.46
660,-1.00,-0.07,0.00,-0.18,2.08,1.46
670,-1.00,-0.06,0.00,-0.24,1.95,1.53
680,-1.00,-0.06,0.00,-0.18,2.01,1.53
690,-1.00,-0.06,0.00,-0.06,2.08,1.53
700,-1.00,-0.06,0.00,-0.12,1.95,1.65
710,-1.00,-0.06,-0.00,-0.24,2.08,1.34
720,-1.00,-0.06,0.01,-0.06,1.83,1.65
730,-1.00,-0.06,0.00,-0.18,2.14,1.53
740,-1.00,-0.07,0.00,0.00,1.89,1.59
750,-1.00,-0.06,0.00,-0.18,1.95,1.59
760,-1.00,-0.06,0.00,-0.12,2.08,1.40
770,-1.00,-0.06,0.00,-0.18,1.89,1.59
780,-1.00,-0.06,-0.00,-0.12,2.08,1.40
790,-1.00,-0.06,0.00,-0.24,1.95,1.46
800,-1.00,-0.06,0.00,-0.24,1.95,1.59
810,-1.00,-0.06,0.00,-0.18,2.01,1.34
820,-1.00,-0.06,0.00,-0.18,2.01,1.53
830,-1.00,-0.06,0.00,-0.12,1.95,1.59
840,-1.00,-0.06,0.00,-0.24,2.01,1.40
850,-1.00,-0.06,0.00,-0.18,2.14,1.22
860,-1.00,-0.07,0.00,-0.06,2.01,1.46
870,-1.00,-0.06,0.00,-0.31,2.32,1.46
880,-1.00,-0.06,0.00,0.00,2.26,1.28
890,-1.00,-0.06,0.00,0.18,1.53,1.65
