timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
0,-1.00,-0.06,0.00,-0.12,1.83,1.53
10,-1.00,-0.06,0.00,0.00,1.95,1.40
20,-1.00,-0.06,0.00,-0.06,1.83,1.40
30,-1.00,-0.06,0.00,-0.06,1.89,1.46
40,-1.00,-0.06,0.00,-0.18,1.83,1.59
50,-1.00,-0.06,0.00,-0.12,1.77,1.59
60,-1.00,-0.06,0.00,-0.12,1.77,1.46
70,-1.00,-0.06,0.00,-0.24,1.95,1.28
80,-1.00,-0.06,0.00,-0.12,1.89,1.46
90,-1.00,-0.06,0.01,-0.12,1.89,1.53
100,-1.00,-0.06,0.00,-0.18,1.89,1.65
110,-1.00,-0.06,0.00,-0.24,1.95,1.53
120,-1.00,-0.06,0.00,-0.18,1.89,1.28
130,-1.00,-0.06,0.00,-0.12,1.95,1.40
140,-1.00,-0.06,0.00,-0.06,1.95,1.77
150,-1.00,-0.06,0.00,-0.31,2.20,1.40
160,-1.00,-0.07,0.00,-0.18,2.01,1.28
170,-1.00,-0.06,0.00,-0.12,1.89,1.53
180,-1.00,-0.06,0.00,-0.12,2.14,1.28
190,-1.00,-0.07,0.00,-0.12,1.89,1.59
200,-1.00,-0.06,0.00,-0.24,2.14,1.34
210,-1.00,-0.06,0.00,-0.06,1.89,1.59
220,-1.00,-0.06,0.00,-0.12,2.01,1.59
230,-1.00,-0.06,0.01,-0.18,1.95,1.40
240,-1.00,-0.06,-0.00,-0.24,2.08,1.46
250,-1.00,-0.06,0.00,-0.31,1.95,1.34
260,-1.00,-0.06,0.00,-0.18,2.01,1.65
270,-1.00,-0.07,0.00,-0.18,2.08,1.53
280,-1.00,-0.06,0.00,-0.06,2.01,1.46
290,-1.00,-0.06,0.00,-0.12,2.08,1.53
300,-1.00,-0.06,0.00,-0.12,2.14,1.53
310,-1.00,-0.06,0.00,-0.12,1.89,1.46
320,-1.00,-0.06,0.00,-0.12,2.01,1.46
330,-1.00,-0.06,0.00,-0.18,2.08,1.46
340,-1.00,-0.06,0.00,-0.12,2.08,1.53
350,-1.00,-0.07,0.00,-0.12,2.08,1.53
360,-1.00,-0.06,0.00,-0.18,1.89,1.59
370,-1.00,-0.06,0.00,-0.24,2.08,1.46
380,-1.00,-0.06,0.00,-0.18,2.26,1.34
390,-1.00,-0.06,0.00,-0.12,1.95,1.65
400,-1.00,-0.06,0.01,-0.24,2.14,1.59
410,-1.00,-0.06,-0.00,-0.18,2.38,1.16
420,-1.00,-0.06,0.01,0.06,1.71,1.40
430,-1.00,-0.07,0.00,0.00,1.95,1.28
440,-1.00,-0.07,-0.00,-0.18,2.01,1.28
450,-1.00,-0.06,0.00,-0.18,1.77,1.89
460,-1.00,-0.06,0.00,-0.12,1.77,1.59
470,-1.00,-0.06,-0.00,-0.06,2.01,1.28
480,-1.00,-0.07,0.00,-0.12,1.83,1.53
490,-1.00,-0.06,0.00,-0.31,1.95,1.28
500,-1.01,-0.06,0.00,-0.31,1.83,1.16
510,-1.00,-0.06,0.00,-0.18,1.71,1.22
520,-1.00,-0.06,0.01,0.00,1.89,1.34
530,-1.00,-0.06,0.00,0.18,1.77,1.46
540,-1.00,-0.06,0.01,-0.06,1.95,1.28
550,-1.00,-0.07,0.01,-0.18,2.01,1.22
560,-1.00,-0.07,0.00,-0.18,2.14,1.34
570,-1.00,-0.07,0.00,-0.31,2.01,1.28
580,-1.00,-0.07,0.00,-0.37,1.95,1.28
590,-1.00,-0.07,0.00,-0.18,1.83,1.59
600,-1.00,-0.07,0.00,-0.12,1.71,1.83
610,-1.00,-0.06,0.00,-0.18,1.65,1.89
620,-1.00,-0.06,0.01,-0.24,1.77,1.77
630,-1.00,-0.06,0.00,-0.31,1.95,1.53
640,-1.00,-0.06,0.01,-0.18,1.83,1.65
650,-1.00,-0.06,0.01,-0.12,1.89,1.59
660,-1.00,-0.06,0.00,-0.18,1.89,1.40
670,-1.00,-0.06,0.00,-0.12,1.89,1.46
680,-1.00,-0.06,-0.00,-0.06,1.83,1.34
690,-1.00,-0.06,0.00,-0.12,1.89,1.34
700,-1.00,-0.06,-0.00,0.00,1.77,1.28
710,-1.00,-0.07,0.00,0.06,1.77,1.34
720,-1.00,-0.06,0.00,0.06,1.77,1.46
730,-1.00,-0.07,0.00,0.06,1.77,1.53
740,-1.00,-0.07,0.00,-0.12,1.83,1.53
750,-1.00,-0.07,0.00,-0.06,1.83,1.53
760,-1.00,-0.07,0.01,-0.18,1.83,1.46
770,-1.00,-0.07,0.00,-0.12,1.95,1.53
780,-1.00,-0.06,0.00,-0.24,1.89,1.65
790,-1.00,-0.06,0.00,-0.24,1.83,1.71
800,-1.00,-0.06,0.00,-0.18,1.77,1.65
810,-1.00,-0.06,0.00,-0.18,1.95,1.40
820,-1.00,-0.06,0.00,-0.12,1.95,1.40
830,-1.00,-0.06,0.00,-0.12,1.89,1.46
840,-1.00,-0.06,0.00,-0.12,1.83,1.71
850,-1.00,-0.06,0.01,-0.06,1.83,1.53
860,-1.00,-0.06,0.00,-0.12,1.77,1.46
870,-1.00,-0.06,0.00,0.00,1.89,1.46
880,-1.00,-0.07,0.00,-0.12,1.95,1.53
890,-1.00,-0.06,0.00,-0.06,1.95,1.59
900,-1.00,-0.06,0.00,-0.18,1.89,1.59
910,-1.01,-0.06,0.00,-0.24,2.01,1.53
920,-1.00,-0.06,0.00,-0.24,1.95,1.46
930,-1.00,-0.06,0.01,-0.37,2.08,1.46
940,-1.00,-0.06,0.00,-0.31,2.08,1.59
950,-1.00,-0.06,0.00,-0.31,2.08,1.53
960,-1.00,-0.06,0.01,-0.31,2.08,1.59
970,-1.00,-0.06,0.00,-0.31,2.14,1.46
980,-1.00,-0.06,0.00,-0.31,2.14,1.40
990,-1.00,-0.06,0.00,-0.31,2.26,1.34
1000,-1.00,-0.06,0.01,-0.24,2.26,1.34
1010,-1.00,-0.06,0.00,-0.24,2.20,1.53
1020,-1.00,-0.06,0.00,-0.18,2.14,1.40
1030,-1.00,-0.07,0.00,-0.24,2.26,1.34
1040,-1.00,-0.07,0.00,-0.18,2.14,1.53
1050,-1.00,-0.07,0.00,-0.12,2.01,1.53
1060,-1.00,-0.07,0.00,-0.31,2.14,1.34
1070,-1.01,-0.06,-0.00,-0.24,2.32,1.53
1080,-1.00,-0.07,-0.00,-0.31,2.20,1.65
1090,-1.00,-0.06,0.00,-0.37,2.20,1.40
1100,-1.00,-0.06,0.00,-0.24,2.20,1.34
1110,-1.01,-0.07,0.00,0.00,1.77,1.40
1120,-1.00,-0.06,0.00,-0.18,2.08,1.16
1130,-1.00,-0.06,0.00,-0.18,1.83,1.65
1140,-1.00,-0.06,0.00,-0.18,1.77,1.83
1150,-1.00,-0.06,0.00,-0.12,1.89,1.59
1160,-1.00,-0.06,0.00,-0.18,2.08,1.40
1170,-1.00,-0.07,0.00,-0.12,2.08,1.34
1180,-1.00,-0.06,0.00,-0.12,2.01,1.59
1190,-1.00,-0.07,0.00,-0.12,2.08,1.40
1200,-1.00,-0.06,0.00,-0.24,2.08,1.53
1210,-1.00,-0.07,0.01,-0.24,2.08,1.40
1220,-1.00,-0.07,0.00,-0.31,2.08,1.59
1230,-1.00,-0.07,0.01,-0.37,2.08,1.65
1240,-1.00,-0.06,0.00,-0.43,2.26,1.83
1250,-1.00,-0.07,0.00,-0.55,2.14,1.59
1260,-1.00,-0.07,0.00,-0.49,2.32,1.28
1270,-1.00,-0.07,-0.00,-0.31,2.14,1.34
1280,-1.00,-0.06,0.00,-0.31,2.14,1.59
1290,-1.00,-0.06,0.00,-0.31,2.14,1.77
1300,-1.00,-0.06,0.00,-0.18,1.95,1.65
1310,-1.00,-0.06,0.00,-0.31,2.20,1.28
1320,-1.00,-0.06,0.00,-0.18,2.20,1.22
1330,-1.00,-0.07,-0.00,-0.18,2.32,1.46
1340,-1.00,-0.06,-0.00,-0.37,2.08,1.59
1350,-1.00,-0.07,0.00,-0.31,2.01,1.59
1360,-1.00,-0.06,0.00,-0.31,2.20,1.53
1370,-1.00,-0.07,0.00,-0.31,2.20,1.46
1380,-1.00,-0.06,0.00,-0.12,2.14,1.40
1390,-1.00,-0.07,-0.00,-0.18,2.32,1.53
1400,-1.00,-0.06,0.00,-0.31,2.20,1.46
1410,-1.00,-0.07,0.00,-0.24,2.08,1.59
1420,-1.00,-0.07,0.01,-0.24,2.08,1.40
1430,-1.00,-0.06,0.00,-0.24,2.08,1.46
1440,-1.00,-0.07,-0.00,-0.12,2.08,1.46
1450,-1.00,-0.07,0.00,-0.18,2.01,1.53
1460,-1.00,-0.06,-0.00,-0.24,2.01,1.71
1470,-1.00,-0.07,-0.00,-0.18,2.01,1.71
1480,-1.00,-0.07,0.00,-0.24,1.95,1.53
1490,-1.00,-0.06,0.00,-0.18,1.89,1.53
1500,-1.00,-0.07,0.00,-0.18,1.89,1.53
1510,-1.00,-0.06,0.00,-0.12,2.01,1.71
1520,-1.00,-0.06,-0.00,-0.12,1.95,1.71
1530,-1.00,-0.06,0.00,-0.06,1.95,1.53
1540,-1.00,-0.06,0.00,-0.12,1.89,1.53
1550,-1.00,-0.06,0.00,-0.06,1.89,1.46
1560,-1.00,-0.06,0.00,-0.06,1.83,1.46
1570,-1.00,-0.06,-0.00,-0.12,1.95,1.65
1580,-1.00,-0.07,-0.00,-0.12,1.89,1.46
1590,-1.00,-0.07,-0.00,-0.18,1.95,1.40
1600,-1.00,-0.07,-0.00,-0.18,1.95,1.28
1610,-1.00,-0.06,-0.00,-0.12,1.77,1.53
1620,-1.00,-0.06,0.00,-0.06,1.65,1.71
1630,-1.00,-0.06,0.00,-0.12,1.59,1.53
1640,-1.00,-0.06,0.00,-0.06,1.71,1.53
1650,-1.00,-0.06,0.00,-0.06,1.83,1.40
1660,-1.00,-0.06,-0.00,-0.06,1.89,1.46
1670,-1.00,-0.06,0.00,-0.06,1.83,1.59
1680,-1.00,-0.06,-0.00,-0.18,1.77,1.53
1690,-1.00,-0.06,-0.00,-0.12,1.95,1.34
1700,-1.01,-0.06,-0.00,-0.06,2.08,1.40
1710,-1.00,-0.07,0.00,-0.06,2.08,1.59
1720,-1.00,-0.06,0.00,-0.18,2.20,1.40
1730,-1.00,-0.06,0.00,0.12,2.08,1.46
1740,-1.00,-0.06,0.01,0.06,1.77,1.46
1750,-1.00,-0.07,0.00,0.00,2.01,1.22
1760,-1.00,-0.07,-0.00,-0.12,1.71,1.59
1770,-1.00,-0.06,-0.00,-0.06,1.40,1.95
1780,-1.00,-0.06,-0.00,-0.06,1.77,1.59
1790,-1.00,-0.07,0.00,-0.12,1.89,1.34
1800,-1.00,-0.07,-0.00,-0.06,1.83,1.46
1810,-1.00,-0.06,0.01,-0.06,1.65,1.59
1820,-1.00,-0.06,0.00,-0.12,1.65,1.71
1830,-1.00,-0.06,0.00,0.00,1.71,1.59
1840,-1.00,-0.06,0.00,-0.06,1.89,1.53
1850,-1.00,-0.06,0.00,0.00,1.83,1.53
1860,-1.00,-0.06,-0.00,-0.18,1.89,1.46
1870,-1.00,-0.06,0.00,-0.18,1.95,1.59
1880,-1.00,-0.07,-0.00,-0.24,1.83,1.46
1890,-1.00,-0.07,-0.00,-0.12,1.83,1.22
1900,-1.01,-0.07,0.00,-0.18,1.89,1.22
1910,-1.00,-0.07,-0.00,0.06,1.77,1.65
1920,-1.00,-0.06,0.01,0.00,1.71,1.77
1930,-1.00,-0.06,0.00,-0.12,1.83,1.65
1940,-1.00,-0.06,0.00,-0.12,1.83,1.65
1950,-1.00,-0.06,0.00,-0.12,1.71,1.40
1960,-1.00,-0.06,0.00,-0.18,2.14,1.22
1970,-1.00,-0.06,0.00,-0.31,1.89,1.40
1980,-1.00,-0.06,0.00,-0.31,1.89,1.65
1990,-1.00,-0.07,-0.00,-0.06,1.83,1.59
