timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
0,-1.00,-0.07,0.01,-0.18,1.59,1.65
10,-1.00,-0.07,0.00,-0.12,1.65,1.65
20,-1.00,-0.06,0.00,-0.12,1.65,1.65
30,-1.00,-0.07,0.00,-0.12,1.77,1.59
40,-1.00,-0.07,-0.00,-0.18,1.83,1.59
50,-1.00,-0.07,0.00,-0.12,1.89,1.46
60,-1.00,-0.06,0.00,-0.06,1.89,1.53
70,-1.00,-0.07,0.00,0.00,1.83,1.71
80,-1.00,-0.07,0.00,-0.06,1.83,1.65
90,-1.00,-0.07,0.00,-0.18,1.95,1.46
100,-1.00,-0.07,0.00,-0.12,1.89,1.28
110,-1.00,-0.07,0.00,-0.06,1.71,1.53
120,-1.00,-0.06,-0.00,-0.18,1.89,1.59
130,-1.00,-0.06,0.00,-0.12,1.83,1.59
140,-1.00,-0.06,0.00,-0.06,1.95,1.46
150,-1.00,-0.06,-0.00,-0.12,2.14,1.22
160,-1.00,-0.07,-0.00,-0.06,1.95,1.40
170,-1.00,-0.07,-0.00,-0.12,1.95,1.59
180,-1.00,-0.07,0.00,-0.06,2.14,1.40
190,-1.00,-0.07,0.00,0.06,1.59,1.65
200,-1.00,-0.07,0.00,0.06,1.65,1.34
210,-1.00,-0.07,0.00,-0.18,1.89,1.40
220,-1.00,-0.07,0.00,-0.12,1.59,1.95
230,-1.00,-0.06,-0.00,0.00,1.71,2.01
240,-1.00,-0.06,0.00,-0.12,1.89,1.77
250,-1.00,-0.06,-0.00,-0.24,2.08,1.46
260,-1.00,-0.06,-0.00,-0.18,2.01,1.53
270,-1.00,-0.06,-0.00,-0.12,1.83,1.59
280,-1.00,-0.07,0.00,-0.18,1.83,1.59
290,-1.00,-0.06,0.00,-0.12,1.83,1.46
300,-1.00,-0.06,0.00,-0.06,2.01,1.59
310,-1.00,-0.06,0.00,0.00,1.89,1.77
320,-1.00,-0.06,0.00,-0.18,2.08,1.53
330,-1.00,-0.07,0.00,-0.24,2.01,1.46
340,-1.00,-0.07,0.00,-0.18,2.08,1.28
350,-1.00,-0.07,0.00,-0.18,1.95,1.28
360,-1.00,-0.07,0.00,-0.18,1.89,1.53
370,-1.00,-0.07,0.00,-0.18,1.89,1.65
380,-1.00,-0.07,0.00,-0.12,1.83,1.59
390,-1.00,-0.07,0.00,-0.18,1.83,1.53
400,-1.00,-0.07,0.00,-0.12,1.95,1.59
410,-1.00,-0.07,0.00,-0.31,1.89,1.53
420,-1.00,-0.07,0.00,-0.31,1.83,1.59
430,-1.00,-0.06,0.00,-0.31,1.89,1.59
440,-1.00,-0.07,0.00,-0.24,1.95,1.53
450,-1.00,-0.06,0.00,-0.31,2.20,1.34
460,-1.00,-0.07,0.01,-0.31,2.26,1.40
470,-1.00,-0.06,-0.00,-0.12,2.08,1.59
480,-1.00,-0.06,-0.00,-0.24,2.01,1.53
490,-1.00,-0.07,-0.00,-0.18,1.89,1.34
500,-1.00,-0.07,0.00,-0.24,1.95,1.40
510,-1.00,-0.07,0.00,-0.12,1.95,1.40
520,-1.00,-0.07,0.00,-0.18,1.83,1.59
530,-1.00,-0.07,0.00,-0.12,1.83,1.59
540,-1.00,-0.06,0.00,-0.18,1.89,1.46
550,-1.00,-0.07,0.00,-0.06,1.77,1.46
560,-1.00,-0.07,-0.00,-0.12,1.89,1.34
