timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
0,-1.00,-0.06,-0.00,-0.06,1.89,1.59
10,-1.00,-0.06,-0.00,-0.24,2.08,1.53
20,-1.00,-0.06,-0.00,-0.12,2.08,1.34
30,-1.00,-0.06,-0.00,0.00,1.83,1.34
40,-1.00,-0.07,0.00,0.06,1.71,1.46
50,-1.00,-0.07,-0.00,-0.12,1.95,1.10
60,-1.00,-0.06,0.00,-0.18,1.71,1.71
70,-1.00,-0.06,-0.00,-0.06,1.65,1.89
80,-1.00,-0.06,-0.00,-0.12,1.89,1.59
90,-1.00,-0.06,-0.00,-0.06,2.01,1.46
100,-1.00,-0.06,0.00,-0.06,1.89,1.40
110,-1.00,-0.06,0.00,-0.12,1.95,1.46
120,-1.00,-0.06,0.00,-0.06,1.83,1.65
130,-1.00,-0.06,0.00,-0.18,1.95,1.53
140,-1.00,-0.07,-0.00,-0.18,1.89,1.53
150,-1.00,-0.06,0.00,-0.18,2.14,1.46
160,-1.00,-0.06,0.00,-0.18,2.08,1.59
170,-1.00,-0.06,0.00,-0.31,2.08,1.59
180,-1.00,-0.06,-0.00,-0.24,2.01,1.53
190,-1.00,-0.06,-0.00,-0.18,2.01,1.34
200,-1.00,-0.06,-0.00,-0.18,1.95,1.53
210,-1.00,-0.06,-0.00,-0.12,1.95,1.53
220,-1.00,-0.06,0.00,-0.06,1.89,1.65
230,-1.00,-0.06,0.00,-0.18,1.89,1.40
240,-1.00,-0.06,0.00,-0.06,1.89,1.34
250,-1.00,-0.06,0.00,-0.06,1.89,1.40
260,-1.00,-0.06,-0.00,-0.06,2.01,1.46
270,-1.00,-0.06,-0.00,-0.18,1.95,1.59
280,-1.00,-0.06,0.00,-0.18,1.89,1.46
290,-1.00,-0.06,0.00,-0.18,1.89,1.53
300,-1.00,-0.06,0.00,-0.06,1.95,1.53
310,-1.00,-0.07,0.00,-0.06,1.95,1.53
320,-1.00,-0.06,-0.00,-0.12,1.89,1.53
330,-1.00,-0.06,0.00,0.00,1.89,1.65
340,-1.00,-0.06,0.00,-0.12,1.89,1.53
