timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
0,-1.00,-0.06,0.00,-0.43,1.89,1.71
10,-1.00,-0.06,0.00,-0.24,1.95,1.34
20,-1.00,-0.06,0.00,-0.18,2.01,1.22
30,-1.00,-0.07,0.00,-0.18,2.01,1.22
40,-1.00,-0.07,0.00,-0.12,2.01,1.65
50,-1.00,-0.06,0.00,-0.24,1.83,1.89
60,-1.00,-0.06,0.00,-0.24,1.89,1.46
70,-1.00,-0.06,0.00,-0.12,2.01,1.28
80,-1.00,-0.06,0.00,-0.06,2.01,1.34
90,-1.00,-0.06,0.00,-0.24,2.08,1.40
100,-1.00,-0.07,0.00,-0.31,2.08,1.53
110,-1.00,-0.06,0.00,-0.24,1.95,1.46
120,-1.00,-0.06,0.00,-0.24,2.01,1.34
130,-1.00,-0.06,0.00,-0.06,2.01,1.40
140,-1.00,-0.06,0.00,-0.18,2.08,1.40
150,-1.00,-0.06,0.00,-0.24,2.08,1.53
160,-1.00,-0.06,0.00,-0.18,2.01,1.71
170,-1.00,-0.06,0.00,-0.24,2.01,1.46
180,-1.00,-0.06,0.01,-0.18,1.95,1.46
190,-1.00,-0.06,0.01,-0.24,2.01,1.40
200,-1.00,-0.06,0.01,-0.24,2.14,1.46
210,-1.00,-0.06,0.00,-0.18,2.01,1.53
220,-1.00,-0.06,0.00,-0.24,2.08,1.59
230,-1.00,-0.06,0.00,-0.31,2.14,1.53
240,-1.00,-0.06,0.00,-0.24,2.14,1.34
250,-1.00,-0.07,0.00,-0.18,2.14,1.46
260,-1.00,-0.06,0.00,-0.24,2.01,1.59
270,-1.00,-0.06,0.00,-0.24,2.01,1.46
280,-1.00,-0.06,0.00,-0.31,2.08,1.53
290,-1.00,-0.07,0.00,-0.18,2.01,1.40
300,-1.00,-0.07,0.00,-0.24,2.01,1.46
310,-1.00,-0.06,0.01,-0.06,2.08,1.40
320,-1.00,-0.06,0.00,-0.18,2.14,1.53
330,-1.00,-0.06,0.00,-0.24,2.08,1.53
340,-1.00,-0.06,0.00,-0.24,2.14,1.40
350,-1.00,-0.06,0.00,-0.31,2.20,1.28
360,-1.00,-0.06,0.00,-0.24,2.08,1.40
370,-1.00,-0.06,0.00,-0.18,2.14,1.34
380,-1.00,-0.06,0.00,-0.24,2.20,1.46
390,-1.00,-0.06,-0.00,-0.31,2.14,1.40
400,-1.00,-0.06,0.00,-0.37,2.14,1.40
410,-1.00,-0.06,0.00,-0.43,2.01,1.40
