timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
0,-1.00,-0.08,-0.02,-0.24,2.08,1.59
10,-1.00,-0.08,-0.02,-0.24,2.01,1.53
20,-1.00,-0.08,-0.02,-0.24,1.89,1.46
30,-1.00,-0.08,-0.01,-0.12,1.95,1.46
40,-1.00,-0.08,-0.02,-0.12,1.95,1.28
50,-1.00,-0.08,-0.02,-0.18,1.95,1.59
60,-1.00,-0.08,-0.02,-0.12,1.83,1.71
70,-1.00,-0.07,-0.02,-0.18,1.89,1.53
80,-1.00,-0.07,-0.02,-0.18,1.95,1.40
90,-1.00,-0.07,-0.01,-0.18,2.01,1.40
100,-1.00,-0.08,-0.02,-0.12,2.01,1.59
110,-1.00,-0.08,-0.02,-0.06,2.01,1.65
120,-1.00,-0.08,-0.02,-0.18,1.95,1.59
130,-1.00,-0.08,-0.02,-0.18,1.83,1.46
140,-1.00,-0.08,-0.02,-0.18,1.95,1.46
150,-1.00,-0.08,-0.01,-0.18,1.95,1.53
160,-1.00,-0.08,-0.02,-0.18,2.01,1.59
170,-1.00,-0.08,-0.02,-0.12,2.01,1.53
180,-1.00,-0.08,-0.02,-0.06,1.89,1.65
190,-1.00,-0.08,-0.02,-0.24,2.01,1.40
200,-1.00,-0.08,-0.01,-0.24,1.95,1.34
210,-1.00,-0.08,-0.02,-0.18,2.01,1.46
220,-1.00,-0.08,-0.02,-0.12,2.08,1.65
230,-1.00,-0.07,-0.02,-0.06,1.95,1.59
240,-1.00,-0.08,-0.02,-0.18,1.89,1.65
250,-1.00,-0.08,-0.01,-0.24,1.95,1.40
260,-1.00,-0.08,-0.02,-0.12,1.95,1.53
270,-1.00,-0.08,-0.02,-0.18,1.95,1.46
280,-1.00,-0.08,-0.01,-0.12,1.95,1.40
290,-1.00,-0.08,-0.01,-0.18,1.89,1.53
300,-1.00,-0.08,-0.02,-0.12,1.89,1.59
310,-1.00,-0.08,-0.02,-0.12,2.08,1.40
320,-1.00,-0.08,-0.02,-0.12,2.01,1.40
330,-1.00,-0.08,-0.02,-0.24,2.01,1.65
340,-1.00,-0.08,-0.01,-0.18,2.01,1.59
350,-1.00,-0.08,-0.01,-0.12,2.01,1.46
360,-1.00,-0.08,-0.02,-0.12,2.01,1.40
370,-1.00,-0.08,-0.02,-0.18,2.01,1.53
380,-1.00,-0.08,-0.02,-0.18,1.89,1.71
390,-1.00,-0.08,-0.01,-0.12,1.95,1.71
400,-1.00,-0.07,-0.01,-0.18,2.14,1.46
410,-1.00,-0.08,-0.02,-0.12,2.20,1.40
420,-1.00,-0.08,-0.02,-0.18,2.08,1.46
430,-1.00,-0.08,-0.02,-0.31,2.14,1.59
440,-1.00,-0.08,-0.01,-0.31,2.56,1.22
450,-1.00,-0.08,-0.02,-0.12,1.95,1.46
460,-1.00,-0.08,-0.01,0.00,1.89,1.46
470,-1.00,-0.08,-0.02,-0.24,2.20,1.04
480,-1.00,-0.08,-0.01,-0.06,2.08,1.53
490,-1.00,-0.07,-0.02,-0.06,2.01,1.65
500,-1.00,-0.08,-0.02,-0.06,2.08,1.16
510,-1.00,-0.08,-0.02,-0.18,2.14,1.34
520,-1.00,-0.08,-0.02,-0.24,2.14,1.40
530,-1.00,-0.08,-0.02,-0.24,2.01,1.46
540,-1.00,-0.08,-0.01,-0.31,2.01,1.59
550,-1.00,-0.08,-0.01,-0.24,2.14,1.59
560,-1.00,-0.08,-0.02,-0.18,2.08,1.71
570,-1.00,-0.08,-0.02,-0.24,2.08,1.65
580,-1.00,-0.07,-0.02,-0.31,2.08,1.59
590,-1.00,-0.07,-0.02,-0.31,1.95,1.71
600,-1.00,-0.08,-0.02,-0.37,2.14,1.46
610,-1.00,-0.08,-0.02,-0.31,2.26,1.28
620,-1.00,-0.08,-0.02,-0.31,2.14,1.28
630,-1.00,-0.08,-0.02,-0.24,2.26,1.59
640,-1.00,-0.08,-0.02,-0.24,2.14,1.71
650,-1.00,-0.08,-0.02,-0.24,2.26,1.59
660,-1.00,-0.08,-0.02,-0.31,2.26,1.22
670,-1.00,-0.08,-0.02,-0.24,2.14,1.34
680,-1.00,-0.08,-0.02,-0.18,2.14,1.40
690,-1.00,-0.08,-0.02,-0.18,2.20,1.40
700,-1.00,-0.08,-0.02,-0.43,2.26,1.40
710,-1.00,-0.08,-0.01,-0.31,2.26,1.46
720,-1.00,-0.08,-0.02,-0.24,2.20,1.53
730,-1.00,-0.08,-0.02,-0.37,2.26,1.40
740,-1.00,-0.08,-0.02,-0.37,2.32,1.40
750,-1.00,-0.08,-0.02,-0.31,2.20,1.53
760,-1.00,-0.08,-0.01,-0.12,2.14,1.65
770,-1.00,-0.08,-0.02,-0.24,2.01,1.59
780,-1.00,-0.07,-0.02,-0.31,2.32,1.46
790,-1.00,-0.08,-0.02,-0.24,2.20,1.53
800,-1.00,-0.08,-0.01,-0.31,2.26,1.46
810,-1.00,-0.08,-0.02,-0.37,2.26,1.46
820,-1.00,-0.08,-0.02,-0.31,2.32,1.46
830,-1.00,-0.08,-0.02,-0.49,2.32,1.40
840,-1.00,-0.08,-0.02,-0.24,2.32,1.40
850,-1.00,-0.08,-0.02,-0.24,2.26,1.46
860,-1.00,-0.08,-0.02,-0.24,2.20,1.53
870,-1.00,-0.08,-0.02,-0.24,2.26,1.59
880,-1.00,-0.08,-0.02,-0.24,2.26,1.46
890,-1.00,-0.08,-0.02,-0.24,2.32,1.46
900,-1.00,-0.08,-0.02,-0.24,2.32,1.40
910,-1.00,-0.08,-0.02,-0.31,2.26,1.53
920,-1.00,-0.08,-0.02,-0.18,2.20,1.53
930,-1.00,-0.08,-0.02,-0.37,2.26,1.46
940,-1.00,-0.08,-0.02,-0.37,2.20,1.46
950,-1.00,-0.08,-0.02,-0.31,2.26,1.53
960,-1.00,-0.08,-0.02,-0.31,2.32,1.46
970,-1.00,-0.08,-0.02,-0.31,2.32,1.53
980,-1.00,-0.08,-0.02,-0.24,2.20,1.53
990,-1.00,-0.08,-0.02,-0.31,2.08,1.59
1000,-1.00,-0.08,-0.02,-0.24,2.08,1.46
1010,-1.00,-0.08,-0.02,-0.18,2.01,1.40
1020,-1.00,-0.08,-0.02,-0.24,2.01,1.46
1030,-1.00,-0.08,-0.02,-0.12,2.01,1.53
1040,-1.00,-0.08,-0.02,-0.12,1.95,1.53
1050,-1.00,-0.08,-0.02,-0.18,1.95,1.53
1060,-1.00,-0.08,-0.02,-0.12,1.83,1.65
1070,-1.00,-0.08,-0.02,-0.12,1.65,1.59
1080,-1.00,-0.08,-0.02,-0.12,1.83,1.40
1090,-1.01,-0.08,-0.02,-0.06,1.95,1.53
1100,-1.00,-0.08,-0.02,-0.06,1.95,1.71
1110,-1.00,-0.08,-0.02,-0.18,1.89,1.59
1120,-1.00,-0.08,-0.02,-0.24,2.20,1.34
1130,-1.00,-0.08,-0.02,-0.12,1.83,1.53
1140,-1.00,-0.08,-0.02,0.00,1.65,1.34
1150,-1.00,-0.08,-0.02,-0.12,1.89,1.22
1160,-1.00,-0.08,-0.02,0.00,1.59,1.89
1170,-1.00,-0.08,-0.02,0.06,1.65,1.83
1180,-1.00,-0.08,-0.02,-0.12,1.83,1.28
1190,-1.00,-0.08,-0.02,0.00,1.71,1.34
1200,-1.00,-0.08,-0.02,0.00,1.71,1.59
1210,-1.00,-0.08,-0.02,0.00,1.65,1.71
1220,-1.00,-0.08,-0.02,-0.06,1.59,1.65
1230,-1.00,-0.08,-0.02,-0.12,1.71,1.53
1240,-1.00,-0.08,-0.02,-0.12,1.65,1.65
1250,-1.00,-0.08,-0.02,-0.18,1.77,1.65
1260,-1.00,-0.08,-0.02,-0.18,1.95,1.53
1270,-1.00,-0.08,-0.02,-0.24,1.89,1.65
1280,-1.00,-0.08,-0.02,-0.18,2.01,1.53
1290,-1.00,-0.08,-0.02,-0.24,1.95,1.34
1300,-1.00,-0.08,-0.02,-0.18,1.89,1.53
1310,-1.00,-0.08,-0.02,-0.12,1.89,1.65
1320,-1.00,-0.08,-0.02,-0.12,1.77,1.77
1330,-1.00,-0.08,-0.02,-0.06,1.71,1.77
1340,-1.00,-0.08,-0.02,-0.06,1.77,1.34
1350,-1.00,-0.08,-0.02,-0.12,1.77,1.59
1360,-1.00,-0.08,-0.02,-0.18,1.83,1.46
1370,-1.00,-0.08,-0.02,-0.24,1.95,1.40
1380,-1.00,-0.08,-0.02,-0.12,1.77,1.53
1390,-1.00,-0.08,-0.02,-0.12,1.77,1.53
1400,-1.00,-0.08,-0.02,0.00,1.77,1.40
1410,-1.00,-0.08,-0.02,0.06,1.71,1.53
1420,-1.00,-0.08,-0.02,0.00,1.65,1.53
1430,-1.00,-0.08,-0.02,0.00,1.65,1.77
1440,-1.00,-0.08,-0.02,-0.12,1.71,1.59
1450,-1.00,-0.08,-0.02,-0.12,1.77,1.46
1460,-1.00,-0.08,-0.02,-0.18,1.77,1.28
1470,-1.00,-0.08,-0.02,-0.06,1.83,1.40
1480,-1.00,-0.08,-0.01,-0.06,1.83,1.71
1490,-1.00,-0.08,-0.02,-0.18,1.77,1.59
1500,-1.00,-0.08,-0.02,-0.12,1.65,1.46
1510,-1.00,-0.08,-0.02,-0.12,1.59,1.53
1520,-1.00,-0.08,-0.01,-0.12,1.71,1.46
1530,-1.00,-0.08,-0.02,-0.12,1.83,1.59
1540,-1.00,-0.08,-0.02,-0.12,1.83,1.46
1550,-1.00,-0.08,-0.02,-0.12,1.77,1.53
1560,-1.00,-0.08,-0.01,0.00,1.71,1.40
1570,-1.00,-0.08,-0.02,-0.06,1.77,1.46
1580,-1.00,-0.08,-0.02,0.00,1.77,1.46
1590,-1.00,-0.08,-0.02,-0.12,1.83,1.65
1600,-1.00,-0.08,-0.01,-0.18,1.89,1.59
1610,-1.00,-0.08,-0.02,-0.24,1.89,1.46
1620,-1.00,-0.08,-0.02,-0.12,1.83,1.40
1630,-1.00,-0.08,-0.02,-0.06,1.83,1.65
1640,-1.00,-0.08,-0.01,-0.18,1.89,1.65
1650,-1.00,-0.08,-0.02,-0.18,2.01,1.46
1660,-1.00,-0.08,-0.02,-0.18,1.89,1.65
1670,-1.00,-0.08,-0.01,-0.24,1.83,1.53
1680,-1.00,-0.08,-0.01,-0.24,1.95,1.46
1690,-1.00,-0.08,-0.02,-0.18,2.01,1.53
1700,-1.00,-0.08,-0.02,-0.24,2.01,1.46
1710,-1.00,-0.08,-0.02,-0.18,1.95,1.46
1720,-1.00,-0.08,-0.01,-0.12,1.95,1.59
1730,-1.00,-0.08,-0.02,-0.18,1.95,1.65
1740,-1.00,-0.08,-0.02,-0.12,1.95,1.59
1750,-1.00,-0.08,-0.01,-0.18,2.01,1.40
1760,-1.00,-0.08,-0.02,-0.12,2.14,1.53
1770,-1.00,-0.08,-0.02,-0.24,2.14,1.53
1780,-1.00,-0.08,-0.02,-0.31,1.95,1.53
1790,-1.00,-0.08,-0.02,-0.31,2.44,1.28
1800,-1.00,-0.08,-0.02,0.00,1.83,1.46
1810,-1.00,-0.08,-0.02,0.12,1.59,1.53
1820,-1.00,-0.08,-0.02,-0.12,2.08,1.16
1830,-1.00,-0.08,-0.01,-0.06,1.83,1.71
1840,-1.00,-0.08,-0.02,0.12,1.65,1.83
1850,-1.00,-0.08,-0.02,-0.18,1.89,1.22
1860,-1.00,-0.08,-0.02,-0.12,1.83,1.28
1870,-1.00,-0.08,-0.02,-0.06,1.89,1.46
1880,-1.00,-0.08,-0.01,-0.12,1.71,1.65
1890,-1.00,-0.08,-0.02,-0.12,1.71,1.59
1900,-1.00,-0.08,-0.01,-0.12,1.65,1.65
1910,-1.00,-0.08,-0.01,-0.12,1.77,1.59
1920,-1.00,-0.08,-0.02,-0.12,1.83,1.53
