timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
0,-1.00,-0.06,0.01,-0.18,2.08,1.53
10,-1.00,-0.07,0.00,-0.12,1.95,1.53
20,-1.00,-0.07,0.00,-0.12,1.95,1.34
30,-1.00,-0.07,0.00,-0.12,1.95,1.28
40,-1.00,-0.07,0.00,-0.06,1.83,1.59
50,-1.00,-0.07,0.00,-0.12,1.95,1.59
60,-1.00,-0.07,0.00,-0.18,1.95,1.46
70,-1.00,-0.07,0.00,-0.12,1.89,1.46
80,-1.00,-0.06,0.00,-0.12,1.89,1.46
90,-1.00,-0.07,0.00,-0.12,1.89,1.59
100,-1.00,-0.06,0.00,-0.18,1.95,1.59
110,-1.00,-0.07,0.01,-0.12,2.01,1.46
120,-1.00,-0.06,0.00,-0.18,2.01,1.46
130,-1.00,-0.06,-0.00,-0.18,2.01,1.40
140,-1.00,-0.07,-0.00,-0.12,1.95,1.40
150,-1.00,-0.07,0.00,-0.18,1.95,1.46
160,-1.00,-0.06,0.00,-0.18,1.95,1.53
170,-1.00,-0.06,0.00,-0.18,2.01,1.53
180,-1.00,-0.07,0.00,-0.18,2.01,1.53
190,-1.00,-0.07,0.00,0.00,2.01,1.59
200,-1.00,-0.06,0.00,-0.12,2.01,1.59
210,-1.00,-0.07,0.00,-0.12,1.95,1.53
220,-1.00,-0.07,0.00,-0.18,1.89,1.53
230,-1.00,-0.07,0.00,-0.24,1.95,1.59
240,-1.00,-0.07,0.01,-0.24,2.01,1.53
250,-1.00,-0.06,0.00,-0.24,2.14,1.40
260,-1.00,-0.07,0.00,-0.12,2.20,1.40
270,-1.00,-0.07,0.00,-0.12,1.95,1.59
280,-1.00,-0.07,0.00,-0.31,2.26,1.40
290,-1.00,-0.07,-0.00,0.00,2.14,1.53
300,-1.00,-0.07,0.00,0.12,1.71,1.53
310,-1.00,-0.07,0.00,-0.06,2.14,1.10
320,-1.00,-0.07,0.00,-0.18,1.89,1.28
