timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
0,-1.00,-0.07,-0.00,-0.18,1.71,1.71
10,-1.00,-0.07,0.00,-0.06,1.65,1.71
20,-1.00,-0.07,0.00,-0.12,1.83,1.71
30,-1.00,-0.07,0.00,-0.18,1.77,1.65
40,-1.00,-0.06,0.00,-0.12,1.83,1.59
50,-1.00,-0.06,0.00,-0.18,1.83,1.53
60,-1.00,-0.07,-0.00,-0.12,1.89,1.59
70,-1.00,-0.06,-0.00,-0.18,1.83,1.46
80,-1.00,-0.07,-0.00,-0.18,1.89,1.53
90,-1.00,-0.07,-0.00,-0.06,1.95,1.46
100,-1.00,-0.07,-0.00,-0.12,1.83,1.46
110,-1.00,-0.07,-0.00,-0.18,1.95,1.28
120,-1.00,-0.07,-0.00,0.00,1.71,1.53
130,-1.00,-0.07,0.00,-0.06,1.71,1.65
140,-1.00,-0.06,0.00,0.06,1.83,1.53
150,-1.00,-0.07,0.00,0.00,1.59,1.65
160,-1.00,-0.06,-0.00,-0.12,1.83,1.40
170,-1.00,-0.07,-0.00,-0.12,1.71,1.59
180,-1.00,-0.07,-0.00,-0.12,1.65,1.59
190,-1.00,-0.07,0.00,0.00,1.77,1.40
200,-1.00,-0.07,-0.00,0.06,1.59,1.59
210,-1.00,-0.07,0.00,0.12,1.71,1.53
220,-1.00,-0.07,0.00,0.00,1.71,1.65
230,-1.00,-0.07,0.00,-0.06,1.71,1.65
240,-1.00,-0.06,0.00,-0.06,1.65,1.59
250,-1.00,-0.07,-0.00,0.06,1.53,1.59
260,-1.00,-0.06,0.00,-0.06,1.71,1.53
270,-1.00,-0.06,0.00,0.06,1.65,1.59
280,-1.00,-0.07,0.00,0.00,1.71,1.71
290,-1.00,-0.06,0.00,-0.06,1.83,1.53
300,-1.00,-0.07,0.00,-0.18,1.95,1.34
310,-1.00,-0.06,-0.00,-0.18,2.08,1.40
320,-1.00,-0.07,-0.00,0.00,1.89,1.59
330,-1.00,-0.07,0.00,-0.12,2.01,1.46
340,-1.00,-0.07,-0.00,-0.06,2.01,1.28
350,-1.00,-0.07,0.00,0.18,1.59,1.46
360,-1.00,-0.06,-0.00,-0.06,1.71,1.28
370,-1.00,-0.07,-0.00,-0.06,1.83,1.28
380,-1.00,-0.07,0.00,0.00,1.46,1.77
390,-1.00,-0.06,0.00,-0.12,1.77,1.65
400,-1.00,-0.07,0.00,-0.18,1.89,1.46
410,-1.00,-0.07,-0.00,-0.18,2.01,1.53
420,-1.00,-0.07,0.00,-0.18,1.95,1.53
430,-1.00,-0.07,0.00,-0.12,1.71,1.53
440,-1.00,-0.06,0.00,-0.12,1.65,1.53
450,-1.00,-0.07,-0.00,-0.06,1.77,1.65
460,-1.00,-0.07,0.00,-0.06,1.77,1.71
470,-1.00,-0.06,0.00,-0.12,1.83,1.77
480,-1.00,-0.06,0.00,-0.37,1.95,1.71
490,-1.00,-0.06,0.00,-0.43,2.08,1.59
500,-1.00,-0.07,0.00,-0.31,2.01,1.40
510,-1.00,-0.07,0.00,-0.24,1.95,1.34
520,-1.00,-0.07,0.00,-0.12,1.95,1.53
530,-1.00,-0.07,-0.00,-0.18,1.89,1.77
540,-1.00,-0.07,-0.00,-0.18,1.77,1.59
550,-1.00,-0.06,-0.00,-0.18,1.89,1.40
560,-1.00,-0.07,0.00,-0.18,1.95,1.40
570,-1.00,-0.07,0.00,-0.12,1.89,1.53
580,-1.00,-0.06,-0.00,-0.18,1.83,1.59
590,-1.00,-0.07,0.00,-0.18,1.83,1.40
600,-1.00,-0.06,0.00,-0.18,1.89,1.28
610,-1.00,-0.06,-0.00,-0.18,2.01,1.40
620,-1.00,-0.07,0.00,-0.12,1.95,1.59
630,-1.00,-0.06,0.00,-0.06,1.83,1.77
640,-1.00,-0.07,0.00,-0.18,1.65,1.53
650,-1.00,-0.06,0.00,-0.18,1.77,1.59
660,-1.00,-0.06,0.00,-0.31,1.77,1.40
670,-1.00,-0.07,0.00,-0.12,1.77,1.34
680,-1.00,-0.07,0.00,-0.18,1.77,1.71
690,-1.00,-0.06,0.00,-0.12,1.83,1.59
700,-1.00,-0.07,0.00,-0.18,1.83,1.59
710,-1.00,-0.07,0.00,-0.18,1.95,1.59
720,-1.00,-0.06,0.00,-0.12,1.95,1.46
730,-1.00,-0.07,0.00,-0.18,1.83,1.53
740,-1.00,-0.06,0.00,-0.12,1.89,1.53
750,-1.00,-0.07,0.00,-0.12,1.89,1.59
760,-1.00,-0.06,0.00,-0.18,1.89,1.59
770,-1.00,-0.06,0.00,-0.24,1.89,1.46
780,-1.00,-0.06,0.00,-0.18,1.95,1.53
790,-1.00,-0.07,0.00,-0.24,2.08,1.46
800,-1.00,-0.06,0.00,-0.18,1.95,1.40
810,-1.00,-0.07,0.00,-0.06,2.01,1.53
820,-1.00,-0.07,0.00,-0.12,2.08,1.46
830,-1.00,-0.07,0.00,-0.12,1.89,1.53
840,-1.00,-0.07,0.00,-0.12,1.89,1.53
850,-1.00,-0.06,0.00,-0.24,2.01,1.53
860,-1.00,-0.06,0.00,-0.18,1.89,1.65
870,-1.00,-0.07,0.00,-0.12,1.95,1.46
880,-1.00,-0.07,0.00,-0.24,1.95,1.40
890,-1.00,-0.07,0.00,-0.18,1.95,1.40
900,-1.00,-0.07,0.00,-0.18,1.95,1.59
910,-1.00,-0.07,-0.00,-0.12,1.95,1.71
920,-1.00,-0.07,0.00,-0.24,2.08,1.59
930,-1.00,-0.06,0.00,-0.18,1.95,1.53
940,-1.00,-0.06,0.00,-0.18,2.01,1.46
950,-1.00,-0.07,0.00,-0.12,1.89,1.65
960,-1.00,-0.06,0.00,-0.31,2.14,1.40
970,-1.00,-0.06,-0.00,-0.18,2.20,1.53
980,-1.00,-0.07,-0.00,-0.18,2.08,1.46
990,-1.00,-0.07,0.00,-0.24,2.08,1.40
1000,-1.00,-0.07,-0.00,-0.18,2.38,1.40
1010,-1.00,-0.07,0.00,0.00,1.95,1.59
1020,-1.00,-0.07,0.00,0.00,1.83,1.28
1030,-1.00,-0.07,0.00,-0.31,2.01,1.10
1040,-1.00,-0.07,0.00,-0.24,1.89,1.46
1050,-1.00,-0.06,0.00,0.06,1.77,1.77
1060,-1.00,-0.06,0.00,-0.12,2.01,1.34
1070,-1.00,-0.07,0.00,-0.18,1.89,1.53
1080,-1.00,-0.06,0.00,-0.18,2.08,1.46
1090,-1.00,-0.06,-0.01,-0.12,1.89,1.34
1100,-1.00,-0.06,-0.00,-0.18,1.89,1.53
1110,-1.00,-0.07,0.00,-0.18,1.89,1.59
1120,-1.00,-0.07,0.00,-0.06,1.89,1.59
1130,-1.00,-0.06,0.00,-0.12,1.83,1.65
1140,-1.00,-0.06,0.01,-0.18,2.01,1.65
1150,-1.00,-0.07,0.01,-0.31,1.95,1.46
1160,-1.00,-0.07,0.00,-0.37,2.01,1.40
1170,-1.00,-0.06,0.00,-0.24,2.08,1.34
1180,-1.00,-0.07,0.00,-0.12,2.08,1.46
1190,-1.00,-0.07,0.00,-0.12,2.08,1.40
1200,-1.00,-0.06,-0.00,-0.18,1.95,1.59
1210,-1.00,-0.06,0.00,-0.24,1.89,1.53
1220,-1.00,-0.06,0.00,-0.18,2.08,1.28
1230,-1.00,-0.07,0.00,-0.06,1.89,1.46
1240,-1.00,-0.07,0.00,-0.12,1.95,1.53
1250,-1.00,-0.07,0.00,-0.18,1.95,1.59
1260,-1.00,-0.07,0.00,-0.24,1.95,1.59
1270,-1.00,-0.07,0.00,-0.31,1.95,1.34
1280,-1.00,-0.07,0.00,-0.24,2.01,1.34
1290,-1.00,-0.07,0.00,-0.12,2.08,1.53
1300,-1.00,-0.06,0.00,-0.12,1.95,1.77
1310,-1.00,-0.06,0.00,-0.12,1.83,1.71
1320,-1.00,-0.06,0.00,-0.31,1.95,1.65
1330,-1.00,-0.06,-0.00,-0.24,2.01,1.53
1340,-1.00,-0.06,0.00,-0.37,2.01,1.40
1350,-1.00,-0.06,0.00,-0.37,2.20,1.40
1360,-1.00,-0.06,0.01,-0.37,2.14,1.59
1370,-1.00,-0.06,-0.00,-0.31,2.14,1.59
1380,-1.00,-0.06,0.00,-0.37,2.20,1.53
1390,-1.00,-0.07,0.00,-0.31,2.26,1.28
1400,-1.00,-0.06,-0.00,-0.43,2.26,1.34
1410,-1.00,-0.06,0.00,-0.24,2.20,1.40
1420,-1.00,-0.06,0.00,-0.31,2.26,1.46
1430,-1.00,-0.06,0.00,-0.37,2.20,1.46
1440,-1.00,-0.07,-0.00,-0.37,2.32,1.40
1450,-1.00,-0.07,0.00,-0.31,2.26,1.28
1460,-1.00,-0.07,0.00,-0.43,2.20,1.34
1470,-1.00,-0.07,0.00,-0.43,2.26,1.28
1480,-1.00,-0.07,0.00,-0.37,2.20,1.53
1490,-1.00,-0.07,-0.00,-0.24,2.20,1.59
1500,-1.00,-0.07,0.00,-0.37,2.32,1.59
1510,-1.00,-0.07,0.00,-0.31,2.26,1.46
1520,-1.00,-0.07,0.00,-0.37,2.32,1.46
1530,-1.00,-0.07,0.00,-0.43,2.20,1.53
1540,-1.00,-0.07,0.00,-0.49,2.38,1.40
