timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
0,-1.00,-0.06,0.00,-0.12,1.89,1.46
10,-1.00,-0.06,0.00,-0.06,1.95,1.40
20,-1.00,-0.06,-0.00,0.00,1.83,1.53
30,-1.00,-0.06,-0.00,-0.18,1.89,1.59
40,-1.00,-0.06,0.00,-0.06,1.89,1.53
50,-1.00,-0.07,0.00,-0.06,1.83,1.46
60,-1.00,-0.06,0.00,-0.12,1.77,1.46
70,-1.00,-0.06,-0.00,-0.12,1.83,1.53
80,-1.00,-0.06,0.00,-0.06,1.83,1.53
90,-1.00,-0.06,0.00,-0.06,1.83,1.65
100,-1.00,-0.07,-0.00,-0.06,1.83,1.53
110,-1.00,-0.06,0.00,-0.12,1.71,1.53
120,-1.00,-0.06,-0.00,-0.12,1.95,1.40
130,-1.00,-0.06,-0.00,-0.06,2.14,1.53
140,-1.00,-0.06,-0.00,-0.06,1.89,1.59
150,-1.00,-0.06,0.00,-0.18,2.20,1.53
160,-1.00,-0.06,0.00,0.06,1.89,1.53
170,-1.01,-0.06,0.00,0.12,1.65,1.46
180,-1.00,-0.07,0.00,-0.06,2.08,0.98
190,-1.00,-0.07,0.00,-0.06,1.89,1.53
200,-1.00,-0.06,0.00,0.06,1.65,1.95
210,-1.00,-0.06,0.00,-0.06,1.89,1.53
220,-1.00,-0.06,-0.00,-0.12,2.01,1.34
230,-1.00,-0.06,0.00,-0.12,1.89,1.46
240,-1.00,-0.07,0.00,-0.12,1.95,1.40
250,-1.00,-0.06,0.00,-0.06,1.77,1.46
260,-1.00,-0.06,0.00,-0.06,1.65,1.65
270,-1.00,-0.06,0.01,0.00,1.83,1.65
280,-1.00,-0.06,0.00,0.00,1.95,1.59
290,-1.00,-0.06,0.00,-0.18,1.89,1.71
300,-1.00,-0.06,0.00,-0.12,1.95,1.71
310,-1.00,-0.06,0.00,-0.24,1.95,1.46
320,-1.00,-0.07,0.00,-0.18,1.95,1.22
330,-1.00,-0.06,0.00,-0.06,1.89,1.28
340,-1.00,-0.06,0.00,-0.06,2.01,1.53
350,-1.00,-0.06,-0.00,0.00,1.95,1.65
360,-1.00,-0.06,0.00,-0.12,1.89,1.40
370,-1.00,-0.06,0.00,-0.06,1.89,1.28
380,-1.00,-0.06,-0.00,-0.12,1.89,1.28
390,-1.00,-0.07,0.00,-0.06,1.83,1.65
400,-1.00,-0.07,0.00,-0.18,1.95,1.59
410,-1.00,-0.06,0.00,-0.18,1.95,1.59
420,-1.00,-0.06,0.00,-0.06,1.89,1.46
430,-1.00,-0.06,0.00,-0.18,2.01,1.34
440,-1.00,-0.07,0.01,-0.12,1.95,1.46
450,-1.00,-0.06,0.00,-0.06,2.01,1.59
460,-1.00,-0.06,0.00,-0.12,2.01,1.59
470,-1.00,-0.06,0.00,-0.24,1.83,1.59
480,-1.00,-0.06,0.01,-0.18,1.95,1.40
490,-1.00,-0.06,0.00,-0.24,2.01,1.34
500,-1.00,-0.06,0.00,-0.18,1.89,1.46
510,-1.00,-0.06,0.00,-0.12,1.95,1.53
520,-1.00,-0.06,0.00,-0.12,1.95,1.65
530,-1.00,-0.06,-0.00,-0.18,2.01,1.34
540,-1.00,-0.06,0.00,-0.18,2.01,1.34
550,-1.00,-0.06,0.00,-0.06,2.01,1.40
560,-1.00,-0.06,0.00,-0.06,1.89,1.46
570,-1.00,-0.07,0.00,-0.12,1.95,1.53
580,-1.00,-0.06,0.00,-0.12,2.01,1.46
590,-1.00,-0.06,0.00,-0.18,2.01,1.46
600,-1.00,-0.07,0.00,-0.12,1.95,1.46
610,-1.00,-0.07,0.00,-0.18,1.95,1.46
620,-1.00,-0.06,0.00,-0.24,1.89,1.53
630,-1.00,-0.06,0.01,-0.18,2.01,1.46
640,-1.00,-0.07,0.00,-0.18,2.01,1.59
650,-1.00,-0.06,0.00,-0.24,2.01,1.53
660,-1.00,-0.06,0.00,-0.12,1.89,1.53
670,-1.00,-0.06,0.00,-0.24,2.01,1.46
680,-1.00,-0.06,0.00,-0.18,1.95,1.53
690,-1.00,-0.06,0.00,-0.24,2.01,1.46
700,-1.00,-0.07,0.00,-0.18,2.08,1.46
710,-1.00,-0.07,0.00,-0.18,2.01,1.59
720,-1.00,-0.07,0.00,-0.12,1.89,1.46
730,-1.00,-0.07,-0.00,-0.18,2.01,1.40
740,-1.00,-0.06,0.00,-0.12,1.95,1.53
750,-1.00,-0.06,0.00,-0.06,1.95,1.59
760,-1.00,-0.06,0.00,-0.06,1.95,1.59
770,-1.00,-0.06,0.00,-0.18,1.95,1.59
780,-1.00,-0.06,0.00,-0.31,2.14,1.34
790,-1.00,-0.06,0.00,-0.24,2.26,1.16
800,-1.00,-0.07,-0.00,-0.24,2.01,1.59
810,-1.00,-0.06,0.00,-0.37,2.44,1.40
820,-1.00,-0.07,0.00,0.00,2.20,1.34
830,-1.00,-0.06,0.01,0.18,1.83,1.46
840,-1.00,-0.07,0.00,-0.06,2.14,1.04
850,-1.00,-0.07,-0.00,-0.18,1.89,1.46
860,-1.00,-0.06,-0.00,-0.06,1.59,2.08
870,-1.00,-0.06,0.00,-0.12,2.01,1.53
880,-1.00,-0.06,-0.00,-0.06,2.01,1.40
890,-1.00,-0.07,-0.00,-0.12,2.01,1.46
900,-1.00,-0.07,0.00,-0.12,1.83,1.53
910,-1.00,-0.06,0.00,-0.12,1.83,1.59
920,-1.00,-0.06,0.00,-0.18,1.83,1.71
930,-1.00,-0.06,0.01,-0.06,1.89,1.53
940,-1.00,-0.06,0.00,-0.12,1.95,1.53
950,-1.00,-0.06,0.01,-0.12,1.95,1.59
960,-1.00,-0.06,0.00,-0.37,2.01,1.65
970,-1.00,-0.06,-0.00,-0.37,2.08,1.40
980,-1.00,-0.07,0.00,-0.31,2.01,1.22
990,-1.00,-0.07,0.00,-0.12,1.95,1.34
1000,-1.00,-0.07,0.00,-0.12,2.01,1.53
1010,-1.00,-0.06,0.00,-0.18,1.95,1.71
1020,-1.00,-0.06,0.01,-0.24,1.89,1.53
1030,-1.00,-0.06,0.00,-0.24,1.95,1.34
1040,-1.00,-0.06,0.00,-0.18,2.08,1.40
1050,-1.00,-0.06,0.00,-0.12,2.14,1.34
1060,-1.00,-0.06,0.00,-0.24,2.01,1.46
1070,-1.00,-0.06,0.00,-0.12,1.89,1.46
1080,-1.00,-0.06,0.00,-0.24,1.89,1.53
1090,-1.00,-0.07,0.00,-0.18,1.95,1.46
1100,-1.00,-0.07,-0.00,-0.06,1.95,1.46
1110,-1.00,-0.06,0.00,-0.06,1.89,1.53
1120,-1.00,-0.06,0.00,-0.12,1.83,1.46
1130,-1.00,-0.07,0.00,-0.06,1.83,1.65
1140,-1.00,-0.07,0.00,-0.24,1.89,1.53
1150,-1.00,-0.07,0.00,-0.18,1.89,1.46
1160,-1.00,-0.06,0.00,-0.18,1.95,1.46
1170,-1.00,-0.06,0.00,-0.18,2.01,1.40
1180,-1.00,-0.07,0.00,-0.24,1.95,1.59
1190,-1.00,-0.06,0.00,-0.31,1.95,1.59
1200,-1.00,-0.06,0.00,-0.12,1.95,1.53
1210,-1.00,-0.06,-0.00,-0.18,2.01,1.40
1220,-1.00,-0.06,0.00,-0.12,1.89,1.59
1230,-1.00,-0.06,0.00,-0.06,1.89,1.53
1240,-1.00,-0.07,-0.00,-0.12,1.89,1.53
1250,-1.00,-0.06,0.00,-0.18,1.89,1.53
1260,-1.00,-0.07,0.01,-0.12,1.95,1.46
1270,-1.00,-0.06,0.00,-0.18,1.89,1.53
1280,-1.00,-0.07,0.00,-0.18,1.89,1.40
1290,-1.01,-0.06,0.00,-0.18,1.89,1.40
1300,-1.00,-0.07,-0.00,-0.18,2.01,1.53
1310,-1.00,-0.06,0.00,-0.18,2.01,1.34
1320,-1.00,-0.06,0.00,-0.18,2.08,1.65
1330,-1.00,-0.06,0.00,-0.12,2.01,1.59
1340,-1.00,-0.06,0.00,-0.06,2.01,1.53
1350,-1.00,-0.06,0.00,-0.18,2.01,1.65
1360,-1.00,-0.06,0.00,-0.12,1.89,1.53
1370,-1.00,-0.06,0.00,-0.12,1.95,1.53
1380,-1.00,-0.06,0.00,-0.12,1.95,1.46
1390,-1.00,-0.06,-0.00,-0.12,1.95,1.53
1400,-1.00,-0.07,0.00,-0.18,1.95,1.59
1410,-1.00,-0.06,0.00,-0.06,1.95,1.53
1420,-1.00,-0.06,0.00,-0.12,2.01,1.46
1430,-1.00,-0.07,0.00,-0.12,2.08,1.53
1440,-1.00,-0.07,-0.00,-0.12,1.95,1.53
1450,-1.00,-0.06,0.00,-0.18,2.14,1.53
1460,-1.00,-0.07,0.00,-0.18,2.08,1.53
1470,-1.00,-0.07,-0.00,-0.18,2.01,1.59
1480,-1.00,-0.07,0.00,-0.18,2.08,1.53
1490,-1.00,-0.06,0.00,-0.31,2.01,1.40
1500,-1.00,-0.06,-0.00,-0.18,2.20,1.28
1510,-1.00,-0.06,0.00,-0.18,2.14,1.59
1520,-1.00,-0.06,0.00,-0.24,2.20,1.59
1530,-1.00,-0.06,0.00,-0.31,2.62,1.16
1540,-1.00,-0.07,0.00,0.00,1.77,1.53
1550,-1.00,-0.06,0.00,-0.12,2.20,1.16
1560,-1.00,-0.07,0.00,-0.43,2.20,1.28
1570,-1.00,-0.06,0.00,-0.12,1.71,1.89
1580,-1.00,-0.06,-0.00,-0.12,1.95,1.59
1590,-1.00,-0.06,0.00,-0.12,2.20,1.22
1600,-1.00,-0.07,0.00,-0.12,2.01,1.59
1610,-1.00,-0.06,-0.00,-0.18,2.01,1.59
1620,-1.00,-0.06,0.00,-0.31,1.95,1.46
1630,-1.00,-0.06,-0.00,-0.18,1.89,1.53
1640,-1.00,-0.06,0.01,-0.18,2.01,1.59
1650,-1.00,-0.07,0.00,-0.18,2.26,1.59
1660,-1.00,-0.06,0.00,-0.24,2.08,1.59
1670,-1.00,-0.06,0.00,-0.49,2.20,1.71
1680,-1.00,-0.06,-0.00,-0.55,2.26,1.53
1690,-1.00,-0.07,-0.00,-0.49,2.38,1.22
1700,-1.00,-0.07,-0.00,-0.37,2.44,1.04
1710,-1.00,-0.06,0.00,-0.18,2.20,1.59
1720,-1.00,-0.06,0.00,-0.37,2.44,1.65
1730,-1.00,-0.06,0.00,-0.37,2.14,1.77
1740,-1.00,-0.06,0.00,-0.43,2.26,1.34
1750,-1.00,-0.06,0.00,-0.43,2.32,1.10
1760,-1.00,-0.07,0.00,-0.31,2.32,1.34
1770,-1.00,-0.06,0.00,-0.18,2.08,1.71
1780,-1.00,-0.07,0.00,-0.43,2.38,1.53
1790,-1.00,-0.06,0.00,-0.31,2.20,1.46
1800,-1.00,-0.06,-0.00,-0.24,2.20,1.59
1810,-1.00,-0.06,0.00,-0.24,2.14,1.46
1820,-1.00,-0.07,-0.00,-0.24,2.14,1.40
1830,-1.00,-0.06,-0.00,-0.31,2.14,1.40
1840,-1.00,-0.07,-0.00,-0.31,2.14,1.53
1850,-1.00,-0.07,0.00,-0.31,2.14,1.65
1860,-1.00,-0.07,0.00,-0.31,2.08,1.46
1870,-1.00,-0.07,-0.00,-0.37,2.20,1.46
1880,-1.00,-0.06,0.00,-0.31,2.26,1.46
1890,-1.00,-0.06,0.00,-0.24,2.14,1.65
1900,-1.00,-0.06,0.00,-0.31,2.20,1.59
1910,-1.00,-0.07,-0.00,-0.24,2.08,1.46
1920,-1.00,-0.06,-0.00,-0.31,2.32,1.46
1930,-1.00,-0.06,-0.00,-0.24,2.20,1.40
1940,-1.00,-0.06,-0.00,-0.24,2.08,1.46
1950,-1.00,-0.07,0.00,-0.31,2.26,1.46
1960,-1.00,-0.06,-0.00,-0.24,2.14,1.40
1970,-1.00,-0.06,-0.00,-0.18,2.20,1.46
1980,-1.00,-0.07,-0.00,-0.18,2.14,1.40
1990,-1.00,-0.06,-0.00,-0.24,2.14,1.59
