timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
0,-1.00,-0.07,-0.00,-0.12,1.95,1.53
10,-1.00,-0.07,-0.00,-0.24,2.01,1.65
20,-1.00,-0.06,-0.00,-0.12,1.95,1.65
30,-1.00,-0.06,-0.00,-0.24,1.95,1.46
40,-1.00,-0.07,0.00,-0.12,1.95,1.46
50,-1.00,-0.07,-0.00,-0.18,1.83,1.53
60,-1.00,-0.06,-0.00,-0.12,1.71,1.34
70,-1.00,-0.06,0.00,-0.12,1.77,0.98
80,-1.01,-0.06,0.00,0.00,1.89,1.04
90,-1.00,-0.06,0.00,0.18,1.77,1.46
100,-1.00,-0.07,0.00,0.00,1.83,1.53
110,-1.00,-0.07,0.00,-0.18,1.95,1.28
120,-1.00,-0.07,0.00,-0.24,1.95,1.22
130,-1.00,-0.07,0.00,0.00,1.83,1.46
140,-1.00,-0.07,0.00,0.00,1.83,1.53
150,-1.00,-0.07,0.00,0.00,1.89,1.77
160,-1.00,-0.07,0.00,-0.12,1.83,2.01
170,-1.00,-0.07,0.00,-0.12,1.83,1.83
180,-1.00,-0.06,0.00,-0.18,1.83,1.59
190,-1.00,-0.06,0.00,-0.18,1.89,1.53
200,-1.00,-0.06,0.00,-0.12,1.83,1.65
210,-1.00,-0.06,-0.00,-0.31,1.77,1.77
220,-1.00,-0.07,0.01,-0.31,1.83,1.65
230,-1.00,-0.06,0.00,-0.24,2.08,1.40
240,-1.00,-0.06,0.00,-0.18,2.20,1.28
250,-1.00,-0.07,0.00,-0.06,2.01,1.46
260,-1.00,-0.07,0.00,-0.24,2.26,1.53
270,-1.00,-0.07,0.00,-0.18,2.14,1.59
280,-1.00,-0.07,0.00,-0.06,1.65,1.83
290,-1.00,-0.07,0.01,-0.24,2.01,1.10
300,-1.00,-0.07,0.00,-0.12,1.83,1.34
310,-1.00,-0.06,0.00,-0.12,1.71,1.71
320,-1.00,-0.06,0.01,-0.12,1.95,1.65
330,-1.00,-0.06,-0.00,-0.18,2.01,1.53
340,-1.00,-0.06,-0.00,-0.12,2.20,1.40
350,-1.00,-0.07,-0.00,-0.24,2.14,1.34
360,-1.00,-0.07,0.00,-0.18,1.95,1.46
370,-1.00,-0.07,-0.00,-0.24,2.08,1.53
380,-1.00,-0.06,0.00,-0.31,2.20,1.59
390,-1.00,-0.06,0.01,-0.31,2.20,1.59
400,-1.00,-0.07,0.01,-0.24,2.20,1.59
410,-1.00,-0.07,0.00,-0.55,2.50,1.59
420,-1.00,-0.06,0.00,-0.49,2.56,1.40
430,-1.00,-0.06,0.00,-0.49,2.56,1.22
440,-1.00,-0.07,0.00,-0.43,2.50,1.22
450,-1.00,-0.07,-0.00,-0.24,2.38,1.77
460,-1.00,-0.06,-0.00,-0.31,2.32,1.77
470,-1.00,-0.07,-0.00,-0.31,2.32,1.53
480,-1.00,-0.07,-0.00,-0.18,2.32,1.40
490,-1.00,-0.07,-0.00,-0.24,2.32,1.28
500,-1.00,-0.07,0.00,-0.18,2.20,1.59
510,-1.00,-0.07,0.00,-0.18,2.08,1.59
520,-1.00,-0.07,0.00,-0.31,2.14,1.71
530,-1.00,-0.07,-0.00,-0.37,2.14,1.71
540,-1.00,-0.07,-0.00,-0.37,2.14,1.71
550,-1.00,-0.07,-0.00,-0.49,2.20,1.65
560,-1.00,-0.07,0.00,-0.37,2.14,1.71
570,-1.00,-0.07,0.00,-0.37,2.14,1.77
580,-1.00,-0.06,0.00,-0.31,2.01,1.83
590,-1.00,-0.06,0.00,-0.37,2.08,1.77
600,-1.00,-0.07,-0.00,-0.37,2.08,1.77
610,-1.00,-0.06,-0.00,-0.37,2.20,1.59
620,-1.00,-0.06,-0.00,-0.31,2.14,1.65
630,-1.00,-0.07,0.00,-0.31,2.26,1.59
640,-1.00,-0.07,-0.00,-0.31,2.20,1.53
650,-1.00,-0.07,-0.00,-0.31,2.20,1.46
660,-1.00,-0.07,-0.00,-0.31,2.26,1.59
670,-1.00,-0.07,0.00,-0.37,2.20,1.53
680,-1.00,-0.07,-0.00,-0.24,2.20,1.59
690,-1.00,-0.07,0.00,-0.37,2.26,1.59
700,-1.00,-0.06,0.00,-0.24,2.26,1.46
710,-1.00,-0.06,0.00,-0.37,2.20,1.53
720,-1.00,-0.06,-0.00,-0.37,2.26,1.53
730,-1.00,-0.07,0.00,-0.37,2.20,1.40
740,-1.00,-0.07,0.00,-0.31,2.32,1.40
750,-1.00,-0.06,-0.00,-0.31,2.32,1.46
760,-1.00,-0.07,0.00,-0.37,2.14,1.59
770,-1.00,-0.07,-0.00,-0.31,2.01,1.53
780,-1.00,-0.06,-0.00,-0.31,2.26,1.46
790,-1.00,-0.06,-0.00,-0.31,2.14,1.53
800,-1.00,-0.07,-0.00,-0.24,2.01,1.46
810,-1.00,-0.06,0.00,-0.31,2.08,1.53
820,-1.00,-0.07,0.00,-0.31,2.08,1.59
830,-1.00,-0.07,-0.00,-0.24,1.95,1.53
840,-1.00,-0.07,0.00,-0.18,2.01,1.59
850,-1.00,-0.06,0.00,-0.24,2.08,1.65
860,-1.00,-0.07,-0.01,-0.24,2.14,1.59
870,-1.00,-0.07,-0.00,-0.18,1.89,1.65
880,-1.00,-0.06,0.00,-0.18,2.14,1.53
890,-1.00,-0.06,-0.00,0.00,2.26,1.34
900,-1.00,-0.07,-0.00,0.18,1.59,1.65
910,-1.00,-0.06,0.00,-0.12,1.95,1.22
920,-1.00,-0.07,-0.00,0.00,1.83,1.34
930,-1.00,-0.06,-0.00,0.00,1.59,1.77
940,-1.00,-0.07,0.00,-0.06,1.83,1.40
950,-1.00,-0.07,0.00,-0.18,1.83,1.46
960,-1.00,-0.07,0.00,-0.31,2.01,1.40
970,-1.00,-0.07,0.00,-0.06,1.77,1.83
980,-1.00,-0.07,-0.00,-0.24,2.08,1.53
990,-1.00,-0.07,-0.00,-0.18,1.95,1.59
1000,-1.00,-0.07,0.00,-0.18,1.95,1.77
1010,-1.00,-0.06,0.00,-0.37,2.08,1.59
1020,-1.00,-0.06,0.00,-0.43,2.26,1.46
1030,-1.00,-0.07,0.00,-0.43,2.26,1.46
1040,-1.00,-0.07,-0.00,-0.24,2.20,1.53
1050,-1.00,-0.07,-0.00,-0.31,2.20,1.34
1060,-1.00,-0.06,-0.00,-0.18,2.20,1.40
1070,-1.00,-0.07,-0.00,-0.12,1.89,1.65
1080,-1.00,-0.07,-0.00,-0.12,1.95,1.53
1090,-1.00,-0.06,-0.00,0.00,1.71,1.65
1100,-1.00,-0.06,-0.00,0.06,1.71,1.53
1110,-1.00,-0.07,-0.00,0.06,1.71,1.53
1120,-1.00,-0.07,0.00,-0.12,1.77,1.65
1130,-1.00,-0.07,0.00,-0.12,1.71,1.59
1140,-1.00,-0.06,-0.00,-0.12,1.83,1.53
1150,-1.00,-0.07,0.00,-0.06,1.83,1.65
1160,-1.00,-0.07,-0.00,-0.12,1.89,1.59
1170,-1.00,-0.07,-0.00,-0.18,1.95,1.53
1180,-1.00,-0.07,-0.01,-0.24,1.89,1.46
1190,-1.00,-0.07,-0.00,-0.18,1.71,1.59
1200,-1.00,-0.07,0.00,-0.12,1.77,1.71
