timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
0,-1.00,-0.07,0.00,-0.18,1.95,1.34
10,-1.00,-0.07,0.00,-0.06,2.08,1.40
20,-1.00,-0.07,0.00,-0.24,2.01,1.28
30,-1.00,-0.07,0.00,-0.12,2.01,1.22
40,-1.00,-0.07,0.00,-0.12,1.77,1.40
50,-1.00,-0.06,0.00,-0.06,1.89,1.22
60,-1.00,-0.07,0.00,0.00,1.95,1.10
70,-1.00,-0.06,0.00,-0.12,2.01,0.55
80,-1.00,-0.07,0.00,-0.24,2.32,0.31
90,-1.00,-0.07,-0.00,-0.18,2.26,0.24
100,-1.00,-0.07,-0.00,-0.12,2.01,0.37
110,-1.00,-0.07,0.00,-0.06,2.08,0.67
120,-1.00,-0.07,0.00,0.00,2.14,0.73
130,-1.00,-0.07,0.00,-0.12,2.26,0.79
140,-1.00,-0.07,0.00,-0.12,1.89,1.22
150,-1.00,-0.07,0.00,0.06,2.08,0.92
160,-1.00,-0.07,-0.00,-0.24,2.38,0.73
170,-1.00,-0.07,-0.00,0.00,2.26,0.98
180,-1.00,-0.07,-0.00,0.00,2.26,1.28
190,-1.00,-0.07,-0.00,-0.06,2.20,1.65
200,-1.01,-0.07,-0.00,0.06,2.01,1.40
210,-1.00,-0.07,-0.00,0.18,1.53,1.65
220,-1.00,-0.07,-0.00,-0.06,2.08,1.16
230,-1.00,-0.07,-0.00,-0.06,1.89,1.46
240,-1.00,-0.07,-0.00,0.00,1.65,2.08
250,-1.00,-0.07,-0.01,0.00,1.83,2.01
260,-1.00,-0.07,-0.00,-0.12,1.83,1.71
270,-1.00,-0.07,-0.00,0.00,1.77,1.71
280,-1.00,-0.07,0.00,0.06,1.65,1.71
290,-1.00,-0.07,-0.00,-0.06,1.71,1.53
300,-1.00,-0.07,0.00,-0.18,1.83,1.65
310,-1.00,-0.07,0.00,-0.06,1.71,1.53
320,-1.01,-0.07,-0.00,-0.24,1.89,1.53
330,-1.00,-0.07,0.00,-0.37,1.65,1.65
340,-1.00,-0.07,0.00,-0.12,1.71,2.14
350,-1.00,-0.07,-0.00,-0.12,1.89,1.65
360,-1.01,-0.07,-0.00,-0.49,2.08,0.43
370,-1.01,-0.07,0.00,-0.12,2.01,0.92
380,-1.00,-0.07,-0.00,0.12,1.71,1.83
390,-1.00,-0.06,0.00,-0.18,1.83,1.40
400,-1.00,-0.07,-0.00,-0.37,1.71,0.98
410,-1.00,-0.07,0.00,-0.06,1.77,1.22
