timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
0,-1.00,-0.06,0.00,-0.18,2.14,1.53
10,-1.00,-0.06,0.00,-0.18,2.14,1.53
20,-1.00,-0.06,0.00,-0.18,1.83,1.83
30,-1.00,-0.06,0.00,-0.18,1.89,1.59
40,-1.00,-0.06,-0.00,-0.12,2.01,1.28
50,-1.00,-0.06,0.00,-0.18,1.89,1.40
60,-1.00,-0.06,0.00,-0.24,2.08,1.53
70,-1.00,-0.06,0.00,-0.24,2.01,1.65
80,-1.00,-0.06,0.01,-0.18,2.08,1.53
90,-1.00,-0.06,0.01,-0.18,1.89,1.65
100,-1.00,-0.06,0.00,-0.18,2.01,1.46
110,-1.00,-0.06,0.00,-0.18,1.95,1.53
120,-1.00,-0.06,0.00,-0.24,1.89,1.59
130,-1.00,-0.06,0.00,-0.12,1.89,1.59
140,-1.00,-0.06,0.01,-0.18,1.89,1.65
150,-1.00,-0.06,0.00,-0.12,1.83,1.46
160,-1.00,-0.06,0.01,-0.18,1.83,1.40
170,-1.00,-0.06,0.01,-0.24,1.89,1.65
180,-1.00,-0.06,0.01,-0.18,1.89,1.65
190,-1.00,-0.06,0.00,-0.24,2.01,1.40
200,-1.00,-0.06,0.00,-0.24,1.95,1.46
210,-1.00,-0.06,0.00,-0.18,1.95,1.34
220,-1.00,-0.06,0.00,-0.18,1.95,1.59
230,-1.00,-0.06,0.00,-0.24,2.01,1.59
240,-1.00,-0.06,0.00,-0.18,1.95,1.53
250,-1.00,-0.06,0.00,-0.18,2.01,1.46
260,-1.00,-0.06,0.00,-0.31,1.95,1.34
270,-1.00,-0.06,0.00,-0.18,1.95,1.46
280,-1.00,-0.06,0.00,-0.24,2.01,1.53
290,-1.00,-0.06,0.00,-0.18,1.89,1.53
300,-1.00,-0.06,0.00,-0.12,1.95,1.46
310,-1.00,-0.06,0.00,-0.12,1.95,1.53
320,-1.00,-0.06,0.01,-0.18,1.89,1.65
330,-1.00,-0.06,0.00,-0.24,1.95,1.46
340,-1.00,-0.06,0.00,-0.18,2.08,1.46
350,-1.00,-0.06,0.00,-0.18,1.95,1.53
360,-1.00,-0.06,0.00,-0.12,2.08,1.53
370,-1.00,-0.06,0.00,-0.18,2.08,1.53
380,-1.00,-0.06,0.00,-0.24,2.01,1.53
390,-1.00,-0.06,0.00,-0.18,1.95,1.53
400,-1.00,-0.06,0.00,-0.18,1.95,1.53
410,-1.00,-0.06,0.01,-0.24,2.01,1.46
420,-1.00,-0.06,0.00,-0.24,1.95,1.46
430,-1.00,-0.06,0.00,-0.24,1.95,1.53
440,-1.00,-0.06,0.00,-0.18,1.89,1.71
450,-1.00,-0.06,0.01,-0.18,1.89,1.53
460,-1.00,-0.06,0.00,-0.24,2.20,1.40
470,-1.00,-0.06,0.00,-0.12,2.01,1.46
480,-1.00,-0.06,0.00,-0.18,1.95,1.46
490,-1.00,-0.06,0.00,-0.31,2.32,1.40
500,-1.00,-0.06,0.00,-0.12,2.20,1.40
510,-1.00,-0.06,0.01,0.12,1.53,1.71
520,-1.00,-0.06,0.00,-0.12,2.08,0.98
530,-1.00,-0.06,0.00,-0.37,1.95,1.34
540,-1.00,-0.06,0.01,-0.18,1.71,1.89
550,-1.00,-0.06,0.01,-0.12,1.95,1.53
560,-1.00,-0.06,-0.00,-0.12,1.89,1.34
570,-1.00,-0.06,0.00,-0.18,1.95,1.40
580,-1.00,-0.06,0.01,-0.12,1.95,1.40
590,-1.00,-0.06,0.00,-0.12,1.89,1.65
600,-1.00,-0.06,0.00,-0.18,1.89,1.65
610,-1.00,-0.06,0.01,-0.18,1.89,1.53
620,-1.00,-0.06,0.00,-0.12,2.01,1.65
630,-1.00,-0.06,0.01,-0.12,2.01,1.65
640,-1.00,-0.06,0.00,-0.37,2.08,1.59
650,-1.00,-0.06,0.01,-0.49,2.08,1.65
660,-1.00,-0.06,0.01,-0.37,2.20,1.40
670,-1.00,-0.06,0.00,-0.18,1.95,1.46
680,-1.00,-0.06,0.00,-0.31,2.26,1.40
690,-1.00,-0.06,-0.00,-0.24,2.08,1.46
700,-1.00,-0.06,0.00,-0.31,1.89,1.65
710,-1.00,-0.06,0.01,-0.31,2.08,1.46
720,-1.00,-0.06,0.00,-0.24,1.95,1.34
730,-1.00,-0.06,0.00,-0.18,2.08,1.40
740,-1.00,-0.06,0.00,-0.18,2.08,1.53
750,-1.00,-0.06,0.00,-0.24,2.01,1.53
760,-1.00,-0.06,-0.00,-0.24,2.08,1.53
770,-1.00,-0.06,0.00,-0.31,2.20,1.59
780,-1.00,-0.06,0.00,-0.24,2.20,1.46
790,-1.00,-0.06,0.00,-0.31,2.20,1.46
800,-1.00,-0.06,0.01,-0.31,2.08,1.46
810,-1.00,-0.06,0.00,-0.31,2.08,1.65
820,-1.00,-0.06,0.00,-0.24,2.08,1.59
830,-1.00,-0.06,0.00,-0.31,2.08,1.46
840,-1.00,-0.06,0.00,-0.31,2.14,1.53
850,-1.00,-0.06,0.00,-0.43,2.14,1.53
860,-1.00,-0.06,0.00,-0.31,2.20,1.53
870,-1.00,-0.06,0.00,-0.37,2.14,1.53
880,-1.00,-0.06,0.00,-0.37,2.20,1.46
890,-1.00,-0.06,0.00,-0.24,2.08,1.46
900,-1.00,-0.06,0.00,-0.37,2.14,1.40
910,-1.00,-0.06,-0.00,-0.31,2.14,1.53
920,-1.00,-0.06,0.01,-0.18,2.14,1.53
930,-1.00,-0.06,0.00,-0.31,2.14,1.59
940,-1.00,-0.06,0.00,-0.24,2.20,1.46
950,-1.00,-0.06,0.00,-0.24,2.08,1.40
960,-1.00,-0.06,0.01,-0.24,2.20,1.53
970,-1.00,-0.06,0.01,-0.31,2.14,1.53
980,-1.00,-0.06,0.00,-0.24,2.14,1.40
990,-1.00,-0.06,-0.00,-0.31,2.20,1.53
1000,-1.00,-0.06,0.00,-0.31,2.14,1.53
1010,-1.00,-0.06,0.00,-0.31,2.20,1.53
1020,-1.00,-0.06,0.00,-0.31,2.08,1.46
1030,-1.00,-0.06,0.00,-0.31,2.32,1.34
1040,-1.00,-0.06,0.00,-0.18,2.20,1.53
1050,-1.00,-0.06,0.01,-0.37,2.20,1.53
1060,-1.00,-0.06,0.00,-0.43,2.20,1.53
1070,-1.00,-0.06,0.00,-0.31,2.14,1.53
1080,-1.00,-0.06,0.00,-0.31,2.20,1.53
1090,-1.00,-0.06,-0.00,-0.37,2.14,1.53
1100,-1.00,-0.06,-0.00,-0.37,2.14,1.59
1110,-1.00,-0.06,0.00,-0.37,2.20,1.65
1120,-1.00,-0.06,0.00,-0.24,2.26,1.59
1130,-1.00,-0.06,0.00,-0.31,2.14,1.59
1140,-1.00,-0.06,0.00,-0.37,2.26,1.40
1150,-1.00,-0.06,0.00,-0.37,2.50,1.28
1160,-1.00,-0.06,0.00,-0.31,2.26,1.53
1170,-1.00,-0.06,0.00,-0.37,2.14,1.65
1180,-1.01,-0.06,0.00,-0.18,2.62,1.34
1190,-1.00,-0.06,0.00,0.00,2.08,1.46
1200,-1.00,-0.06,0.00,-0.12,1.95,1.40
1210,-1.00,-0.06,0.00,-0.37,2.32,1.16
1220,-1.00,-0.06,0.00,-0.18,1.89,1.77
1230,-1.00,-0.06,-0.00,-0.12,1.83,1.71
1240,-1.00,-0.06,0.00,-0.24,2.14,1.46
1250,-1.00,-0.06,0.00,-0.31,2.20,1.53
1260,-1.00,-0.06,0.00,-0.24,2.20,1.65
1270,-1.00,-0.06,0.00,-0.24,2.08,1.59
1280,-1.00,-0.06,0.00,-0.24,2.14,1.59
1290,-1.00,-0.06,-0.00,-0.31,2.14,1.53
1300,-1.00,-0.06,-0.00,-0.18,2.01,1.71
1310,-1.00,-0.06,0.00,-0.31,2.08,1.71
1320,-1.00,-0.06,-0.00,-0.37,2.14,1.59
1330,-1.00,-0.06,0.00,-0.43,2.01,1.53
1340,-1.00,-0.06,-0.00,-0.31,2.08,1.40
1350,-1.00,-0.06,-0.00,-0.31,2.08,1.46
1360,-1.00,-0.06,0.00,-0.12,1.95,1.65
1370,-1.00,-0.06,0.00,-0.12,1.95,1.65
1380,-1.00,-0.06,0.00,-0.12,1.83,1.59
1390,-1.00,-0.06,0.00,0.00,1.83,1.53
1400,-1.00,-0.06,0.00,-0.06,1.83,1.46
1410,-1.00,-0.06,0.00,-0.12,1.83,1.53
1420,-1.00,-0.06,-0.00,-0.18,1.77,1.65
1430,-1.00,-0.06,0.00,-0.24,1.83,1.59
1440,-1.00,-0.06,0.00,-0.12,1.77,1.53
1450,-1.00,-0.06,0.00,-0.06,1.89,1.59
1460,-1.00,-0.06,0.00,-0.12,1.95,1.46
1470,-1.00,-0.06,0.00,-0.06,1.83,1.53
1480,-1.00,-0.06,0.00,-0.12,1.83,1.65
1490,-1.00,-0.06,0.00,-0.12,1.83,1.65
1500,-1.00,-0.06,0.00,-0.24,1.83,1.46
