timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
0,-1.00,-0.06,0.00,-0.12,1.89,1.53
10,-1.00,-0.06,0.00,-0.18,2.01,1.46
20,-1.00,-0.07,0.00,-0.18,1.89,1.53
30,-1.00,-0.07,0.00,-0.06,1.83,1.59
40,-1.00,-0.06,0.00,-0.12,1.95,1.46
50,-1.00,-0.07,0.00,-0.06,1.83,1.71
60,-1.00,-0.07,0.00,-0.24,2.01,1.34
70,-1.00,-0.07,0.00,-0.12,1.89,1.46
80,-1.00,-0.07,0.00,-0.12,1.89,1.53
90,-1.00,-0.07,0.00,-0.12,1.95,1.53
100,-1.00,-0.07,0.01,-0.06,2.01,1.59
110,-1.00,-0.06,0.00,-0.12,1.89,1.65
120,-1.00,-0.06,0.00,-0.18,1.89,1.53
130,-1.00,-0.07,0.00,-0.18,2.14,1.28
140,-1.00,-0.07,0.00,-0.12,1.83,1.65
150,-1.00,-0.06,0.00,-0.24,2.08,1.40
160,-1.00,-0.07,-0.00,-0.18,1.95,1.59
170,-1.00,-0.06,0.00,-0.24,2.08,1.53
180,-1.00,-0.07,0.00,-0.24,2.08,1.22
190,-1.00,-0.07,0.00,-0.06,1.89,1.59
200,-1.00,-0.06,0.00,-0.24,2.08,1.53
210,-1.01,-0.07,0.00,-0.12,1.89,1.59
220,-1.00,-0.07,0.00,-0.18,1.95,1.59
230,-1.00,-0.07,-0.00,-0.18,2.14,1.28
240,-1.00,-0.06,0.00,-0.12,1.95,1.59
250,-1.00,-0.07,0.00,-0.24,2.01,1.34
260,-1.00,-0.07,-0.00,-0.06,1.95,1.59
270,-1.00,-0.06,0.00,-0.18,1.89,1.59
280,-1.01,-0.06,0.00,-0.24,2.26,1.16
290,-1.01,-0.07,0.00,0.06,1.95,1.65
300,-1.00,-0.07,0.00,-0.37,2.20,1.40
310,-1.01,-0.07,0.00,-0.31,2.38,1.28
320,-1.00,-0.07,0.00,0.18,1.65,1.71
330,-1.00,-0.06,0.00,0.12,1.83,1.28
340,-1.00,-0.07,-0.00,-0.12,1.89,1.22
350,-1.00,-0.07,0.00,-0.06,1.53,1.77
360,-1.00,-0.07,0.00,-0.06,1.89,1.65
370,-1.00,-0.06,-0.00,0.00,1.89,1.53
380,-1.00,-0.07,-0.00,-0.06,2.01,1.34
390,-1.00,-0.07,0.00,-0.12,1.95,1.59
400,-1.00,-0.07,0.00,-0.12,1.77,1.46
410,-1.00,-0.07,0.00,-0.06,1.83,1.46
420,-1.00,-0.06,0.00,0.00,1.71,1.65
430,-1.00,-0.07,0.01,-0.06,2.01,1.46
440,-1.00,-0.06,0.01,-0.18,1.95,1.59
450,-1.00,-0.06,0.01,-0.18,1.83,1.65
460,-1.00,-0.06,0.00,-0.31,2.01,1.65
470,-1.00,-0.07,0.00,-0.31,2.01,1.46
480,-1.00,-0.07,0.00,-0.24,1.95,1.22
490,-1.00,-0.07,0.00,-0.06,2.01,1.34
500,-1.00,-0.07,0.00,0.00,1.89,1.53
510,-1.01,-0.07,0.00,-0.06,1.89,1.65
520,-1.00,-0.06,0.00,-0.12,1.89,1.59
530,-1.00,-0.06,0.00,-0.12,1.95,1.34
540,-1.00,-0.06,0.00,-0.18,1.95,1.22
550,-1.00,-0.07,0.00,-0.18,2.01,1.28
