timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
0,-1.00,-0.06,0.00,-0.31,2.20,1.59
10,-1.00,-0.06,0.00,-0.18,2.32,1.28
20,-1.00,-0.06,0.00,0.00,1.65,1.53
30,-1.00,-0.06,0.01,-0.18,1.89,1.10
40,-1.00,-0.07,0.01,-0.31,1.89,1.28
50,-1.00,-0.06,0.00,-0.06,1.71,1.83
60,-1.00,-0.06,0.00,-0.18,1.95,1.53
70,-1.00,-0.06,0.00,-0.24,2.08,1.22
80,-1.00,-0.06,0.00,-0.37,2.08,1.28
90,-1.00,-0.06,0.00,-0.24,2.08,1.40
100,-1.00,-0.06,0.00,-0.31,1.95,1.53
110,-1.00,-0.06,0.00,-0.37,1.89,1.40
120,-1.00,-0.06,0.00,-0.43,2.01,1.22
130,-1.00,-0.06,0.00,-0.37,2.01,1.22
140,-1.00,-0.06,0.00,-0.31,1.95,1.40
150,-1.00,-0.06,0.00,-0.43,2.26,1.28
160,-1.00,-0.06,0.00,-0.49,2.26,1.40
170,-1.00,-0.06,0.00,-0.31,2.26,1.28
180,-1.00,-0.06,0.00,-0.31,2.08,1.22
190,-1.00,-0.06,0.00,-0.31,2.08,1.10
200,-1.00,-0.07,0.00,-0.31,2.26,1.28
210,-1.00,-0.07,0.00,-0.31,2.01,1.34
220,-1.00,-0.07,0.00,-0.24,1.95,1.53
230,-1.00,-0.06,0.01,-0.31,2.08,1.46
240,-1.00,-0.06,0.00,-0.31,2.14,1.40
250,-1.00,-0.06,0.00,-0.43,2.08,1.40
260,-1.00,-0.06,0.01,-0.49,2.26,1.53
270,-1.00,-0.06,0.01,-0.55,2.56,1.59
280,-1.00,-0.06,0.00,-0.49,2.26,1.71
290,-1.00,-0.06,0.00,-0.55,2.32,1.65
300,-1.00,-0.06,0.00,-0.61,2.26,1.40
310,-1.00,-0.06,0.00,-0.49,2.20,1.10
320,-1.00,-0.06,-0.00,-0.49,2.14,0.92
330,-1.01,-0.06,0.00,-0.24,2.38,0.98
340,-1.00,-0.06,0.00,-0.31,2.08,1.53
350,-1.00,-0.06,0.00,-0.18,2.01,1.89
360,-1.00,-0.06,0.00,-0.31,1.83,1.77
370,-1.00,-0.06,0.00,-0.37,2.01,0.92
380,-1.00,-0.06,0.00,-0.31,2.20,0.49
390,-1.00,-0.07,-0.00,-0.12,2.08,0.67
400,-1.00,-0.07,-0.00,-0.18,2.20,1.46
410,-1.00,-0.07,0.00,-0.37,1.83,1.95
420,-1.00,-0.06,0.00,-0.49,1.83,1.77
430,-1.00,-0.06,0.00,-0.49,2.08,0.92
440,-1.00,-0.06,0.00,-0.49,2.44,0.55
450,-1.00,-0.07,0.01,-0.12,2.01,1.22
460,-1.00,-0.06,0.00,-0.49,1.71,2.20
470,-1.00,-0.06,0.00,-0.55,2.01,2.01
480,-1.00,-0.06,0.01,-0.43,1.71,1.89
490,-1.00,-0.06,0.00,-0.55,2.08,1.34
500,-1.00,-0.06,0.00,-0.37,2.20,1.16
510,-1.00,-0.06,0.00,-0.24,2.08,1.59
520,-1.00,-0.06,0.00,0.00,1.95,1.83
530,-1.00,-0.06,-0.00,0.06,2.14,1.71
540,-1.00,-0.06,0.00,0.00,1.95,1.40
550,-1.00,-0.06,0.00,-0.12,1.95,0.98
560,-1.00,-0.07,0.00,-0.12,1.95,1.04
570,-1.00,-0.07,0.00,0.00,1.77,1.46
580,-1.00,-0.07,0.00,-0.18,2.01,1.59
590,-1.00,-0.07,0.00,-0.24,1.89,1.83
600,-1.00,-0.07,0.00,-0.06,1.71,2.01
610,-1.00,-0.07,0.00,-0.06,1.83,1.71
620,-1.00,-0.07,0.00,-0.06,1.83,1.53
630,-1.00,-0.06,0.00,-0.18,1.95,1.40
640,-1.00,-0.06,-0.00,-0.18,2.14,1.77
650,-1.00,-0.06,-0.00,-0.18,1.95,2.20
660,-1.00,-0.06,0.00,-0.31,1.89,1.95
670,-1.00,-0.06,0.00,-0.43,2.14,1.22
680,-1.00,-0.06,0.00,-0.18,1.71,1.22
690,-1.00,-0.07,0.00,0.06,1.53,1.53
700,-1.00,-0.07,0.00,-0.06,1.83,1.53
710,-1.00,-0.07,0.00,0.00,1.34,2.14
720,-1.00,-0.06,0.00,-0.06,1.34,2.26
730,-1.00,-0.07,0.00,0.00,1.65,1.59
740,-1.00,-0.07,0.00,-0.06,1.71,1.40
750,-1.00,-0.06,0.00,0.00,1.65,1.46
760,-1.00,-0.06,0.00,0.00,1.46,1.83
770,-1.00,-0.06,0.00,0.00,1.34,2.01
780,-1.00,-0.06,0.01,-0.06,1.34,1.83
790,-1.00,-0.06,0.01,-0.06,1.65,1.40
800,-1.00,-0.06,0.01,-0.06,1.89,1.40
810,-1.00,-0.06,0.01,-0.06,2.01,1.46
820,-1.00,-0.06,0.01,-0.12,2.38,1.53
830,-1.00,-0.06,0.01,-0.24,2.56,1.40
840,-1.00,-0.06,0.00,-0.37,2.56,1.28
850,-1.00,-0.06,0.00,-0.31,2.50,1.28
860,-1.00,-0.06,-0.00,-0.37,2.38,1.34
870,-1.00,-0.06,-0.00,-0.37,2.32,1.40
880,-1.00,-0.06,-0.00,-0.18,2.01,1.53
890,-1.00,-0.06,0.00,-0.06,1.95,1.34
900,-1.00,-0.07,-0.00,-0.12,1.83,1.34
910,-1.00,-0.07,-0.00,-0.06,1.71,1.53
920,-1.00,-0.07,0.00,-0.12,1.77,1.65
930,-1.00,-0.06,0.00,0.06,1.59,1.71
940,-1.00,-0.06,0.01,0.00,1.59,1.59
950,-1.00,-0.06,0.01,0.00,1.77,1.46
960,-1.00,-0.06,0.00,-0.06,1.77,1.40
970,-1.00,-0.06,0.00,-0.06,1.59,1.59
980,-1.00,-0.06,0.01,-0.31,1.65,1.46
990,-1.00,-0.07,0.00,-0.31,1.83,1.40
1000,-1.00,-0.07,0.00,-0.24,1.89,1.40
1010,-1.00,-0.07,0.00,-0.12,1.95,1.46
1020,-1.00,-0.07,0.01,-0.12,1.95,1.59
1030,-1.00,-0.06,0.00,-0.31,1.89,1.59
1040,-1.00,-0.06,0.00,-0.18,1.77,1.65
1050,-1.00,-0.06,0.01,-0.12,1.83,1.59
1060,-1.00,-0.06,0.00,-0.12,1.89,1.40
1070,-1.00,-0.06,0.00,-0.18,1.95,1.34
1080,-1.00,-0.06,0.00,-0.06,1.83,1.59
1090,-1.00,-0.06,0.00,0.00,1.89,1.59
1100,-1.00,-0.06,0.00,-0.06,1.83,1.10
1110,-1.00,-0.06,0.01,-0.12,2.01,1.04
1120,-1.00,-0.07,0.01,-0.12,2.01,1.22
1130,-1.00,-0.07,0.00,0.00,2.01,1.59
1140,-1.00,-0.07,0.01,-0.18,1.89,1.59
1150,-1.00,-0.06,0.01,-0.18,1.95,1.46
1160,-1.00,-0.07,0.00,-0.24,1.89,1.46
1170,-1.00,-0.07,0.00,-0.24,1.83,1.46
1180,-1.00,-0.07,0.00,-0.06,1.77,1.59
1190,-1.00,-0.07,0.00,-0.18,1.83,1.53
1200,-1.00,-0.06,0.00,-0.24,1.89,1.77
1210,-1.00,-0.06,0.01,-0.24,1.89,1.77
1220,-1.00,-0.06,0.01,-0.18,2.08,1.71
1230,-1.00,-0.06,0.00,-0.37,2.14,1.40
1240,-1.00,-0.06,0.00,-0.37,2.26,1.34
1250,-1.00,-0.06,0.00,-0.12,2.14,1.40
1260,-1.00,-0.06,0.01,-0.18,2.08,1.40
1270,-1.00,-0.06,0.00,-0.06,2.38,1.40
1280,-1.00,-0.07,0.00,0.06,1.77,1.71
1290,-1.00,-0.06,0.00,0.12,1.77,1.40
1300,-1.00,-0.07,0.01,-0.12,1.95,1.10
1310,-1.00,-0.07,0.00,0.00,1.65,1.71
1320,-1.00,-0.07,0.00,-0.18,1.71,1.59
1330,-1.00,-0.07,0.00,-0.12,1.95,1.22
1340,-1.00,-0.07,0.00,-0.18,1.95,1.34
1350,-1.00,-0.06,0.00,-0.18,1.95,1.59
1360,-1.00,-0.06,0.00,-0.12,1.95,1.71
1370,-1.00,-0.06,0.01,-0.12,1.83,1.71
1380,-1.00,-0.06,0.01,-0.24,1.77,1.59
1390,-1.00,-0.06,0.01,-0.18,1.89,1.59
1400,-1.00,-0.06,0.01,-0.12,1.95,1.77
1410,-1.00,-0.06,0.00,-0.24,2.01,1.59
1420,-1.00,-0.06,0.01,-0.37,2.08,1.53
1430,-1.00,-0.06,0.01,-0.49,2.14,1.34
1440,-1.00,-0.06,0.00,-0.31,2.14,1.28
1450,-1.00,-0.07,0.00,-0.24,2.20,1.28
1460,-1.00,-0.06,0.00,-0.18,2.26,1.46
1470,-1.00,-0.06,0.00,-0.24,2.08,1.59
1480,-1.00,-0.06,-0.00,-0.18,2.01,1.53
1490,-1.00,-0.06,0.00,-0.06,1.89,1.46
1500,-1.00,-0.07,0.00,-0.12,1.95,1.46
1510,-1.00,-0.06,0.00,-0.12,1.89,1.53
1520,-1.00,-0.07,0.00,-0.18,1.89,1.53
1530,-1.00,-0.07,0.01,-0.24,1.83,1.53
1540,-1.00,-0.07,0.01,-0.18,1.95,1.53
1550,-1.00,-0.06,0.01,-0.24,2.08,1.40
1560,-1.00,-0.06,0.00,-0.24,2.08,1.59
1570,-1.00,-0.06,0.00,-0.18,2.01,1.65
1580,-1.00,-0.06,0.00,-0.18,1.95,1.53
1590,-1.00,-0.06,0.01,-0.37,1.95,1.40
1600,-1.00,-0.06,0.00,-0.31,2.01,1.40
1610,-1.00,-0.06,0.01,-0.12,2.01,1.59
1620,-1.00,-0.06,0.00,-0.24,2.01,1.53
1630,-1.00,-0.06,0.00,-0.31,1.95,1.40
1640,-1.00,-0.06,0.00,-0.12,1.89,1.34
1650,-1.00,-0.06,0.00,-0.06,1.89,1.53
1660,-1.00,-0.06,0.00,-0.18,1.95,1.34
1670,-1.00,-0.07,0.00,-0.18,1.89,1.59
1680,-1.00,-0.07,0.01,-0.12,1.95,1.53
1690,-1.00,-0.06,0.00,-0.24,1.89,1.40
1700,-1.00,-0.06,0.01,-0.12,1.83,1.40
1710,-1.00,-0.06,0.01,-0.24,1.95,1.40
1720,-1.00,-0.07,0.00,-0.12,2.01,1.59
1730,-1.00,-0.06,0.00,-0.18,1.95,1.53
1740,-1.00,-0.06,0.00,-0.18,2.08,1.53
1750,-1.00,-0.06,0.01,-0.12,1.95,1.46
1760,-1.00,-0.06,0.00,-0.18,2.08,1.46
1770,-1.00,-0.07,0.00,-0.18,2.01,1.53
1780,-1.00,-0.07,0.00,-0.18,1.95,1.53
1790,-1.00,-0.06,0.00,-0.31,1.95,1.53
1800,-1.00,-0.06,0.00,-0.12,1.95,1.65
1810,-1.00,-0.06,0.01,-0.18,1.95,1.59
1820,-1.00,-0.06,0.00,-0.18,1.89,1.59
1830,-1.00,-0.06,0.00,-0.31,2.20,1.40
1840,-1.00,-0.06,0.00,-0.43,2.14,1.34
1850,-1.00,-0.06,-0.00,-0.37,2.26,1.28
1860,-1.00,-0.07,-0.00,-0.31,2.08,1.40
1870,-1.00,-0.07,0.00,-0.24,2.01,1.53
1880,-1.00,-0.07,0.00,-0.06,2.01,1.46
1890,-1.00,-0.07,0.01,0.24,1.53,1.77
1900,-1.00,-0.07,0.01,0.06,1.95,1.16
1910,-1.00,-0.07,0.01,-0.12,1.89,1.28
1920,-1.00,-0.06,0.01,-0.06,1.83,1.83
1930,-1.00,-0.06,0.01,-0.06,1.89,1.83
1940,-1.00,-0.06,0.01,-0.18,2.14,1.46
1950,-1.00,-0.07,0.00,-0.12,2.20,1.46
1960,-1.00,-0.06,0.00,-0.31,2.20,1.22
1970,-1.00,-0.07,0.00,-0.18,2.01,1.46
1980,-1.00,-0.06,0.00,-0.24,2.08,1.40
1990,-1.00,-0.07,0.00,-0.18,2.01,1.59
