timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
0,-1.00,-0.07,-0.00,-0.18,2.01,1.59
10,-1.00,-0.07,0.00,-0.12,2.01,1.65
20,-1.00,-0.07,0.00,-0.18,2.08,1.46
30,-1.00,-0.07,-0.00,-0.06,2.08,1.40
40,-1.00,-0.07,0.00,-0.18,1.95,1.59
50,-1.00,-0.07,0.00,-0.18,2.32,1.65
60,-1.00,-0.07,0.00,0.00,2.08,1.40
70,-1.00,-0.07,0.00,0.06,1.77,1.59
80,-1.01,-0.07,0.00,0.00,2.08,1.22
90,-1.00,-0.07,0.00,-0.06,1.65,1.71
100,-1.00,-0.07,0.00,0.00,1.59,1.89
110,-1.00,-0.07,0.00,0.00,1.95,1.53
120,-1.00,-0.07,0.00,-0.12,1.83,1.53
130,-1.00,-0.07,0.00,0.06,1.83,1.59
140,-1.00,-0.07,0.00,-0.06,1.77,1.59
150,-1.00,-0.07,0.00,-0.06,1.83,1.40
160,-1.00,-0.07,0.00,0.00,1.77,1.59
170,-1.00,-0.07,0.00,-0.06,1.89,1.95
180,-1.00,-0.07,0.00,-0.06,1.83,1.71
190,-1.00,-0.07,0.00,-0.24,1.95,1.53
200,-1.00,-0.07,0.00,-0.24,1.89,1.65
210,-1.00,-0.07,-0.00,-0.12,2.01,1.71
220,-1.00,-0.07,-0.00,-0.24,2.08,1.40
230,-1.00,-0.07,0.00,-0.24,2.08,1.28
240,-1.00,-0.07,0.00,-0.12,2.01,1.71
250,-1.00,-0.07,0.00,-0.18,2.01,1.59
260,-1.00,-0.07,0.00,-0.24,2.14,1.40
270,-1.00,-0.07,0.00,-0.06,1.89,1.53
280,-1.00,-0.07,0.00,-0.12,2.08,1.46
290,-1.00,-0.07,0.00,-0.18,2.01,1.34
300,-1.00,-0.07,0.00,-0.31,2.14,1.40
310,-1.00,-0.07,0.00,-0.24,2.14,1.65
320,-1.00,-0.07,-0.00,-0.24,2.14,1.53
330,-1.00,-0.07,-0.00,-0.31,2.20,1.46
340,-1.00,-0.07,0.00,-0.31,2.14,1.53
350,-1.00,-0.07,-0.00,-0.31,2.26,1.34
360,-1.00,-0.07,0.00,-0.24,2.20,1.46
370,-1.00,-0.07,0.00,-0.37,2.14,1.53
380,-1.00,-0.07,0.00,-0.24,2.14,1.46
390,-1.00,-0.07,0.00,-0.24,2.14,1.59
400,-1.00,-0.07,-0.00,-0.37,2.14,1.59
410,-1.00,-0.07,0.00,-0.43,2.26,1.40
420,-1.00,-0.07,0.00,-0.31,2.26,1.46
430,-1.00,-0.07,-0.00,-0.37,2.26,1.59
440,-1.00,-0.07,0.00,-0.37,2.20,1.59
450,-1.00,-0.07,-0.00,-0.37,2.20,1.53
460,-1.00,-0.07,0.00,-0.31,2.26,1.46
470,-1.00,-0.07,0.00,-0.31,2.20,1.53
480,-1.00,-0.07,-0.00,-0.37,2.26,1.65
490,-1.00,-0.07,-0.00,-0.37,2.32,1.53
500,-1.00,-0.07,-0.00,-0.37,2.26,1.53
510,-1.00,-0.07,0.00,-0.31,2.20,1.46
520,-1.00,-0.07,-0.00,-0.37,2.20,1.40
530,-1.00,-0.07,0.00,-0.31,2.26,1.53
540,-1.00,-0.07,-0.00,-0.43,2.20,1.59
550,-1.00,-0.07,-0.00,-0.43,2.20,1.40
560,-1.00,-0.07,-0.01,-0.49,2.14,1.28
570,-1.00,-0.07,-0.00,-0.31,2.14,1.40
580,-1.00,-0.07,-0.00,-0.18,2.26,1.71
590,-1.00,-0.07,-0.00,-0.18,2.20,1.83
600,-1.01,-0.07,-0.00,-0.24,2.20,1.59
610,-1.00,-0.07,-0.01,-0.24,2.26,1.40
620,-1.00,-0.07,0.00,-0.24,2.26,1.53
630,-1.00,-0.07,-0.00,-0.18,2.14,1.65
640,-1.00,-0.07,0.00,-0.37,2.32,1.65
650,-1.00,-0.07,0.00,-0.37,2.32,1.53
660,-1.00,-0.07,-0.00,-0.37,2.26,1.40
670,-1.00,-0.07,0.00,-0.18,2.20,1.71
680,-1.00,-0.07,-0.00,-0.18,2.20,1.65
690,-1.00,-0.07,-0.00,-0.24,2.20,1.59
700,-1.00,-0.07,-0.00,-0.37,2.20,1.59
710,-1.00,-0.07,-0.01,-0.24,2.32,1.53
720,-1.00,-0.07,-0.00,-0.24,2.44,1.53
730,-1.00,-0.07,-0.00,-0.37,2.62,1.46
740,-1.00,-0.07,-0.00,-0.18,2.38,1.34
750,-1.00,-0.07,-0.00,-0.06,2.08,1.53
760,-1.00,-0.07,-0.00,-0.31,2.20,1.28
770,-1.00,-0.07,-0.00,-0.06,2.75,1.10
780,-1.00,-0.07,-0.01,-0.18,2.01,1.83
790,-1.00,-0.07,-0.00,-0.12,2.08,1.77
800,-1.00,-0.07,-0.00,-0.18,2.32,1.46
810,-1.00,-0.07,-0.00,-0.06,2.14,1.59
820,-1.00,-0.07,-0.00,-0.12,1.95,1.59
830,-1.00,-0.07,-0.01,-0.06,2.01,1.53
840,-1.00,-0.07,-0.00,-0.24,1.95,1.53
850,-1.00,-0.07,-0.00,-0.18,1.89,1.65
860,-1.00,-0.07,-0.00,-0.12,1.89,1.77
870,-1.00,-0.07,-0.00,-0.18,1.83,1.59
880,-1.00,-0.07,-0.01,-0.12,1.95,1.65
890,-1.00,-0.07,-0.00,-0.18,1.77,1.59
900,-1.01,-0.07,-0.00,0.00,1.77,1.34
910,-1.00,-0.07,-0.00,0.00,1.89,1.46
920,-1.00,-0.07,-0.00,0.06,1.77,1.65
