timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
0,-1.00,-0.06,0.00,-0.18,1.95,1.46
10,-1.00,-0.06,-0.00,-0.12,1.71,1.71
20,-1.00,-0.06,0.00,-0.24,1.89,1.40
30,-1.00,-0.06,0.00,0.06,1.89,1.46
40,-1.00,-0.06,0.00,-0.06,1.77,1.53
50,-1.00,-0.06,0.00,-0.18,2.01,1.34
60,-1.00,-0.06,0.01,-0.06,1.77,1.83
70,-1.00,-0.06,0.00,-0.12,1.83,1.65
80,-1.00,-0.06,0.01,-0.18,1.95,1.34
90,-1.00,-0.06,0.00,-0.18,1.95,1.34
100,-1.00,-0.06,0.00,-0.18,2.08,1.53
110,-1.00,-0.06,0.00,-0.24,1.89,1.71
120,-1.00,-0.06,0.00,-0.24,2.08,1.34
130,-1.00,-0.06,-0.00,-0.31,2.08,1.40
140,-1.00,-0.06,0.00,-0.18,1.89,1.46
150,-1.00,-0.06,-0.00,-0.06,2.01,1.40
160,-1.00,-0.06,0.00,-0.18,1.95,1.53
170,-1.00,-0.06,0.00,-0.18,2.01,1.46
180,-1.00,-0.06,0.00,-0.12,1.95,1.40
190,-1.00,-0.06,0.00,-0.12,1.89,1.46
200,-1.00,-0.06,0.01,-0.24,2.01,1.40
210,-1.00,-0.06,0.00,-0.12,2.01,1.40
220,-1.00,-0.06,-0.00,-0.18,2.01,1.46
230,-1.00,-0.06,0.00,-0.12,1.95,1.53
240,-1.00,-0.07,0.00,-0.24,1.83,1.46
250,-1.00,-0.06,0.00,-0.31,2.01,1.34
260,-1.00,-0.06,0.00,-0.18,1.95,1.40
270,-1.00,-0.06,0.00,-0.06,1.95,1.53
280,-1.00,-0.06,0.00,-0.18,2.01,1.46
290,-1.00,-0.06,0.00,-0.18,1.89,1.59
300,-1.00,-0.06,0.00,-0.24,2.01,1.46
310,-1.00,-0.06,0.01,-0.06,2.01,1.40
320,-1.00,-0.06,0.00,-0.18,1.95,1.46
330,-1.00,-0.06,0.00,-0.18,2.08,1.53
340,-1.00,-0.06,0.00,-0.24,1.95,1.65
350,-1.00,-0.06,0.00,-0.18,2.01,1.46
360,-1.00,-0.06,0.00,-0.18,2.14,1.40
370,-1.00,-0.06,0.00,-0.18,1.77,1.83
380,-1.01,-0.05,0.01,0.18,2.14,1.77
390,-0.99,-0.07,0.00,-0.18,2.08,1.10
400,-1.00,-0.06,-0.00,-0.37,1.34,1.71
410,-1.00,-0.06,-0.00,-0.43,2.32,1.28
420,-1.00,-0.06,0.00,0.00,1.83,1.71
430,-1.00,-0.06,0.01,-0.12,2.20,1.46
440,-1.01,-0.06,-0.00,-0.31,2.14,1.28
450,-1.00,-0.06,0.00,-0.06,1.89,1.40
460,-1.00,-0.06,0.00,-0.37,2.38,1.10
470,-1.00,-0.07,-0.01,-0.24,2.14,1.22
480,-1.01,-0.06,0.01,0.31,1.40,2.01
