timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
0,-1.00,-0.06,0.00,-0.12,1.95,1.59
10,-1.00,-0.07,0.00,0.00,1.95,1.65
20,-1.00,-0.06,0.00,-0.12,2.01,1.65
30,-1.00,-0.06,0.00,-0.06,2.01,1.59
40,-1.00,-0.06,0.00,-0.12,2.08,1.46
50,-1.00,-0.07,0.00,-0.18,2.20,1.34
60,-1.00,-0.07,0.00,-0.18,2.26,1.34
70,-1.00,-0.06,-0.00,-0.06,2.14,1.53
80,-1.00,-0.06,-0.00,0.06,1.77,1.71
90,-1.00,-0.06,-0.00,-0.12,2.01,1.22
100,-1.00,-0.07,-0.00,-0.06,1.83,1.34
110,-1.00,-0.07,-0.01,0.00,1.71,1.71
120,-1.00,-0.06,-0.00,0.06,1.65,1.53
130,-1.00,-0.06,-0.00,0.00,1.77,1.53
140,-1.00,-0.06,0.00,-0.06,1.77,1.53
150,-1.00,-0.07,0.00,0.00,1.77,1.53
160,-1.00,-0.07,0.00,0.00,1.71,1.65
170,-1.00,-0.06,0.00,-0.06,1.46,1.65
180,-1.00,-0.06,0.00,-0.12,1.77,1.65
190,-1.00,-0.06,0.00,-0.12,1.83,1.65
200,-1.00,-0.06,0.01,-0.12,1.83,1.65
210,-1.01,-0.06,0.00,-0.31,1.95,1.59
220,-1.00,-0.06,0.00,-0.24,1.89,1.40
230,-1.00,-0.06,-0.00,-0.18,1.89,1.40
240,-1.00,-0.06,0.00,-0.24,1.89,1.28
250,-1.00,-0.06,0.00,-0.12,2.08,1.53
260,-1.00,-0.07,0.00,0.00,1.95,1.59
270,-1.01,-0.06,0.00,-0.06,1.89,1.59
280,-1.00,-0.06,0.00,-0.12,1.71,1.40
290,-1.00,-0.07,0.00,-0.12,1.89,1.40
300,-1.00,-0.06,0.00,-0.06,1.95,1.34
310,-1.00,-0.06,0.00,-0.18,2.01,1.40
320,-1.00,-0.06,0.00,-0.12,2.01,1.46
330,-1.00,-0.07,-0.00,-0.18,1.95,1.46
340,-1.00,-0.06,0.00,-0.06,1.83,1.46
350,-1.00,-0.07,0.00,-0.06,1.83,1.46
360,-1.00,-0.06,0.01,-0.18,1.77,1.46
370,-1.00,-0.06,-0.00,-0.18,1.77,1.65
380,-1.00,-0.06,0.00,-0.12,1.83,1.71
390,-1.00,-0.06,-0.00,-0.18,1.89,1.77
400,-1.00,-0.06,-0.00,-0.18,1.83,1.53
410,-1.00,-0.06,0.00,-0.18,1.89,1.40
420,-1.00,-0.06,-0.00,-0.18,1.89,1.40
430,-1.00,-0.07,0.00,-0.12,1.77,1.53
440,-1.00,-0.06,-0.00,-0.06,1.77,1.65
450,-1.00,-0.07,0.00,-0.06,1.89,1.59
460,-1.00,-0.06,0.00,-0.12,1.89,1.53
470,-1.00,-0.06,0.00,-0.12,1.83,1.46
480,-1.00,-0.06,0.00,-0.18,1.95,1.46
490,-1.00,-0.07,0.00,-0.18,1.83,1.53
500,-1.00,-0.06,0.00,-0.12,1.95,1.53
510,-1.00,-0.06,0.00,-0.06,1.95,1.40
520,-1.00,-0.06,0.00,-0.06,2.01,1.34
530,-1.00,-0.06,0.00,-0.06,1.95,1.40
540,-1.00,-0.06,0.00,-0.12,1.95,1.65
550,-1.00,-0.06,0.00,-0.06,1.89,1.59
560,-1.00,-0.06,0.00,-0.06,2.01,1.46
570,-1.00,-0.06,0.00,-0.12,1.89,1.40
580,-1.00,-0.06,0.00,-0.12,1.95,1.46
590,-1.00,-0.07,0.00,-0.12,2.01,1.46
600,-1.00,-0.06,0.00,-0.06,1.95,1.46
610,-1.00,-0.07,0.00,-0.12,1.83,1.46
620,-1.00,-0.06,0.00,-0.12,1.89,1.53
630,-1.00,-0.06,0.00,-0.06,2.01,1.46
640,-1.00,-0.06,0.00,-0.06,1.95,1.53
650,-1.00,-0.06,0.00,0.00,2.01,1.46
660,-1.00,-0.06,0.00,-0.06,1.95,1.71
670,-1.00,-0.06,0.00,-0.18,2.01,1.53
680,-1.00,-0.06,0.00,-0.06,2.01,1.53
690,-1.00,-0.06,0.00,-0.12,2.14,1.40
700,-1.00,-0.06,0.00,-0.18,1.95,1.59
710,-1.00,-0.06,0.00,-0.24,2.38,1.46
720,-1.00,-0.06,0.00,0.00,1.83,1.53
730,-1.01,-0.06,0.00,0.06,1.77,1.40
740,-1.00,-0.07,0.00,-0.18,2.01,1.16
750,-1.00,-0.07,-0.00,-0.06,1.77,1.59
760,-1.00,-0.06,-0.00,-0.06,1.65,1.77
770,-1.00,-0.06,0.00,0.00,1.89,1.28
780,-1.00,-0.07,0.00,-0.06,1.89,1.40
790,-1.00,-0.06,0.00,0.00,2.01,1.46
800,-1.00,-0.07,-0.00,-0.06,1.89,1.46
810,-1.00,-0.06,0.00,-0.06,1.83,1.59
820,-1.00,-0.06,0.00,-0.12,1.95,1.53
830,-1.00,-0.06,0.00,-0.18,1.95,1.53
840,-1.00,-0.06,0.00,-0.12,1.89,1.59
850,-1.00,-0.06,0.01,-0.12,1.95,1.65
860,-1.00,-0.06,0.00,-0.31,2.08,1.59
870,-1.00,-0.06,0.00,-0.37,2.20,1.34
880,-1.00,-0.07,0.00,-0.24,1.95,1.22
890,-1.00,-0.07,0.00,-0.06,2.01,1.40
900,-1.00,-0.06,-0.00,-0.12,2.01,1.53
910,-1.00,-0.06,0.00,-0.12,1.83,1.77
920,-1.00,-0.06,0.00,-0.24,1.83,1.65
930,-1.00,-0.06,0.00,-0.24,1.95,1.34
940,-1.00,-0.06,0.00,-0.06,1.95,1.34
950,-1.00,-0.07,0.00,-0.06,2.08,1.40
960,-1.00,-0.06,0.00,-0.18,1.95,1.53
970,-1.00,-0.07,0.00,-0.24,1.89,1.53
980,-1.00,-0.06,0.00,-0.24,1.83,1.40
990,-1.00,-0.06,0.00,0.00,1.95,1.40
1000,-1.00,-0.06,-0.00,0.00,1.89,1.46
1010,-1.00,-0.06,0.00,-0.06,1.89,1.53
1020,-1.00,-0.07,0.00,-0.12,1.89,1.53
1030,-1.00,-0.06,0.00,-0.12,1.77,1.65
1040,-1.00,-0.06,0.00,-0.18,1.83,1.53
1050,-1.00,-0.06,0.00,-0.24,2.01,1.16
1060,-1.00,-0.07,0.00,-0.18,2.01,1.40
1070,-1.00,-0.06,0.00,-0.12,1.95,1.59
1080,-1.00,-0.06,0.00,-0.12,2.01,1.59
1090,-1.00,-0.06,0.00,-0.24,1.95,1.53
1100,-1.00,-0.06,0.00,-0.12,1.95,1.46
1110,-1.00,-0.06,0.00,-0.12,1.95,1.40
1120,-1.00,-0.06,0.01,-0.06,2.08,1.40
1130,-1.00,-0.06,0.00,-0.12,1.89,1.46
1140,-1.00,-0.06,0.00,-0.06,1.95,1.65
1150,-1.00,-0.07,0.01,-0.12,1.89,1.53
1160,-1.00,-0.06,0.00,-0.18,2.01,1.53
1170,-1.00,-0.06,0.00,-0.24,1.95,1.46
1180,-1.00,-0.06,0.00,-0.12,2.01,1.46
1190,-1.00,-0.06,-0.00,-0.18,1.89,1.65
1200,-1.00,-0.06,-0.00,-0.18,1.89,1.53
1210,-1.00,-0.06,0.00,-0.12,1.89,1.46
1220,-1.00,-0.06,0.00,-0.06,2.01,1.53
1230,-1.00,-0.06,0.01,-0.24,2.08,1.53
1240,-1.00,-0.06,0.00,-0.24,2.08,1.59
1250,-1.00,-0.06,0.00,-0.24,2.14,1.46
1260,-1.00,-0.06,0.00,-0.18,1.95,1.46
1270,-1.00,-0.06,0.00,-0.12,2.08,1.53
1280,-1.00,-0.06,0.00,-0.12,1.95,1.53
1290,-1.00,-0.06,0.00,-0.18,2.01,1.46
1300,-1.00,-0.06,0.00,-0.06,1.95,1.53
1310,-1.00,-0.06,0.01,-0.18,1.95,1.46
1320,-1.00,-0.06,0.00,-0.18,2.01,1.40
1330,-1.00,-0.06,0.00,-0.18,2.08,1.53
1340,-1.00,-0.06,0.00,-0.18,1.95,1.59
1350,-1.00,-0.06,0.00,-0.12,2.01,1.59
1360,-1.00,-0.06,0.00,-0.12,1.89,1.65
1370,-1.00,-0.06,0.00,-0.18,1.95,1.59
1380,-1.00,-0.07,0.00,-0.12,2.08,1.34
1390,-1.00,-0.06,0.00,-0.24,2.14,1.28
1400,-1.00,-0.06,0.01,-0.12,2.01,1.65
1410,-1.00,-0.06,0.01,-0.24,2.20,1.46
1420,-1.00,-0.06,0.00,-0.12,2.32,1.28
1430,-1.00,-0.06,0.01,0.12,1.59,1.59
1440,-1.00,-0.07,0.00,-0.06,2.08,1.16
1450,-1.00,-0.07,0.00,-0.12,2.01,1.40
1460,-1.00,-0.06,0.00,-0.12,1.65,1.95
1470,-1.00,-0.06,-0.00,0.00,1.83,1.65
1480,-1.00,-0.06,-0.00,0.00,1.95,1.28
1490,-1.00,-0.07,0.00,0.00,1.89,1.46
1500,-1.00,-0.07,-0.00,0.06,1.89,1.59
1510,-1.00,-0.06,0.00,0.00,1.77,1.59
1520,-1.00,-0.07,0.00,-0.12,1.83,1.59
1530,-1.00,-0.06,0.01,-0.12,1.89,1.59
1540,-1.00,-0.06,0.00,-0.12,2.01,1.34
1550,-1.00,-0.06,0.00,-0.24,1.77,1.65
1560,-1.00,-0.06,-0.00,-0.31,2.01,1.65
1570,-1.00,-0.06,0.00,-0.37,2.14,1.65
1580,-1.00,-0.06,0.00,-0.31,2.01,1.40
1590,-1.00,-0.06,-0.00,-0.12,2.08,1.16
1600,-1.00,-0.06,0.00,0.00,1.89,1.46
1610,-1.00,-0.06,0.00,-0.12,1.89,1.65
1620,-1.00,-0.06,0.00,-0.06,1.83,1.71
1630,-1.00,-0.06,0.00,-0.12,1.83,1.40
1640,-1.00,-0.06,0.00,-0.06,1.95,1.22
1650,-1.00,-0.06,0.00,-0.06,1.83,1.28
1660,-1.00,-0.07,0.00,-0.06,1.83,1.46
1670,-1.00,-0.06,0.00,-0.12,1.89,1.59
1680,-1.00,-0.06,0.00,-0.18,1.83,1.65
1690,-1.00,-0.06,0.00,-0.06,1.95,1.46
1700,-1.00,-0.07,0.00,-0.18,1.95,1.28
1710,-1.00,-0.06,0.00,-0.12,1.95,1.40
1720,-1.00,-0.06,0.01,-0.06,1.95,1.46
1730,-1.00,-0.06,0.00,-0.12,1.89,1.59
1740,-1.00,-0.06,0.00,-0.12,1.83,1.59
1750,-1.00,-0.06,0.00,-0.18,2.01,1.40
1760,-1.00,-0.06,0.00,-0.24,2.01,1.34
1770,-1.00,-0.06,0.00,-0.18,2.01,1.34
1780,-1.00,-0.06,0.00,-0.12,1.89,1.59
1790,-1.00,-0.06,0.00,-0.24,1.95,1.65
1800,-1.00,-0.06,0.00,-0.12,2.01,1.46
1810,-1.00,-0.06,-0.00,-0.06,1.95,1.46
1820,-1.00,-0.06,0.00,-0.12,1.95,1.46
1830,-1.00,-0.06,0.01,-0.12,1.95,1.40
1840,-1.00,-0.06,0.00,-0.12,1.95,1.53
1850,-1.00,-0.06,0.00,-0.06,1.89,1.40
1860,-1.00,-0.06,0.00,-0.12,1.95,1.34
1870,-1.00,-0.06,0.00,-0.18,2.01,1.34
1880,-1.00,-0.06,0.00,-0.18,1.95,1.40
1890,-1.00,-0.07,0.00,-0.18,2.01,1.59
1900,-1.00,-0.06,0.00,-0.18,2.01,1.59
1910,-1.00,-0.07,0.00,-0.06,2.01,1.46
1920,-1.00,-0.07,-0.00,-0.18,1.95,1.40
1930,-1.00,-0.07,0.00,-0.18,2.01,1.46
1940,-1.00,-0.06,0.00,-0.24,1.95,1.65
1950,-1.00,-0.06,0.00,-0.12,2.01,1.53
1960,-1.00,-0.06,0.00,-0.18,1.89,1.53
1970,-1.00,-0.06,0.00,-0.18,1.95,1.34
1980,-1.00,-0.06,0.01,-0.24,2.01,1.40
1990,-1.00,-0.06,0.00,-0.18,2.08,1.53
