timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
0,-1.00,-0.07,0.01,0.06,0.85,1.95
10,-1.00,-0.06,0.00,-0.06,0.98,1.65
20,-1.00,-0.06,0.00,-0.06,1.46,1.34
30,-1.00,-0.06,-0.00,-0.24,1.53,1.40
40,-1.00,-0.06,0.00,-0.12,1.22,2.20
50,-1.00,-0.06,0.00,-0.06,1.34,2.26
60,-1.00,-0.06,-0.00,-0.06,1.83,1.28
70,-1.00,-0.06,-0.00,-0.12,2.01,0.98
80,-1.00,-0.07,-0.00,0.00,1.89,1.34
90,-1.00,-0.06,-0.01,0.06,1.71,1.95
100,-1.00,-0.06,0.00,0.00,1.71,1.77
110,-1.00,-0.06,-0.00,-0.06,1.89,1.10
120,-1.00,-0.06,-0.00,0.00,1.89,1.04
130,-1.00,-0.07,0.00,0.12,1.40,1.59
140,-1.00,-0.06,-0.00,0.18,1.22,1.95
150,-1.01,-0.06,-0.00,0.18,1.46,1.89
160,-1.01,-0.06,-0.00,0.06,1.65,1.59
170,-1.00,-0.07,0.00,0.00,1.71,1.34
180,-1.00,-0.07,0.01,-0.12,2.01,1.59
190,-1.00,-0.07,0.00,-0.12,1.95,1.83
200,-1.01,-0.07,0.00,-0.12,1.89,1.89
210,-1.00,-0.07,0.00,-0.24,1.95,1.65
220,-1.00,-0.07,-0.00,-0.24,1.95,1.59
230,-1.00,-0.07,-0.00,-0.31,1.95,1.65
240,-1.00,-0.06,-0.00,-0.31,2.01,1.77
250,-1.00,-0.06,0.00,-0.37,2.08,1.59
260,-1.00,-0.06,-0.01,-0.12,2.14,1.34
270,-1.00,-0.06,-0.00,-0.06,1.89,1.46
280,-1.00,-0.06,-0.00,0.00,1.95,1.65
290,-1.01,-0.06,-0.00,0.18,2.38,1.28
300,-1.00,-0.07,0.00,0.18,1.77,1.22
310,-1.00,-0.07,-0.00,0.24,1.71,0.85
320,-1.00,-0.07,-0.00,0.12,1.34,1.22
330,-1.00,-0.06,0.00,0.18,1.16,2.08
340,-1.01,-0.06,0.00,0.18,1.53,1.77
350,-1.00,-0.07,0.00,-0.12,1.71,1.28
360,-1.00,-0.07,0.00,-0.06,1.59,1.53
370,-1.00,-0.06,0.00,-0.12,1.71,1.83
380,-1.01,-0.06,0.01,0.00,1.89,1.65
390,-1.01,-0.06,0.01,-0.12,1.95,1.34
400,-1.00,-0.07,0.00,-0.12,2.08,1.46
410,-1.00,-0.07,0.01,-0.12,2.08,1.77
420,-1.00,-0.06,0.00,-0.31,2.01,1.95
430,-1.00,-0.06,-0.00,-0.49,2.08,1.65
440,-1.00,-0.06,-0.00,-0.55,2.08,1.34
450,-1.00,-0.06,0.00,-0.43,1.83,1.40
460,-1.00,-0.06,-0.00,-0.31,1.89,1.40
470,-1.01,-0.06,-0.00,0.12,1.83,1.65
480,-1.01,-0.06,0.00,0.24,1.83,1.46
490,-1.00,-0.06,0.00,0.31,2.20,1.28
500,-1.00,-0.07,-0.00,0.06,1.95,1.65
510,-1.00,-0.07,0.00,-0.12,1.89,1.53
