timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
0,-1.00,-0.07,-0.01,-0.18,1.89,1.46
10,-1.00,-0.07,-0.00,0.00,1.95,1.71
20,-1.00,-0.07,-0.00,-0.06,1.83,1.65
30,-1.00,-0.07,-0.00,-0.18,2.14,1.46
40,-1.00,-0.07,-0.00,-0.06,2.14,1.34
50,-1.00,-0.07,0.00,0.31,1.34,1.59
60,-1.00,-0.07,0.00,0.31,1.65,1.22
70,-1.00,-0.07,-0.00,0.06,1.77,1.34
80,-1.00,-0.07,-0.00,0.18,1.46,2.01
90,-1.00,-0.07,-0.00,0.12,1.46,1.83
100,-1.00,-0.07,-0.00,0.12,1.65,1.53
110,-1.00,-0.07,-0.00,0.12,1.40,1.53
120,-1.00,-0.07,-0.00,0.12,1.59,1.71
130,-1.00,-0.07,0.00,0.00,1.59,1.46
140,-1.00,-0.07,-0.00,0.12,1.59,1.53
150,-1.00,-0.07,0.00,0.06,1.65,1.65
160,-1.00,-0.07,0.00,0.06,1.53,1.65
170,-1.00,-0.07,0.00,0.00,1.59,1.77
180,-1.00,-0.07,-0.00,-0.12,1.77,1.46
190,-1.00,-0.07,0.00,-0.12,1.83,1.40
200,-1.00,-0.07,-0.00,-0.18,1.95,1.28
210,-1.00,-0.07,-0.00,0.00,1.95,1.34
220,-1.00,-0.07,0.00,-0.06,1.77,1.46
230,-1.00,-0.07,0.00,0.06,1.65,1.65
240,-1.00,-0.07,0.00,0.00,1.65,1.46
250,-1.00,-0.07,0.00,0.00,1.65,1.40
260,-1.00,-0.07,0.00,0.06,1.71,1.53
270,-1.00,-0.07,0.00,0.00,1.77,1.53
280,-1.00,-0.07,-0.00,-0.06,1.71,1.46
290,-1.00,-0.07,0.00,0.00,1.83,1.53
300,-1.00,-0.07,0.00,0.00,1.83,1.40
310,-1.00,-0.07,0.00,0.12,1.71,1.46
320,-1.00,-0.07,-0.00,0.12,1.89,1.46
330,-1.00,-0.07,0.00,0.18,1.83,1.53
340,-1.00,-0.07,-0.00,0.06,1.71,1.65
350,-1.00,-0.07,0.00,0.06,1.59,1.65
360,-1.00,-0.07,-0.00,0.00,1.65,1.59
370,-1.00,-0.07,-0.00,-0.12,1.77,1.40
380,-1.00,-0.07,-0.00,-0.06,1.83,1.40
390,-1.00,-0.07,0.00,-0.06,1.89,1.53
400,-1.00,-0.07,-0.00,-0.06,1.71,1.53
410,-1.00,-0.07,0.00,-0.12,1.77,1.71
420,-1.00,-0.07,-0.00,-0.12,1.71,1.71
430,-1.00,-0.07,0.00,0.00,1.71,1.65
440,-1.00,-0.07,0.00,-0.06,1.89,1.53
450,-1.00,-0.07,-0.00,0.06,1.77,1.40
460,-1.00,-0.07,-0.00,-0.06,1.83,1.28
470,-1.00,-0.07,-0.00,0.00,1.77,1.46
480,-1.00,-0.07,0.00,-0.06,1.65,1.65
490,-1.00,-0.07,0.00,0.00,1.71,1.53
500,-1.00,-0.07,-0.00,-0.12,1.83,1.28
510,-1.00,-0.07,0.00,0.06,1.89,1.34
520,-1.00,-0.07,0.00,-0.06,1.77,1.46
530,-1.00,-0.07,0.00,-0.12,1.77,1.65
540,-1.00,-0.07,0.00,-0.18,1.83,1.46
550,-1.00,-0.07,0.00,-0.06,1.83,1.59
560,-1.00,-0.07,0.00,-0.18,1.95,1.59
570,-1.00,-0.07,0.00,-0.12,1.95,1.34
580,-1.00,-0.07,0.00,-0.18,1.95,1.40
590,-1.00,-0.07,0.00,-0.12,1.89,1.53
600,-1.00,-0.07,0.00,-0.18,1.89,1.59
610,-1.00,-0.07,0.00,0.00,1.89,1.53
620,-1.00,-0.07,0.00,-0.06,1.89,1.46
630,-1.00,-0.07,0.00,0.06,1.89,1.53
640,-1.00,-0.07,0.00,-0.18,1.89,1.40
650,-1.00,-0.07,0.01,-0.06,1.71,1.77
660,-1.00,-0.07,0.00,-0.31,2.32,1.10
670,-1.00,-0.07,0.00,-0.18,2.38,1.22
680,-1.00,-0.07,0.00,0.06,1.83,1.95
690,-1.00,-0.07,-0.00,-0.31,2.44,1.40
700,-1.01,-0.07,-0.00,0.12,1.83,1.46
710,-1.00,-0.07,0.00,0.06,1.53,1.59
720,-1.00,-0.07,-0.00,-0.18,2.14,1.04
730,-1.00,-0.07,-0.00,0.00,1.53,1.77
740,-1.00,-0.07,0.00,0.00,1.53,2.20
750,-1.00,-0.07,0.00,0.12,1.71,1.89
760,-1.00,-0.07,0.00,0.06,1.89,1.46
