timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
0,-1.00,-0.07,-0.02,0.06,2.01,1.22
10,-1.00,-0.08,-0.02,-0.06,2.14,1.28
20,-1.00,-0.07,-0.02,-0.12,2.14,1.34
30,-1.00,-0.08,-0.02,-0.18,2.08,1.34
40,-1.00,-0.08,-0.01,-0.37,2.08,1.22
50,-1.00,-0.08,-0.02,-0.43,2.14,1.10
60,-1.00,-0.08,-0.01,-0.37,2.08,1.40
70,-1.00,-0.08,-0.02,-0.12,2.01,1.53
80,-1.00,-0.08,-0.02,-0.18,2.20,1.65
90,-1.00,-0.08,-0.02,-0.37,2.20,1.65
100,-1.00,-0.07,-0.02,-0.31,1.95,1.53
110,-1.00,-0.07,-0.02,-0.18,1.95,1.53
120,-1.00,-0.07,-0.02,-0.12,1.89,1.59
130,-1.00,-0.07,-0.02,-0.06,1.83,1.65
140,-1.00,-0.07,-0.02,-0.18,1.95,1.53
150,-1.00,-0.08,-0.02,-0.24,1.89,1.65
160,-1.00,-0.08,-0.02,-0.18,2.14,1.28
170,-1.00,-0.08,-0.02,-0.37,2.08,1.28
180,-1.00,-0.08,-0.02,-0.31,2.20,1.28
190,-1.00,-0.08,-0.02,-0.24,2.20,1.40
200,-1.00,-0.08,-0.02,-0.18,2.01,1.65
210,-1.00,-0.08,-0.01,-0.24,2.26,1.34
220,-1.00,-0.08,-0.02,-0.18,2.14,1.53
230,-1.00,-0.08,-0.02,-0.18,1.95,1.59
240,-1.00,-0.08,-0.02,-0.31,2.20,1.46
250,-1.00,-0.08,-0.02,-0.12,1.89,1.77
260,-1.00,-0.07,-0.02,-0.31,2.01,1.46
270,-1.00,-0.07,-0.01,-0.18,1.95,1.59
280,-1.00,-0.07,-0.02,-0.12,2.01,1.34
290,-1.00,-0.07,-0.02,-0.24,2.01,1.22
300,-1.00,-0.08,-0.01,-0.12,1.83,1.59
310,-1.00,-0.08,-0.02,-0.06,2.20,1.46
320,-1.00,-0.08,-0.02,0.24,1.71,1.77
330,-1.00,-0.08,-0.01,0.18,1.71,1.59
340,-1.00,-0.08,-0.02,-0.12,2.01,1.10
350,-1.00,-0.08,-0.01,0.00,1.65,1.65
360,-1.00,-0.08,-0.02,0.06,1.83,1.65
370,-1.00,-0.08,-0.02,0.00,1.83,1.53
380,-1.00,-0.08,-0.02,0.06,1.77,1.71
390,-1.00,-0.08,-0.02,-0.12,1.89,1.53
400,-1.00,-0.08,-0.02,-0.06,1.71,1.65
410,-1.00,-0.08,-0.01,-0.06,1.65,1.59
420,-1.00,-0.08,-0.01,0.00,1.65,1.71
430,-1.00,-0.08,-0.01,0.06,1.59,1.71
440,-1.00,-0.07,-0.01,-0.06,1.77,1.59
450,-1.00,-0.07,-0.02,-0.06,1.89,1.71
460,-1.00,-0.07,-0.02,-0.12,1.89,1.83
470,-1.00,-0.08,-0.01,-0.24,1.95,1.59
480,-1.00,-0.08,-0.01,-0.18,1.83,1.28
490,-1.00,-0.08,-0.02,-0.12,2.01,1.22
500,-1.00,-0.08,-0.02,0.00,2.08,1.59
510,-1.00,-0.08,-0.01,0.00,2.01,1.53
520,-1.00,-0.08,-0.02,-0.12,2.08,1.46
530,-1.00,-0.08,-0.02,-0.06,1.77,1.46
540,-1.00,-0.08,-0.01,-0.06,1.95,1.40
550,-1.00,-0.08,-0.01,-0.06,1.95,1.46
560,-1.00,-0.08,-0.01,-0.12,2.01,1.59
570,-1.00,-0.08,-0.02,-0.12,2.01,1.53
580,-1.00,-0.08,-0.02,-0.18,1.89,1.59
590,-1.00,-0.08,-0.02,-0.18,1.89,1.53
600,-1.00,-0.07,-0.02,-0.24,1.95,1.59
610,-1.00,-0.07,-0.01,-0.06,1.89,1.59
620,-1.00,-0.08,-0.02,-0.12,1.89,1.71
630,-1.00,-0.08,-0.02,-0.18,1.95,1.71
640,-1.00,-0.08,-0.02,-0.24,2.01,1.40
650,-1.00,-0.07,-0.01,-0.18,1.89,1.53
660,-1.00,-0.07,-0.01,-0.12,1.95,1.46
670,-1.00,-0.08,-0.01,-0.06,1.95,1.46
680,-1.00,-0.08,-0.01,-0.18,1.89,1.53
690,-1.00,-0.08,-0.02,-0.24,2.01,1.46
700,-1.00,-0.08,-0.01,-0.18,1.83,1.53
710,-1.00,-0.07,-0.02,-0.18,1.95,1.46
720,-1.00,-0.08,-0.02,-0.12,1.95,1.46
730,-1.00,-0.08,-0.02,-0.12,1.83,1.65
740,-1.00,-0.08,-0.02,-0.06,1.95,1.59
750,-1.00,-0.08,-0.02,-0.12,1.83,1.53
760,-1.00,-0.07,-0.02,-0.06,1.89,1.46
770,-1.00,-0.08,-0.02,-0.12,1.83,1.53
780,-1.00,-0.07,-0.01,-0.12,1.83,1.53
790,-1.00,-0.08,-0.01,-0.12,1.83,1.53
800,-1.00,-0.08,-0.01,-0.18,2.01,1.46
810,-1.00,-0.08,-0.02,-0.24,1.95,1.46
820,-1.00,-0.08,-0.02,-0.24,1.95,1.53
830,-1.00,-0.08,-0.02,-0.18,1.95,1.71
840,-1.00,-0.08,-0.02,-0.12,1.89,1.46
850,-1.00,-0.08,-0.01,-0.06,1.77,1.53
860,-1.00,-0.08,-0.01,0.00,1.71,1.53
870,-1.00,-0.08,-0.01,0.00,1.83,1.59
880,-1.00,-0.07,-0.01,-0.24,1.71,1.53
890,-1.00,-0.08,-0.01,-0.12,1.83,1.53
900,-1.00,-0.08,-0.02,-0.06,1.83,1.53
910,-1.00,-0.08,-0.01,-0.18,1.95,1.53
920,-1.00,-0.08,-0.01,-0.06,1.83,1.71
930,-1.00,-0.08,-0.01,-0.06,1.89,1.65
940,-1.00,-0.07,-0.01,-0.24,2.01,1.40
950,-1.00,-0.08,-0.02,-0.31,2.26,1.28
960,-1.00,-0.08,-0.02,-0.18,2.14,1.53
970,-1.00,-0.08,-0.02,-0.31,2.26,1.53
980,-1.00,-0.08,-0.02,-0.31,2.56,1.34
990,-1.00,-0.08,-0.02,-0.06,2.01,1.59
1000,-1.00,-0.07,-0.02,-0.18,2.08,1.40
1010,-1.00,-0.08,-0.02,-0.18,2.01,1.16
1020,-1.00,-0.07,-0.01,0.00,1.83,1.95
1030,-1.00,-0.07,-0.02,0.00,1.89,1.65
1040,-1.00,-0.08,-0.02,-0.06,1.95,1.40
1050,-1.00,-0.08,-0.01,0.00,2.01,1.34
1060,-1.00,-0.08,-0.02,-0.24,2.20,1.28
1070,-1.00,-0.08,-0.02,-0.31,2.14,1.40
1080,-1.00,-0.08,-0.02,-0.24,1.95,1.46
1090,-1.00,-0.08,-0.01,-0.24,2.08,1.65
1100,-1.00,-0.07,-0.01,-0.24,2.01,1.71
1110,-1.00,-0.07,-0.02,-0.24,2.14,1.71
1120,-1.00,-0.08,-0.02,-0.24,2.14,1.46
1130,-1.00,-0.07,-0.02,-0.37,2.26,1.59
1140,-1.00,-0.08,-0.01,-0.37,2.26,1.46
1150,-1.00,-0.08,-0.02,-0.37,2.32,1.28
