timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
0,-1.00,-0.06,0.00,-0.18,2.14,1.59
10,-1.00,-0.06,0.00,-0.18,2.38,1.53
20,-1.00,-0.06,-0.00,-0.37,2.32,1.40
30,-1.00,-0.07,0.00,-0.24,2.32,1.34
40,-1.00,-0.06,-0.00,-0.31,2.32,1.53
50,-1.00,-0.06,0.00,-0.12,2.20,1.59
60,-1.00,-0.06,-0.00,-0.24,2.32,1.59
70,-1.00,-0.06,-0.00,-0.24,2.26,1.59
80,-1.00,-0.06,0.00,-0.18,2.32,1.53
90,-1.00,-0.06,0.00,-0.12,2.20,1.40
100,-1.00,-0.06,0.00,-0.12,2.08,1.71
110,-1.00,-0.06,0.00,-0.12,2.01,1.59
120,-1.00,-0.06,0.00,-0.24,2.14,1.46
130,-1.00,-0.06,0.00,-0.12,2.32,1.40
140,-1.00,-0.06,-0.00,-0.18,2.38,1.59
150,-1.00,-0.06,-0.00,-0.18,2.38,1.77
160,-1.00,-0.06,-0.00,-0.24,2.56,1.77
170,-1.01,-0.06,-0.00,-0.06,2.26,1.34
180,-1.00,-0.06,-0.00,0.06,2.20,1.28
190,-1.00,-0.07,-0.00,0.00,2.38,1.28
200,-1.00,-0.07,-0.00,-0.06,2.14,1.65
210,-1.00,-0.06,-0.00,-0.12,1.83,2.32
220,-1.00,-0.06,-0.01,0.06,2.08,1.59
230,-1.00,-0.06,-0.00,-0.24,2.26,1.22
240,-1.00,-0.06,0.00,0.06,1.95,1.77
250,-1.01,-0.06,-0.00,-0.06,1.77,2.08
260,-1.00,-0.06,-0.00,-0.12,1.65,1.53
270,-1.00,-0.06,0.00,-0.18,1.77,1.16
280,-1.00,-0.06,0.00,0.06,1.65,1.40
290,-1.00,-0.06,0.00,-0.12,1.95,1.53
300,-1.00,-0.06,0.00,-0.37,2.01,1.53
310,-1.00,-0.06,-0.00,-0.37,1.95,1.22
320,-1.00,-0.06,-0.00,-0.49,2.08,0.79
330,-1.00,-0.07,-0.00,-0.24,2.01,0.49
340,-1.00,-0.07,-0.00,0.06,2.14,0.85
350,-1.01,-0.07,0.00,-0.06,2.01,1.28
360,-1.00,-0.07,0.00,-0.06,1.89,1.65
370,-1.01,-0.06,-0.00,-0.12,2.32,1.83
380,-1.00,-0.06,-0.00,0.06,1.10,1.77
390,-1.00,-0.07,0.00,-0.18,2.87,0.24
400,-1.01,-0.07,-0.01,-0.24,1.71,1.53
410,-1.00,-0.06,0.00,0.06,1.46,1.95
420,-1.01,-0.06,-0.01,-0.31,2.14,1.83
430,-1.00,-0.06,-0.00,-0.12,1.53,1.71
440,-1.00,-0.06,-0.00,-0.18,2.14,0.85
450,-1.00,-0.06,-0.00,-0.18,1.95,1.16
460,-1.00,-0.06,-0.00,-0.12,1.77,1.40
470,-1.00,-0.07,0.00,-0.12,1.89,1.34
480,-1.00,-0.07,-0.00,0.12,1.71,1.77
490,-1.00,-0.06,-0.00,-0.06,1.89,1.28
500,-1.00,-0.06,-0.00,0.06,2.01,1.16
510,-1.00,-0.06,-0.00,0.06,1.77,1.89
520,-1.00,-0.06,-0.00,-0.12,1.77,1.71
530,-1.00,-0.06,-0.00,-0.31,1.89,1.28
540,-1.00,-0.06,-0.00,-0.18,1.83,1.40
550,-1.00,-0.06,0.00,-0.06,1.83,1.40
560,-1.00,-0.06,0.00,0.00,1.95,1.46
570,-1.00,-0.06,0.00,0.00,1.77,1.77
580,-1.00,-0.06,-0.00,-0.12,1.77,1.53
590,-1.00,-0.06,-0.00,-0.12,1.77,1.34
600,-1.00,-0.06,0.00,-0.06,1.83,1.28
610,-1.00,-0.07,-0.00,-0.12,1.77,1.22
620,-1.00,-0.06,-0.00,-0.12,1.77,1.40
630,-1.00,-0.06,-0.00,-0.18,1.65,1.46
640,-1.00,-0.06,-0.00,-0.06,1.65,1.59
650,-1.00,-0.06,-0.00,-0.12,1.77,1.46
660,-1.00,-0.06,0.00,-0.24,1.77,1.22
670,-1.00,-0.06,0.00,-0.24,1.71,1.28
680,-1.00,-0.07,0.00,-0.12,1.71,1.65
690,-1.00,-0.07,-0.00,-0.24,1.83,1.46
700,-1.00,-0.06,-0.00,-0.24,1.89,1.16
710,-1.00,-0.06,-0.00,-0.06,1.83,1.53
720,-1.00,-0.06,0.00,-0.06,1.95,1.40
730,-1.00,-0.06,-0.00,-0.06,2.01,1.53
740,-1.00,-0.06,-0.00,-0.06,1.83,1.46
750,-1.00,-0.06,0.00,-0.18,1.83,1.34
