timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
0,-1.00,-0.07,0.00,-0.12,2.20,0.79
10,-1.00,-0.07,-0.00,-0.12,2.08,0.98
20,-1.00,-0.07,-0.00,0.00,2.14,1.46
30,-1.00,-0.07,-0.00,-0.24,1.95,1.59
40,-1.00,-0.07,-0.00,-0.18,1.59,0.67
50,-1.00,-0.07,0.00,-0.31,1.95,-0.55
60,-1.01,-0.07,0.00,-0.24,2.20,-0.37
70,-1.00,-0.07,0.00,0.18,1.71,0.67
80,-1.00,-0.08,0.00,0.00,1.46,1.22
90,-1.00,-0.08,0.00,-0.12,1.71,0.85
100,-1.00,-0.07,0.00,-0.24,1.77,0.55
110,-1.00,-0.07,0.00,-0.18,1.46,1.10
120,-1.00,-0.07,0.01,0.06,1.22,1.46
130,-1.00,-0.07,0.00,0.00,1.46,1.46
140,-1.00,-0.07,0.00,-0.12,1.59,0.98
150,-1.00,-0.07,0.00,0.06,0.92,0.79
160,-1.00,-0.07,0.01,0.24,1.22,0.92
170,-1.00,-0.07,-0.00,0.06,1.28,1.16
180,-1.00,-0.07,0.00,0.18,1.40,1.46
190,-1.00,-0.07,0.00,0.06,1.53,1.34
200,-1.00,-0.07,0.01,0.06,1.59,1.10
210,-1.00,-0.07,0.01,-0.06,1.71,0.92
220,-1.00,-0.07,0.00,0.00,1.53,1.16
230,-1.00,-0.07,0.01,0.00,1.65,1.34
240,-1.00,-0.07,0.01,0.00,1.46,1.89
250,-1.00,-0.07,0.01,-0.12,1.65,2.08
260,-1.00,-0.07,0.01,-0.31,1.59,1.89
270,-1.00,-0.07,0.01,-0.43,1.77,1.46
280,-1.01,-0.07,0.00,-0.24,1.83,0.98
290,-1.00,-0.07,0.00,-0.12,1.71,1.16
300,-1.00,-0.07,0.00,0.00,1.53,1.65
310,-1.00,-0.07,0.01,0.12,1.71,1.83
320,-1.00,-0.07,0.01,0.06,1.71,2.01
330,-1.00,-0.07,0.00,-0.06,1.89,1.83
340,-1.00,-0.08,0.01,-0.24,1.53,1.71
350,-1.00,-0.07,0.01,-0.31,1.53,1.34
360,-1.01,-0.07,0.01,-0.31,1.65,1.10
370,-1.00,-0.07,0.00,-0.12,1.65,1.59
380,-1.00,-0.07,0.00,-0.12,1.71,1.95
390,-1.00,-0.07,0.01,-0.06,1.46,2.08
400,-1.01,-0.06,0.00,-0.18,1.71,1.46
410,-1.01,-0.07,0.00,-0.12,1.77,0.98
420,-1.00,-0.07,0.01,0.12,1.53,1.34
430,-1.00,-0.07,0.01,0.00,2.08,1.46
440,-1.00,-0.07,0.01,0.43,1.59,1.89
450,-1.00,-0.06,0.01,-0.12,2.20,1.89
460,-1.00,-0.08,0.00,0.00,2.50,0.98
470,-1.00,-0.07,0.01,0.06,2.01,1.16
480,-1.00,-0.07,0.01,-0.18,1.71,2.26
490,-1.01,-0.07,0.01,-0.18,2.08,2.38
500,-1.01,-0.07,0.00,0.00,2.38,1.16
510,-1.00,-0.08,0.00,-0.18,2.01,1.04
520,-1.00,-0.08,0.01,-0.18,2.08,1.53
530,-1.01,-0.07,0.00,-0.31,2.20,2.56
540,-1.01,-0.07,0.00,-0.06,1.83,2.69
550,-1.00,-0.07,0.00,0.06,1.89,1.59
560,-1.00,-0.07,0.01,0.06,1.89,1.40
570,-1.00,-0.07,0.01,0.06,1.89,1.77
580,-1.00,-0.07,0.01,0.12,1.89,2.08
590,-1.00,-0.07,-0.00,0.18,1.83,2.32
600,-1.00,-0.07,0.01,0.06,1.71,2.26
610,-1.00,-0.07,0.01,-0.12,1.83,1.83
620,-1.00,-0.07,0.00,-0.12,2.08,1.53
630,-1.00,-0.07,0.00,0.00,2.08,1.83
640,-1.00,-0.07,0.01,0.06,2.01,2.20
650,-1.00,-0.07,0.01,0.06,1.89,2.38
660,-1.00,-0.07,0.01,-0.12,1.89,2.26
670,-1.00,-0.07,0.01,-0.12,2.01,1.83
680,-1.00,-0.07,0.00,-0.12,2.20,1.53
690,-1.00,-0.07,0.00,-0.12,2.14,1.77
700,-1.00,-0.07,0.01,-0.18,2.08,1.95
710,-1.00,-0.07,0.00,-0.18,2.14,2.26
720,-1.00,-0.07,0.00,-0.12,2.08,2.14
730,-1.00,-0.07,0.00,-0.06,2.14,1.71
740,-1.00,-0.07,0.01,0.06,2.20,1.59
750,-1.00,-0.07,0.01,0.00,2.08,1.83
760,-1.00,-0.06,0.01,-0.06,2.32,1.83
770,-1.00,-0.06,0.01,0.24,2.08,2.08
780,-1.01,-0.06,0.01,0.12,2.20,1.65
790,-1.00,-0.07,0.00,-0.12,2.50,1.04
800,-1.00,-0.07,0.01,-0.06,2.26,1.40
810,-1.00,-0.07,0.01,0.06,2.01,1.95
820,-1.00,-0.07,0.00,0.00,2.26,1.65
830,-1.00,-0.07,0.00,-0.06,2.20,1.53
840,-1.00,-0.07,0.00,0.12,2.08,1.65
850,-1.00,-0.07,0.01,0.06,2.01,1.71
860,-1.00,-0.07,0.01,0.00,1.95,1.53
870,-1.00,-0.07,0.01,-0.06,2.01,1.53
880,-1.00,-0.07,0.01,0.00,1.83,1.77
890,-1.00,-0.07,0.01,-0.12,2.01,1.53
900,-1.00,-0.07,0.01,-0.18,2.14,1.40
910,-1.00,-0.07,0.01,-0.18,1.83,1.83
920,-1.00,-0.07,0.01,-0.31,1.95,1.65
930,-1.01,-0.07,0.01,-0.24,2.20,1.22
940,-1.00,-0.07,0.00,-0.18,2.01,1.46
950,-1.00,-0.07,0.01,-0.06,2.01,1.71
960,-1.00,-0.07,0.00,0.06,1.95,1.89
970,-1.00,-0.07,0.00,-0.12,2.01,1.53
980,-1.00,-0.07,0.00,-0.06,2.01,1.28
990,-1.00,-0.07,0.00,-0.06,1.95,1.16
1000,-1.00,-0.07,0.00,-0.06,2.01,1.46
1010,-1.00,-0.07,0.01,0.00,1.71,1.71
1020,-1.00,-0.07,0.00,0.00,1.89,1.53
1030,-1.00,-0.07,0.01,0.00,1.89,1.28
1040,-1.00,-0.07,0.01,0.00,1.89,1.59
1050,-1.00,-0.07,0.01,0.12,1.83,1.71
1060,-1.00,-0.07,0.01,0.00,1.83,1.83
1070,-1.00,-0.07,0.01,-0.06,1.95,1.71
1080,-1.00,-0.07,0.00,-0.24,2.01,1.59
1090,-1.00,-0.07,0.01,-0.18,2.01,1.46
1100,-1.00,-0.07,0.01,-0.12,1.89,1.59
1110,-1.00,-0.07,0.01,-0.12,1.95,1.77
1120,-1.00,-0.07,0.01,-0.24,1.95,1.65
1130,-1.00,-0.06,0.00,-0.12,2.08,1.65
1140,-1.00,-0.07,0.01,-0.18,2.14,1.53
1150,-1.00,-0.07,0.01,-0.18,2.01,1.40
1160,-1.00,-0.07,0.01,-0.06,1.89,1.53
