timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
0,-1.00,-0.08,-0.02,0.00,1.71,1.40
10,-1.00,-0.08,-0.02,-0.06,1.77,1.40
20,-1.00,-0.08,-0.02,-0.06,1.77,1.40
30,-1.00,-0.08,-0.02,-0.18,1.89,1.53
40,-1.00,-0.08,-0.02,-0.12,1.95,1.53
50,-1.00,-0.08,-0.02,-0.18,2.08,1.40
60,-1.00,-0.08,-0.02,-0.06,1.89,1.65
70,-1.00,-0.08,-0.02,-0.18,1.89,1.65
80,-1.00,-0.08,-0.02,-0.18,1.77,1.71
90,-1.00,-0.08,-0.02,-0.18,1.77,1.59
100,-1.00,-0.08,-0.02,-0.12,1.77,1.53
110,-1.00,-0.08,-0.02,0.06,1.71,1.53
120,-1.00,-0.08,-0.01,0.06,1.71,1.46
130,-1.00,-0.08,-0.02,-0.06,1.77,1.71
140,-1.00,-0.08,-0.02,-0.18,1.89,1.65
150,-1.00,-0.08,-0.01,-0.37,1.95,1.53
160,-1.00,-0.08,-0.02,-0.24,2.26,1.22
170,-1.00,-0.08,-0.02,-0.12,2.14,1.22
180,-1.00,-0.08,-0.02,0.06,1.77,1.53
190,-1.00,-0.08,-0.02,-0.12,1.95,1.22
200,-1.00,-0.08,-0.02,0.00,1.71,1.65
210,-1.00,-0.08,-0.02,0.00,1.59,1.83
220,-1.00,-0.08,-0.02,-0.06,1.71,1.46
230,-1.00,-0.08,-0.02,-0.12,1.77,1.40
240,-1.00,-0.08,-0.02,-0.06,1.83,1.46
250,-1.00,-0.08,-0.02,-0.06,1.77,1.46
260,-1.00,-0.08,-0.02,0.00,1.59,1.59
270,-1.00,-0.08,-0.02,-0.12,1.59,1.71
280,-1.00,-0.08,-0.01,0.00,1.71,1.77
290,-1.00,-0.08,-0.01,-0.06,1.59,1.53
300,-1.00,-0.08,-0.02,0.00,1.65,1.71
310,-1.00,-0.08,-0.02,-0.06,1.71,1.77
320,-1.00,-0.08,-0.02,-0.24,1.89,1.59
330,-1.00,-0.08,-0.02,-0.18,1.77,1.53
340,-1.00,-0.08,-0.02,-0.18,1.71,1.34
350,-1.00,-0.08,-0.02,-0.06,1.89,1.28
360,-1.00,-0.08,-0.02,-0.06,1.83,1.65
370,-1.00,-0.08,-0.02,0.00,1.77,1.77
380,-1.00,-0.08,-0.02,-0.06,1.83,1.46
390,-1.00,-0.08,-0.02,-0.12,1.83,1.59
400,-1.00,-0.08,-0.02,-0.12,1.83,1.46
410,-1.00,-0.08,-0.02,-0.18,1.89,1.34
420,-1.00,-0.08,-0.02,-0.24,1.89,1.46
430,-1.00,-0.08,-0.02,-0.24,2.01,1.65
440,-1.00,-0.08,-0.02,-0.24,1.89,1.65
450,-1.00,-0.08,-0.02,-0.18,1.89,1.53
460,-1.00,-0.08,-0.02,-0.06,1.89,1.46
470,-1.00,-0.08,-0.02,-0.06,1.89,1.46
480,-1.00,-0.08,-0.02,-0.24,1.89,1.53
490,-1.00,-0.08,-0.02,-0.31,2.01,1.53
500,-1.00,-0.08,-0.01,-0.37,1.95,1.46
510,-1.00,-0.08,-0.02,-0.37,1.89,1.53
520,-1.00,-0.08,-0.02,-0.18,2.01,1.40
530,-1.00,-0.08,-0.02,-0.18,1.95,1.46
540,-1.00,-0.08,-0.01,-0.18,1.95,1.53
550,-1.00,-0.08,-0.02,-0.06,1.95,1.46
560,-1.00,-0.08,-0.02,-0.24,1.95,1.53
570,-1.00,-0.08,-0.02,-0.18,2.01,1.53
580,-1.00,-0.08,-0.02,-0.18,1.83,1.53
590,-1.00,-0.08,-0.02,-0.18,1.89,1.46
600,-1.00,-0.08,-0.02,-0.06,1.89,1.46
610,-1.00,-0.08,-0.02,-0.12,2.01,1.46
620,-1.00,-0.08,-0.02,-0.06,1.89,1.34
630,-1.00,-0.08,-0.01,-0.12,1.83,1.65
640,-1.00,-0.08,-0.01,-0.12,1.83,1.65
650,-1.00,-0.08,-0.02,-0.18,1.83,1.53
660,-1.00,-0.08,-0.02,-0.18,1.89,1.53
670,-1.00,-0.08,-0.02,-0.24,1.95,1.46
680,-1.00,-0.08,-0.02,-0.18,1.95,1.59
690,-1.00,-0.08,-0.02,-0.24,1.95,1.59
700,-1.00,-0.08,-0.02,-0.12,2.08,1.40
710,-1.00,-0.08,-0.02,-0.12,2.01,1.53
720,-1.00,-0.08,-0.02,-0.18,2.08,1.53
730,-1.00,-0.08,-0.01,-0.24,2.20,1.59
740,-1.00,-0.08,-0.02,-0.18,2.08,1.71
750,-1.00,-0.08,-0.02,-0.31,2.01,1.59
760,-1.00,-0.08,-0.02,-0.24,1.89,1.65
770,-1.00,-0.08,-0.02,-0.24,2.08,1.46
780,-1.00,-0.08,-0.02,-0.18,2.08,1.40
790,-1.00,-0.08,-0.02,-0.06,2.01,1.59
800,-1.00,-0.08,-0.01,-0.06,1.95,1.46
810,-1.00,-0.08,-0.01,-0.12,1.95,1.46
820,-1.00,-0.08,-0.02,-0.12,2.01,1.59
830,-1.00,-0.08,-0.02,-0.12,2.14,1.53
840,-1.00,-0.08,-0.02,-0.24,2.26,1.22
850,-1.00,-0.08,-0.01,-0.18,2.38,1.16
860,-1.00,-0.08,-0.01,-0.06,1.83,1.53
870,-1.00,-0.08,-0.02,-0.12,1.95,1.34
880,-1.00,-0.08,-0.02,-0.18,2.08,1.40
890,-1.00,-0.08,-0.02,-0.06,1.71,1.89
900,-1.00,-0.08,-0.02,-0.06,1.77,1.46
910,-1.00,-0.08,-0.02,-0.12,2.01,1.34
920,-1.00,-0.08,-0.01,-0.12,2.01,1.53
930,-1.00,-0.08,-0.02,-0.24,1.95,1.59
940,-1.00,-0.08,-0.02,-0.12,1.65,1.59
950,-1.00,-0.08,-0.01,-0.06,1.65,1.65
960,-1.00,-0.08,-0.02,-0.18,1.83,1.65
970,-1.00,-0.08,-0.01,-0.12,1.89,1.53
980,-1.00,-0.08,-0.02,-0.12,1.95,1.46
990,-1.00,-0.08,-0.01,-0.31,2.08,1.59
1000,-1.00,-0.08,-0.01,-0.31,2.01,1.59
1010,-1.00,-0.08,-0.02,-0.31,2.08,1.46
1020,-1.00,-0.08,-0.02,-0.18,2.01,1.28
1030,-1.00,-0.08,-0.02,-0.12,2.01,1.40
1040,-1.00,-0.08,-0.02,-0.18,2.08,1.34
1050,-1.00,-0.08,-0.02,-0.31,2.08,1.53
1060,-1.00,-0.08,-0.02,-0.18,2.01,1.59
1070,-1.00,-0.08,-0.02,-0.18,1.89,1.40
1080,-1.00,-0.08,-0.02,-0.18,1.77,1.34
1090,-1.00,-0.08,-0.02,-0.18,1.83,1.40
1100,-1.00,-0.08,-0.01,-0.06,1.77,1.34
1110,-1.00,-0.08,-0.02,-0.06,1.89,1.46
1120,-1.00,-0.08,-0.02,-0.06,1.83,1.46
1130,-1.00,-0.08,-0.02,-0.06,1.89,1.40
1140,-1.00,-0.08,-0.02,-0.06,1.95,1.28
1150,-1.00,-0.08,-0.02,0.00,2.01,1.46
1160,-1.00,-0.08,-0.02,-0.06,1.83,1.59
1170,-1.00,-0.08,-0.02,-0.06,1.95,1.71
1180,-1.00,-0.08,-0.02,-0.12,1.89,1.59
1190,-1.00,-0.08,-0.01,-0.24,2.08,1.40
1200,-1.00,-0.08,-0.02,-0.31,2.01,1.59
1210,-1.00,-0.08,-0.02,-0.24,2.14,1.65
1220,-1.00,-0.08,-0.01,-0.31,2.01,1.77
1230,-1.00,-0.08,-0.02,-0.37,2.08,1.71
1240,-1.00,-0.08,-0.02,-0.37,2.08,1.71
1250,-1.00,-0.08,-0.02,-0.24,2.20,1.65
1260,-1.00,-0.08,-0.02,-0.24,2.08,1.53
1270,-1.00,-0.08,-0.02,-0.24,2.08,1.65
1280,-1.00,-0.08,-0.01,-0.18,2.08,1.53
1290,-1.00,-0.08,-0.02,-0.12,1.89,1.53
1300,-1.00,-0.08,-0.02,-0.06,1.89,1.46
1310,-1.00,-0.08,-0.02,-0.06,1.95,1.46
1320,-1.00,-0.07,-0.02,-0.12,1.89,1.53
1330,-1.00,-0.08,-0.02,0.00,1.83,1.46
1340,-1.00,-0.08,-0.02,-0.06,1.95,1.40
1350,-1.00,-0.08,-0.01,0.00,1.89,1.40
1360,-1.00,-0.08,-0.02,-0.18,1.89,1.46
1370,-1.00,-0.08,-0.02,-0.12,1.89,1.46
