timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
0,-1.00,-0.07,0.00,-0.24,1.95,1.59
10,-1.00,-0.07,0.00,-0.12,1.89,1.46
20,-1.00,-0.07,0.00,-0.12,1.95,1.40
30,-1.00,-0.07,0.01,-0.18,1.95,1.53
40,-1.00,-0.07,0.01,-0.12,2.01,1.34
50,-1.00,-0.07,0.01,-0.18,1.89,1.65
60,-1.00,-0.07,0.00,-0.12,1.89,1.65
70,-1.00,-0.07,0.00,-0.12,1.95,1.53
80,-1.00,-0.07,0.00,-0.24,2.08,1.28
90,-1.00,-0.07,0.00,-0.24,2.01,1.10
100,-1.00,-0.07,0.00,-0.31,2.01,1.28
110,-1.00,-0.07,0.01,-0.18,2.08,1.40
120,-1.00,-0.07,0.00,-0.24,2.14,1.46
130,-1.00,-0.07,0.01,-0.12,2.08,1.53
140,-1.00,-0.06,0.01,-0.06,1.95,1.40
150,-1.00,-0.07,0.00,-0.12,2.14,1.28
160,-1.00,-0.07,0.00,-0.31,2.08,1.10
170,-1.00,-0.07,0.01,-0.37,2.01,1.16
180,-1.01,-0.07,0.00,-0.31,2.38,1.10
190,-1.00,-0.07,0.00,0.00,2.01,1.22
200,-1.00,-0.06,0.01,0.12,1.77,1.46
210,-1.00,-0.07,0.00,-0.12,1.95,0.98
220,-1.00,-0.07,0.00,-0.18,1.77,1.22
230,-1.00,-0.07,0.00,-0.18,1.71,1.22
240,-1.00,-0.07,0.00,-0.18,1.83,1.04
250,-1.00,-0.07,0.00,-0.12,1.71,1.28
260,-1.00,-0.06,0.00,-0.18,1.95,1.16
270,-1.01,-0.07,0.00,-0.06,1.89,0.98
280,-1.00,-0.07,0.00,-0.06,1.71,1.16
290,-1.00,-0.07,0.00,-0.12,1.71,1.04
300,-1.00,-0.07,0.01,-0.18,1.89,1.04
310,-1.00,-0.07,0.01,-0.24,1.77,1.22
320,-1.00,-0.07,0.00,-0.43,2.01,1.04
330,-1.00,-0.07,0.01,-0.37,1.65,1.65
340,-1.00,-0.07,0.00,-0.43,1.83,1.71
350,-1.00,-0.07,0.00,-0.37,1.95,1.28
360,-1.00,-0.07,-0.00,-0.24,1.46,1.34
370,-1.00,-0.07,-0.00,-0.37,1.77,0.98
380,-1.01,-0.07,0.00,-0.43,1.83,0.67
390,-1.01,-0.07,0.01,-0.37,1.77,1.10
400,-1.00,-0.07,0.01,0.00,1.83,1.53
410,-1.00,-0.07,0.01,0.06,1.83,1.71
420,-1.00,-0.07,0.00,-0.06,2.14,1.53
430,-1.00,-0.07,0.00,0.06,1.89,1.40
440,-1.00,-0.07,0.00,-0.37,1.71,1.34
450,-1.00,-0.08,0.01,-0.55,1.77,1.28
460,-1.00,-0.08,0.00,-0.37,1.77,1.10
470,-1.00,-0.07,0.01,-0.31,1.83,1.04
